datetime,open,high,low,close,volume
2022-01-25T00:00:00+05:30,119.3,119.3,108.05,115.77,39629
2022-01-27T00:00:00+05:30,118.0,118.0,113.19,114.37,22451
2022-01-28T00:00:00+05:30,116.1,118.0,115.25,115.38,20173
2022-01-31T00:00:00+05:30,118.0,118.98,116.0,117.42,23694
2022-02-01T00:00:00+05:30,120.4,120.4,115.6,116.64,11923
2022-02-02T00:00:00+05:30,116.5,120.75,116.5,116.83,28473
2022-02-03T00:00:00+05:30,118.98,120.5,115.65,117.43,32903
2022-02-04T00:00:00+05:30,119.49,119.49,115.8,115.94,23542
2022-02-07T00:00:00+05:30,115.94,117.98,113.63,114.42,27206
2022-02-08T00:00:00+05:30,114.6,115.9,112.15,114.15,29365
2022-02-09T00:00:00+05:30,116.7,116.9,114.6,116.56,24972
2022-02-10T00:00:00+05:30,116.56,119.44,115.88,116.98,21435
2022-02-11T00:00:00+05:30,116.98,116.98,115.02,115.84,29216
2022-02-14T00:00:00+05:30,116.79,116.79,111.05,111.26,72674
2022-02-15T00:00:00+05:30,112.95,115.48,110.0,115.14,23987
2022-02-16T00:00:00+05:30,118.94,118.94,114.6,115.29,10072
2022-02-17T00:00:00+05:30,114.68,116.81,114.68,115.18,15044
2022-02-18T00:00:00+05:30,112.9,116.0,112.9,114.54,9828
2022-02-21T00:00:00+05:30,116.49,116.49,112.1,114.13,16821
2022-02-22T00:00:00+05:30,111.85,120.3,111.85,114.12,56957
2022-02-23T00:00:00+05:30,115.78,115.78,112.0,113.69,12634
2022-02-24T00:00:00+05:30,110.0,113.45,106.71,109.08,87673
2022-02-25T00:00:00+05:30,112.45,113.9,109.17,109.54,13486
2022-02-28T00:00:00+05:30,109.54,110.93,106.92,109.54,9809
2022-03-02T00:00:00+05:30,110.98,110.98,105.12,105.53,51051
2022-03-03T00:00:00+05:30,107.49,107.49,102.8,103.12,44724
2022-03-04T00:00:00+05:30,103.0,103.0,99.0,99.71,84679
2022-03-07T00:00:00+05:30,99.75,104.69,95.99,101.34,59027
2022-03-08T00:00:00+05:30,100.0,100.0,92.01,96.07,219478
2022-03-09T00:00:00+05:30,96.92,99.0,96.02,98.43,36745
2022-03-10T00:00:00+05:30,102.41,104.1,98.9,100.52,76654
2022-03-11T00:00:00+05:30,101.39,101.39,99.4,100.32,35037
2022-03-14T00:00:00+05:30,101.79,101.79,98.75,101.19,21254
2022-03-15T00:00:00+05:30,100.8,103.56,99.0,101.82,58945
2022-03-16T00:00:00+05:30,103.0,104.5,101.03,103.08,21433
2022-03-17T00:00:00+05:30,103.08,106.31,103.08,105.62,44284
2022-03-21T00:00:00+05:30,106.0,106.78,104.23,104.98,24507
2022-03-22T00:00:00+05:30,108.5,108.5,103.4,105.75,29116
2022-03-23T00:00:00+05:30,106.95,106.95,103.85,105.06,28853
2022-03-24T00:00:00+05:30,106.0,106.41,102.9,104.64,24842
2022-03-25T00:00:00+05:30,105.66,105.66,102.63,104.03,18551
2022-03-28T00:00:00+05:30,104.03,105.48,102.6,104.3,9429
2022-03-29T00:00:00+05:30,104.3,105.5,103.37,104.23,91176
2022-03-30T00:00:00+05:30,105.5,106.1,105.12,105.44,29619
2022-03-31T00:00:00+05:30,105.13,106.3,104.76,105.54,13139
2022-04-01T00:00:00+05:30,108.95,108.95,104.76,106.88,18475
2022-04-04T00:00:00+05:30,107.7,108.52,106.6,108.17,17790
2022-04-05T00:00:00+05:30,108.35,110.25,108.2,110.06,18663
2022-04-06T00:00:00+05:30,113.9,113.9,108.07,109.12,20384
2022-04-07T00:00:00+05:30,109.12,109.89,108.23,108.8,8492
2022-04-08T00:00:00+05:30,109.8,109.82,108.1,109.16,8227
2022-04-11T00:00:00+05:30,109.74,109.74,108.12,109.15,14024
2022-04-12T00:00:00+05:30,106.33,111.68,106.33,108.23,6931
2022-04-13T00:00:00+05:30,111.75,111.75,107.5,107.58,15586
2022-04-18T00:00:00+05:30,106.98,108.0,106.94,107.62,11938
2022-04-19T00:00:00+05:30,107.03,109.0,105.37,106.97,20318
2022-04-20T00:00:00+05:30,107.94,109.0,107.1,108.74,39092
2022-04-21T00:00:00+05:30,112.0,112.0,108.05,110.87,20249
2022-04-22T00:00:00+05:30,109.08,111.47,109.08,110.2,10472
2022-04-25T00:00:00+05:30,112.0,112.0,108.07,109.66,15356
2022-04-26T00:00:00+05:30,111.48,112.5,109.5,112.29,20082
2022-04-27T00:00:00+05:30,113.9,113.9,110.91,112.34,17688
2022-04-28T00:00:00+05:30,112.14,112.8,111.57,112.11,12088
2022-04-29T00:00:00+05:30,113.68,113.68,110.7,111.29,14873
2022-05-02T00:00:00+05:30,110.6,111.9,109.68,110.02,14028
2022-05-04T00:00:00+05:30,113.5,113.5,107.0,107.48,21296
2022-05-05T00:00:00+05:30,108.98,109.94,107.1,107.86,6024
2022-05-06T00:00:00+05:30,107.85,107.85,105.5,105.84,9043
2022-05-09T00:00:00+05:30,110.0,110.0,103.85,105.18,19082
2022-05-10T00:00:00+05:30,106.0,106.5,103.83,104.76,25199
