datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,47.8,48.0,46.7,47.15,28229
2021-03-10T00:00:00+05:30,47.3,48.5,47.0,48.0,43597
2021-03-12T00:00:00+05:30,48.3,48.9,45.0,45.85,224174
2021-03-15T00:00:00+05:30,46.05,46.2,44.8,45.35,32500
2021-03-16T00:00:00+05:30,45.35,46.85,45.35,46.05,75494
2021-03-17T00:00:00+05:30,46.95,47.3,45.5,46.2,65182
2021-03-18T00:00:00+05:30,46.2,46.65,43.5,44.35,25765
2021-03-19T00:00:00+05:30,43.25,48.0,42.3,45.8,49408
2021-03-22T00:00:00+05:30,47.65,47.65,41.55,43.15,87232
2021-03-23T00:00:00+05:30,43.25,47.4,43.05,45.2,132587
2021-03-24T00:00:00+05:30,45.2,45.9,40.7,42.4,208626
2021-03-25T00:00:00+05:30,42.5,44.4,41.65,42.4,62178
2021-03-26T00:00:00+05:30,42.6,43.8,39.5,40.2,116686
2021-03-30T00:00:00+05:30,40.45,41.45,39.55,40.4,81015
2021-03-31T00:00:00+05:30,39.65,41.2,39.5,40.0,48894
2021-04-01T00:00:00+05:30,40.0,42.9,39.95,42.9,85237
2021-04-05T00:00:00+05:30,43.0,43.0,41.45,42.25,46030
2021-04-06T00:00:00+05:30,42.65,42.9,42.1,42.3,28023
2021-04-07T00:00:00+05:30,42.6,43.5,42.15,43.25,78582
2021-04-08T00:00:00+05:30,44.6,51.9,44.45,51.9,864913
2021-04-09T00:00:00+05:30,54.95,56.4,52.05,53.6,774556
2021-04-12T00:00:00+05:30,52.05,55.4,48.15,52.85,350527
2021-04-13T00:00:00+05:30,51.95,63.4,51.2,59.9,1311906
2021-04-15T00:00:00+05:30,61.2,62.4,53.1,55.35,367355
2021-04-16T00:00:00+05:30,55.0,59.9,54.95,57.45,317208
2021-04-19T00:00:00+05:30,57.0,62.5,53.1,60.2,358040
2021-04-20T00:00:00+05:30,60.0,66.9,60.0,61.75,677544
2021-04-22T00:00:00+05:30,61.4,69.1,60.9,67.15,613724
2021-04-23T00:00:00+05:30,67.55,71.55,65.15,66.65,458066
2021-04-26T00:00:00+05:30,68.8,69.0,64.55,65.75,314162
2021-04-27T00:00:00+05:30,66.0,67.6,63.8,64.7,221307
2021-04-28T00:00:00+05:30,65.0,66.45,63.85,64.5,112963
2021-04-29T00:00:00+05:30,65.1,65.9,60.4,61.2,241446
2021-04-30T00:00:00+05:30,60.7,64.0,59.2,60.3,200314
2021-05-03T00:00:00+05:30,60.0,62.9,58.55,59.15,189780
