datetime,open,high,low,close,volume
2023-01-06T00:00:00+05:30,44.0,51.0,42.2,42.7,14781
2023-01-09T00:00:00+05:30,42.71,43.2,42.2,42.65,6829
2023-01-10T00:00:00+05:30,43.2,43.2,41.75,41.97,6049
2023-01-11T00:00:00+05:30,41.91,42.19,41.81,42.17,663
2023-01-12T00:00:00+05:30,42.2,42.3,41.81,42.22,870
2023-01-13T00:00:00+05:30,41.9,42.29,41.74,42.2,1585
2023-01-16T00:00:00+05:30,42.2,42.5,42.15,42.2,441
2023-01-17T00:00:00+05:30,42.35,42.4,41.82,42.31,2598
2023-01-18T00:00:00+05:30,42.31,42.45,42.31,42.36,29
2023-01-19T00:00:00+05:30,42.35,42.5,42.1,42.32,1056
2023-01-20T00:00:00+05:30,42.4,42.55,42.4,42.43,159
2023-01-23T00:00:00+05:30,42.6,42.9,42.6,42.9,827
2023-01-24T00:00:00+05:30,44.18,44.18,42.45,42.64,437
2023-01-25T00:00:00+05:30,42.6,42.6,41.5,41.74,4037
2023-01-27T00:00:00+05:30,41.5,41.5,40.25,40.55,8976
2023-01-30T00:00:00+05:30,40.8,40.98,39.29,40.2,16132
2023-01-31T00:00:00+05:30,40.36,40.94,40.36,40.87,3690
2023-02-01T00:00:00+05:30,41.0,41.75,40.7,40.7,4890
2023-02-02T00:00:00+05:30,41.21,41.21,40.01,40.35,7186
2023-02-03T00:00:00+05:30,40.4,46.04,40.4,41.1,2939
2023-02-06T00:00:00+05:30,41.6,41.65,41.1,41.2,8085
2023-02-07T00:00:00+05:30,41.2,41.58,41.2,41.4,3002
2023-02-08T00:00:00+05:30,41.24,41.9,41.24,41.59,3570
2023-02-09T00:00:00+05:30,42.8,42.8,41.1,41.4,804
2023-02-10T00:00:00+05:30,41.4,41.5,41.4,41.5,22
2023-02-13T00:00:00+05:30,41.5,41.7,41.2,41.4,332
2023-02-14T00:00:00+05:30,41.4,41.47,41.15,41.35,1033
2023-02-15T00:00:00+05:30,41.48,41.68,41.3,41.4,2371
2023-02-16T00:00:00+05:30,41.67,41.8,41.5,41.5,1462
2023-02-17T00:00:00+05:30,41.54,41.7,40.94,41.25,8035
2023-02-20T00:00:00+05:30,41.2,41.2,40.8,40.8,3555
2023-02-21T00:00:00+05:30,40.8,40.95,40.6,40.7,844
2023-02-22T00:00:00+05:30,40.7,40.7,40.0,40.05,5616
2023-02-23T00:00:00+05:30,40.0,40.0,39.72,39.95,426
2023-02-24T00:00:00+05:30,40.0,40.2,39.95,39.95,62
2023-02-27T00:00:00+05:30,39.95,40.45,39.95,40.45,298
2023-02-28T00:00:00+05:30,40.35,40.4,40.05,40.1,771
2023-03-01T00:00:00+05:30,40.26,41.52,40.26,41.52,5777
2023-03-02T00:00:00+05:30,40.74,40.75,40.4,40.68,3872
2023-03-03T00:00:00+05:30,40.8,41.25,40.8,41.25,5823
2023-03-06T00:00:00+05:30,41.25,41.74,41.25,41.4,2700
2023-03-08T00:00:00+05:30,41.15,41.45,41.15,41.4,6288
2023-03-09T00:00:00+05:30,41.4,41.6,41.25,41.25,3693
2023-03-10T00:00:00+05:30,42.2,42.2,40.4,40.45,3096
2023-03-13T00:00:00+05:30,41.3,41.3,39.5,39.6,7988
2023-03-14T00:00:00+05:30,40.4,40.4,39.22,39.43,5375
2023-03-15T00:00:00+05:30,40.25,40.25,39.26,39.35,2788
2023-03-16T00:00:00+05:30,39.06,39.98,38.7,39.71,4715
2023-03-17T00:00:00+05:30,39.8,40.0,39.01,39.69,3652
