datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,35.4,36.15,35.4,35.8,20066
2021-03-10T00:00:00+05:30,35.75,36.35,35.75,35.85,24354
2021-03-12T00:00:00+05:30,36.0,36.35,35.05,35.35,22823
2021-03-15T00:00:00+05:30,35.4,35.4,34.3,35.1,20664
2021-03-16T00:00:00+05:30,35.0,35.5,34.75,34.9,9483
2021-03-17T00:00:00+05:30,34.9,35.15,34.1,34.3,11508
2021-03-18T00:00:00+05:30,34.6,34.8,33.35,33.9,10199
2021-03-19T00:00:00+05:30,34.5,34.5,33.15,34.05,22962
2021-03-22T00:00:00+05:30,34.05,34.1,33.45,33.5,6159
2021-03-23T00:00:00+05:30,32.85,34.4,32.85,34.2,8831
2021-03-24T00:00:00+05:30,34.0,34.05,33.15,33.35,7201
2021-03-25T00:00:00+05:30,33.35,33.6,32.35,33.1,23099
2021-03-26T00:00:00+05:30,33.15,33.65,33.1,33.3,2270
2021-03-30T00:00:00+05:30,33.95,33.95,33.3,33.35,25458
2021-03-31T00:00:00+05:30,33.65,33.65,32.7,33.0,6052
2021-04-01T00:00:00+05:30,33.4,34.3,32.8,33.85,26897
2021-04-05T00:00:00+05:30,33.3,33.65,32.35,32.9,105196
2021-04-06T00:00:00+05:30,32.9,39.8,32.3,32.65,9707
2021-04-07T00:00:00+05:30,32.65,33.4,32.4,32.7,8902
2021-04-08T00:00:00+05:30,33.35,33.35,32.75,33.0,7108
2021-04-09T00:00:00+05:30,32.75,33.1,26.4,32.65,12988
2021-04-12T00:00:00+05:30,31.85,31.85,30.65,30.75,54468
2021-04-13T00:00:00+05:30,31.6,31.8,30.45,31.75,13662
2021-04-15T00:00:00+05:30,32.0,32.1,31.25,31.95,7828
2021-04-16T00:00:00+05:30,31.65,32.2,31.65,32.1,2080
2021-04-19T00:00:00+05:30,31.05,31.2,30.5,31.0,35141
2021-04-20T00:00:00+05:30,31.2,31.6,30.9,31.1,6069
2021-04-22T00:00:00+05:30,31.05,31.8,30.3,31.5,7702
2021-04-23T00:00:00+05:30,32.15,32.15,31.2,31.8,4326
2021-04-26T00:00:00+05:30,32.75,32.75,31.9,32.2,20975
2021-04-27T00:00:00+05:30,32.7,32.7,32.1,32.55,15590
2021-04-28T00:00:00+05:30,33.2,33.75,32.55,33.5,11562
2021-04-29T00:00:00+05:30,34.3,34.4,33.4,33.55,10448
2021-04-30T00:00:00+05:30,33.6,33.6,32.5,32.85,13571
2021-05-03T00:00:00+05:30,32.5,32.7,32.05,32.35,7909
2021-05-04T00:00:00+05:30,32.1,33.0,32.0,32.5,7884
2021-05-05T00:00:00+05:30,32.9,33.0,32.5,32.5,2880
2021-05-06T00:00:00+05:30,33.0,33.0,32.4,32.65,1738
2021-05-07T00:00:00+05:30,33.0,33.1,32.6,32.7,3972
2021-05-10T00:00:00+05:30,33.2,33.2,32.65,33.05,10552
2021-05-11T00:00:00+05:30,33.0,33.25,32.35,32.75,8335
2021-05-12T00:00:00+05:30,33.0,33.0,32.35,32.45,6986
2021-05-14T00:00:00+05:30,32.85,32.95,32.1,32.35,1409
2021-05-17T00:00:00+05:30,32.0,33.35,32.0,33.25,9358
2021-05-18T00:00:00+05:30,33.9,34.0,33.4,33.7,16985
2021-05-19T00:00:00+05:30,33.3,34.05,33.3,33.75,6903
2021-05-20T00:00:00+05:30,34.0,34.0,33.2,33.35,4440
2021-05-21T00:00:00+05:30,33.8,34.8,33.3,34.4,17988
2021-05-24T00:00:00+05:30,35.0,35.35,34.4,34.75,10012
2021-05-25T00:00:00+05:30,36.0,36.0,34.4,34.6,14773
2021-05-26T00:00:00+05:30,34.4,35.3,34.35,34.55,3395
2021-05-27T00:00:00+05:30,34.95,35.15,34.25,35.0,8341
2021-05-28T00:00:00+05:30,35.45,35.8,34.5,35.0,16161
2021-05-31T00:00:00+05:30,35.45,35.6,34.85,35.4,9728
2021-06-01T00:00:00+05:30,35.55,35.65,35.15,35.4,1654
2021-06-02T00:00:00+05:30,35.4,35.6,34.9,35.55,32249
2021-06-03T00:00:00+05:30,35.55,35.75,35.2,35.45,9400
2021-06-04T00:00:00+05:30,35.75,35.75,35.3,35.6,14534
2021-06-07T00:00:00+05:30,35.75,35.75,35.4,35.7,4876
2021-06-08T00:00:00+05:30,35.75,35.85,35.15,35.65,8782
2021-06-09T00:00:00+05:30,35.7,35.7,35.2,35.25,12842
2021-06-10T00:00:00+05:30,35.5,35.55,34.7,35.1,7735
2021-06-11T00:00:00+05:30,35.85,35.9,34.95,35.15,3487
2021-06-14T00:00:00+05:30,35.25,35.25,34.3,34.9,7702
2021-06-15T00:00:00+05:30,35.55,35.55,34.8,35.1,4094
2021-06-16T00:00:00+05:30,35.5,35.5,34.85,34.95,3101
2021-06-17T00:00:00+05:30,35.3,35.3,34.4,34.5,6119
2021-06-18T00:00:00+05:30,34.3,35.1,33.85,34.4,13225
