datetime,open,high,low,close,volume
2024-01-29T00:00:00+05:30,46.18,46.18,45.2,45.64,17422
2024-01-30T00:00:00+05:30,50.0,50.7,45.1,45.99,12808
2024-01-31T00:00:00+05:30,46.15,46.15,45.33,45.91,27225
2024-02-01T00:00:00+05:30,45.93,46.68,45.75,46.01,3773
2024-02-02T00:00:00+05:30,47.16,47.16,46.0,46.14,14610
2024-02-05T00:00:00+05:30,47.0,47.0,45.71,46.0,7201
2024-02-06T00:00:00+05:30,46.99,46.99,45.5,45.63,3613
2024-02-07T00:00:00+05:30,46.77,46.77,45.72,46.0,5786
2024-02-08T00:00:00+05:30,45.76,46.38,44.93,44.93,8772
2024-02-09T00:00:00+05:30,46.11,47.26,44.99,45.69,4369
2024-02-12T00:00:00+05:30,50.0,50.0,44.66,44.82,7146
2024-02-13T00:00:00+05:30,45.48,45.69,44.7,45.39,1101929
2024-02-14T00:00:00+05:30,45.38,46.0,44.79,45.89,8408
2024-02-15T00:00:00+05:30,45.71,46.3,45.37,46.28,35772
2024-02-16T00:00:00+05:30,46.28,46.5,46.01,46.35,5847
2024-02-19T00:00:00+05:30,46.3,47.25,46.14,46.49,7589
2024-02-20T00:00:00+05:30,46.41,47.15,46.31,47.08,8669
2024-02-21T00:00:00+05:30,47.28,47.35,46.86,46.91,6915
2024-02-22T00:00:00+05:30,47.04,47.11,46.41,46.96,5224
2024-02-23T00:00:00+05:30,47.95,47.95,46.7,46.82,3908
2024-02-26T00:00:00+05:30,46.82,47.48,46.44,46.6,1949
2024-02-27T00:00:00+05:30,46.6,46.6,46.3,46.6,2446
2024-02-28T00:00:00+05:30,46.6,46.79,45.89,45.91,6354
2024-02-29T00:00:00+05:30,45.91,46.29,45.64,45.96,35566
2024-03-01T00:00:00+05:30,45.99,47.22,45.99,47.18,5992
2024-03-02T00:00:00+05:30,47.38,47.95,47.15,47.3,1099
2024-03-04T00:00:00+05:30,47.3,47.43,47.08,47.28,31180
2024-03-05T00:00:00+05:30,47.95,47.95,47.17,47.6,31587
2024-03-06T00:00:00+05:30,47.59,48.12,47.44,47.74,2539
2024-03-07T00:00:00+05:30,48.0,48.0,47.64,47.83,4129
2024-03-11T00:00:00+05:30,47.75,47.75,47.2,47.3,6569
2024-03-12T00:00:00+05:30,47.3,47.81,47.0,47.36,2194
2024-03-13T00:00:00+05:30,47.46,47.46,46.81,46.86,2588
2024-03-14T00:00:00+05:30,46.86,47.19,46.38,46.74,764
2024-03-15T00:00:00+05:30,46.74,46.82,46.2,46.52,1158
2024-03-18T00:00:00+05:30,48.17,48.17,46.1,46.49,2262
2024-03-19T00:00:00+05:30,46.55,46.55,46.23,46.29,4263
2024-03-20T00:00:00+05:30,46.29,46.45,45.9,46.27,316
2024-03-21T00:00:00+05:30,46.72,46.8,46.48,46.65,480
2024-03-22T00:00:00+05:30,47.97,47.97,46.4,46.84,375995
2024-03-26T00:00:00+05:30,46.84,47.55,46.53,46.59,337821
2024-03-27T00:00:00+05:30,47.75,47.75,46.57,46.88,227529
2024-03-28T00:00:00+05:30,46.88,47.5,46.88,47.02,85197
2024-04-01T00:00:00+05:30,47.2,47.54,47.2,47.48,1242256
2024-04-02T00:00:00+05:30,47.5,47.84,47.35,47.39,3743
2024-04-03T00:00:00+05:30,47.32,47.61,47.16,47.58,50989
2024-04-04T00:00:00+05:30,47.6,48.13,47.6,48.07,1134520
2024-04-05T00:00:00+05:30,48.8,48.8,47.92,48.5,3337
2024-04-08T00:00:00+05:30,48.7,48.7,48.34,48.59,2961
2024-04-09T00:00:00+05:30,48.59,48.9,48.53,48.72,67139
2024-04-10T00:00:00+05:30,48.72,49.01,48.66,48.92,5131
2024-04-12T00:00:00+05:30,49.1,49.1,48.43,48.54,8914
2024-04-15T00:00:00+05:30,48.54,48.54,47.7,47.77,145768
2024-04-16T00:00:00+05:30,47.43,47.55,47.24,47.47,8107
2024-04-18T00:00:00+05:30,47.47,47.81,46.98,47.05,4283
2024-04-19T00:00:00+05:30,46.8,47.54,46.75,47.47,150654
2024-04-22T00:00:00+05:30,47.61,48.03,47.54,47.98,3904
2024-04-23T00:00:00+05:30,47.75,48.03,47.72,47.84,94796
2024-04-24T00:00:00+05:30,47.84,48.22,47.83,48.16,2114
2024-04-25T00:00:00+05:30,48.16,48.57,48.06,48.45,7741
2024-04-26T00:00:00+05:30,48.53,48.53,48.1,48.18,37330
2024-04-29T00:00:00+05:30,47.2,49.35,47.2,49.28,8333
2024-04-30T00:00:00+05:30,50.97,50.97,49.19,49.26,121817
2024-05-02T00:00:00+05:30,49.26,50.25,49.1,49.19,73396
2024-05-03T00:00:00+05:30,50.0,50.0,48.68,48.86,37661
2024-05-06T00:00:00+05:30,48.86,49.24,48.67,48.87,62232
2024-05-07T00:00:00+05:30,48.87,48.87,48.13,48.21,31197
2024-05-08T00:00:00+05:30,48.21,48.22,47.87,48.01,25048
2024-05-09T00:00:00+05:30,48.01,48.18,47.46,47.48,47098
2024-05-10T00:00:00+05:30,47.48,47.8,47.3,47.4,33638
2024-05-13T00:00:00+05:30,47.41,47.98,47.19,47.7,38801
2024-05-14T00:00:00+05:30,47.82,48.05,47.71,47.97,4107
2024-05-15T00:00:00+05:30,48.09,48.09,47.62,47.8,30710
2024-05-16T00:00:00+05:30,47.9,48.19,47.43,48.12,1629
2024-05-17T00:00:00+05:30,48.12,48.33,47.75,48.27,41870
2024-05-18T00:00:00+05:30,48.35,48.38,48.35,48.35,117
2024-05-21T00:00:00+05:30,48.35,48.39,48.06,48.2,47731
2024-05-22T00:00:00+05:30,48.2,48.2,47.6,47.96,7882
2024-05-23T00:00:00+05:30,48.2,48.95,48.2,48.93,7427
2024-05-24T00:00:00+05:30,48.94,49.32,48.79,49.2,57701
2024-05-27T00:00:00+05:30,49.2,50.7,49.2,49.4,8068
2024-05-28T00:00:00+05:30,49.71,50.0,49.11,49.31,44054
2024-05-29T00:00:00+05:30,49.32,49.32,48.66,48.75,5488
2024-05-30T00:00:00+05:30,49.01,49.34,48.61,49.13,94981
2024-05-31T00:00:00+05:30,49.13,49.29,48.71,49.24,3112
2024-06-03T00:00:00+05:30,49.24,51.38,49.24,51.08,72316
2024-06-04T00:00:00+05:30,50.47,52.0,46.75,50.47,49198
2024-06-05T00:00:00+05:30,50.5,60.0,46.63,56.77,118223
2024-06-06T00:00:00+05:30,50.5,50.5,49.16,49.54,396299
2024-06-07T00:00:00+05:30,49.55,51.01,49.31,49.93,93042
2024-06-10T00:00:00+05:30,49.93,51.0,49.87,49.94,52725
2024-06-11T00:00:00+05:30,49.96,50.17,49.68,49.87,64985
