datetime,open,high,low,close,volume
2023-07-26T00:00:00+05:30,461.3,553.25,457.33,480.0,467
2023-07-27T00:00:00+05:30,462.0,469.6,456.31,457.68,26848
2023-07-28T00:00:00+05:30,457.68,457.68,453.3,453.78,1305
2023-07-31T00:00:00+05:30,454.9,456.77,453.08,456.77,407
2023-08-01T00:00:00+05:30,455.8,456.95,454.15,454.33,460
2023-08-02T00:00:00+05:30,454.3,454.3,447.51,450.79,25987
2023-08-03T00:00:00+05:30,450.12,450.12,444.0,446.24,1909
2023-08-04T00:00:00+05:30,446.5,458.0,445.7,452.79,5440
2023-08-07T00:00:00+05:30,448.0,454.0,446.97,453.99,246
2023-08-08T00:00:00+05:30,449.3,455.6,447.35,454.8,185
2023-08-09T00:00:00+05:30,448.3,449.5,446.0,449.23,1642
2023-08-10T00:00:00+05:30,447.29,448.76,444.0,444.0,247
2023-08-11T00:00:00+05:30,444.0,453.0,443.17,443.17,1617
2023-08-14T00:00:00+05:30,448.0,448.0,439.02,441.04,900
2023-08-16T00:00:00+05:30,437.68,440.15,437.27,439.43,1592
2023-08-17T00:00:00+05:30,439.3,441.15,438.01,439.62,318
2023-08-18T00:00:00+05:30,438.3,440.15,438.3,440.15,10297
2023-08-21T00:00:00+05:30,459.92,459.92,439.92,439.92,1476
2023-08-22T00:00:00+05:30,460.15,460.15,440.02,441.34,1263
2023-08-23T00:00:00+05:30,439.01,445.9,439.01,445.9,338
2023-08-24T00:00:00+05:30,454.78,454.78,445.3,446.26,204
2023-08-25T00:00:00+05:30,443.09,444.46,441.0,442.68,354
2023-08-28T00:00:00+05:30,443.6,447.0,443.6,447.0,120
2023-08-29T00:00:00+05:30,445.3,446.59,444.49,444.49,749
2023-08-30T00:00:00+05:30,446.1,449.0,442.0,449.0,251
2023-08-31T00:00:00+05:30,443.52,447.6,440.0,440.0,1251
2023-09-01T00:00:00+05:30,442.82,445.59,439.76,444.02,384
2023-09-04T00:00:00+05:30,444.85,446.79,444.0,445.65,820
2023-09-05T00:00:00+05:30,446.88,446.88,445.0,446.67,255
2023-09-06T00:00:00+05:30,446.3,446.3,443.38,445.91,488
2023-09-07T00:00:00+05:30,445.31,449.52,444.44,449.33,656
2023-09-08T00:00:00+05:30,449.0,454.29,448.98,452.21,1947
2023-09-11T00:00:00+05:30,456.98,458.0,452.6,458.0,3666
2023-09-12T00:00:00+05:30,459.98,459.98,453.88,453.95,998
2023-09-13T00:00:00+05:30,454.31,460.0,453.31,457.5,1350
2023-09-14T00:00:00+05:30,468.85,468.85,459.31,461.0,1663
2023-09-15T00:00:00+05:30,460.81,463.0,460.55,462.08,18889
2023-09-18T00:00:00+05:30,461.3,461.84,458.43,459.8,1895
2023-09-20T00:00:00+05:30,459.96,459.96,454.0,455.42,2088
2023-09-21T00:00:00+05:30,452.53,452.6,446.32,447.7,4595
2023-09-22T00:00:00+05:30,450.21,450.21,445.3,445.3,3308
2023-09-25T00:00:00+05:30,454.0,454.0,441.0,448.08,3685
2023-09-26T00:00:00+05:30,447.3,447.59,445.28,445.61,417
2023-09-27T00:00:00+05:30,445.3,447.0,442.59,445.44,459
2023-09-28T00:00:00+05:30,445.31,448.99,445.0,445.94,886
2023-09-29T00:00:00+05:30,446.0,448.41,445.81,448.41,198
2023-10-03T00:00:00+05:30,457.14,457.14,442.5,444.0,1583
2023-10-04T00:00:00+05:30,444.5,444.5,440.0,442.41,1445
2023-10-05T00:00:00+05:30,441.62,444.77,441.62,443.56,618
2023-10-06T00:00:00+05:30,443.99,445.88,443.31,445.05,3097
2023-10-09T00:00:00+05:30,439.51,441.11,438.45,440.29,1369
2023-10-10T00:00:00+05:30,441.0,445.59,440.78,445.11,5038
2023-10-11T00:00:00+05:30,445.26,447.47,444.82,446.99,156
2023-10-12T00:00:00+05:30,447.6,447.81,445.3,445.3,743
2023-10-13T00:00:00+05:30,454.0,454.0,442.31,443.0,521
2023-10-16T00:00:00+05:30,443.01,444.39,441.85,443.48,837
2023-10-17T00:00:00+05:30,444.11,445.89,443.31,443.31,154
2023-10-18T00:00:00+05:30,445.8,464.77,421.0,440.48,5716
2023-10-19T00:00:00+05:30,440.31,440.99,437.56,439.05,1529
2023-10-20T00:00:00+05:30,439.0,439.26,437.31,438.63,938
2023-10-23T00:00:00+05:30,451.0,457.78,430.23,432.5,3746
2023-10-25T00:00:00+05:30,433.6,434.99,428.72,428.92,336359
2023-10-26T00:00:00+05:30,427.61,454.2,422.5,454.2,7902
2023-10-27T00:00:00+05:30,425.0,429.77,425.0,429.45,1691
2023-10-30T00:00:00+05:30,429.31,431.0,425.01,431.0,751
2023-10-31T00:00:00+05:30,431.59,433.99,428.2,429.14,1191
2023-11-01T00:00:00+05:30,429.6,429.65,427.15,428.71,5489
2023-11-02T00:00:00+05:30,430.26,432.99,428.95,431.88,880
2023-11-03T00:00:00+05:30,431.85,433.99,431.84,433.98,448
2023-11-06T00:00:00+05:30,433.0,437.49,433.0,437.43,521
2023-11-07T00:00:00+05:30,436.3,437.83,432.2,437.83,80451
2023-11-08T00:00:00+05:30,436.31,437.59,435.36,435.69,30664
2023-11-09T00:00:00+05:30,436.31,438.61,435.76,437.39,30766
2023-11-10T00:00:00+05:30,437.05,438.15,434.55,438.15,530
2023-11-12T00:00:00+05:30,440.6,441.99,437.24,438.0,970
2023-11-13T00:00:00+05:30,438.31,438.69,435.02,437.0,10656
2023-11-15T00:00:00+05:30,437.58,442.11,437.58,441.76,5125
2023-11-16T00:00:00+05:30,442.16,444.0,440.72,440.72,11197
2023-11-17T00:00:00+05:30,450.3,450.3,436.0,436.36,3061
2023-11-20T00:00:00+05:30,435.37,437.8,434.06,436.68,884
2023-11-21T00:00:00+05:30,436.68,437.59,436.02,437.45,1031
2023-11-22T00:00:00+05:30,437.14,437.14,433.0,435.76,1003
2023-11-23T00:00:00+05:30,435.3,436.51,434.79,436.51,1181
2023-11-24T00:00:00+05:30,436.58,438.23,434.99,438.23,1739
2023-11-28T00:00:00+05:30,440.2,440.2,437.31,439.7,339
2023-11-29T00:00:00+05:30,439.66,445.17,439.66,445.07,11568
2023-11-30T00:00:00+05:30,445.15,446.47,442.35,444.42,677
2023-12-01T00:00:00+05:30,446.49,449.59,445.58,448.0,27190
2023-12-04T00:00:00+05:30,456.75,465.6,453.77,465.6,70788
2023-12-05T00:00:00+05:30,465.98,472.59,465.91,470.5,7579
2023-12-06T00:00:00+05:30,471.25,471.26,467.65,469.47,6088
2023-12-07T00:00:00+05:30,462.0,470.0,460.34,468.25,3706
2023-12-08T00:00:00+05:30,468.24,474.5,468.04,474.5,2467
2023-12-11T00:00:00+05:30,477.35,480.01,470.0,472.9,8340
2023-12-12T00:00:00+05:30,474.0,474.59,469.93,471.57,1193
2023-12-13T00:00:00+05:30,471.3,472.37,469.15,471.09,1432
2023-12-14T00:00:00+05:30,479.98,490.0,475.81,478.76,8575
2023-12-15T00:00:00+05:30,478.76,481.55,476.0,481.0,7930
2023-12-18T00:00:00+05:30,480.66,481.0,477.32,477.61,79980
2023-12-19T00:00:00+05:30,477.99,480.46,476.2,479.6,2172
2023-12-20T00:00:00+05:30,488.65,488.65,470.65,473.65,1333
2023-12-21T00:00:00+05:30,465.2,479.95,465.2,477.69,5296
2023-12-22T00:00:00+05:30,478.3,480.59,474.62,474.8,1404
2023-12-26T00:00:00+05:30,496.51,496.51,474.5,476.72,1059
2023-12-27T00:00:00+05:30,481.98,483.29,477.0,482.11,1323
2023-12-28T00:00:00+05:30,482.6,485.99,482.0,484.11,3952
2023-12-29T00:00:00+05:30,483.34,483.47,480.03,483.35,4678
2024-01-01T00:00:00+05:30,482.51,485.33,480.27,482.0,1317
2024-01-02T00:00:00+05:30,484.57,489.41,478.0,489.41,1444
2024-01-03T00:00:00+05:30,485.29,485.29,474.68,478.48,1692
2024-01-04T00:00:00+05:30,478.51,482.9,478.51,482.9,1008
2024-01-05T00:00:00+05:30,482.4,484.28,478.5,482.33,2589
2024-01-08T00:00:00+05:30,482.32,482.32,474.01,475.56,4807
2024-01-09T00:00:00+05:30,476.01,479.88,471.56,473.33,3554
2024-01-10T00:00:00+05:30,474.3,475.0,471.3,475.0,504
2024-01-11T00:00:00+05:30,474.48,476.8,472.31,475.53,1074
2024-01-12T00:00:00+05:30,475.3,479.43,475.2,478.4,606
2024-01-15T00:00:00+05:30,481.08,483.28,478.59,483.23,3602
2024-01-16T00:00:00+05:30,482.16,483.88,480.02,482.1,809
2024-01-17T00:00:00+05:30,479.0,479.0,460.05,465.01,41306
2024-01-18T00:00:00+05:30,461.86,462.59,456.0,458.2,15858
2024-01-19T00:00:00+05:30,477.7,477.7,456.87,458.42,13421
2024-01-20T00:00:00+05:30,459.12,462.47,457.31,462.16,4890
2024-01-23T00:00:00+05:30,467.98,467.98,449.35,458.0,11669
2024-01-24T00:00:00+05:30,451.01,456.0,446.93,451.92,11279
2024-01-25T00:00:00+05:30,472.27,472.27,445.5,451.2,10522
2024-01-29T00:00:00+05:30,467.7,467.7,451.87,455.88,5889
2024-01-30T00:00:00+05:30,454.54,456.49,452.37,454.0,4084
