datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,36.47,36.47,35.34,35.53,74219
2021-03-10T00:00:00+05:30,36.47,36.47,35.54,35.66,279019
2021-03-12T00:00:00+05:30,40.29,40.29,34.99,35.21,120849
2021-03-15T00:00:00+05:30,38.38,38.38,34.21,34.92,65559
2021-03-16T00:00:00+05:30,35.97,35.97,34.6,34.66,18999
2021-03-17T00:00:00+05:30,35.77,35.77,34.0,34.11,42509
2021-03-18T00:00:00+05:30,34.79,34.79,33.44,33.56,51279
2021-03-19T00:00:00+05:30,32.21,34.4,32.21,33.9,44739
2021-03-22T00:00:00+05:30,34.6,34.6,32.57,33.39,41789
2021-03-23T00:00:00+05:30,34.1,34.15,33.4,33.93,528849
2021-03-24T00:00:00+05:30,34.6,34.6,33.09,33.16,58039
2021-03-25T00:00:00+05:30,33.9,33.9,32.25,32.87,73879
2021-03-26T00:00:00+05:30,33.5,33.6,33.05,33.22,371249
2021-03-30T00:00:00+05:30,33.85,33.87,31.89,33.71,114959
2021-03-31T00:00:00+05:30,34.45,34.45,33.0,33.05,137219
2021-04-01T00:00:00+05:30,33.7,33.77,32.95,33.59,70959
2021-04-05T00:00:00+05:30,33.59,33.59,32.17,32.54,193699
2021-04-06T00:00:00+05:30,33.2,33.2,32.27,32.34,571909
2021-04-07T00:00:00+05:30,32.9,32.98,32.04,32.82,237869
2021-04-08T00:00:00+05:30,33.4,33.4,32.57,32.61,87459
2021-04-09T00:00:00+05:30,33.2,33.2,32.2,32.32,84389
2021-04-12T00:00:00+05:30,32.9,32.9,30.38,30.65,320249
2021-04-13T00:00:00+05:30,31.2,31.71,28.5,31.61,74009
2021-04-15T00:00:00+05:30,32.2,32.2,31.3,32.02,98279
2021-04-16T00:00:00+05:30,32.6,32.6,31.84,31.87,37779
2021-04-19T00:00:00+05:30,32.4,32.4,29.0,31.08,207869
2021-04-20T00:00:00+05:30,31.6,31.6,30.8,31.0,32819
2021-04-22T00:00:00+05:30,31.5,31.58,29.6,31.55,211609
2021-04-23T00:00:00+05:30,31.55,31.95,31.2,31.51,2202109
2021-04-26T00:00:00+05:30,32.0,32.36,31.13,32.03,160499
2021-04-27T00:00:00+05:30,32.23,32.54,32.0,32.5,109579
2021-04-28T00:00:00+05:30,33.0,33.55,32.66,33.46,171629
2021-04-29T00:00:00+05:30,34.5,34.5,33.09,33.41,213079
2021-04-30T00:00:00+05:30,34.77,34.77,32.49,32.6,2916689
2021-05-03T00:00:00+05:30,33.2,33.2,31.62,32.28,222589
2021-05-04T00:00:00+05:30,32.8,32.8,31.96,32.05,42869
2021-05-05T00:00:00+05:30,32.5,32.68,31.99,32.56,150619
2021-05-06T00:00:00+05:30,33.0,33.0,32.41,32.56,29059
2021-05-07T00:00:00+05:30,38.41,38.41,32.54,32.64,49939
2021-05-10T00:00:00+05:30,33.1,33.1,32.8,32.86,91119
2021-05-11T00:00:00+05:30,33.3,33.3,32.42,32.58,30739
2021-05-12T00:00:00+05:30,33.0,33.0,32.05,32.23,315789
2021-05-14T00:00:00+05:30,37.06,37.06,31.91,31.96,34409
2021-05-17T00:00:00+05:30,32.4,33.21,29.72,33.21,285429
2021-05-18T00:00:00+05:30,37.52,37.52,30.88,33.68,204599
2021-05-19T00:00:00+05:30,38.73,38.73,33.35,33.42,136029
2021-05-20T00:00:00+05:30,34.4,34.4,33.06,33.11,117589
2021-05-21T00:00:00+05:30,36.09,36.09,33.34,34.34,140209
2021-05-24T00:00:00+05:30,31.25,39.49,31.25,34.86,1833989
2021-05-25T00:00:00+05:30,40.09,40.09,34.25,34.5,247909
2021-05-26T00:00:00+05:30,40.0,40.0,34.3,34.52,75609
2021-05-27T00:00:00+05:30,40.0,40.0,34.34,34.89,181439
2021-05-28T00:00:00+05:30,35.97,35.97,31.75,35.02,673329
2021-05-31T00:00:00+05:30,36.0,36.0,34.7,35.23,131509
2021-06-01T00:00:00+05:30,38.39,38.39,35.01,35.1,82329
2021-06-02T00:00:00+05:30,36.47,36.47,34.88,35.18,89039
2021-06-03T00:00:00+05:30,38.35,38.35,35.18,35.38,115429
2021-06-04T00:00:00+05:30,36.41,36.41,35.0,35.22,284999
2021-06-07T00:00:00+05:30,36.37,36.37,33.1,35.21,78599
2021-06-08T00:00:00+05:30,32.04,38.38,32.04,34.84,57429
2021-06-09T00:00:00+05:30,39.36,39.36,34.44,34.57,42319
2021-06-10T00:00:00+05:30,37.68,37.68,32.15,34.89,64169
2021-06-11T00:00:00+05:30,36.37,36.37,34.69,34.8,58769
2021-06-14T00:00:00+05:30,37.93,37.93,34.17,34.7,68049
2021-06-15T00:00:00+05:30,35.7,35.7,34.69,34.98,38659
2021-06-16T00:00:00+05:30,35.97,35.97,34.7,34.74,86759
2021-06-17T00:00:00+05:30,35.7,35.7,34.2,34.4,106969
2021-06-18T00:00:00+05:30,34.44,34.52,33.71,34.3,203779
2021-06-21T00:00:00+05:30,33.83,34.7,33.72,34.64,33959
2021-06-22T00:00:00+05:30,35.77,35.77,31.52,34.51,14138089
2021-06-23T00:00:00+05:30,35.77,35.77,32.44,34.42,33709
2021-06-24T00:00:00+05:30,35.57,35.57,34.3,34.66,34989
2021-06-25T00:00:00+05:30,37.78,37.78,32.24,35.15,34579
2021-06-28T00:00:00+05:30,38.31,38.31,34.1,35.16,127359
2021-06-29T00:00:00+05:30,35.3,35.3,34.84,34.89,23209
2021-06-30T00:00:00+05:30,35.2,35.2,34.65,34.67,78739
2021-07-01T00:00:00+05:30,35.77,35.77,34.47,34.58,50159
2021-07-02T00:00:00+05:30,35.67,35.67,34.52,34.65,114839
2021-07-05T00:00:00+05:30,35.47,35.47,31.53,35.03,26969
2021-07-06T00:00:00+05:30,35.34,35.57,34.73,35.38,70259
2021-07-07T00:00:00+05:30,35.7,35.7,35.24,35.52,48779
2021-07-08T00:00:00+05:30,35.8,35.8,35.03,35.12,32599
2021-07-09T00:00:00+05:30,35.96,35.96,34.77,35.01,127529
2021-07-12T00:00:00+05:30,36.47,36.47,31.85,35.03,49479
2021-07-13T00:00:00+05:30,35.44,35.51,34.73,35.46,112789
2021-07-14T00:00:00+05:30,40.06,40.06,35.25,35.47,35969
2021-07-15T00:00:00+05:30,36.26,36.26,35.52,35.78,251809
2021-07-16T00:00:00+05:30,36.08,36.08,35.56,35.63,96229
2021-07-19T00:00:00+05:30,35.4,35.4,34.21,34.99,33059
2021-07-20T00:00:00+05:30,35.9,35.9,34.28,34.32,106219
2021-07-22T00:00:00+05:30,39.46,39.46,34.0,34.56,104079
2021-07-23T00:00:00+05:30,35.0,35.0,34.3,34.83,69709
2021-07-26T00:00:00+05:30,34.9,34.95,34.57,34.77,109229
2021-07-27T00:00:00+05:30,35.2,35.3,34.56,34.63,20779
2021-07-28T00:00:00+05:30,33.24,35.47,33.17,34.45,33749
2021-07-29T00:00:00+05:30,37.54,37.54,34.41,34.55,8819
2021-07-30T00:00:00+05:30,35.4,35.4,34.36,34.46,52159
2021-08-02T00:00:00+05:30,37.56,37.56,31.36,34.57,79559
2021-08-03T00:00:00+05:30,36.47,36.47,34.57,35.04,98179
2021-08-04T00:00:00+05:30,38.19,38.19,34.91,35.83,150179
2021-08-05T00:00:00+05:30,36.6,36.6,35.52,35.68,28759
2021-08-06T00:00:00+05:30,36.97,36.97,32.46,35.71,147889
2021-08-09T00:00:00+05:30,41.07,41.07,35.47,35.87,38249
2021-08-10T00:00:00+05:30,36.1,36.11,35.51,35.91,70679
2021-08-11T00:00:00+05:30,34.17,36.97,34.17,35.68,146789
2021-08-12T00:00:00+05:30,35.41,35.85,35.41,35.84,74739
2021-08-13T00:00:00+05:30,37.77,37.77,34.37,35.99,518039
2021-08-16T00:00:00+05:30,36.97,36.97,35.84,35.91,24849
2021-08-17T00:00:00+05:30,36.98,36.98,35.56,35.74,88639
2021-08-18T00:00:00+05:30,36.1,36.1,35.38,35.53,50559
2021-08-20T00:00:00+05:30,35.8,35.84,34.66,34.94,64319
2021-08-23T00:00:00+05:30,34.9,35.97,34.5,35.04,23509
2021-08-24T00:00:00+05:30,35.4,35.64,34.5,35.57,23349
2021-08-25T00:00:00+05:30,36.97,36.97,35.43,35.5,34879
