datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,36.1,36.36,35.87,36.17,363880
2021-03-10T00:00:00+05:30,37.0,37.0,36.11,36.34,1298850
2021-03-12T00:00:00+05:30,37.43,38.52,35.5,35.84,668590
2021-03-15T00:00:00+05:30,35.58,35.76,34.83,35.54,2108040
2021-03-16T00:00:00+05:30,37.67,37.67,34.84,35.14,2597910
2021-03-17T00:00:00+05:30,35.7,35.7,34.38,34.47,5506170
2021-03-18T00:00:00+05:30,34.86,34.98,33.82,34.08,5898980
2021-03-19T00:00:00+05:30,33.7,34.55,33.52,34.2,1302970
2021-03-22T00:00:00+05:30,34.2,34.7,33.65,33.91,1048370
2021-03-23T00:00:00+05:30,35.94,35.94,33.88,34.49,1562770
2021-03-24T00:00:00+05:30,34.22,34.23,33.47,33.54,11549060
2021-03-25T00:00:00+05:30,33.48,33.9,32.83,33.38,15890780
2021-03-26T00:00:00+05:30,34.0,34.0,33.52,33.69,514000
2021-03-30T00:00:00+05:30,33.69,34.32,33.69,34.08,1366580
2021-03-31T00:00:00+05:30,34.03,34.03,33.5,34.0,3267330
2021-04-01T00:00:00+05:30,34.3,34.8,33.7,34.74,2215020
2021-04-05T00:00:00+05:30,33.45,34.32,32.41,33.03,2583560
2021-04-06T00:00:00+05:30,33.4,33.4,32.6,32.83,2754980
2021-04-07T00:00:00+05:30,32.83,33.45,32.6,33.27,1883180
2021-04-08T00:00:00+05:30,33.4,33.55,33.02,33.1,3053550
2021-04-09T00:00:00+05:30,32.65,33.3,32.65,32.76,740690
2021-04-12T00:00:00+05:30,32.43,32.43,30.79,31.13,3050140
2021-04-13T00:00:00+05:30,31.47,32.16,31.07,32.06,489230
2021-04-15T00:00:00+05:30,31.1,32.5,30.14,32.44,10005140
2021-04-16T00:00:00+05:30,32.4,32.69,32.21,32.3,231730
2021-04-19T00:00:00+05:30,32.56,32.56,30.77,31.51,778260
2021-04-20T00:00:00+05:30,32.03,32.03,31.22,31.42,853660
2021-04-22T00:00:00+05:30,31.0,32.09,30.84,32.04,1212850
2021-04-23T00:00:00+05:30,32.43,32.43,31.65,32.03,1950090
2021-04-26T00:00:00+05:30,32.99,33.95,32.4,32.54,4391700
2021-04-27T00:00:00+05:30,33.6,33.6,32.47,32.96,1200860
2021-04-28T00:00:00+05:30,33.06,34.0,33.06,33.95,910100
2021-04-29T00:00:00+05:30,34.13,34.47,33.5,33.82,1868140
2021-04-30T00:00:00+05:30,33.33,33.66,32.84,32.95,4864960
2021-05-03T00:00:00+05:30,32.95,33.94,32.1,32.7,1652160
2021-05-04T00:00:00+05:30,31.72,33.25,31.72,32.5,558890
2021-05-05T00:00:00+05:30,32.82,33.13,32.4,33.07,313070
2021-05-06T00:00:00+05:30,33.15,33.15,32.8,33.0,485090
2021-05-07T00:00:00+05:30,33.25,33.42,32.97,33.09,689490
2021-05-10T00:00:00+05:30,35.07,35.07,33.24,33.33,454240
2021-05-11T00:00:00+05:30,33.25,33.33,32.83,33.03,835150
2021-05-12T00:00:00+05:30,32.69,32.91,32.15,32.65,2088900
2021-05-14T00:00:00+05:30,32.65,32.82,32.35,32.39,836140
2021-05-17T00:00:00+05:30,30.45,33.67,30.45,33.66,853930
2021-05-18T00:00:00+05:30,33.8,34.33,33.8,34.16,1979790
2021-05-19T00:00:00+05:30,33.97,34.18,33.82,33.92,1165610
2021-05-20T00:00:00+05:30,34.0,34.04,33.55,33.63,389100
2021-05-21T00:00:00+05:30,33.94,34.93,33.11,34.81,829960
2021-05-24T00:00:00+05:30,35.13,35.46,34.7,35.17,2103690
2021-05-25T00:00:00+05:30,35.17,35.75,34.71,35.01,2727660
2021-05-26T00:00:00+05:30,35.6,35.6,34.79,35.02,540340
2021-05-27T00:00:00+05:30,35.07,35.5,34.83,35.36,3894240
2021-05-28T00:00:00+05:30,35.78,35.78,35.3,35.5,1332820
2021-05-31T00:00:00+05:30,37.6,37.6,35.25,35.69,1067400
2021-06-01T00:00:00+05:30,35.8,35.95,35.5,35.6,457010
2021-06-02T00:00:00+05:30,35.47,35.7,35.35,35.67,443680
2021-06-03T00:00:00+05:30,35.7,35.99,35.7,35.88,699880
2021-06-04T00:00:00+05:30,35.9,36.05,35.51,35.57,4167850
2021-06-07T00:00:00+05:30,35.73,35.8,35.6,35.71,693060
2021-06-08T00:00:00+05:30,35.6,35.65,35.24,35.34,1556730
2021-06-09T00:00:00+05:30,35.31,35.62,34.92,35.02,2736150
2021-06-10T00:00:00+05:30,35.1,35.43,35.0,35.35,661250
2021-06-11T00:00:00+05:30,35.45,35.55,35.16,35.25,850880
2021-06-14T00:00:00+05:30,35.19,35.22,34.62,35.2,1537930
2021-06-15T00:00:00+05:30,35.27,35.53,35.27,35.45,3994860
2021-06-16T00:00:00+05:30,35.29,35.61,35.2,35.25,688370
2021-06-17T00:00:00+05:30,35.1,35.1,34.68,34.86,4599020
2021-06-18T00:00:00+05:30,35.0,35.0,34.19,34.84,548810
2021-06-21T00:00:00+05:30,34.58,35.18,34.21,35.14,441720
2021-06-22T00:00:00+05:30,35.4,35.5,34.93,35.0,1646080
2021-06-23T00:00:00+05:30,35.21,35.21,34.85,34.9,1926280
2021-06-24T00:00:00+05:30,34.85,35.26,34.85,35.14,1308770
2021-06-25T00:00:00+05:30,35.31,35.76,35.2,35.59,4866910
2021-06-28T00:00:00+05:30,35.77,35.8,35.5,35.64,1254250
2021-06-29T00:00:00+05:30,35.5,35.59,35.27,35.38,852460
2021-06-30T00:00:00+05:30,35.3,35.58,35.15,35.17,3261900
2021-07-01T00:00:00+05:30,35.08,35.25,35.04,35.05,1557930
2021-07-02T00:00:00+05:30,35.17,35.24,35.03,35.16,1156860
2021-07-05T00:00:00+05:30,33.05,35.54,33.05,35.52,938740
2021-07-06T00:00:00+05:30,35.52,36.07,35.45,35.83,2785450
2021-07-07T00:00:00+05:30,35.83,36.08,35.67,36.01,815620
2021-07-08T00:00:00+05:30,38.17,38.17,35.52,35.65,1837420
2021-07-09T00:00:00+05:30,33.51,36.16,33.51,35.46,1983530
2021-07-12T00:00:00+05:30,35.54,35.77,35.41,35.53,688830
2021-07-13T00:00:00+05:30,35.7,36.0,35.69,35.94,722140
2021-07-14T00:00:00+05:30,36.16,36.16,35.8,35.99,1158400
2021-07-15T00:00:00+05:30,35.4,36.29,35.4,36.24,722130
2021-07-16T00:00:00+05:30,36.59,36.59,35.98,36.11,886250
2021-07-19T00:00:00+05:30,35.8,35.8,35.3,35.44,2314280
2021-07-20T00:00:00+05:30,36.5,36.5,34.74,34.79,751110
2021-07-22T00:00:00+05:30,35.1,35.32,34.89,35.04,4451110
2021-07-23T00:00:00+05:30,35.04,35.4,34.63,35.34,4184880
2021-07-26T00:00:00+05:30,39.93,39.93,35.05,35.24,1205310
2021-07-27T00:00:00+05:30,35.51,35.59,35.07,35.11,1725420
2021-07-28T00:00:00+05:30,35.18,35.18,34.51,34.91,871550
2021-07-29T00:00:00+05:30,35.25,35.25,34.9,34.99,430920
2021-07-30T00:00:00+05:30,35.2,35.2,34.73,34.93,325500
2021-08-02T00:00:00+05:30,35.2,35.2,34.95,35.03,708540
2021-08-03T00:00:00+05:30,35.4,35.54,35.03,35.51,882220
2021-08-04T00:00:00+05:30,35.7,36.5,35.59,36.31,2497860
2021-08-05T00:00:00+05:30,36.31,36.4,36.0,36.2,1646180
2021-08-06T00:00:00+05:30,36.5,36.5,35.8,36.2,12520100
2021-08-09T00:00:00+05:30,36.9,36.9,36.14,36.36,1176360
2021-08-10T00:00:00+05:30,36.8,36.8,36.26,36.36,450310
2021-08-11T00:00:00+05:30,35.27,36.6,34.17,36.19,1352470
2021-08-12T00:00:00+05:30,36.44,36.44,36.07,36.32,863830
2021-08-13T00:00:00+05:30,36.6,36.6,36.25,36.5,1434370
2021-08-16T00:00:00+05:30,37.6,37.6,36.0,36.42,552930
2021-08-17T00:00:00+05:30,36.4,36.4,36.02,36.26,972280
2021-08-18T00:00:00+05:30,36.6,36.6,35.81,35.94,1466300
2021-08-20T00:00:00+05:30,35.94,35.94,35.34,35.4,1303370
2021-08-23T00:00:00+05:30,36.1,36.1,35.22,35.49,1492780
2021-08-24T00:00:00+05:30,36.0,36.14,35.31,36.0,490860
2021-08-25T00:00:00+05:30,36.3,36.3,35.91,35.95,973420
2021-08-26T00:00:00+05:30,36.0,36.15,35.79,36.0,1013320
2021-08-27T00:00:00+05:30,35.91,36.27,35.8,36.18,18579490
2021-08-30T00:00:00+05:30,36.3,36.8,36.19,36.75,1318150
2021-08-31T00:00:00+05:30,36.76,36.95,36.65,36.84,1361360
2021-09-01T00:00:00+05:30,37.05,37.35,36.8,36.98,3637040
2021-09-02T00:00:00+05:30,39.2,39.2,35.88,37.24,1742190
2021-09-03T00:00:00+05:30,37.24,38.33,37.03,37.26,3365530
2021-09-06T00:00:00+05:30,37.5,37.5,36.55,37.07,3207170
2021-09-07T00:00:00+05:30,36.51,37.37,36.48,36.79,18257720
2021-09-08T00:00:00+05:30,37.35,37.35,36.52,37.11,1721010
2021-09-09T00:00:00+05:30,37.2,37.2,36.88,36.98,2474590
2021-09-13T00:00:00+05:30,37.69,37.69,36.67,36.81,1867340
2021-09-14T00:00:00+05:30,39.02,39.02,36.8,36.99,2165700
2021-09-15T00:00:00+05:30,36.99,37.3,36.87,37.2,1936530
2021-09-16T00:00:00+05:30,37.6,38.09,37.2,38.03,2911480
2021-09-17T00:00:00+05:30,38.15,38.43,29.89,38.02,11285910
2021-09-20T00:00:00+05:30,40.3,40.3,37.46,37.57,9769350
2021-09-21T00:00:00+05:30,37.35,37.7,36.95,37.58,1331440
2021-09-22T00:00:00+05:30,38.0,38.0,37.3,37.35,175170
2021-09-23T00:00:00+05:30,38.0,38.16,37.36,38.14,642700
2021-09-24T00:00:00+05:30,38.14,38.5,38.02,38.15,968740
2021-09-27T00:00:00+05:30,38.5,39.1,38.15,38.54,831450
2021-09-28T00:00:00+05:30,39.1,39.1,37.68,38.35,4246570
2021-09-29T00:00:00+05:30,38.5,38.5,37.75,38.16,632740
2021-09-30T00:00:00+05:30,38.16,38.51,37.82,37.89,494030
2021-10-01T00:00:00+05:30,37.9,37.9,37.4,37.64,463880
2021-10-04T00:00:00+05:30,38.0,38.35,37.6,38.04,1438300
2021-10-05T00:00:00+05:30,38.1,38.19,37.82,38.15,418740
2021-10-06T00:00:00+05:30,37.8,38.48,37.8,37.88,3489100
2021-10-07T00:00:00+05:30,37.5,38.5,37.5,38.12,216300
2021-10-08T00:00:00+05:30,38.5,38.82,38.04,38.12,222240
2021-10-11T00:00:00+05:30,38.77,38.8,38.22,38.61,1044240
2021-10-12T00:00:00+05:30,38.7,38.92,38.51,38.82,287810
2021-10-13T00:00:00+05:30,39.49,39.49,38.82,38.94,1520600
2021-10-14T00:00:00+05:30,39.0,39.7,39.0,39.65,727380
2021-10-18T00:00:00+05:30,39.65,40.31,39.65,40.1,1362070
2021-10-19T00:00:00+05:30,42.51,42.51,39.82,40.02,2395940
2021-10-20T00:00:00+05:30,40.02,40.2,39.7,39.98,2362610
2021-10-21T00:00:00+05:30,40.4,40.67,39.9,40.49,11339210
2021-10-22T00:00:00+05:30,41.7,42.01,40.54,41.38,4318650
2021-10-25T00:00:00+05:30,42.97,42.97,38.89,41.6,2951100
2021-10-26T00:00:00+05:30,41.6,41.8,41.24,41.59,5627000
2021-10-27T00:00:00+05:30,41.96,41.96,41.25,41.42,2070440
2021-10-28T00:00:00+05:30,42.66,42.66,39.83,39.99,1418590
2021-10-29T00:00:00+05:30,40.66,40.66,38.95,39.56,3306000
2021-11-01T00:00:00+05:30,41.94,41.94,39.55,40.29,923570
2021-11-02T00:00:00+05:30,39.48,41.0,39.48,40.34,2137440
2021-11-03T00:00:00+05:30,41.0,41.0,39.72,39.76,1066830
2021-11-04T00:00:00+05:30,40.0,40.04,39.83,39.9,32720
2021-11-08T00:00:00+05:30,40.6,40.6,39.36,39.86,1116710
2021-11-09T00:00:00+05:30,39.9,39.94,39.65,39.79,361370
2021-11-10T00:00:00+05:30,39.79,40.5,39.25,39.33,526930
2021-11-11T00:00:00+05:30,39.2,39.2,38.8,38.97,913880
