datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,62.85,62.85,62.05,62.2,10848
2024-02-06T00:00:00+05:30,63.75,63.75,61.95,62.2,1355
2024-02-07T00:00:00+05:30,62.35,62.4,62.15,62.4,1843
2024-02-08T00:00:00+05:30,62.4,62.8,62.35,62.35,135
2024-02-09T00:00:00+05:30,62.4,62.4,61.8,62.0,335
2024-02-12T00:00:00+05:30,62.0,62.15,61.85,62.05,365
2024-02-13T00:00:00+05:30,62.2,62.6,62.0,62.1,6548
2024-02-14T00:00:00+05:30,62.1,62.1,60.45,60.95,8270
2024-02-15T00:00:00+05:30,60.7,62.7,60.7,62.55,830
2024-02-16T00:00:00+05:30,62.8,62.8,61.45,61.6,774
2024-02-19T00:00:00+05:30,61.7,61.7,61.5,61.65,485
2024-02-20T00:00:00+05:30,61.8,61.85,61.5,61.65,159
2024-02-21T00:00:00+05:30,61.8,62.0,61.65,61.9,195
2024-02-22T00:00:00+05:30,61.9,62.0,61.6,61.7,60
2024-02-23T00:00:00+05:30,61.7,62.0,61.55,61.65,4359
2024-02-26T00:00:00+05:30,61.65,62.0,61.65,61.95,482
2024-02-27T00:00:00+05:30,62.0,62.0,61.2,61.9,813
2024-02-28T00:00:00+05:30,62.0,62.0,61.6,61.7,1103
2024-02-29T00:00:00+05:30,65.0,65.0,61.0,61.9,1118
2024-03-01T00:00:00+05:30,62.0,62.8,62.0,62.4,1187
2024-03-02T00:00:00+05:30,62.7,63.95,62.4,62.75,5212
2024-03-04T00:00:00+05:30,65.5,65.5,62.85,63.1,2449
2024-03-05T00:00:00+05:30,63.2,64.2,63.2,63.9,6646
2024-03-06T00:00:00+05:30,64.0,64.3,63.9,64.05,862
2024-03-07T00:00:00+05:30,64.2,65.0,64.2,64.7,1272
2024-03-11T00:00:00+05:30,65.5,65.7,65.0,65.65,1585
2024-03-12T00:00:00+05:30,65.65,65.65,64.9,65.5,6375
2024-03-13T00:00:00+05:30,65.5,65.5,64.95,65.2,1585
2024-03-14T00:00:00+05:30,66.85,66.85,64.95,65.6,1109
2024-03-15T00:00:00+05:30,65.6,65.6,65.2,65.3,895
2024-03-18T00:00:00+05:30,74.0,74.0,64.4,64.85,482
2024-03-19T00:00:00+05:30,65.05,65.4,65.0,65.0,563
2024-03-20T00:00:00+05:30,65.0,65.45,65.0,65.3,28
2024-03-21T00:00:00+05:30,66.05,66.7,66.0,66.6,86
2024-03-22T00:00:00+05:30,54.0,65.9,54.0,65.6,2042
2024-03-26T00:00:00+05:30,65.6,66.1,65.45,66.05,228
2024-03-27T00:00:00+05:30,66.1,66.1,65.6,65.9,229
2024-04-01T00:00:00+05:30,66.2,68.6,66.2,68.1,4678
2024-04-02T00:00:00+05:30,68.1,69.8,68.0,68.3,805
2024-04-03T00:00:00+05:30,68.35,69.1,68.3,68.95,920
2024-04-04T00:00:00+05:30,69.5,69.5,69.0,69.25,688
2024-04-05T00:00:00+05:30,71.0,71.0,68.75,69.2,2519
2024-04-08T00:00:00+05:30,69.75,70.6,69.75,70.1,3361
2024-04-09T00:00:00+05:30,70.4,70.95,70.4,70.65,862
2024-04-10T00:00:00+05:30,70.85,71.3,70.85,70.95,958
2024-04-12T00:00:00+05:30,72.75,72.75,72.15,72.45,776
2024-04-15T00:00:00+05:30,72.5,72.5,71.55,72.0,526
2024-04-16T00:00:00+05:30,72.45,72.8,71.5,72.55,845
2024-04-18T00:00:00+05:30,72.75,72.75,72.4,72.7,520
2024-04-19T00:00:00+05:30,72.75,73.1,72.45,72.85,2836
2024-04-22T00:00:00+05:30,72.85,72.85,72.0,72.35,349
2024-04-23T00:00:00+05:30,70.9,70.95,70.65,70.8,835
2024-04-24T00:00:00+05:30,70.75,71.6,70.75,70.75,359
2024-04-25T00:00:00+05:30,70.8,72.7,70.75,71.5,286
2024-04-26T00:00:00+05:30,71.5,71.8,71.4,71.8,86
2024-04-29T00:00:00+05:30,71.8,71.95,71.25,71.35,1000
2024-04-30T00:00:00+05:30,73.15,73.15,70.9,71.0,141
2024-05-02T00:00:00+05:30,71.35,71.4,70.8,70.8,32
2024-05-03T00:00:00+05:30,70.8,70.8,70.35,70.8,63
2024-05-06T00:00:00+05:30,70.8,71.2,70.7,70.75,15
2024-05-07T00:00:00+05:30,71.2,71.3,70.3,70.95,353
2024-05-08T00:00:00+05:30,70.95,71.2,70.4,71.0,3001
2024-05-09T00:00:00+05:30,71.0,71.0,70.95,70.95,7
2024-05-10T00:00:00+05:30,71.45,72.35,71.45,72.35,4899
2024-05-13T00:00:00+05:30,73.0,73.0,71.55,71.55,264
2024-05-14T00:00:00+05:30,73.35,73.35,70.9,71.6,7610
2024-05-15T00:00:00+05:30,72.75,72.75,71.6,72.4,164
2024-05-16T00:00:00+05:30,74.25,74.25,72.2,72.8,80694
2024-05-17T00:00:00+05:30,72.8,74.65,72.4,72.4,213
2024-05-18T00:00:00+05:30,74.25,74.25,73.85,74.0,113
2024-05-21T00:00:00+05:30,74.0,74.0,73.1,73.15,4975
2024-05-22T00:00:00+05:30,73.35,73.5,73.0,73.3,1479
2024-05-23T00:00:00+05:30,73.3,73.3,71.8,72.05,634
2024-05-24T00:00:00+05:30,71.45,71.45,71.0,71.35,110202
2024-05-27T00:00:00+05:30,71.35,71.45,71.05,71.45,363
2024-05-28T00:00:00+05:30,71.45,71.7,71.3,71.7,679
2024-05-29T00:00:00+05:30,72.7,72.7,71.6,71.95,2392
2024-05-30T00:00:00+05:30,71.95,71.95,71.2,71.3,1100
2024-05-31T00:00:00+05:30,71.35,71.7,71.35,71.7,15
2024-06-03T00:00:00+05:30,71.7,71.7,70.85,70.95,887
2024-06-04T00:00:00+05:30,71.45,71.8,71.0,71.4,1354
2024-06-05T00:00:00+05:30,71.45,71.5,71.0,71.3,3430
2024-06-06T00:00:00+05:30,71.85,72.3,71.85,71.9,424
2024-06-07T00:00:00+05:30,75.0,75.0,70.15,71.75,648
2024-06-10T00:00:00+05:30,70.65,70.65,70.25,70.45,4821
2024-06-11T00:00:00+05:30,70.8,70.8,70.55,70.8,111
2024-06-12T00:00:00+05:30,71.05,71.1,70.65,71.1,1249
2024-06-13T00:00:00+05:30,71.25,71.25,69.8,70.8,1417
2024-06-14T00:00:00+05:30,70.8,70.8,70.4,70.45,253
2024-06-18T00:00:00+05:30,70.5,71.2,70.5,71.0,1122
2024-06-19T00:00:00+05:30,71.0,71.2,70.95,70.95,95
2024-06-20T00:00:00+05:30,71.0,71.35,71.0,71.35,315
2024-06-21T00:00:00+05:30,75.6,75.6,71.4,71.5,3170
2024-06-24T00:00:00+05:30,71.5,71.5,70.05,71.2,5479
2024-06-25T00:00:00+05:30,71.2,71.25,70.8,71.0,413
2024-06-26T00:00:00+05:30,71.0,71.0,70.7,70.8,181
2024-06-27T00:00:00+05:30,70.8,70.8,70.1,70.3,1149
2024-06-28T00:00:00+05:30,70.5,71.2,70.5,70.95,6275
2024-07-01T00:00:00+05:30,72.25,72.25,70.7,71.15,855
2024-07-02T00:00:00+05:30,71.15,72.45,70.6,71.3,1098
2024-07-03T00:00:00+05:30,71.3,71.6,70.9,71.45,310
2024-07-04T00:00:00+05:30,71.5,72.0,71.45,71.65,532
2024-07-05T00:00:00+05:30,72.95,72.95,71.5,71.9,1118
2024-07-08T00:00:00+05:30,72.85,72.85,71.7,71.95,210
2024-07-09T00:00:00+05:30,71.9,72.1,71.6,72.1,604
2024-07-10T00:00:00+05:30,72.1,72.2,71.65,72.2,401
2024-07-12T00:00:00+05:30,73.0,73.95,72.3,72.85,3802
2024-07-15T00:00:00+05:30,72.7,73.1,72.55,72.9,1964
2024-07-16T00:00:00+05:30,72.9,73.7,72.4,72.8,767
2024-07-18T00:00:00+05:30,73.2,73.6,73.0,73.55,604
2024-07-19T00:00:00+05:30,74.5,74.5,73.0,73.7,3119
2024-07-22T00:00:00+05:30,73.7,73.7,72.7,72.95,161
2024-07-23T00:00:00+05:30,72.6,72.9,70.65,70.8,1561
2024-07-24T00:00:00+05:30,70.8,70.8,69.3,69.35,889
2024-07-25T00:00:00+05:30,69.0,70.0,68.0,68.95,7453
2024-07-26T00:00:00+05:30,72.65,72.7,67.1,68.75,2975
2024-07-29T00:00:00+05:30,69.95,70.5,68.4,68.8,503
2024-07-30T00:00:00+05:30,69.7,70.3,68.15,68.15,1464
2024-07-31T00:00:00+05:30,68.2,69.1,68.1,68.7,4197
2024-08-01T00:00:00+05:30,68.9,69.35,68.9,69.35,91
2024-08-02T00:00:00+05:30,70.6,70.6,69.35,69.8,4328
2024-08-05T00:00:00+05:30,70.55,70.8,68.6,68.65,748
2024-08-06T00:00:00+05:30,69.35,69.35,68.05,68.2,215
2024-08-07T00:00:00+05:30,68.2,68.5,67.8,67.85,678
2024-08-08T00:00:00+05:30,68.05,68.4,68.0,68.4,279
2024-08-09T00:00:00+05:30,68.4,69.0,68.4,68.55,224
2024-08-12T00:00:00+05:30,68.8,69.2,68.6,69.15,141
2024-08-13T00:00:00+05:30,68.9,69.85,68.75,69.8,45147
2024-08-14T00:00:00+05:30,69.45,69.9,69.45,69.9,2674
2024-08-16T00:00:00+05:30,69.75,69.75,69.0,69.7,533
2024-08-19T00:00:00+05:30,69.7,70.95,69.7,70.6,390
2024-08-20T00:00:00+05:30,70.7,71.3,70.7,71.25,1010
2024-08-21T00:00:00+05:30,71.25,71.25,70.6,70.65,1217
2024-08-22T00:00:00+05:30,70.65,70.85,70.4,70.65,1509
2024-08-23T00:00:00+05:30,72.75,72.75,70.0,70.7,208
2024-08-26T00:00:00+05:30,70.7,71.3,70.4,71.3,364
2024-08-27T00:00:00+05:30,70.95,71.1,70.75,70.95,344
2024-08-28T00:00:00+05:30,71.25,71.25,70.65,70.7,367
2024-08-29T00:00:00+05:30,70.95,71.1,70.7,71.1,75
2024-09-02T00:00:00+05:30,70.6,70.8,70.3,70.75,1119
2024-09-03T00:00:00+05:30,70.8,70.9,70.3,70.85,1252
2024-09-04T00:00:00+05:30,70.25,70.7,70.0,70.05,628
2024-09-05T00:00:00+05:30,70.3,71.15,70.3,70.95,50
2024-09-06T00:00:00+05:30,70.65,71.15,70.65,70.65,3907
2024-09-09T00:00:00+05:30,70.65,70.65,70.1,70.1,155
2024-09-10T00:00:00+05:30,70.35,71.0,70.35,71.0,1916
2024-09-11T00:00:00+05:30,70.4,71.25,70.4,70.75,1178
2024-09-12T00:00:00+05:30,71.05,71.1,70.65,71.1,361
2024-09-13T00:00:00+05:30,71.5,72.3,71.5,72.15,3767
2024-09-16T00:00:00+05:30,72.5,72.8,72.2,72.45,336
2024-09-17T00:00:00+05:30,72.65,72.7,72.0,72.6,146
2024-09-18T00:00:00+05:30,74.45,74.45,72.0,72.5,783
2024-09-19T00:00:00+05:30,72.15,72.3,71.95,72.3,6000
2024-09-20T00:00:00+05:30,72.3,73.3,72.3,72.95,8234
