datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,355.9,358.75,353.55,357.35,1067
2021-03-10T00:00:00+05:30,359.9,359.9,356.7,357.35,692
2021-03-12T00:00:00+05:30,361.65,362.0,350.9,351.95,2257
2021-03-15T00:00:00+05:30,350.7,352.0,342.55,349.65,3541
2021-03-16T00:00:00+05:30,349.2,351.9,345.5,346.7,377
2021-03-17T00:00:00+05:30,345.45,348.9,340.0,341.85,1981
2021-03-18T00:00:00+05:30,345.0,345.45,334.5,335.9,1665
2021-03-19T00:00:00+05:30,334.4,341.95,331.0,339.7,2275
2021-03-22T00:00:00+05:30,336.4,338.0,332.5,334.15,1487
2021-03-23T00:00:00+05:30,336.25,342.9,335.05,340.05,625
2021-03-24T00:00:00+05:30,339.05,339.05,332.1,333.45,6628
2021-03-25T00:00:00+05:30,329.55,335.3,325.0,334.2,2495
2021-03-26T00:00:00+05:30,334.35,336.0,332.0,333.05,5673
2021-03-30T00:00:00+05:30,337.0,340.0,336.95,340.0,3121
2021-03-31T00:00:00+05:30,354.7,354.7,332.05,334.5,1379
2021-04-01T00:00:00+05:30,334.55,338.45,331.95,338.3,1915
2021-04-05T00:00:00+05:30,335.4,335.4,322.55,327.25,7238
2021-04-06T00:00:00+05:30,321.25,334.0,321.25,325.75,1465
2021-04-07T00:00:00+05:30,325.15,331.55,325.0,331.55,5593
2021-04-08T00:00:00+05:30,332.1,333.2,327.0,328.6,2285
2021-04-09T00:00:00+05:30,325.65,330.5,323.95,325.1,598
2021-04-12T00:00:00+05:30,323.0,323.0,305.65,307.55,6966
2021-04-13T00:00:00+05:30,318.1,319.0,309.5,318.4,983
2021-04-15T00:00:00+05:30,318.9,322.8,313.05,320.9,4487
2021-04-16T00:00:00+05:30,322.2,323.35,319.3,320.15,1779
2021-04-19T00:00:00+05:30,306.0,313.45,304.5,313.35,4907
2021-04-20T00:00:00+05:30,318.0,318.45,311.2,312.5,1139
2021-04-22T00:00:00+05:30,307.5,318.4,306.95,318.4,3311
2021-04-23T00:00:00+05:30,316.0,322.0,314.95,317.7,652
2021-04-26T00:00:00+05:30,324.3,326.0,321.0,323.0,1778
2021-04-27T00:00:00+05:30,325.0,328.25,322.85,328.25,2218
