datetime,open,high,low,close,volume
2021-10-06T00:00:00+05:30,664.99,664.99,561.0,567.95,782
2021-10-07T00:00:00+05:30,574.0,577.0,562.3,567.57,463
2021-10-08T00:00:00+05:30,565.0,574.0,565.0,573.98,55
2021-10-11T00:00:00+05:30,577.0,583.0,570.0,572.84,1188
2021-10-12T00:00:00+05:30,578.8,578.8,570.0,570.59,281
2021-10-13T00:00:00+05:30,582.0,582.0,569.0,574.36,406
2021-10-14T00:00:00+05:30,579.0,586.0,575.6,584.28,225
2021-10-18T00:00:00+05:30,584.28,595.0,582.1,587.34,248
2021-10-19T00:00:00+05:30,596.0,596.0,586.4,588.0,129
2021-10-20T00:00:00+05:30,588.0,594.0,584.0,588.0,239
2021-10-21T00:00:00+05:30,586.0,586.0,576.5,576.6,1867
2021-10-22T00:00:00+05:30,586.0,586.0,576.0,577.0,514
2021-10-25T00:00:00+05:30,581.15,581.15,580.0,580.75,4
2021-10-26T00:00:00+05:30,587.0,587.0,581.55,581.75,64
2021-10-27T00:00:00+05:30,583.6,588.3,583.6,584.11,17
2021-10-28T00:00:00+05:30,588.0,588.0,567.5,570.55,654
2021-10-29T00:00:00+05:30,569.0,574.0,568.95,568.95,156
2021-11-01T00:00:00+05:30,574.0,574.0,572.0,572.0,24792
2021-11-02T00:00:00+05:30,574.0,577.65,574.0,574.0,3
2021-11-03T00:00:00+05:30,580.0,580.0,572.3,572.3,13
2021-11-04T00:00:00+05:30,580.0,583.5,570.0,570.5,157
2021-11-08T00:00:00+05:30,583.0,583.0,570.0,579.25,39
2021-11-09T00:00:00+05:30,576.0,578.4,576.0,576.0,12
2021-11-10T00:00:00+05:30,575.7,579.2,572.05,579.2,6744
2021-11-11T00:00:00+05:30,570.0,580.0,569.6,572.51,9
2021-11-12T00:00:00+05:30,571.5,578.0,571.5,578.0,84
2021-11-15T00:00:00+05:30,585.0,585.0,575.0,582.4,90
2021-11-16T00:00:00+05:30,581.28,581.28,576.01,576.01,26
2021-11-17T00:00:00+05:30,576.01,576.78,576.01,576.78,23
2021-11-18T00:00:00+05:30,573.1,573.37,563.5,567.18,38
2021-11-22T00:00:00+05:30,565.0,565.1,557.56,557.56,59
2021-11-23T00:00:00+05:30,558.0,562.74,553.1,562.74,6
2021-11-24T00:00:00+05:30,563.02,564.57,558.01,558.7,1340
2021-11-25T00:00:00+05:30,56.0,56.99,55.51,56.35,10878
2021-11-26T00:00:00+05:30,56.5,56.9,54.39,54.76,7992
2021-11-29T00:00:00+05:30,55.0,55.7,53.5,54.88,3120
2021-11-30T00:00:00+05:30,55.0,55.7,53.8,54.53,1067
2021-12-01T00:00:00+05:30,55.3,55.3,54.25,54.78,786
2021-12-02T00:00:00+05:30,54.5,55.79,54.0,55.78,5589
2021-12-03T00:00:00+05:30,56.45,56.45,55.1,55.32,786
2021-12-06T00:00:00+05:30,55.5,55.5,54.28,54.4,2961
2021-12-07T00:00:00+05:30,54.8,55.31,54.0,55.29,1417
2021-12-08T00:00:00+05:30,55.9,55.9,55.0,55.73,441
2021-12-09T00:00:00+05:30,56.0,56.2,55.6,55.76,5428
2021-12-10T00:00:00+05:30,56.45,56.45,55.5,56.19,770
2021-12-13T00:00:00+05:30,56.95,56.95,55.71,55.95,1495
2021-12-14T00:00:00+05:30,55.85,55.85,55.05,55.55,970
2021-12-15T00:00:00+05:30,55.75,55.75,55.0,55.47,791
2021-12-16T00:00:00+05:30,56.0,56.0,55.0,55.35,3808
2021-12-17T00:00:00+05:30,55.9,55.9,54.21,54.63,1778
2021-12-20T00:00:00+05:30,54.5,54.5,52.8,53.13,5525
2021-12-21T00:00:00+05:30,54.2,54.45,53.51,53.89,3534
2021-12-22T00:00:00+05:30,54.45,54.45,53.7,54.34,2257
2021-12-23T00:00:00+05:30,55.0,55.25,54.2,54.73,3147
2021-12-24T00:00:00+05:30,55.4,55.4,54.1,54.35,1966
2021-12-27T00:00:00+05:30,54.8,55.12,53.8,54.87,2514
2021-12-28T00:00:00+05:30,55.4,55.4,54.7,55.37,4354
2021-12-29T00:00:00+05:30,55.6,55.64,54.7,55.13,1602
2021-12-30T00:00:00+05:30,55.6,55.6,54.7,55.36,643
2021-12-31T00:00:00+05:30,55.6,56.0,55.0,55.61,2378
2022-01-03T00:00:00+05:30,55.15,56.45,55.15,56.4,1247
2022-01-04T00:00:00+05:30,57.55,57.55,55.55,56.9,5314
2022-01-05T00:00:00+05:30,58.05,58.05,56.0,57.58,3655
2022-01-06T00:00:00+05:30,57.5,57.5,56.5,56.83,3627
2022-01-07T00:00:00+05:30,57.35,57.66,56.4,57.23,3109
2022-01-10T00:00:00+05:30,58.94,60.1,57.3,57.56,4647
2022-01-11T00:00:00+05:30,58.0,58.05,57.2,57.74,6403
2022-01-12T00:00:00+05:30,58.9,58.9,57.3,58.31,2969
2022-01-13T00:00:00+05:30,58.31,59.48,57.5,58.65,3126
2022-01-14T00:00:00+05:30,59.85,59.85,57.5,58.49,6878
2022-01-17T00:00:00+05:30,59.7,59.7,58.0,58.26,4919
