datetime,open,high,low,close,volume
2022-12-21T00:00:00+05:30,61.0,72.0,59.15,60.3,19018
2022-12-22T00:00:00+05:30,60.2,72.0,58.6,58.75,1251
2022-12-23T00:00:00+05:30,58.9,59.9,58.0,58.25,249
2022-12-26T00:00:00+05:30,59.8,59.8,57.8,58.15,107817
2022-12-27T00:00:00+05:30,58.6,59.35,58.6,59.2,1278
2022-12-28T00:00:00+05:30,59.2,59.49,59.2,59.2,3708
2022-12-29T00:00:00+05:30,59.2,59.34,58.49,58.5,898
2022-12-30T00:00:00+05:30,58.9,59.9,58.9,59.61,10860
2023-01-02T00:00:00+05:30,59.79,60.33,59.71,60.33,6124
2023-01-03T00:00:00+05:30,60.28,60.28,59.4,60.28,5295
2023-01-04T00:00:00+05:30,60.1,60.98,59.25,59.25,7775
2023-01-05T00:00:00+05:30,59.5,59.79,59.21,59.5,1040
2023-01-06T00:00:00+05:30,59.8,60.8,58.6,59.56,354
2023-01-10T00:00:00+05:30,59.8,60.4,59.01,59.43,5229
2023-01-11T00:00:00+05:30,59.41,59.79,59.41,59.56,86
2023-01-12T00:00:00+05:30,59.46,59.46,59.45,59.45,202
2023-01-13T00:00:00+05:30,59.63,59.75,59.56,59.57,1637
2023-01-16T00:00:00+05:30,59.8,59.94,59.57,59.57,857
2023-01-17T00:00:00+05:30,59.8,60.35,59.8,60.35,482
2023-01-18T00:00:00+05:30,60.35,60.67,60.3,60.5,6808
2023-01-19T00:00:00+05:30,60.68,60.68,60.08,60.5,4668
2023-01-20T00:00:00+05:30,60.5,60.5,60.02,60.09,896
2023-01-23T00:00:00+05:30,60.0,60.1,59.2,59.53,328
2023-01-24T00:00:00+05:30,60.98,60.98,58.8,58.94,1038
2023-01-25T00:00:00+05:30,59.01,59.01,58.06,58.22,1228
2023-01-27T00:00:00+05:30,58.01,58.01,56.09,56.98,23455
2023-01-30T00:00:00+05:30,57.1,57.97,56.0,56.14,2955
2023-01-31T00:00:00+05:30,56.3,57.2,56.3,57.19,927
2023-02-01T00:00:00+05:30,57.25,57.6,55.7,56.53,37798
2023-02-02T00:00:00+05:30,56.4,56.4,56.0,56.19,10860
2023-02-03T00:00:00+05:30,56.2,56.79,55.21,56.05,16088
2023-02-06T00:00:00+05:30,57.0,57.0,55.8,56.0,8652
2023-02-07T00:00:00+05:30,56.0,56.0,55.0,55.0,2426
2023-02-08T00:00:00+05:30,55.75,56.01,55.0,56.01,4363
2023-02-09T00:00:00+05:30,56.01,56.02,55.46,55.76,2699
2023-02-10T00:00:00+05:30,55.5,55.5,55.35,55.36,230
2023-02-13T00:00:00+05:30,55.35,55.35,54.95,55.34,1455
2023-02-14T00:00:00+05:30,55.0,55.41,55.0,55.03,2771
2023-02-15T00:00:00+05:30,55.15,55.5,55.15,55.46,950
2023-02-16T00:00:00+05:30,55.45,56.21,55.45,56.21,229
2023-02-17T00:00:00+05:30,56.4,56.5,56.28,56.4,1836
2023-02-20T00:00:00+05:30,56.3,56.56,56.1,56.35,744
2023-02-21T00:00:00+05:30,56.31,56.35,56.25,56.25,373
2023-02-22T00:00:00+05:30,56.2,56.2,55.1,55.2,5550
2023-02-23T00:00:00+05:30,55.25,55.35,55.05,55.09,163
2023-02-24T00:00:00+05:30,55.05,55.05,54.74,54.8,1461
2023-02-27T00:00:00+05:30,54.6,54.6,53.81,54.15,842
2023-02-28T00:00:00+05:30,53.99,54.05,53.75,53.99,5436
2023-03-01T00:00:00+05:30,54.95,54.99,54.34,54.51,2873
2023-03-02T00:00:00+05:30,54.7,54.79,54.64,54.74,765
2023-03-03T00:00:00+05:30,54.87,55.2,54.87,55.12,4815
2023-03-06T00:00:00+05:30,55.3,55.74,55.3,55.49,2005
2023-03-08T00:00:00+05:30,55.4,55.59,55.21,55.59,177
2023-03-09T00:00:00+05:30,55.81,56.05,55.68,55.69,5385
2023-03-10T00:00:00+05:30,55.4,55.43,55.1,55.13,1145
2023-03-13T00:00:00+05:30,55.6,55.6,54.5,54.88,5725
2023-03-14T00:00:00+05:30,54.6,55.05,54.21,54.32,2529
2023-03-15T00:00:00+05:30,54.8,55.14,54.7,54.9,4263
2023-03-16T00:00:00+05:30,54.69,54.86,54.08,54.69,4272
2023-03-17T00:00:00+05:30,54.9,55.45,54.7,55.23,2123
2023-03-20T00:00:00+05:30,55.23,55.23,54.21,54.59,8442
2023-03-21T00:00:00+05:30,54.99,55.04,54.91,54.99,982
2023-03-22T00:00:00+05:30,55.3,55.59,55.15,55.36,4839
2023-03-23T00:00:00+05:30,56.5,56.5,55.03,55.1,3732
2023-03-24T00:00:00+05:30,56.2,56.2,54.5,54.55,3564
2023-03-27T00:00:00+05:30,55.98,55.98,54.36,54.79,60741
2023-03-28T00:00:00+05:30,54.41,54.64,54.22,54.4,2470
2023-03-29T00:00:00+05:30,54.4,54.89,54.2,54.89,5529
2023-03-31T00:00:00+05:30,55.2,55.79,55.2,55.59,495
2023-04-03T00:00:00+05:30,55.9,55.9,55.54,55.54,1905
2023-04-05T00:00:00+05:30,55.54,55.64,55.17,55.63,875
2023-04-06T00:00:00+05:30,55.64,55.97,55.55,55.88,1322
2023-04-10T00:00:00+05:30,56.2,56.4,56.04,56.37,1539
2023-04-11T00:00:00+05:30,56.41,56.89,56.33,56.82,1907
2023-04-12T00:00:00+05:30,56.88,56.88,56.88,56.88,691
2023-04-13T00:00:00+05:30,56.9,57.2,56.65,56.88,1258
2023-04-17T00:00:00+05:30,58.3,58.3,56.4,57.01,1022
2023-04-18T00:00:00+05:30,57.01,57.2,56.65,56.79,21990
2023-04-19T00:00:00+05:30,57.09,57.17,56.63,56.83,1221
2023-04-20T00:00:00+05:30,56.83,56.84,56.7,56.72,34
2023-04-21T00:00:00+05:30,56.8,56.8,56.15,56.24,30969
2023-04-24T00:00:00+05:30,56.39,56.65,56.21,56.65,9730
2023-04-25T00:00:00+05:30,56.86,56.86,56.65,56.65,17349
2023-04-26T00:00:00+05:30,56.6,56.8,56.46,56.58,154
2023-04-27T00:00:00+05:30,57.58,57.58,56.78,57.05,5532
2023-04-28T00:00:00+05:30,57.98,57.98,57.1,57.76,7077
2023-05-02T00:00:00+05:30,58.0,58.49,57.92,58.44,8670
2023-05-03T00:00:00+05:30,59.48,59.48,58.0,58.3,10516
2023-05-04T00:00:00+05:30,58.39,58.6,58.21,58.53,2542
2023-05-05T00:00:00+05:30,59.58,59.58,58.05,58.27,5865
2023-05-08T00:00:00+05:30,59.28,59.28,57.33,58.73,3496
2023-05-09T00:00:00+05:30,58.76,58.99,58.55,58.65,6239
2023-05-10T00:00:00+05:30,59.66,59.66,58.46,58.6,3936
2023-05-11T00:00:00+05:30,58.61,58.81,58.57,58.76,3775
2023-05-12T00:00:00+05:30,59.66,59.66,58.0,58.06,8899
2023-05-15T00:00:00+05:30,58.98,58.98,57.85,58.02,3560
2023-05-16T00:00:00+05:30,58.16,58.44,58.14,58.15,1015
2023-05-17T00:00:00+05:30,58.15,58.15,57.67,57.85,6173
2023-05-18T00:00:00+05:30,56.1,58.16,56.1,57.24,3678
2023-05-19T00:00:00+05:30,57.36,57.54,56.81,57.54,43115
2023-05-22T00:00:00+05:30,57.61,58.03,57.61,57.98,45515
2023-05-23T00:00:00+05:30,58.98,60.0,58.16,58.21,34360
2023-05-24T00:00:00+05:30,58.21,58.34,58.0,58.13,18155
2023-05-25T00:00:00+05:30,58.0,58.07,57.73,58.06,9013
2023-05-26T00:00:00+05:30,58.07,58.64,58.06,58.5,15483
2023-05-29T00:00:00+05:30,58.69,58.95,58.56,58.82,14966
2023-05-30T00:00:00+05:30,59.78,59.78,58.79,59.0,22867
2023-05-31T00:00:00+05:30,59.97,59.97,58.32,58.44,19427
2023-06-01T00:00:00+05:30,58.58,58.58,58.2,58.31,13241
2023-06-02T00:00:00+05:30,59.28,59.28,58.01,58.48,13919
2023-06-05T00:00:00+05:30,58.48,58.86,58.44,58.75,25881
2023-06-06T00:00:00+05:30,58.89,59.21,58.76,59.14,26804
2023-06-07T00:00:00+05:30,59.21,59.77,59.2,59.72,20548
2023-06-08T00:00:00+05:30,59.12,60.4,59.12,59.65,63408
2023-06-09T00:00:00+05:30,59.66,59.77,59.2,59.3,22855
2023-06-12T00:00:00+05:30,59.31,59.55,59.3,59.54,4600
2023-06-13T00:00:00+05:30,60.08,60.5,59.61,59.99,17420
2023-06-14T00:00:00+05:30,60.25,60.8,59.0,60.56,29765
2023-06-15T00:00:00+05:30,60.58,60.75,60.51,60.59,15523
2023-06-16T00:00:00+05:30,60.71,61.02,60.68,60.68,13894
2023-06-19T00:00:00+05:30,61.2,61.2,60.52,60.6,15424
2023-06-20T00:00:00+05:30,60.56,60.79,60.4,60.65,17674
2023-06-21T00:00:00+05:30,60.66,60.79,60.57,60.72,1563
2023-06-22T00:00:00+05:30,60.72,60.79,60.07,60.35,8804
2023-06-23T00:00:00+05:30,59.88,59.89,59.36,59.44,6891
2023-06-26T00:00:00+05:30,60.44,60.44,58.92,59.65,6498
2023-06-27T00:00:00+05:30,59.73,59.89,59.55,59.8,4851
2023-06-28T00:00:00+05:30,59.01,60.19,59.01,60.19,4273
2023-06-30T00:00:00+05:30,61.08,61.08,60.13,60.39,7448
2023-07-03T00:00:00+05:30,61.19,61.19,60.46,61.14,22428
2023-07-04T00:00:00+05:30,61.3,61.97,60.77,61.01,43796
2023-07-05T00:00:00+05:30,61.98,61.98,60.82,61.05,27145
2023-07-06T00:00:00+05:30,61.35,61.63,61.03,61.63,19781
2023-07-07T00:00:00+05:30,61.64,61.69,60.91,61.04,46506
2023-07-10T00:00:00+05:30,61.98,61.98,61.01,61.35,7814
2023-07-11T00:00:00+05:30,61.31,61.38,61.2,61.32,6840
2023-07-12T00:00:00+05:30,61.31,61.35,61.18,61.18,9124
2023-07-13T00:00:00+05:30,61.49,61.77,60.69,61.0,22379
2023-07-14T00:00:00+05:30,60.89,61.41,60.89,61.17,13296
2023-07-17T00:00:00+05:30,61.97,62.05,61.17,61.79,41240
2023-07-18T00:00:00+05:30,61.66,61.75,61.35,61.49,13084
2023-07-19T00:00:00+05:30,61.52,61.79,61.46,61.57,9266
2023-07-20T00:00:00+05:30,61.63,61.8,61.24,61.68,20067
2023-07-21T00:00:00+05:30,61.7,61.71,61.15,61.65,18464
2023-07-24T00:00:00+05:30,61.76,62.04,61.25,61.35,10475
2023-07-25T00:00:00+05:30,61.41,62.25,61.36,62.16,18864
2023-07-26T00:00:00+05:30,62.15,62.68,61.99,62.68,21412
2023-07-27T00:00:00+05:30,63.58,63.58,62.12,62.35,14614
2023-07-28T00:00:00+05:30,62.61,62.7,62.1,62.7,7033
2023-07-31T00:00:00+05:30,63.0,63.64,63.0,63.64,60651
2023-08-01T00:00:00+05:30,64.12,64.2,63.01,63.86,23941
2023-08-02T00:00:00+05:30,63.91,63.99,62.73,63.25,52174
2023-08-03T00:00:00+05:30,63.15,63.15,62.27,62.83,87928
2023-08-04T00:00:00+05:30,62.57,63.12,62.57,62.7,15496
2023-08-07T00:00:00+05:30,62.72,63.0,62.63,62.94,12808
2023-08-08T00:00:00+05:30,62.95,62.95,62.4,62.76,7348
2023-08-09T00:00:00+05:30,62.95,63.28,62.31,63.28,22611
2023-08-10T00:00:00+05:30,63.16,63.35,62.98,63.0,10167
2023-08-11T00:00:00+05:30,63.0,63.08,62.66,62.66,18990
2023-08-14T00:00:00+05:30,62.67,62.67,61.95,62.32,5862
2023-08-16T00:00:00+05:30,63.28,63.28,61.87,62.51,7673
2023-08-17T00:00:00+05:30,62.5,62.5,61.95,62.1,9183
2023-08-18T00:00:00+05:30,63.32,63.32,61.7,62.03,12935
2023-08-21T00:00:00+05:30,62.49,62.59,62.02,62.39,2859
2023-08-22T00:00:00+05:30,62.54,62.85,62.51,62.82,2094
2023-08-23T00:00:00+05:30,63.32,63.32,62.71,62.8,2215
2023-08-24T00:00:00+05:30,62.92,63.09,62.54,62.55,11330
2023-08-25T00:00:00+05:30,62.56,62.56,61.93,62.11,6384
2023-08-28T00:00:00+05:30,62.97,63.09,62.01,62.21,19054
2023-08-29T00:00:00+05:30,62.21,62.98,62.21,62.9,4745
2023-08-30T00:00:00+05:30,62.84,63.15,62.84,62.94,11672
2023-08-31T00:00:00+05:30,63.0,63.54,62.5,62.65,11738
2023-09-01T00:00:00+05:30,63.09,63.66,63.09,63.64,20701
2023-09-04T00:00:00+05:30,63.67,65.32,63.67,64.86,57208
2023-09-05T00:00:00+05:30,64.82,65.19,64.8,64.97,36907
2023-09-06T00:00:00+05:30,65.98,65.98,64.05,65.0,26409
2023-09-07T00:00:00+05:30,65.01,65.5,64.91,65.5,33746
2023-09-08T00:00:00+05:30,65.44,66.0,65.44,65.93,37140
2023-09-11T00:00:00+05:30,66.88,67.25,66.14,66.45,43178
2023-09-12T00:00:00+05:30,67.24,67.24,65.14,65.32,46951
2023-09-13T00:00:00+05:30,65.6,65.97,65.17,65.33,26447
2023-09-14T00:00:00+05:30,66.0,66.53,66.0,66.47,31156
2023-09-15T00:00:00+05:30,66.6,66.79,66.21,66.23,23235
2023-09-18T00:00:00+05:30,68.3,68.3,65.4,66.34,14009
2023-09-20T00:00:00+05:30,66.18,67.5,65.12,65.58,64347
2023-09-21T00:00:00+05:30,65.39,65.99,64.86,65.09,8203
2023-09-22T00:00:00+05:30,65.01,65.19,64.42,64.61,29985
2023-09-25T00:00:00+05:30,64.71,64.79,64.54,64.65,5110
2023-09-26T00:00:00+05:30,64.8,65.26,64.72,64.95,10993
2023-09-27T00:00:00+05:30,65.88,66.0,64.23,65.0,9673
2023-09-28T00:00:00+05:30,64.01,65.26,64.01,64.4,24112
2023-09-29T00:00:00+05:30,65.08,65.26,64.39,65.2,7680
2023-10-03T00:00:00+05:30,64.8,65.99,64.4,64.57,11653
2023-10-04T00:00:00+05:30,64.58,64.99,63.18,63.66,25456
2023-10-05T00:00:00+05:30,64.93,64.93,63.52,63.82,56376
2023-10-06T00:00:00+05:30,63.8,64.03,63.76,64.03,17561
2023-10-09T00:00:00+05:30,63.93,64.97,63.0,63.28,42790
2023-10-10T00:00:00+05:30,64.17,64.17,63.2,64.1,20846
2023-10-11T00:00:00+05:30,64.2,64.74,64.2,64.71,8213
2023-10-12T00:00:00+05:30,64.71,65.09,64.7,64.75,9457
2023-10-13T00:00:00+05:30,64.67,64.97,64.58,64.8,4218
2023-10-16T00:00:00+05:30,64.53,65.14,64.47,65.02,16527
2023-10-17T00:00:00+05:30,65.13,65.25,65.1,65.17,17075
2023-10-18T00:00:00+05:30,65.17,65.45,64.81,64.9,10958
2023-10-19T00:00:00+05:30,64.3,64.69,64.12,64.65,3098
2023-10-20T00:00:00+05:30,64.61,64.61,63.96,63.96,10810
2023-10-23T00:00:00+05:30,63.85,64.0,62.42,63.35,23818
2023-10-25T00:00:00+05:30,62.57,63.97,61.85,62.27,52226
2023-10-26T00:00:00+05:30,63.28,63.28,60.5,61.51,18897
2023-10-27T00:00:00+05:30,61.8,62.36,61.8,62.28,16800
2023-10-30T00:00:00+05:30,62.2,63.15,62.06,63.15,13273
2023-10-31T00:00:00+05:30,63.16,63.16,62.24,62.79,13333
2023-11-01T00:00:00+05:30,61.52,62.92,61.52,62.54,4072
2023-11-02T00:00:00+05:30,62.54,63.21,62.54,63.21,10379
2023-11-03T00:00:00+05:30,63.4,63.59,63.29,63.42,5675
2023-11-06T00:00:00+05:30,62.59,64.53,62.59,64.27,17142
2023-11-07T00:00:00+05:30,64.88,64.88,64.01,64.5,10635
2023-11-08T00:00:00+05:30,64.6,65.06,64.6,64.84,7352
2023-11-09T00:00:00+05:30,65.22,65.22,64.81,64.89,7130
2023-11-10T00:00:00+05:30,64.88,65.29,64.62,65.11,5008
2023-11-12T00:00:00+05:30,64.61,65.6,64.61,65.49,17318
2023-11-13T00:00:00+05:30,65.29,65.65,64.84,65.5,17884
2023-11-15T00:00:00+05:30,66.86,66.86,64.56,66.34,67954
2023-11-16T00:00:00+05:30,66.39,66.88,66.33,66.79,27371
2023-11-17T00:00:00+05:30,67.25,67.25,65.69,66.49,16397
2023-11-20T00:00:00+05:30,66.49,66.82,66.32,66.38,16982
2023-11-21T00:00:00+05:30,66.67,66.95,66.56,66.8,9943
2023-11-22T00:00:00+05:30,66.5,66.88,66.3,66.72,95869
2023-11-23T00:00:00+05:30,66.97,66.97,66.49,66.88,99507
2023-11-24T00:00:00+05:30,66.89,67.09,66.8,66.92,11220
2023-11-28T00:00:00+05:30,67.78,68.15,66.81,68.15,40859
2023-11-29T00:00:00+05:30,68.98,68.98,67.69,68.4,37130
2023-11-30T00:00:00+05:30,68.35,68.89,68.1,68.77,137161
2023-12-01T00:00:00+05:30,68.98,69.77,68.98,69.5,36118
2023-12-04T00:00:00+05:30,71.16,71.49,70.36,70.85,40502
2023-12-05T00:00:00+05:30,74.19,74.19,70.5,71.71,139722
2023-12-06T00:00:00+05:30,73.0,74.19,72.47,72.6,73143
2023-12-07T00:00:00+05:30,73.98,73.98,72.91,73.6,82407
2023-12-08T00:00:00+05:30,73.41,73.78,72.2,73.05,137865
2023-12-11T00:00:00+05:30,72.99,73.65,72.96,73.58,63177
2023-12-12T00:00:00+05:30,73.84,73.84,72.78,73.22,141648
2023-12-13T00:00:00+05:30,73.44,73.51,72.48,73.22,45640
2023-12-14T00:00:00+05:30,75.0,75.0,73.64,74.05,13399
2023-12-15T00:00:00+05:30,74.57,75.27,74.52,74.91,35532
2023-12-18T00:00:00+05:30,75.13,76.65,74.75,75.27,80676
2023-12-19T00:00:00+05:30,75.78,76.27,75.0,75.8,102897
2023-12-20T00:00:00+05:30,76.0,76.3,73.33,73.33,157478
2023-12-21T00:00:00+05:30,73.98,74.53,72.41,74.51,143716
2023-12-22T00:00:00+05:30,76.0,76.0,74.4,75.15,126088
2023-12-26T00:00:00+05:30,75.57,75.89,75.1,75.6,25373
2023-12-27T00:00:00+05:30,75.99,76.78,75.63,76.48,86819
2023-12-28T00:00:00+05:30,76.83,77.7,76.65,77.6,81302
2023-12-29T00:00:00+05:30,77.71,77.71,76.9,77.52,69820
2024-01-01T00:00:00+05:30,77.36,77.85,77.25,77.75,77739
2024-01-02T00:00:00+05:30,78.19,78.19,76.35,77.5,114430
2024-01-03T00:00:00+05:30,77.31,77.79,76.87,76.98,97865
2024-01-04T00:00:00+05:30,78.0,78.0,77.05,77.27,11245
2024-01-05T00:00:00+05:30,77.7,77.9,76.76,77.11,175084
2024-01-08T00:00:00+05:30,78.28,78.28,76.05,76.99,57633
2024-01-09T00:00:00+05:30,77.77,77.77,76.6,77.22,10100
2024-01-10T00:00:00+05:30,76.7,77.64,76.02,76.83,54163
2024-01-11T00:00:00+05:30,76.84,77.61,76.84,77.61,35653
2024-01-12T00:00:00+05:30,77.4,77.9,77.28,77.8,18161
2024-01-15T00:00:00+05:30,78.88,78.88,77.2,78.29,29535
2024-01-16T00:00:00+05:30,79.17,79.17,77.55,78.5,149706
