datetime,open,high,low,close,volume
2021-11-02T00:00:00+05:30,74.0,74.45,71.15,71.4,4190
2021-11-03T00:00:00+05:30,72.0,72.0,71.1,71.1,7272
2021-11-04T00:00:00+05:30,82.0,82.0,71.51,71.54,2071
2021-11-08T00:00:00+05:30,71.55,73.0,71.5,72.15,29658
2021-11-09T00:00:00+05:30,72.15,75.3,72.15,72.15,1463
2021-11-10T00:00:00+05:30,74.2,74.3,72.0,72.55,1913
2021-11-11T00:00:00+05:30,71.51,73.5,71.51,72.15,4617
2021-11-12T00:00:00+05:30,74.31,74.31,72.51,73.23,1617
2021-11-15T00:00:00+05:30,73.8,73.95,73.3,73.8,1991
2021-11-16T00:00:00+05:30,76.68,76.68,73.6,74.08,1000
2021-11-17T00:00:00+05:30,74.08,74.65,73.9,74.54,2432
2021-11-18T00:00:00+05:30,74.8,74.99,73.1,73.45,18496
2021-11-22T00:00:00+05:30,76.0,76.0,71.71,72.12,1382
2021-11-23T00:00:00+05:30,73.0,73.89,71.81,72.83,67722
2021-11-24T00:00:00+05:30,58.05,74.2,58.05,72.36,7071
2021-11-25T00:00:00+05:30,76.0,76.0,71.15,72.34,1756
2021-11-26T00:00:00+05:30,71.33,72.1,70.61,71.34,10062
2021-11-29T00:00:00+05:30,75.93,75.93,68.36,70.58,8339
2021-11-30T00:00:00+05:30,74.3,74.3,70.1,70.73,260
2021-12-01T00:00:00+05:30,73.94,73.94,57.01,70.1,2463
2021-12-02T00:00:00+05:30,69.0,72.5,68.9,70.75,686
2021-12-03T00:00:00+05:30,72.5,72.5,69.62,71.15,350
2021-12-06T00:00:00+05:30,70.6,72.05,69.55,70.07,760
2021-12-07T00:00:00+05:30,70.4,70.4,68.9,69.21,2550
2021-12-08T00:00:00+05:30,73.0,73.0,68.92,70.1,753
2021-12-09T00:00:00+05:30,70.6,71.5,70.16,70.75,343
2021-12-10T00:00:00+05:30,73.4,73.4,69.99,71.17,647
2021-12-13T00:00:00+05:30,71.17,72.95,70.0,71.51,2256
2021-12-14T00:00:00+05:30,72.5,72.5,69.23,70.44,3178
2021-12-15T00:00:00+05:30,70.99,70.99,70.05,70.05,594
2021-12-16T00:00:00+05:30,76.0,76.0,70.06,70.34,320
2021-12-17T00:00:00+05:30,73.85,73.85,68.7,69.11,306
2021-12-20T00:00:00+05:30,69.9,70.34,67.01,67.43,1054
2021-12-21T00:00:00+05:30,70.0,70.0,67.0,68.07,794
2021-12-22T00:00:00+05:30,72.5,72.5,67.11,68.54,654
2021-12-23T00:00:00+05:30,68.8,72.0,67.6,69.14,2173
2021-12-24T00:00:00+05:30,73.85,81.95,67.6,68.68,1012
2021-12-27T00:00:00+05:30,82.25,82.25,67.0,68.93,831
2021-12-28T00:00:00+05:30,72.0,72.0,66.65,69.1,483
2021-12-29T00:00:00+05:30,82.2,82.2,68.7,69.74,505
2021-12-30T00:00:00+05:30,70.0,71.5,69.35,69.47,552
2021-12-31T00:00:00+05:30,70.0,71.0,68.45,70.56,210
2022-01-03T00:00:00+05:30,74.3,74.3,69.55,71.15,1357
2022-01-04T00:00:00+05:30,73.0,73.0,70.3,70.55,183
2022-01-05T00:00:00+05:30,73.0,73.0,70.07,71.61,1493
2022-01-06T00:00:00+05:30,71.8,72.6,70.0,71.22,894
2022-01-07T00:00:00+05:30,74.0,74.0,71.0,72.4,1054
2022-01-10T00:00:00+05:30,73.5,82.25,71.06,72.6,12976
2022-01-11T00:00:00+05:30,72.45,74.2,71.85,72.55,3354
2022-01-12T00:00:00+05:30,73.1,73.6,71.95,72.18,862
2022-01-13T00:00:00+05:30,72.6,73.3,70.95,72.62,406
2022-01-14T00:00:00+05:30,73.0,73.0,71.95,72.27,1038
2022-01-17T00:00:00+05:30,73.4,73.4,70.8,72.32,3044
2022-01-18T00:00:00+05:30,72.6,73.3,71.0,71.52,455
2022-01-19T00:00:00+05:30,71.5,71.5,70.41,70.63,1195
2022-01-20T00:00:00+05:30,71.0,71.8,70.15,70.29,229
2022-01-21T00:00:00+05:30,70.6,71.8,69.65,69.99,579
2022-01-24T00:00:00+05:30,70.97,70.97,67.03,67.98,1747
2022-01-25T00:00:00+05:30,70.5,70.5,67.12,69.29,501
2022-01-27T00:00:00+05:30,69.3,69.3,67.0,68.23,299
2022-01-28T00:00:00+05:30,67.0,72.5,67.0,68.22,1594
2022-01-31T00:00:00+05:30,68.22,70.3,67.66,69.0,896
2022-02-01T00:00:00+05:30,68.8,70.97,68.0,70.4,448
2022-02-02T00:00:00+05:30,70.4,71.96,70.18,70.68,279
2022-02-03T00:00:00+05:30,69.22,71.5,69.22,70.17,1065
2022-02-04T00:00:00+05:30,71.49,71.49,69.1,70.35,172
2022-02-07T00:00:00+05:30,69.06,71.99,68.35,69.01,185
2022-02-08T00:00:00+05:30,70.93,82.25,68.35,69.25,400
2022-02-09T00:00:00+05:30,68.36,70.22,68.36,69.57,283
2022-02-10T00:00:00+05:30,82.25,82.25,68.35,70.09,316
2022-02-11T00:00:00+05:30,71.71,71.71,68.15,69.21,355
2022-02-14T00:00:00+05:30,69.86,69.86,67.3,67.45,753
2022-02-15T00:00:00+05:30,68.1,69.99,67.38,69.47,267
2022-02-16T00:00:00+05:30,76.44,76.44,68.51,69.63,2427
2022-02-17T00:00:00+05:30,71.0,71.4,68.7,69.57,3623
2022-02-18T00:00:00+05:30,70.9,70.9,68.21,69.36,140
2022-02-21T00:00:00+05:30,69.2,69.72,68.01,69.21,319
2022-02-22T00:00:00+05:30,69.0,69.58,67.5,68.89,327
2022-02-23T00:00:00+05:30,82.2,82.2,67.34,69.1,1185
2022-02-24T00:00:00+05:30,72.7,72.7,66.0,66.67,916
2022-02-25T00:00:00+05:30,69.7,69.7,66.4,67.57,739
2022-02-28T00:00:00+05:30,69.0,69.0,66.06,67.77,1961320
