datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,29.0,29.25,28.5,29.25,214242
2021-03-10T00:00:00+05:30,30.5,30.7,30.0,30.7,544017
2021-03-12T00:00:00+05:30,30.75,31.5,29.2,30.0,391071
2021-03-15T00:00:00+05:30,30.6,30.7,28.5,28.5,142241
2021-03-16T00:00:00+05:30,27.2,27.95,27.1,27.1,162975
2021-03-17T00:00:00+05:30,25.75,27.85,25.75,26.65,656827
2021-03-18T00:00:00+05:30,26.9,27.0,25.35,25.4,317860
2021-03-19T00:00:00+05:30,24.2,26.0,24.15,25.35,528209
2021-03-22T00:00:00+05:30,25.35,26.6,24.15,26.6,280780
2021-03-23T00:00:00+05:30,27.9,27.9,26.1,26.75,227098
2021-03-24T00:00:00+05:30,26.05,27.1,25.45,25.6,313869
2021-03-25T00:00:00+05:30,24.4,25.5,24.35,24.85,222163
2021-03-26T00:00:00+05:30,24.4,26.05,24.4,25.7,392259
2021-03-30T00:00:00+05:30,26.25,26.95,24.9,25.25,255267
2021-03-31T00:00:00+05:30,25.95,25.95,24.0,24.2,433202
2021-04-01T00:00:00+05:30,24.2,25.4,24.2,24.25,411476
2021-04-05T00:00:00+05:30,24.55,25.3,23.35,23.4,426901
2021-04-06T00:00:00+05:30,22.55,24.3,22.25,22.35,438615
2021-04-07T00:00:00+05:30,21.7,23.3,21.25,21.5,500288
2021-04-08T00:00:00+05:30,21.8,22.55,20.85,22.55,1099759
2021-04-09T00:00:00+05:30,23.25,23.65,23.15,23.35,344311
2021-04-12T00:00:00+05:30,22.85,23.15,22.2,22.2,142385
2021-04-13T00:00:00+05:30,21.15,22.3,21.1,21.4,229752
2021-04-15T00:00:00+05:30,21.5,21.75,20.35,20.35,186630
2021-04-16T00:00:00+05:30,20.35,21.35,19.35,20.5,405448
2021-04-19T00:00:00+05:30,20.45,20.45,19.5,19.5,116649
2021-04-20T00:00:00+05:30,18.6,19.95,18.55,18.55,401010
2021-04-22T00:00:00+05:30,18.05,18.55,17.65,17.65,309964
2021-04-23T00:00:00+05:30,17.65,18.0,16.9,17.45,263128
2021-04-26T00:00:00+05:30,17.5,18.3,16.75,17.15,383396
2021-04-27T00:00:00+05:30,17.0,17.7,16.85,17.5,107876
2021-04-28T00:00:00+05:30,17.9,18.35,16.75,18.35,189504
2021-04-29T00:00:00+05:30,19.25,19.25,18.35,19.25,194274
2021-04-30T00:00:00+05:30,20.2,20.2,20.2,20.2,81947
2021-05-03T00:00:00+05:30,21.2,21.2,21.2,21.2,86741
2021-05-04T00:00:00+05:30,22.25,22.25,21.2,21.7,658380
2021-05-05T00:00:00+05:30,22.0,22.0,20.65,20.65,217389
2021-05-06T00:00:00+05:30,21.0,21.25,19.65,19.75,260546
