datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,34.15,36.95,33.55,33.9,6490
2021-03-10T00:00:00+05:30,35.2,35.2,32.25,32.25,7318
2021-03-12T00:00:00+05:30,32.25,32.9,30.7,31.95,5235
2021-03-15T00:00:00+05:30,30.65,33.15,30.65,32.75,9358
2021-03-16T00:00:00+05:30,32.3,33.5,31.15,32.6,18290
2021-03-17T00:00:00+05:30,33.9,34.05,31.0,32.05,12706
2021-03-18T00:00:00+05:30,32.15,33.3,31.1,31.1,4971
2021-03-19T00:00:00+05:30,31.1,31.85,29.6,31.6,13535
2021-03-22T00:00:00+05:30,32.25,33.15,30.55,32.0,10599
2021-03-23T00:00:00+05:30,32.95,33.15,30.7,31.15,4199
2021-03-24T00:00:00+05:30,31.0,31.5,30.7,30.95,2809
2021-03-25T00:00:00+05:30,30.4,30.65,29.5,29.75,5149
2021-03-26T00:00:00+05:30,30.05,31.2,29.75,30.9,9706
2021-03-30T00:00:00+05:30,32.0,32.4,30.5,31.05,3826
2021-03-31T00:00:00+05:30,31.7,32.6,30.25,31.5,6047
2021-04-01T00:00:00+05:30,30.65,31.9,30.6,30.75,1407
2021-04-05T00:00:00+05:30,30.75,32.0,29.9,29.9,7602
2021-04-06T00:00:00+05:30,29.9,29.95,29.05,29.2,1017
2021-04-07T00:00:00+05:30,30.6,30.6,28.35,28.6,3861
2021-04-08T00:00:00+05:30,29.95,30.0,28.6,29.0,532
2021-04-09T00:00:00+05:30,30.0,30.0,29.05,29.9,2193
2021-04-12T00:00:00+05:30,28.75,28.9,28.45,28.55,1613
2021-04-13T00:00:00+05:30,27.7,28.9,27.5,27.85,2891
2021-04-15T00:00:00+05:30,27.85,29.0,27.25,27.45,1211
2021-04-16T00:00:00+05:30,28.75,28.8,28.05,28.75,1395
2021-04-19T00:00:00+05:30,28.75,28.75,27.4,27.6,2756
2021-04-20T00:00:00+05:30,28.9,28.9,26.25,26.55,9497
2021-04-22T00:00:00+05:30,27.7,27.7,25.85,27.15,1894
2021-04-23T00:00:00+05:30,28.1,28.1,26.35,27.0,3515
2021-04-26T00:00:00+05:30,27.0,28.15,27.0,27.6,1927
2021-04-27T00:00:00+05:30,28.65,28.95,26.95,28.95,3181
2021-04-28T00:00:00+05:30,30.3,30.35,30.3,30.35,3032
2021-04-29T00:00:00+05:30,30.35,31.5,29.3,29.55,1813
2021-04-30T00:00:00+05:30,30.85,30.95,28.55,28.8,10031
2021-05-03T00:00:00+05:30,29.9,29.9,27.45,28.85,5318
2021-05-04T00:00:00+05:30,30.0,30.0,28.6,28.8,7999
2021-05-05T00:00:00+05:30,28.25,30.0,28.25,29.7,4897
2021-05-06T00:00:00+05:30,30.9,31.0,28.45,28.7,8478
2021-05-07T00:00:00+05:30,28.65,29.6,28.0,28.45,2847
2021-05-10T00:00:00+05:30,28.35,29.85,27.8,29.3,6284
2021-05-11T00:00:00+05:30,28.8,29.8,28.55,29.4,3139
2021-05-12T00:00:00+05:30,29.55,30.45,28.95,29.65,12237
2021-05-14T00:00:00+05:30,28.45,30.8,28.45,30.5,14199
2021-05-17T00:00:00+05:30,30.35,30.5,29.6,29.7,5721
2021-05-18T00:00:00+05:30,29.7,30.4,28.7,29.55,8342
2021-05-19T00:00:00+05:30,30.95,30.95,29.25,29.4,8475
2021-05-20T00:00:00+05:30,28.5,30.05,28.5,29.75,4726
2021-05-21T00:00:00+05:30,29.45,30.35,29.25,29.55,5677
2021-05-24T00:00:00+05:30,30.25,30.25,29.3,29.5,8013
2021-05-25T00:00:00+05:30,29.9,29.9,29.05,29.6,4955
2021-05-26T00:00:00+05:30,29.6,31.05,29.1,30.95,14234
2021-05-27T00:00:00+05:30,31.0,32.45,30.35,32.1,22728
2021-05-28T00:00:00+05:30,32.45,33.55,31.55,31.7,15869
2021-05-31T00:00:00+05:30,33.8,33.8,33.8,33.8,16052
2021-06-01T00:00:00+05:30,35.45,35.45,32.65,34.75,60376
2021-06-02T00:00:00+05:30,36.3,36.45,35.2,36.45,18240
2021-06-03T00:00:00+05:30,38.25,38.25,38.0,38.25,31966
2021-06-04T00:00:00+05:30,40.15,40.15,38.6,40.15,22072
2021-06-07T00:00:00+05:30,42.15,42.15,41.05,42.15,11067
2021-06-08T00:00:00+05:30,44.25,44.25,44.25,44.25,4183
2021-06-09T00:00:00+05:30,46.45,46.45,46.45,46.45,24389
2021-06-10T00:00:00+05:30,48.75,48.75,44.15,48.75,93576
2021-06-11T00:00:00+05:30,50.7,51.15,46.6,51.15,27554
2021-06-14T00:00:00+05:30,53.6,53.6,48.6,49.75,49466
2021-06-15T00:00:00+05:30,50.5,51.1,47.3,47.45,28114
2021-06-16T00:00:00+05:30,49.3,49.8,45.1,45.5,43261
2021-06-17T00:00:00+05:30,46.9,46.9,43.25,43.25,12865
2021-06-18T00:00:00+05:30,44.7,44.7,41.1,42.65,18044
2021-06-21T00:00:00+05:30,44.45,44.75,40.7,44.75,9310
2021-06-22T00:00:00+05:30,46.75,46.95,45.3,46.95,5468
2021-06-23T00:00:00+05:30,49.25,49.25,49.25,49.25,7493
2021-06-24T00:00:00+05:30,51.7,51.7,50.25,51.7,15238
2021-06-25T00:00:00+05:30,54.25,54.25,50.7,51.55,25015
2021-06-28T00:00:00+05:30,53.0,54.1,52.0,53.9,18113
2021-06-29T00:00:00+05:30,53.9,56.45,51.25,53.05,5059
2021-06-30T00:00:00+05:30,53.05,54.7,50.4,52.6,8020
2021-07-01T00:00:00+05:30,52.6,54.2,51.05,52.2,6327
2021-07-02T00:00:00+05:30,52.2,52.2,50.25,50.5,3394
2021-07-05T00:00:00+05:30,52.75,52.75,50.5,52.75,4465
2021-07-06T00:00:00+05:30,52.2,55.35,51.5,55.3,24493
2021-07-07T00:00:00+05:30,55.35,58.05,53.7,57.35,23043
2021-07-08T00:00:00+05:30,57.35,59.75,55.8,58.85,12967
2021-07-09T00:00:00+05:30,59.5,59.95,57.2,58.65,5234
2021-07-12T00:00:00+05:30,60.9,60.9,56.0,56.6,5105
2021-07-13T00:00:00+05:30,57.5,57.85,56.1,56.25,2243
2021-07-14T00:00:00+05:30,56.25,59.0,54.0,57.75,4363
2021-07-15T00:00:00+05:30,59.0,59.0,55.05,56.0,3623
2021-07-16T00:00:00+05:30,56.0,56.0,53.4,55.45,4365
2021-07-19T00:00:00+05:30,54.55,57.3,52.7,55.0,2681
2021-07-20T00:00:00+05:30,52.6,55.6,52.6,54.6,6102
2021-07-22T00:00:00+05:30,55.7,55.7,52.05,53.1,4559
2021-07-23T00:00:00+05:30,53.2,55.75,52.3,53.1,5773
2021-07-26T00:00:00+05:30,53.2,55.0,53.15,54.1,4580
2021-07-27T00:00:00+05:30,55.25,55.5,51.4,53.8,4325
2021-07-28T00:00:00+05:30,52.05,54.4,52.0,53.9,3310
2021-07-29T00:00:00+05:30,52.5,55.25,52.5,54.45,2471
2021-07-30T00:00:00+05:30,53.4,55.45,52.35,54.25,7023
2021-08-02T00:00:00+05:30,53.6,55.45,53.6,54.4,6967
2021-08-03T00:00:00+05:30,53.65,57.1,53.65,56.8,10796
2021-08-04T00:00:00+05:30,59.6,59.6,55.1,57.2,19547
2021-08-05T00:00:00+05:30,57.5,57.5,54.55,55.55,8987
2021-08-06T00:00:00+05:30,55.55,57.55,53.15,54.3,6871
2021-08-09T00:00:00+05:30,55.0,57.0,53.0,55.75,9219
2021-08-10T00:00:00+05:30,57.45,57.45,53.1,53.5,7407
2021-08-11T00:00:00+05:30,54.95,54.95,50.85,52.6,9511
2021-08-12T00:00:00+05:30,54.8,55.0,52.4,54.75,4108
2021-08-13T00:00:00+05:30,57.25,57.45,52.65,53.4,15509
2021-08-16T00:00:00+05:30,55.0,55.0,50.75,51.75,8058
2021-08-17T00:00:00+05:30,50.8,51.4,49.2,49.25,8509
2021-08-18T00:00:00+05:30,49.25,51.05,47.05,47.6,1671
2021-08-20T00:00:00+05:30,45.35,49.95,45.35,49.95,11577
