datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,12.7,12.86,12.01,12.21,1263575
2021-03-10T00:00:00+05:30,12.29,12.46,12.01,12.17,1276286
2021-03-12T00:00:00+05:30,12.38,13.39,12.38,13.07,6490870
2021-03-15T00:00:00+05:30,13.31,13.31,12.58,13.03,2311685
2021-03-16T00:00:00+05:30,13.15,14.24,12.9,13.63,15624698
2021-03-17T00:00:00+05:30,13.8,13.88,12.74,12.94,2738574
2021-03-18T00:00:00+05:30,13.11,13.19,12.21,12.42,2035413
2021-03-19T00:00:00+05:30,12.17,12.42,11.36,12.38,2183360
2021-03-22T00:00:00+05:30,12.38,12.38,11.81,12.25,2368217
2021-03-23T00:00:00+05:30,12.38,12.54,12.25,12.38,1533656
2021-03-24T00:00:00+05:30,12.34,12.5,12.05,12.34,1257720
2021-03-25T00:00:00+05:30,12.38,12.38,11.56,11.77,1269217
2021-03-26T00:00:00+05:30,12.01,12.09,11.77,11.85,885055
2021-03-30T00:00:00+05:30,12.05,12.05,11.85,12.01,1487387
2021-03-31T00:00:00+05:30,11.97,12.29,11.73,12.01,655848
2021-04-01T00:00:00+05:30,12.17,12.98,11.81,12.46,6360576
2021-04-05T00:00:00+05:30,12.62,12.62,11.89,12.09,810133
2021-04-06T00:00:00+05:30,12.17,12.29,11.93,11.97,489548
2021-04-07T00:00:00+05:30,11.97,12.25,11.97,12.05,753421
2021-04-08T00:00:00+05:30,12.17,12.82,12.05,12.13,1852962
2021-04-09T00:00:00+05:30,12.25,12.7,12.05,12.21,1360551
2021-04-12T00:00:00+05:30,12.01,12.05,11.36,11.48,1568003
2021-04-13T00:00:00+05:30,11.44,11.77,11.44,11.65,478023
2021-04-15T00:00:00+05:30,11.61,11.73,11.36,11.65,478138
2021-04-16T00:00:00+05:30,11.69,11.73,11.48,11.56,328096
2021-04-19T00:00:00+05:30,11.36,11.36,10.55,11.08,577036
2021-04-20T00:00:00+05:30,11.24,11.44,11.04,11.12,268401
2021-04-22T00:00:00+05:30,11.28,11.61,11.04,11.4,579473
2021-04-23T00:00:00+05:30,11.48,11.65,11.2,11.56,1330643
2021-04-26T00:00:00+05:30,11.44,11.73,11.44,11.48,364902
2021-04-27T00:00:00+05:30,11.44,11.61,11.32,11.4,589782
2021-04-28T00:00:00+05:30,11.4,11.56,11.36,11.44,567648
2021-04-29T00:00:00+05:30,11.44,11.69,11.28,11.36,626686
2021-04-30T00:00:00+05:30,11.44,11.44,11.2,11.28,775457
2021-05-03T00:00:00+05:30,11.28,11.28,11.04,11.12,615468
2021-05-04T00:00:00+05:30,11.2,11.48,11.12,11.16,984420
2021-05-05T00:00:00+05:30,11.36,11.36,11.16,11.2,406072
2021-05-06T00:00:00+05:30,11.36,11.36,11.16,11.2,587401
2021-05-07T00:00:00+05:30,11.28,12.13,11.16,11.73,3548172
2021-05-10T00:00:00+05:30,11.73,11.93,11.65,11.73,1271880
2021-05-11T00:00:00+05:30,11.73,11.89,11.52,11.65,1410355
2021-05-12T00:00:00+05:30,11.85,12.38,11.73,11.89,3372741
2021-05-14T00:00:00+05:30,12.09,12.17,11.48,11.61,1346115
2021-05-17T00:00:00+05:30,11.61,11.85,11.61,11.73,665320
2021-05-18T00:00:00+05:30,11.81,12.05,11.56,11.77,1242226
2021-05-19T00:00:00+05:30,11.77,11.89,11.61,11.65,692774
2021-05-20T00:00:00+05:30,11.69,11.77,11.52,11.56,634682
2021-05-21T00:00:00+05:30,11.56,11.73,11.56,11.61,821814
2021-05-24T00:00:00+05:30,11.69,11.93,11.65,11.81,1246104
2021-05-25T00:00:00+05:30,11.85,14.16,11.69,13.47,20184172
2021-05-26T00:00:00+05:30,13.59,13.59,12.82,12.94,2791059
2021-05-27T00:00:00+05:30,12.94,13.07,12.46,12.66,1726834
2021-05-28T00:00:00+05:30,12.66,12.82,12.09,12.34,1995539
2021-05-31T00:00:00+05:30,12.34,12.38,11.85,11.89,2022100
2021-06-01T00:00:00+05:30,11.93,12.09,11.73,11.93,1228713
2021-06-02T00:00:00+05:30,11.61,12.58,11.61,12.46,1902927
2021-06-03T00:00:00+05:30,12.74,12.74,12.17,12.29,1135500
2021-06-04T00:00:00+05:30,12.34,13.11,12.09,12.5,3913064
2021-06-07T00:00:00+05:30,12.34,12.98,12.25,12.46,3937637
2021-06-08T00:00:00+05:30,12.46,12.54,12.29,12.34,1043825
