datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,36.1,38.1,36.1,37.49,953
2021-03-10T00:00:00+05:30,37.6,38.0,36.8,37.4,2763
2021-03-12T00:00:00+05:30,38.2,38.2,37.02,37.93,1759
2021-03-15T00:00:00+05:30,38.0,38.0,36.5,37.69,1504
2021-03-16T00:00:00+05:30,37.21,38.49,36.51,37.71,1673
2021-03-17T00:00:00+05:30,37.99,37.99,37.01,37.78,938
2021-03-18T00:00:00+05:30,40.98,40.98,37.0,37.73,1370
2021-03-19T00:00:00+05:30,37.73,37.73,35.06,37.2,14250
2021-03-22T00:00:00+05:30,38.31,38.31,35.4,36.67,4301
2021-03-23T00:00:00+05:30,38.0,38.0,35.63,36.59,2442
2021-03-24T00:00:00+05:30,37.48,37.48,36.16,36.95,850
2021-03-25T00:00:00+05:30,36.95,36.95,35.06,36.04,2148
2021-03-26T00:00:00+05:30,36.0,38.8,36.0,38.06,1529
2021-03-30T00:00:00+05:30,38.82,39.0,36.17,38.4,34316
2021-03-31T00:00:00+05:30,37.24,38.35,37.24,37.35,1056
2021-04-01T00:00:00+05:30,38.1,38.1,36.23,37.99,263
2021-04-05T00:00:00+05:30,39.0,39.0,36.51,36.79,2440
2021-04-06T00:00:00+05:30,36.8,38.0,36.8,37.15,1028
2021-04-07T00:00:00+05:30,35.75,38.0,35.3,36.9,5776
2021-04-08T00:00:00+05:30,38.0,38.3,36.83,38.08,854
2021-04-09T00:00:00+05:30,37.1,38.74,36.81,36.81,3159
2021-04-12T00:00:00+05:30,38.5,38.5,36.85,36.9,976
2021-04-13T00:00:00+05:30,36.9,39.0,36.4,36.67,3891
2021-04-15T00:00:00+05:30,37.99,37.99,36.5,36.78,1333
2021-04-16T00:00:00+05:30,37.7,37.7,36.25,36.33,781
2021-04-19T00:00:00+05:30,37.5,37.92,36.01,37.48,2907
2021-04-20T00:00:00+05:30,37.49,37.74,36.01,37.6,1658
2021-04-22T00:00:00+05:30,37.49,38.87,36.48,37.71,1580
2021-04-23T00:00:00+05:30,37.1,38.88,36.25,36.52,10597
2021-04-26T00:00:00+05:30,37.8,37.8,36.12,36.31,3772
2021-04-27T00:00:00+05:30,35.23,36.95,35.23,36.31,3989
2021-04-28T00:00:00+05:30,36.01,36.95,36.01,36.77,3009
2021-04-29T00:00:00+05:30,36.3,36.97,36.15,36.9,2042
2021-04-30T00:00:00+05:30,36.99,37.44,36.4,36.52,3259
2021-05-03T00:00:00+05:30,35.26,37.45,35.26,37.4,2387
2021-05-04T00:00:00+05:30,37.98,37.98,36.43,36.6,385
2021-05-05T00:00:00+05:30,36.51,37.59,36.51,37.39,594
2021-05-06T00:00:00+05:30,37.39,37.57,36.51,37.56,1592
2021-05-07T00:00:00+05:30,37.57,38.0,36.6,37.83,439
2021-05-10T00:00:00+05:30,38.98,38.98,36.5,37.39,1663
2021-05-11T00:00:00+05:30,37.99,37.99,36.3,37.32,783
2021-05-12T00:00:00+05:30,37.32,37.97,36.33,37.05,1553
2021-05-14T00:00:00+05:30,37.89,37.89,36.51,36.81,1055
2021-05-17T00:00:00+05:30,37.55,37.78,36.51,37.48,810
2021-05-18T00:00:00+05:30,37.49,37.75,36.91,37.75,3060
2021-05-19T00:00:00+05:30,37.32,38.0,36.52,37.94,3880
2021-05-20T00:00:00+05:30,38.98,38.98,36.76,37.9,1007
2021-05-21T00:00:00+05:30,36.52,38.9,36.5,37.74,6692
2021-05-24T00:00:00+05:30,40.6,40.6,37.13,37.5,1811
2021-05-25T00:00:00+05:30,37.25,39.49,37.0,37.26,2014
2021-05-26T00:00:00+05:30,37.49,38.75,37.26,38.3,8574
2021-05-27T00:00:00+05:30,37.26,39.0,37.26,37.88,3249
2021-05-28T00:00:00+05:30,38.79,38.79,38.02,38.72,722
2021-05-31T00:00:00+05:30,38.7,39.49,37.58,38.89,1420
2021-06-01T00:00:00+05:30,38.89,39.47,37.5,38.06,3734
2021-06-02T00:00:00+05:30,39.2,39.2,37.85,38.03,2037
2021-06-03T00:00:00+05:30,38.91,39.44,38.05,38.83,2196
2021-06-04T00:00:00+05:30,38.1,39.3,37.22,38.46,4126
2021-06-07T00:00:00+05:30,38.45,39.74,38.27,39.5,16392
2021-06-08T00:00:00+05:30,39.5,39.57,39.0,39.54,2454
2021-06-09T00:00:00+05:30,39.54,40.0,39.01,39.89,1111
2021-06-10T00:00:00+05:30,41.0,41.0,39.7,40.0,436
2021-06-11T00:00:00+05:30,40.8,40.8,39.15,40.26,1059
2021-06-14T00:00:00+05:30,41.0,46.0,39.52,41.39,5132
2021-06-15T00:00:00+05:30,40.15,42.63,40.08,40.5,8674
2021-06-16T00:00:00+05:30,41.35,41.35,40.15,40.35,3121
2021-06-17T00:00:00+05:30,41.56,41.9,40.1,40.56,1152
2021-06-18T00:00:00+05:30,41.87,41.87,39.9,39.97,990
2021-06-21T00:00:00+05:30,40.8,42.02,39.58,40.14,2191
2021-06-22T00:00:00+05:30,40.14,40.96,38.7,39.84,90166
2021-06-23T00:00:00+05:30,40.33,40.39,39.85,39.91,1267
2021-06-24T00:00:00+05:30,40.99,40.99,38.3,40.59,1723
2021-06-25T00:00:00+05:30,39.8,40.99,39.01,40.16,1631
2021-06-28T00:00:00+05:30,39.01,40.99,39.01,40.02,1816
2021-06-29T00:00:00+05:30,39.7,40.29,39.12,39.98,2593
2021-06-30T00:00:00+05:30,40.98,40.98,39.75,39.81,9446
2021-07-01T00:00:00+05:30,40.65,41.59,39.82,40.5,1630
2021-07-02T00:00:00+05:30,41.4,41.57,40.12,40.24,1691
2021-07-05T00:00:00+05:30,44.6,48.3,39.34,40.77,291106
2021-07-06T00:00:00+05:30,41.59,42.45,40.0,40.26,25211
2021-07-07T00:00:00+05:30,40.69,40.69,39.67,40.16,5465
2021-07-08T00:00:00+05:30,40.05,40.48,39.5,40.26,11912
2021-07-09T00:00:00+05:30,40.9,40.97,39.41,39.7,8136
2021-07-12T00:00:00+05:30,40.9,40.9,39.64,40.36,5860
2021-07-13T00:00:00+05:30,40.48,40.5,39.33,40.36,4822
2021-07-14T00:00:00+05:30,40.15,40.9,39.3,40.01,14930
2021-07-15T00:00:00+05:30,40.01,40.93,39.89,40.83,16561
2021-07-16T00:00:00+05:30,41.9,41.9,40.03,40.46,6285
2021-07-19T00:00:00+05:30,41.14,41.14,40.1,40.91,3471
2021-07-20T00:00:00+05:30,41.12,41.12,40.1,40.35,1178
2021-07-22T00:00:00+05:30,41.48,41.48,40.13,41.0,10122
2021-07-23T00:00:00+05:30,41.08,41.45,40.3,41.34,7814
2021-07-26T00:00:00+05:30,46.98,46.98,40.55,41.05,2679
2021-07-27T00:00:00+05:30,42.28,42.28,40.45,40.63,3349
2021-07-28T00:00:00+05:30,40.63,41.25,40.06,40.97,4216
2021-07-29T00:00:00+05:30,45.0,45.0,40.3,41.29,10157
2021-07-30T00:00:00+05:30,45.31,45.31,40.3,41.2,4134
2021-08-02T00:00:00+05:30,42.5,45.0,40.31,41.35,5639
2021-08-03T00:00:00+05:30,41.3,43.0,40.52,41.8,4421
2021-08-04T00:00:00+05:30,41.8,43.0,41.8,41.8,5898
2021-08-05T00:00:00+05:30,43.37,43.65,41.0,41.66,4272
2021-08-06T00:00:00+05:30,43.98,43.98,40.51,41.8,5973
2021-08-09T00:00:00+05:30,42.65,42.65,41.24,41.81,10352
2021-08-10T00:00:00+05:30,43.0,43.0,41.75,41.81,2666
2021-08-11T00:00:00+05:30,43.0,43.0,40.1,41.54,6206
2021-08-12T00:00:00+05:30,43.48,43.48,40.16,42.01,11147
2021-08-13T00:00:00+05:30,41.5,43.97,41.5,42.4,7505
2021-08-16T00:00:00+05:30,42.4,44.8,42.4,42.51,12804
2021-08-17T00:00:00+05:30,46.3,46.3,41.16,43.0,2835
2021-08-18T00:00:00+05:30,43.05,44.9,42.5,43.12,3071
2021-08-20T00:00:00+05:30,43.07,43.5,41.2,42.79,3082
2021-08-23T00:00:00+05:30,42.79,43.65,41.16,42.8,2791
2021-08-24T00:00:00+05:30,44.0,44.0,42.0,43.1,6875
2021-08-25T00:00:00+05:30,43.1,44.0,42.5,43.25,2301
2021-08-26T00:00:00+05:30,48.2,48.2,42.96,43.15,1628
2021-08-27T00:00:00+05:30,43.15,43.6,42.97,43.29,2966
2021-08-30T00:00:00+05:30,44.2,44.29,43.45,43.75,8120
2021-08-31T00:00:00+05:30,43.5,44.2,42.99,43.68,2187
2021-09-01T00:00:00+05:30,42.85,44.45,42.85,44.03,3556
2021-09-02T00:00:00+05:30,46.48,46.48,43.0,43.96,3574
2021-09-03T00:00:00+05:30,45.27,45.27,43.5,44.55,5837
2021-09-06T00:00:00+05:30,45.88,46.9,43.56,44.64,11024
2021-09-07T00:00:00+05:30,45.55,46.99,44.5,44.5,3049
2021-09-08T00:00:00+05:30,43.56,45.32,43.56,44.6,3185
2021-09-09T00:00:00+05:30,45.5,47.87,44.4,44.63,2363
2021-09-13T00:00:00+05:30,45.96,48.0,43.62,44.91,20863
2021-09-14T00:00:00+05:30,44.91,45.7,44.44,44.83,4404
2021-09-15T00:00:00+05:30,44.02,45.65,44.02,45.65,5936
2021-09-16T00:00:00+05:30,47.0,47.0,45.59,45.61,3521
2021-09-17T00:00:00+05:30,46.97,46.97,45.5,45.53,2973
2021-09-20T00:00:00+05:30,44.65,46.98,44.06,45.02,9354
