datetime,open,high,low,close,volume
2024-09-16T00:00:00+05:30,53.4,53.4,51.88,52.25,5790
2024-09-17T00:00:00+05:30,53.56,53.56,51.5,52.05,980704
2024-09-18T00:00:00+05:30,53.36,53.36,51.71,52.44,778729
2024-09-19T00:00:00+05:30,53.76,53.76,52.71,52.86,219992
2024-09-20T00:00:00+05:30,53.74,53.74,53.2,53.53,23866
2024-09-23T00:00:00+05:30,54.87,54.97,53.3,53.98,5234
2024-09-24T00:00:00+05:30,55.33,55.33,53.03,53.73,3480
2024-09-25T00:00:00+05:30,55.08,55.08,53.83,53.94,1853
2024-09-26T00:00:00+05:30,54.6,54.99,53.91,54.83,1299
2024-09-27T00:00:00+05:30,56.21,56.21,53.6,55.0,10510
2024-09-30T00:00:00+05:30,56.38,56.38,53.06,55.9,80254
2024-10-01T00:00:00+05:30,54.85,54.85,52.77,53.09,9713
2024-10-03T00:00:00+05:30,53.3,53.3,52.0,52.14,9487
2024-10-04T00:00:00+05:30,53.6,53.6,51.14,51.88,10322
2024-10-07T00:00:00+05:30,51.57,51.57,50.45,51.25,5421
2024-10-08T00:00:00+05:30,51.1,51.3,50.99,51.12,2763
2024-10-09T00:00:00+05:30,51.12,51.71,50.55,51.26,2713
2024-10-10T00:00:00+05:30,51.26,51.52,51.12,51.46,1877
2024-10-11T00:00:00+05:30,51.46,51.74,51.0,51.42,1772
2024-10-14T00:00:00+05:30,51.4,51.93,50.78,51.87,3788
2024-10-15T00:00:00+05:30,52.48,52.48,51.35,51.8,2688
2024-10-16T00:00:00+05:30,51.8,52.19,51.8,51.81,2382
2024-10-17T00:00:00+05:30,51.55,51.56,51.08,51.53,1243
2024-10-18T00:00:00+05:30,51.56,52.3,51.4,51.97,1150
2024-10-21T00:00:00+05:30,51.97,52.49,51.77,51.83,1597
2024-10-22T00:00:00+05:30,51.83,52.46,51.08,51.08,201969
2024-10-23T00:00:00+05:30,51.29,51.68,51.02,51.07,198773
2024-10-24T00:00:00+05:30,51.41,51.98,51.41,51.98,195799
2024-10-25T00:00:00+05:30,51.53,52.24,50.24,51.06,391316
2024-10-28T00:00:00+05:30,52.24,52.24,51.05,51.26,1639
2024-10-29T00:00:00+05:30,51.58,52.3,51.42,52.14,9531
2024-10-30T00:00:00+05:30,52.02,52.16,51.6,51.66,5407
2024-10-31T00:00:00+05:30,51.66,52.16,51.26,51.59,3758
2024-11-01T00:00:00+05:30,51.58,51.94,51.2,51.78,415
2024-11-04T00:00:00+05:30,51.78,52.49,50.83,51.15,1682
2024-11-05T00:00:00+05:30,51.25,52.36,50.88,52.06,1804
2024-11-06T00:00:00+05:30,52.36,52.5,52.11,52.3,1970
2024-11-07T00:00:00+05:30,52.4,52.4,51.6,51.68,941
2024-11-08T00:00:00+05:30,51.78,51.78,51.45,51.73,745
2024-11-11T00:00:00+05:30,51.6,52.2,51.13,52.03,886
2024-11-12T00:00:00+05:30,52.0,52.0,51.06,51.36,1274
2024-11-13T00:00:00+05:30,51.3,51.37,50.19,50.19,3166
2024-11-14T00:00:00+05:30,50.19,50.69,50.0,50.34,3106
2024-11-18T00:00:00+05:30,50.34,50.55,49.63,50.46,1449
2024-11-19T00:00:00+05:30,50.58,51.09,50.58,50.63,1045
2024-11-21T00:00:00+05:30,50.64,51.5,50.01,50.27,989
2024-11-22T00:00:00+05:30,51.1,51.3,50.51,51.24,932
2024-11-25T00:00:00+05:30,51.61,52.67,51.61,52.0,2415
2024-11-26T00:00:00+05:30,52.3,52.3,52.0,52.15,161
2024-11-27T00:00:00+05:30,52.3,52.34,52.2,52.33,1018
2024-11-28T00:00:00+05:30,51.03,52.67,51.03,51.7,2911
2024-11-29T00:00:00+05:30,51.81,52.0,51.7,51.87,309
2024-12-02T00:00:00+05:30,52.06,52.25,51.6,52.23,913
2024-12-03T00:00:00+05:30,52.58,52.92,52.39,52.6,3083
2024-12-04T00:00:00+05:30,52.6,53.2,52.6,53.04,13812
2024-12-05T00:00:00+05:30,52.92,53.75,52.04,53.45,20168
2024-12-06T00:00:00+05:30,53.42,53.88,52.5,53.27,2233
2024-12-09T00:00:00+05:30,53.69,53.85,53.19,53.21,2034
2024-12-10T00:00:00+05:30,53.34,53.8,53.16,53.49,893
2024-12-11T00:00:00+05:30,53.66,53.66,52.0,52.34,4904
2024-12-12T00:00:00+05:30,53.27,53.55,53.02,53.35,3588
2024-12-13T00:00:00+05:30,52.77,53.5,52.48,53.49,4870
2024-12-16T00:00:00+05:30,53.49,53.8,53.33,53.53,3957
2024-12-17T00:00:00+05:30,53.33,53.34,52.85,52.93,1492
2024-12-18T00:00:00+05:30,52.83,52.86,52.0,52.26,425
2024-12-19T00:00:00+05:30,51.58,52.9,51.35,51.77,3907
2024-12-20T00:00:00+05:30,50.79,52.15,50.65,50.78,203234
2024-12-23T00:00:00+05:30,50.99,51.48,50.99,51.31,2232
2024-12-24T00:00:00+05:30,51.3,51.44,50.98,51.44,2866
2024-12-26T00:00:00+05:30,51.44,51.55,51.0,51.2,2465
2024-12-27T00:00:00+05:30,51.73,51.74,51.16,51.48,767
2024-12-30T00:00:00+05:30,51.45,51.84,50.94,51.09,1642
2024-12-31T00:00:00+05:30,50.94,50.98,50.67,50.98,286
2025-01-01T00:00:00+05:30,50.77,51.34,50.5,51.11,253
2025-01-02T00:00:00+05:30,51.11,51.75,51.11,51.61,577
2025-01-03T00:00:00+05:30,51.77,51.83,51.01,51.44,1297
2025-01-06T00:00:00+05:30,50.8,50.89,49.87,50.35,5188
2025-01-07T00:00:00+05:30,50.24,50.52,50.17,50.34,782
2025-01-08T00:00:00+05:30,50.34,50.34,49.23,49.76,7446
2025-01-09T00:00:00+05:30,51.01,51.01,49.2,49.58,498
2025-01-10T00:00:00+05:30,49.63,49.63,48.49,48.85,2716
2025-01-13T00:00:00+05:30,48.75,49.11,47.23,48.13,2833
2025-01-14T00:00:00+05:30,48.89,49.1,48.23,48.81,1200
2025-01-15T00:00:00+05:30,48.81,49.17,48.63,48.88,1644
2025-01-16T00:00:00+05:30,49.19,49.48,48.03,48.98,1300
2025-01-17T00:00:00+05:30,48.99,48.99,48.4,48.67,3023
2025-01-20T00:00:00+05:30,49.12,49.51,49.12,49.51,788
2025-01-21T00:00:00+05:30,49.27,49.56,48.55,48.65,3953
2025-01-22T00:00:00+05:30,48.86,48.86,47.93,48.85,1775
2025-01-23T00:00:00+05:30,48.84,48.98,48.3,48.71,1487
2025-01-24T00:00:00+05:30,48.71,49.01,48.07,48.22,1959
2025-01-27T00:00:00+05:30,48.0,48.19,48.0,48.01,584
2025-01-28T00:00:00+05:30,48.29,49.12,48.29,48.96,3537
2025-01-29T00:00:00+05:30,48.96,49.34,48.96,49.27,2068
2025-01-30T00:00:00+05:30,49.27,49.27,48.92,49.27,359
2025-01-31T00:00:00+05:30,49.27,49.79,49.0,49.37,1998
2025-02-01T00:00:00+05:30,49.94,49.94,49.0,49.35,927
2025-02-03T00:00:00+05:30,49.35,49.43,48.74,49.32,419
2025-02-04T00:00:00+05:30,49.35,50.3,49.35,50.14,2357
2025-02-05T00:00:00+05:30,50.23,50.55,50.16,50.54,581
2025-02-06T00:00:00+05:30,50.24,50.5,50.07,50.48,81
2025-02-07T00:00:00+05:30,50.48,51.0,49.78,50.12,586
2025-02-10T00:00:00+05:30,49.97,50.12,49.67,50.09,308
2025-02-11T00:00:00+05:30,49.77,49.81,49.37,49.39,2302
2025-02-12T00:00:00+05:30,49.21,49.89,48.58,49.81,1648
2025-02-13T00:00:00+05:30,49.66,49.81,49.19,49.32,495
2025-02-14T00:00:00+05:30,49.49,49.56,48.69,49.22,1247
2025-02-17T00:00:00+05:30,49.1,49.36,48.39,49.36,1754
2025-02-18T00:00:00+05:30,49.36,49.36,48.72,48.9,9466
2025-02-19T00:00:00+05:30,49.02,49.61,49.02,49.61,1926
2025-02-20T00:00:00+05:30,49.36,49.59,49.12,49.59,51
2025-02-21T00:00:00+05:30,49.41,49.42,48.74,48.76,589
2025-02-24T00:00:00+05:30,48.63,49.95,48.15,49.37,972
2025-02-25T00:00:00+05:30,48.98,49.0,48.52,48.77,364
2025-02-27T00:00:00+05:30,48.78,49.02,48.67,48.79,263
2025-02-28T00:00:00+05:30,48.79,48.79,48.0,48.4,485
2025-03-03T00:00:00+05:30,47.94,48.26,47.6,48.26,2128
2025-03-04T00:00:00+05:30,48.0,48.48,47.99,48.35,1021
2025-03-05T00:00:00+05:30,48.68,48.68,48.12,48.61,189
2025-03-06T00:00:00+05:30,48.65,48.81,48.13,48.81,542
2025-03-07T00:00:00+05:30,48.67,48.69,48.17,48.57,1992
2025-03-10T00:00:00+05:30,48.57,48.62,48.35,48.44,557
2025-03-11T00:00:00+05:30,48.07,48.44,47.7,47.96,3727
2025-03-12T00:00:00+05:30,48.23,48.26,47.79,48.0,436
2025-03-13T00:00:00+05:30,48.24,48.24,48.0,48.07,91
2025-03-17T00:00:00+05:30,47.83,48.59,47.83,48.32,693
2025-03-18T00:00:00+05:30,48.8,50.2,48.78,48.94,880
2025-03-19T00:00:00+05:30,49.38,49.9,49.38,49.55,4963
2025-03-20T00:00:00+05:30,49.62,50.23,49.62,50.04,1378
2025-03-21T00:00:00+05:30,50.27,50.77,49.74,50.58,5058
2025-03-24T00:00:00+05:30,50.86,51.87,50.85,51.62,5231
2025-03-25T00:00:00+05:30,51.62,52.07,51.4,51.82,3547
2025-03-26T00:00:00+05:30,51.82,51.88,51.01,51.28,1823
2025-03-27T00:00:00+05:30,51.12,51.92,51.12,51.61,805
2025-03-28T00:00:00+05:30,51.86,51.96,51.2,51.89,408
