datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,65.35,65.35,62.0,63.9,10487
2024-02-06T00:00:00+05:30,64.9,64.9,63.4,63.95,31783
2024-02-07T00:00:00+05:30,63.95,64.35,63.9,64.35,2030
2024-02-08T00:00:00+05:30,64.35,64.35,64.0,64.0,1593
2024-02-09T00:00:00+05:30,64.0,64.4,64.0,64.4,398
2024-02-12T00:00:00+05:30,64.9,64.9,63.8,64.1,507
2024-02-13T00:00:00+05:30,64.1,64.2,62.0,63.8,70089
2024-02-14T00:00:00+05:30,64.15,64.15,62.85,62.9,16052
2024-02-15T00:00:00+05:30,63.0,63.4,62.85,63.2,956
2024-02-16T00:00:00+05:30,64.15,64.15,62.8,63.15,391
2024-02-19T00:00:00+05:30,63.4,63.9,63.2,63.85,3781
2024-02-20T00:00:00+05:30,63.85,63.85,63.4,63.8,5743
2024-02-21T00:00:00+05:30,64.0,64.0,63.65,63.95,39320
2024-02-22T00:00:00+05:30,63.95,64.0,63.65,63.65,739
2024-02-23T00:00:00+05:30,63.8,63.8,63.45,63.5,499
2024-02-26T00:00:00+05:30,63.6,64.0,63.6,63.95,342
2024-02-27T00:00:00+05:30,63.95,64.05,63.6,63.7,1081
2024-02-28T00:00:00+05:30,64.0,64.15,63.7,63.85,13080
2024-02-29T00:00:00+05:30,63.95,64.05,63.7,63.7,122444
2024-03-01T00:00:00+05:30,64.0,64.15,63.95,63.95,22
2024-03-02T00:00:00+05:30,65.0,65.25,64.4,64.7,647
2024-03-04T00:00:00+05:30,64.95,65.2,64.75,64.95,10102
2024-03-05T00:00:00+05:30,65.0,65.95,64.8,65.9,4019
2024-03-06T00:00:00+05:30,66.0,66.6,65.4,66.0,10130
2024-03-07T00:00:00+05:30,66.2,67.0,66.2,66.6,27475
2024-03-11T00:00:00+05:30,67.2,67.6,67.2,67.6,1591
2024-03-12T00:00:00+05:30,68.45,68.45,66.25,67.4,1476
2024-03-13T00:00:00+05:30,67.4,67.4,66.5,67.1,9528
2024-03-14T00:00:00+05:30,67.2,67.7,67.1,67.45,762
2024-03-15T00:00:00+05:30,67.6,67.8,67.0,67.4,20530
2024-03-18T00:00:00+05:30,67.55,67.55,66.85,67.2,19145
2024-03-19T00:00:00+05:30,67.45,67.45,67.05,67.05,204
2024-03-20T00:00:00+05:30,67.9,67.9,67.1,67.5,319
2024-03-21T00:00:00+05:30,67.9,68.8,67.9,68.35,26378
2024-03-22T00:00:00+05:30,68.15,68.2,67.6,67.85,42143
2024-03-26T00:00:00+05:30,67.8,67.85,67.65,67.8,169
2024-03-27T00:00:00+05:30,67.8,67.8,67.8,67.8,9
2024-04-01T00:00:00+05:30,68.65,70.8,68.65,70.75,3450
2024-04-02T00:00:00+05:30,71.65,71.65,69.9,70.5,3731
2024-04-03T00:00:00+05:30,70.85,71.4,70.65,70.65,234397
2024-04-04T00:00:00+05:30,71.3,71.7,70.95,71.0,601530
2024-04-05T00:00:00+05:30,71.1,71.45,71.05,71.35,347
2024-04-08T00:00:00+05:30,71.95,72.85,71.95,72.3,754900
2024-04-09T00:00:00+05:30,72.85,73.25,72.85,73.05,83658
2024-04-10T00:00:00+05:30,73.05,73.4,73.05,73.1,48590
2024-04-12T00:00:00+05:30,73.3,74.8,73.0,74.75,7042
