datetime,open,high,low,close,volume
2022-11-30T00:00:00+05:30,17.5,20.45,17.5,20.45,32093
2022-12-01T00:00:00+05:30,20.45,20.45,17.15,17.4,265377
2022-12-02T00:00:00+05:30,17.95,17.95,17.1,17.35,32108
2022-12-05T00:00:00+05:30,17.9,17.9,17.0,17.25,41344
2022-12-06T00:00:00+05:30,17.4,17.4,17.0,17.2,13671
2022-12-07T00:00:00+05:30,17.35,17.4,17.1,17.15,23905
2022-12-08T00:00:00+05:30,17.5,17.5,17.1,17.15,5578
2022-12-09T00:00:00+05:30,17.25,17.55,17.0,17.15,19150
2022-12-12T00:00:00+05:30,17.7,17.7,17.0,17.05,35534
2022-12-13T00:00:00+05:30,17.05,17.25,17.0,17.2,15020
2022-12-14T00:00:00+05:30,17.2,17.34,17.05,17.31,29465
2022-12-15T00:00:00+05:30,17.8,17.8,17.1,17.3,16396
2022-12-16T00:00:00+05:30,17.3,17.55,17.1,17.15,45425
2022-12-19T00:00:00+05:30,17.25,17.35,17.15,17.25,10170
2022-12-20T00:00:00+05:30,20.2,20.2,16.95,17.15,17341
2022-12-21T00:00:00+05:30,17.25,17.65,17.1,17.35,19772
2022-12-22T00:00:00+05:30,17.65,17.65,17.0,17.05,8162
2022-12-23T00:00:00+05:30,17.05,17.35,17.0,17.15,8710
2022-12-26T00:00:00+05:30,17.7,17.7,16.7,16.85,27509
2022-12-27T00:00:00+05:30,16.85,17.2,16.7,16.85,22171
2022-12-28T00:00:00+05:30,16.86,17.11,16.33,16.81,26203
2022-12-29T00:00:00+05:30,16.85,17.5,16.33,16.7,41851
2022-12-30T00:00:00+05:30,17.0,17.0,16.4,16.8,59289
2023-01-02T00:00:00+05:30,16.68,18.14,16.68,16.99,5251
2023-01-03T00:00:00+05:30,17.0,17.25,16.8,16.97,11429
2023-01-04T00:00:00+05:30,16.85,17.14,16.76,16.93,21472
2023-01-05T00:00:00+05:30,18.95,18.95,16.65,16.99,22187
2023-01-06T00:00:00+05:30,16.8,16.95,16.6,16.94,19143
2023-01-09T00:00:00+05:30,18.7,18.7,16.22,16.75,9886
2023-01-10T00:00:00+05:30,18.4,18.4,16.35,16.54,13250
2023-01-11T00:00:00+05:30,16.51,16.58,16.49,16.49,11936
2023-01-12T00:00:00+05:30,16.16,16.75,16.03,16.54,8386
2023-01-13T00:00:00+05:30,16.3,16.75,16.2,16.48,15046
2023-01-16T00:00:00+05:30,16.97,16.98,16.26,16.54,13475
2023-01-17T00:00:00+05:30,16.59,16.6,16.55,16.55,10282
2023-01-18T00:00:00+05:30,16.65,16.68,16.6,16.64,2609
2023-01-19T00:00:00+05:30,17.0,17.0,16.61,16.67,2085
2023-01-20T00:00:00+05:30,17.17,17.17,16.55,16.58,4022
2023-01-23T00:00:00+05:30,16.41,16.7,16.41,16.55,2190
2023-01-24T00:00:00+05:30,17.04,17.04,16.55,16.61,1272
2023-01-25T00:00:00+05:30,16.61,16.85,16.16,16.39,10639
