datetime,open,high,low,close,volume
2024-05-13T00:00:00+05:30,58.44,58.75,56.99,57.46,411320
2024-05-14T00:00:00+05:30,58.47,58.47,57.1,57.23,234966
2024-05-15T00:00:00+05:30,58.95,58.95,56.65,56.79,200153
2024-05-16T00:00:00+05:30,56.79,57.2,56.3,56.97,247854
2024-05-17T00:00:00+05:30,57.05,57.47,56.9,57.28,116141
2024-05-18T00:00:00+05:30,57.63,57.64,57.19,57.44,43229
2024-05-21T00:00:00+05:30,58.34,58.95,56.91,57.18,264701
2024-05-22T00:00:00+05:30,57.43,58.08,57.21,57.98,548329
2024-05-23T00:00:00+05:30,58.29,58.29,57.66,57.99,197362
2024-05-24T00:00:00+05:30,57.98,58.5,57.63,57.87,255978
2024-05-27T00:00:00+05:30,58.35,58.35,57.45,57.52,356309
2024-05-28T00:00:00+05:30,57.6,57.83,57.35,57.45,182551
2024-05-29T00:00:00+05:30,57.36,57.8,57.1,57.22,368212
2024-05-30T00:00:00+05:30,57.19,57.75,56.32,56.47,256009
2024-05-31T00:00:00+05:30,58.15,58.15,56.15,56.31,178539
2024-06-03T00:00:00+05:30,56.93,57.69,56.41,56.58,279987
2024-06-04T00:00:00+05:30,58.3,58.77,55.91,57.81,1023057
2024-06-05T00:00:00+05:30,57.96,67.95,57.96,60.45,4434184
2024-06-06T00:00:00+05:30,61.0,61.22,58.91,59.79,1657682
2024-06-07T00:00:00+05:30,60.47,60.85,59.95,60.72,9980594
2024-06-10T00:00:00+05:30,60.72,61.38,60.21,60.58,4340205
2024-06-11T00:00:00+05:30,60.93,61.27,60.3,60.44,2131690
2024-06-12T00:00:00+05:30,60.58,60.58,60.06,60.11,3029323
2024-06-13T00:00:00+05:30,60.15,60.74,59.7,59.77,1189951
2024-06-14T00:00:00+05:30,59.77,60.38,59.27,59.79,678320
2024-06-18T00:00:00+05:30,60.94,60.95,59.81,59.98,616026
2024-06-19T00:00:00+05:30,60.01,60.34,59.26,59.39,610764
2024-06-20T00:00:00+05:30,59.6,59.84,59.08,59.47,454859
2024-06-21T00:00:00+05:30,59.77,59.78,58.5,58.76,954002
2024-06-24T00:00:00+05:30,58.76,59.11,58.5,59.08,318678
2024-06-25T00:00:00+05:30,59.48,59.48,58.75,58.97,313227
2024-06-26T00:00:00+05:30,58.98,59.32,58.6,59.18,362832
2024-06-27T00:00:00+05:30,59.2,59.5,58.95,59.24,338174
2024-06-28T00:00:00+05:30,59.0,59.8,59.0,59.57,966869
2024-07-01T00:00:00+05:30,59.6,59.93,59.26,59.82,367338
2024-07-02T00:00:00+05:30,60.1,60.33,59.2,59.7,423913
2024-07-03T00:00:00+05:30,59.97,59.97,59.33,59.78,303485
2024-07-04T00:00:00+05:30,61.55,61.55,59.71,59.83,522412
2024-07-05T00:00:00+05:30,59.84,60.49,59.81,60.31,670522
2024-07-08T00:00:00+05:30,60.67,61.59,60.5,61.44,3099867
2024-07-09T00:00:00+05:30,61.5,62.29,61.45,62.04,1571034
2024-07-10T00:00:00+05:30,62.26,62.47,61.27,62.21,1367526
2024-07-11T00:00:00+05:30,62.29,62.45,61.72,62.32,784955
2024-07-12T00:00:00+05:30,62.32,62.65,62.13,62.6,1070071
2024-07-15T00:00:00+05:30,62.91,63.01,62.47,62.96,706655
2024-07-16T00:00:00+05:30,63.09,63.79,62.91,63.48,915233
2024-07-18T00:00:00+05:30,63.6,64.18,63.19,64.07,1046524
2024-07-19T00:00:00+05:30,64.56,64.6,63.27,63.89,1148294
2024-07-22T00:00:00+05:30,63.88,64.4,62.0,63.79,932966
2024-07-23T00:00:00+05:30,64.29,66.0,63.76,65.46,1629373
2024-07-24T00:00:00+05:30,66.0,66.97,64.81,65.2,1123644
2024-07-25T00:00:00+05:30,65.21,65.98,64.41,65.02,612380
2024-07-26T00:00:00+05:30,65.3,65.82,64.77,65.63,532089
2024-07-29T00:00:00+05:30,65.7,66.3,65.21,65.4,646121
2024-07-30T00:00:00+05:30,66.06,66.06,64.77,64.86,498232
2024-07-31T00:00:00+05:30,64.87,65.37,64.8,65.0,279406
2024-08-01T00:00:00+05:30,66.0,66.0,64.89,65.22,328811
2024-08-02T00:00:00+05:30,67.2,67.2,64.51,64.73,328938
2024-08-05T00:00:00+05:30,62.95,65.16,62.95,64.51,816301
2024-08-06T00:00:00+05:30,64.51,65.38,64.33,64.45,520855
2024-08-07T00:00:00+05:30,65.21,65.5,64.55,65.41,384933
2024-08-08T00:00:00+05:30,65.84,65.85,64.9,65.25,395973
2024-08-09T00:00:00+05:30,65.3,65.8,65.0,65.17,486925
2024-08-12T00:00:00+05:30,65.75,65.75,64.6,64.7,504818
2024-08-13T00:00:00+05:30,65.7,65.7,64.32,64.5,314783
2024-08-14T00:00:00+05:30,64.82,64.88,64.0,64.36,346960
2024-08-16T00:00:00+05:30,65.36,65.65,64.3,65.12,278973
2024-08-19T00:00:00+05:30,65.66,65.78,64.59,65.23,495090
2024-08-20T00:00:00+05:30,66.55,66.55,64.97,65.28,343164
2024-08-21T00:00:00+05:30,65.28,66.26,65.28,66.19,370300
2024-08-22T00:00:00+05:30,66.23,66.68,66.11,66.57,415568
2024-08-23T00:00:00+05:30,67.12,67.12,66.21,66.5,432207
2024-08-26T00:00:00+05:30,66.56,66.94,66.35,66.72,315184
2024-08-27T00:00:00+05:30,67.06,67.06,66.04,66.15,461534
2024-08-28T00:00:00+05:30,66.15,66.65,65.66,65.83,1020054
2024-08-29T00:00:00+05:30,65.5,66.83,65.31,66.17,228098
2024-08-30T00:00:00+05:30,66.59,66.6,65.92,66.13,738184
2024-09-02T00:00:00+05:30,67.4,67.4,65.9,66.72,902204
2024-09-03T00:00:00+05:30,66.75,67.1,66.48,66.61,306819
