datetime,open,high,low,close,volume
2023-05-05T00:00:00+05:30,6.1,6.16,6.06,6.13,195120
2023-05-08T00:00:00+05:30,6.28,6.3,5.9,6.1,15450
2023-05-09T00:00:00+05:30,6.09,6.13,6.09,6.13,9060
2023-05-10T00:00:00+05:30,6.19,6.19,6.11,6.11,13870
2023-05-11T00:00:00+05:30,6.1,6.14,6.1,6.14,2420
2023-05-12T00:00:00+05:30,6.1,7.17,6.06,7.03,407850
2023-05-15T00:00:00+05:30,6.37,6.37,6.08,6.11,80270
2023-05-16T00:00:00+05:30,6.11,6.14,6.09,6.11,126440
2023-05-17T00:00:00+05:30,6.1,6.1,6.02,6.06,25000
2023-05-18T00:00:00+05:30,6.05,6.05,6.05,6.05,1020
2023-05-19T00:00:00+05:30,6.21,6.21,5.98,5.98,92780
2023-05-22T00:00:00+05:30,6.0,6.09,6.0,6.07,2870
2023-05-23T00:00:00+05:30,6.06,6.06,6.0,6.04,53850
2023-05-24T00:00:00+05:30,6.06,6.06,6.03,6.06,5980
2023-05-25T00:00:00+05:30,6.04,6.04,5.96,5.99,4910
2023-05-26T00:00:00+05:30,6.02,6.08,5.99,6.02,37350
2023-05-29T00:00:00+05:30,6.01,6.01,5.94,5.97,9860
2023-05-30T00:00:00+05:30,5.97,6.04,5.95,5.98,33140
2023-05-31T00:00:00+05:30,6.0,6.04,5.99,6.0,1005320
2023-06-01T00:00:00+05:30,6.01,6.01,5.96,5.96,75830
2023-06-02T00:00:00+05:30,6.0,6.03,6.0,6.03,10080
2023-06-05T00:00:00+05:30,6.03,6.03,5.9,5.9,17030
2023-06-06T00:00:00+05:30,5.92,5.99,5.92,5.96,4300
2023-06-07T00:00:00+05:30,5.96,6.0,5.96,5.98,1690
2023-06-08T00:00:00+05:30,5.98,5.99,5.94,5.96,40320
2023-06-09T00:00:00+05:30,5.97,5.97,5.95,5.97,4250
2023-06-12T00:00:00+05:30,5.98,6.04,5.96,5.97,5860
2023-06-13T00:00:00+05:30,6.0,6.0,5.91,5.98,17840
2023-06-14T00:00:00+05:30,5.94,5.94,5.91,5.92,43710
2023-06-15T00:00:00+05:30,5.94,5.96,5.86,5.88,15740
2023-06-16T00:00:00+05:30,5.9,5.92,5.88,5.91,7750
2023-06-19T00:00:00+05:30,6.06,6.06,5.82,5.9,165950
2023-06-20T00:00:00+05:30,5.93,5.98,5.9,5.93,5750
2023-06-21T00:00:00+05:30,5.9,5.93,5.8,5.8,19710
2023-06-22T00:00:00+05:30,5.84,5.86,5.83,5.83,33210
2023-06-23T00:00:00+05:30,5.84,5.84,5.82,5.83,420
2023-06-26T00:00:00+05:30,5.83,5.83,5.82,5.82,140
2023-06-27T00:00:00+05:30,5.83,5.85,5.82,5.82,3090
2023-06-28T00:00:00+05:30,5.82,5.82,5.78,5.82,32110
2023-06-30T00:00:00+05:30,5.8,5.8,5.77,5.8,3940
2023-07-03T00:00:00+05:30,5.82,5.84,5.78,5.8,29290
2023-07-04T00:00:00+05:30,6.5,6.5,5.74,5.84,9720
2023-07-05T00:00:00+05:30,5.8,5.84,5.8,5.84,2910
2023-07-06T00:00:00+05:30,5.83,5.84,5.83,5.84,10830
2023-07-07T00:00:00+05:30,5.84,5.84,5.79,5.83,17550
2023-07-10T00:00:00+05:30,5.83,5.88,5.83,5.85,5610
2023-07-11T00:00:00+05:30,6.0,6.0,5.83,5.87,27860
2023-07-12T00:00:00+05:30,5.88,5.89,5.87,5.89,980
2023-07-13T00:00:00+05:30,5.9,5.94,5.89,5.92,6560
2023-07-14T00:00:00+05:30,5.93,5.93,5.9,5.93,9950
2023-07-17T00:00:00+05:30,5.92,5.92,5.89,5.9,1630
2023-07-18T00:00:00+05:30,5.91,5.93,5.9,5.92,8200
2023-07-19T00:00:00+05:30,5.94,5.97,5.94,5.97,52920
2023-07-20T00:00:00+05:30,5.97,5.97,5.97,5.97,530
2023-07-21T00:00:00+05:30,5.95,5.96,5.91,5.91,22100
2023-07-24T00:00:00+05:30,5.92,5.93,5.92,5.93,12500
2023-07-25T00:00:00+05:30,6.08,6.08,5.89,5.91,5550
2023-07-26T00:00:00+05:30,5.98,5.98,5.9,5.92,4504610
2023-07-27T00:00:00+05:30,6.0,6.0,5.94,5.95,130
2023-07-28T00:00:00+05:30,5.94,5.94,5.9,5.9,4020
2023-07-31T00:00:00+05:30,6.03,6.03,5.91,5.91,5750
2023-08-01T00:00:00+05:30,5.94,5.96,5.93,5.93,52010
