datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,40.3,40.3,39.95,40.04,647500
2021-03-10T00:00:00+05:30,40.4,40.4,40.09,40.27,227200
2021-03-12T00:00:00+05:30,40.3,40.5,40.02,40.05,512000
2021-03-15T00:00:00+05:30,40.7,40.7,40.21,40.45,427800
2021-03-16T00:00:00+05:30,40.6,40.69,40.35,40.48,309100
2021-03-17T00:00:00+05:30,40.57,40.57,40.4,40.49,139900
2021-03-18T00:00:00+05:30,40.52,40.88,40.41,40.53,443200
2021-03-19T00:00:00+05:30,40.6,40.7,40.3,40.56,221100
2021-03-22T00:00:00+05:30,40.7,40.78,40.21,40.26,462100
2021-03-23T00:00:00+05:30,40.32,40.5,40.23,40.39,508800
2021-03-24T00:00:00+05:30,40.26,40.54,40.26,40.42,468400
2021-03-25T00:00:00+05:30,42.0,43.0,40.25,40.45,709271
2021-03-26T00:00:00+05:30,40.6,40.6,40.05,40.25,131918
2021-03-30T00:00:00+05:30,40.0,40.15,39.2,39.85,222752
2021-03-31T00:00:00+05:30,39.9,39.9,39.4,39.55,299943
2021-04-01T00:00:00+05:30,39.95,40.2,39.85,40.15,206615
2021-04-05T00:00:00+05:30,40.55,41.2,40.1,40.35,206103
2021-04-06T00:00:00+05:30,40.45,40.65,40.25,40.35,136820
2021-04-07T00:00:00+05:30,41.25,41.25,40.35,40.8,222477
2021-04-08T00:00:00+05:30,40.8,41.1,40.7,40.95,114456
2021-04-09T00:00:00+05:30,41.0,41.5,41.0,41.3,166515
2021-04-12T00:00:00+05:30,41.35,41.5,41.0,41.4,246852
2021-04-13T00:00:00+05:30,41.5,41.5,40.7,41.25,135797
2021-04-15T00:00:00+05:30,41.95,41.95,41.0,41.4,181223
2021-04-16T00:00:00+05:30,41.9,43.1,41.55,41.85,208243
2021-04-19T00:00:00+05:30,42.35,43.3,41.65,42.65,451934
2021-04-20T00:00:00+05:30,42.5,42.5,42.1,42.35,130303
2021-04-22T00:00:00+05:30,43.2,43.2,42.5,42.7,203946
2021-04-23T00:00:00+05:30,42.8,43.0,42.5,42.8,102037
2021-04-26T00:00:00+05:30,42.75,42.75,42.05,42.15,166598
2021-04-27T00:00:00+05:30,42.35,42.35,41.9,42.15,114171
2021-04-28T00:00:00+05:30,42.15,42.15,41.5,41.65,231675
2021-04-29T00:00:00+05:30,42.4,42.4,41.65,41.75,67444
2021-04-30T00:00:00+05:30,41.65,41.75,41.5,41.65,55174
2021-05-03T00:00:00+05:30,42.05,42.15,41.65,41.8,104059
2021-05-04T00:00:00+05:30,42.05,42.15,41.7,41.85,101156
2021-05-05T00:00:00+05:30,41.85,41.95,41.65,41.85,64887
2021-05-06T00:00:00+05:30,41.95,42.15,41.8,42.05,100440
2021-05-07T00:00:00+05:30,42.75,42.75,42.25,42.35,71369
2021-05-10T00:00:00+05:30,42.35,42.7,42.3,42.55,113162
2021-05-11T00:00:00+05:30,42.75,42.75,42.3,42.4,89374
2021-05-12T00:00:00+05:30,42.35,42.5,42.15,42.35,105342
2021-05-14T00:00:00+05:30,45.0,45.0,42.05,42.85,377016
2021-05-17T00:00:00+05:30,43.5,43.5,42.8,42.9,136269
2021-05-18T00:00:00+05:30,43.45,43.55,42.95,43.0,127119
2021-05-19T00:00:00+05:30,43.15,43.3,42.8,42.9,97999
2021-05-20T00:00:00+05:30,43.3,43.3,43.0,43.0,103757
2021-05-21T00:00:00+05:30,42.8,43.25,42.8,43.0,158204
2021-05-24T00:00:00+05:30,43.05,43.3,42.85,42.95,91644
2021-05-25T00:00:00+05:30,43.9,43.9,42.55,42.85,91969
2021-05-26T00:00:00+05:30,42.85,43.45,42.85,43.2,139182
2021-05-27T00:00:00+05:30,43.0,43.2,42.8,42.9,89003
2021-05-28T00:00:00+05:30,42.9,43.0,42.65,42.8,106673
2021-05-31T00:00:00+05:30,43.2,43.4,42.8,42.9,104715
2021-06-01T00:00:00+05:30,43.0,43.3,43.0,43.2,114019
2021-06-02T00:00:00+05:30,43.2,43.25,43.0,43.1,80883
2021-06-03T00:00:00+05:30,43.4,43.4,42.9,42.95,103899
2021-06-04T00:00:00+05:30,42.85,42.85,42.3,42.45,280121
2021-06-07T00:00:00+05:30,42.85,43.25,42.45,42.5,129177
2021-06-08T00:00:00+05:30,44.95,44.95,42.6,42.65,62256
2021-06-09T00:00:00+05:30,42.65,43.45,42.55,42.65,96395
2021-06-10T00:00:00+05:30,42.8,42.8,42.55,42.6,62430
2021-06-11T00:00:00+05:30,42.75,43.0,42.7,42.75,78380
2021-06-14T00:00:00+05:30,42.7,42.7,42.1,42.2,245381
2021-06-15T00:00:00+05:30,42.35,42.45,42.2,42.3,63766
2021-06-16T00:00:00+05:30,42.35,42.5,42.05,42.3,95973
2021-06-17T00:00:00+05:30,41.95,42.0,41.6,41.7,184784
2021-06-18T00:00:00+05:30,41.65,41.65,41.0,41.15,200078
2021-06-21T00:00:00+05:30,41.2,41.3,40.8,41.15,211395
2021-06-22T00:00:00+05:30,41.85,41.85,41.0,41.0,208973
2021-06-23T00:00:00+05:30,41.35,41.35,40.95,41.1,57690
2021-06-24T00:00:00+05:30,41.15,41.15,40.95,41.1,52990
2021-06-25T00:00:00+05:30,41.2,41.45,40.95,41.05,46084
2021-06-28T00:00:00+05:30,41.4,41.4,40.9,40.95,155922
2021-06-29T00:00:00+05:30,41.45,41.45,40.85,40.9,108537
2021-06-30T00:00:00+05:30,40.85,40.85,40.4,40.65,334103
2021-07-01T00:00:00+05:30,41.15,41.15,40.8,41.0,92488
2021-07-02T00:00:00+05:30,41.25,41.3,41.0,41.25,79585
2021-07-05T00:00:00+05:30,41.4,41.4,41.1,41.25,123528
2021-07-06T00:00:00+05:30,41.45,41.75,41.3,41.6,108650
2021-07-07T00:00:00+05:30,41.75,41.8,41.45,41.65,117264
2021-07-08T00:00:00+05:30,41.75,41.95,41.5,41.7,69329
2021-07-09T00:00:00+05:30,41.75,41.75,41.5,41.7,78694
2021-07-12T00:00:00+05:30,41.7,41.7,41.45,41.55,79738
2021-07-13T00:00:00+05:30,41.55,41.8,41.5,41.55,68928
2021-07-14T00:00:00+05:30,41.8,41.8,41.55,41.65,66469
2021-07-15T00:00:00+05:30,41.95,42.1,41.75,42.05,134710
2021-07-16T00:00:00+05:30,42.15,42.15,41.8,41.9,66740
2021-07-19T00:00:00+05:30,41.9,41.9,41.5,41.65,88066
2021-07-20T00:00:00+05:30,41.95,42.35,41.6,41.7,71207
2021-07-22T00:00:00+05:30,41.25,41.4,36.3,41.25,364693
2021-07-23T00:00:00+05:30,41.25,41.55,41.15,41.4,143527
2021-07-26T00:00:00+05:30,41.9,41.9,41.3,41.5,69931
2021-07-27T00:00:00+05:30,41.5,41.5,41.2,41.3,66586
2021-07-28T00:00:00+05:30,41.55,41.55,41.35,41.45,47983
2021-07-29T00:00:00+05:30,41.7,41.8,41.5,41.75,84545
2021-07-30T00:00:00+05:30,42.0,42.0,41.75,41.9,163141
2021-08-02T00:00:00+05:30,41.8,41.85,41.5,41.5,87262
