datetime,open,high,low,close,volume
2025-12-12T00:00:00+05:30,134.99,135.95,130.0,130.0,8662
2025-12-15T00:00:00+05:30,131.35,134.75,127.96,134.44,7370
2025-12-16T00:00:00+05:30,134.0,134.0,130.6,132.9,3432
2025-12-17T00:00:00+05:30,132.81,134.99,130.0,133.98,6016
2025-12-18T00:00:00+05:30,135.02,135.02,130.0,133.15,7796
2025-12-19T00:00:00+05:30,134.99,134.99,130.5,132.97,961
2025-12-22T00:00:00+05:30,135.98,137.0,131.0,135.0,25569
2025-12-23T00:00:00+05:30,136.99,143.87,135.1,138.5,23454
2025-12-24T00:00:00+05:30,139.99,140.0,135.81,136.99,20491
2025-12-26T00:00:00+05:30,137.99,137.99,135.99,137.4,7210
2025-12-29T00:00:00+05:30,135.01,139.0,134.26,135.61,6550
2025-12-30T00:00:00+05:30,133.33,135.61,133.33,134.04,2925
2025-12-31T00:00:00+05:30,135.0,135.0,130.9,132.85,3285
2026-01-01T00:00:00+05:30,132.85,133.5,132.85,133.0,2332
2026-01-02T00:00:00+05:30,133.5,134.96,132.9,134.6,15317
2026-01-05T00:00:00+05:30,136.99,136.99,135.0,136.29,15664
2026-01-06T00:00:00+05:30,136.69,137.34,133.57,136.83,113657
2026-01-07T00:00:00+05:30,137.42,137.42,136.0,136.63,6757
2026-01-08T00:00:00+05:30,139.19,139.19,134.34,135.76,6855
2026-01-09T00:00:00+05:30,138.4,138.4,135.96,136.98,5011
2026-01-12T00:00:00+05:30,136.95,141.2,136.95,140.5,17018
2026-01-13T00:00:00+05:30,143.4,144.0,140.38,141.1,13171
2026-01-14T00:00:00+05:30,142.39,144.5,140.76,142.52,10088
2026-01-16T00:00:00+05:30,143.5,143.51,140.5,142.0,11377
2026-01-19T00:00:00+05:30,141.96,148.68,141.96,146.75,49648
2026-01-20T00:00:00+05:30,145.2,153.78,145.2,150.3,133009
2026-01-21T00:00:00+05:30,155.0,171.92,150.3,159.69,221776
2026-01-22T00:00:00+05:30,159.99,159.99,143.0,150.36,97416
2026-01-23T00:00:00+05:30,152.7,159.3,151.3,152.88,56571
2026-01-27T00:00:00+05:30,155.95,159.5,154.41,158.59,327802
2026-01-28T00:00:00+05:30,162.55,166.6,155.0,164.28,189018
2026-01-29T00:00:00+05:30,165.0,180.16,165.0,177.58,296158
2026-01-30T00:00:00+05:30,170.4,175.98,155.0,164.46,821086
2026-02-01T00:00:00+05:30,158.57,163.7,140.8,152.98,262047
2026-02-02T00:00:00+05:30,152.2,158.9,135.02,147.85,575808
2026-02-03T00:00:00+05:30,159.85,159.98,145.1,151.98,381286
2026-02-04T00:00:00+05:30,155.86,162.3,155.66,156.91,76047
2026-02-05T00:00:00+05:30,152.99,153.59,148.84,150.49,410406
2026-02-06T00:00:00+05:30,149.98,152.8,147.96,152.17,317754
2026-02-09T00:00:00+05:30,153.15,159.02,153.0,154.74,119909
2026-02-10T00:00:00+05:30,154.77,157.0,153.61,155.48,101663
2026-02-11T00:00:00+05:30,156.98,156.98,153.55,155.84,63846
2026-02-12T00:00:00+05:30,156.55,157.05,153.5,155.46,238323
2026-02-13T00:00:00+05:30,153.97,153.98,151.0,152.83,51957
2026-02-16T00:00:00+05:30,153.59,154.99,151.2,153.94,66913
2026-02-17T00:00:00+05:30,153.67,153.67,149.0,150.24,22272
2026-02-18T00:00:00+05:30,150.33,154.0,149.78,151.08,68337
2026-02-19T00:00:00+05:30,154.49,154.5,150.21,153.45,29745
2026-02-20T00:00:00+05:30,153.44,157.0,152.05,154.15,18464
2026-02-23T00:00:00+05:30,155.71,159.9,155.41,157.44,109458
2026-02-24T00:00:00+05:30,161.37,161.37,157.24,158.44,48666
2026-02-25T00:00:00+05:30,160.69,160.7,158.04,159.24,56231
2026-02-26T00:00:00+05:30,159.97,159.97,156.61,158.13,50494
2026-02-27T00:00:00+05:30,157.5,159.99,157.11,159.67,185892
2026-03-02T00:00:00+05:30,166.97,168.72,162.91,167.73,187555
2026-03-04T00:00:00+05:30,167.0,167.0,160.09,162.79,186597
2026-03-05T00:00:00+05:30,162.57,162.58,158.4,160.97,464297
2026-03-06T00:00:00+05:30,162.91,162.91,157.5,158.93,320397
2026-03-09T00:00:00+05:30,160.64,160.64,156.64,158.7,27095
2026-03-10T00:00:00+05:30,159.19,160.01,158.57,159.89,43346
2026-03-11T00:00:00+05:30,159.96,164.0,159.51,160.49,52916
2026-03-12T00:00:00+05:30,160.28,162.0,158.86,160.95,13045
2026-03-13T00:00:00+05:30,159.97,159.98,156.66,157.52,51436
2026-03-16T00:00:00+05:30,156.77,156.77,152.89,153.13,32593
2026-03-17T00:00:00+05:30,156.19,156.19,153.15,154.46,5405
2026-03-18T00:00:00+05:30,153.92,154.4,153.23,153.9,21406
2026-03-19T00:00:00+05:30,153.9,153.9,145.62,146.51,29012
2026-03-20T00:00:00+05:30,144.44,148.03,144.44,146.02,57527
2026-03-23T00:00:00+05:30,141.64,141.64,129.62,132.84,287417
2026-03-24T00:00:00+05:30,134.16,140.53,134.16,139.54,116291
2026-03-25T00:00:00+05:30,143.43,148.0,143.43,144.39,122259
2026-03-27T00:00:00+05:30,143.49,143.49,138.82,142.56,242243
2026-03-30T00:00:00+05:30,146.12,149.99,142.31,146.23,119363
2026-04-01T00:00:00+05:30,149.15,150.08,147.5,148.81,61748
2026-04-02T00:00:00+05:30,148.0,173.4,143.12,149.11,106248
2026-04-06T00:00:00+05:30,148.5,148.71,145.25,148.52,53393
2026-04-07T00:00:00+05:30,148.38,150.19,145.61,147.0,52850
2026-04-08T00:00:00+05:30,149.95,152.25,149.4,150.57,120619
2026-04-09T00:00:00+05:30,149.78,149.78,146.17,148.85,12679
2026-04-10T00:00:00+05:30,149.61,150.33,148.19,149.16,77979
2026-04-13T00:00:00+05:30,148.47,150.79,147.14,149.45,50003
2026-04-15T00:00:00+05:30,152.54,155.45,150.01,151.38,19215
2026-04-16T00:00:00+05:30,152.14,154.27,151.0,151.69,66945
2026-04-17T00:00:00+05:30,151.4,151.48,149.82,150.78,38040
2026-04-20T00:00:00+05:30,151.28,151.28,149.55,150.99,46200
2026-04-21T00:00:00+05:30,150.93,159.0,149.49,151.4,15657
2026-04-22T00:00:00+05:30,151.35,151.35,150.35,150.63,55390
2026-04-23T00:00:00+05:30,150.13,150.79,147.15,149.61,23753
2026-04-24T00:00:00+05:30,149.12,153.9,148.43,149.73,41169
2026-04-27T00:00:00+05:30,153.47,153.47,149.72,150.19,38291
2026-04-28T00:00:00+05:30,150.19,150.19,147.83,148.34,57322
2026-04-29T00:00:00+05:30,152.04,152.04,146.51,146.73,11408
2026-04-30T00:00:00+05:30,146.64,149.69,146.64,149.29,25915
2026-05-04T00:00:00+05:30,153.02,153.02,145.55,147.98,57668
2026-05-05T00:00:00+05:30,147.17,148.18,146.62,147.47,32226
2026-05-06T00:00:00+05:30,149.01,151.0,148.45,149.76,34843
2026-05-07T00:00:00+05:30,150.49,152.5,149.05,150.35,73048
2026-05-08T00:00:00+05:30,150.13,153.49,149.49,151.62,5260
2026-05-11T00:00:00+05:30,153.49,153.49,147.6,148.95,78152
2026-05-12T00:00:00+05:30,149.7,151.9,149.41,150.4,44537
2026-05-13T00:00:00+05:30,159.4,159.9,154.0,158.8,37001
2026-05-14T00:00:00+05:30,158.8,161.98,155.5,158.73,68505
2026-05-15T00:00:00+05:30,158.18,158.39,154.15,155.64,45400
2026-05-18T00:00:00+05:30,151.74,157.4,151.74,156.4,41313
2026-05-19T00:00:00+05:30,155.37,158.98,155.37,157.37,18227
2026-05-20T00:00:00+05:30,156.78,157.49,156.05,156.91,15529
2026-05-21T00:00:00+05:30,157.01,158.66,157.01,157.99,18802
2026-05-22T00:00:00+05:30,156.13,158.36,156.13,157.89,50342
2026-05-25T00:00:00+05:30,158.67,158.67,157.24,157.57,26957
