Date,close
2024-03-18,10.52
2024-03-19,10.53
2024-03-20,10.57
2024-03-21,10.73
2024-03-22,10.62
2024-03-26,10.65
2024-03-27,10.67
2024-03-28,10.74
2024-04-01,11.03
2024-04-02,11.08
2024-04-03,11.15
2024-04-04,11.22
2024-04-05,11.19
2024-04-08,11.4
2024-04-09,11.52
2024-04-10,11.5
2024-04-12,11.72
2024-04-15,11.6
2024-04-16,11.73
2024-04-18,11.74
2024-04-19,11.78
2024-04-22,11.69
2024-04-23,11.4
2024-04-24,11.51
2024-04-25,11.52
2024-04-26,11.62
2024-04-29,11.6
2024-04-30,11.56
2024-05-02,11.55
2024-05-03,11.46
2024-05-06,11.51
2024-05-07,11.48
2024-05-08,11.45
2024-05-09,11.47
2024-05-10,11.69
2024-05-13,11.58
2024-05-14,11.6
2024-05-15,11.68
2024-05-16,11.77
2024-05-17,11.73
2024-05-21,11.89
2024-05-22,11.88
2024-05-23,11.68
2024-05-24,11.54
2024-05-27,11.57
2024-05-28,11.57
2024-05-29,11.6
2024-05-30,11.55
2024-05-31,11.58
2024-06-03,11.5
2024-06-04,11.58
2024-06-05,11.53
2024-06-06,11.65
2024-06-07,11.57
2024-06-10,11.41
2024-06-11,11.45
2024-06-12,11.48
2024-06-13,11.5
2024-06-14,11.5
2024-06-18,11.46
2024-06-19,11.53
2024-06-20,11.58
2024-06-21,11.65
2024-06-24,11.51
2024-06-25,11.52
2024-06-26,11.48
2024-06-27,11.42
2024-06-28,11.47
2024-07-01,11.5
2024-07-02,11.52
2024-07-03,11.56
2024-07-04,11.62
2024-07-05,11.68
2024-07-08,11.69
2024-07-09,11.64
2024-07-10,11.69
2024-07-11,11.71
2024-07-12,11.73
2024-07-15,11.75
2024-07-16,11.79
2024-07-18,11.87
2024-07-19,11.87
2024-07-22,11.82
2024-07-23,11.39
2024-07-24,11.31
2024-07-25,11.18
2024-07-26,11.44
2024-07-29,11.24
2024-07-30,11.06
2024-07-31,11.13
2024-08-01,11.18
2024-08-02,11.27
2024-08-05,11.16
2024-08-06,11.17
2024-08-07,11.06
2024-08-08,11.05
2024-08-09,11.14
2024-08-12,11.19
2024-08-13,11.24
2024-08-14,11.35
2024-08-16,11.29
2024-08-19,11.43
2024-08-20,11.46
2024-08-21,11.46
2024-08-22,11.46
2024-08-23,11.42
2024-08-26,11.51
2024-08-27,11.48
2024-08-28,11.47
2024-08-29,11.48
2024-08-30,11.52
2024-09-02,11.45
2024-09-03,11.45
2024-09-04,11.38
2024-09-05,11.47
2024-09-06,11.5
2024-09-09,11.42
2024-09-10,11.45
2024-09-11,11.51
2024-09-12,11.51
2024-09-13,11.66
2024-09-16,11.77
2024-09-17,11.73
2024-09-18,11.75
2024-09-19,11.77
2024-09-20,11.81
2024-09-23,11.88
2024-09-24,11.9
2024-09-25,12.06
2024-09-26,12.12
2024-09-27,12.08
2024-09-30,12.07
2024-10-01,12.06
2024-10-03,12.08
2024-10-04,12.1
2024-10-07,12.1
2024-10-08,12.04
2024-10-09,11.93
2024-10-10,11.95
2024-10-11,12.05
2024-10-14,12.14
2024-10-15,12.11
2024-10-16,12.21
2024-10-17,12.22
2024-10-18,12.35
2024-10-21,12.46
2024-10-22,12.45
2024-10-23,12.56
2024-10-24,12.49
2024-10-25,12.42
2024-10-28,12.47
2024-10-29,12.59
2024-10-30,12.7
2024-10-31,12.7
2024-11-01,12.7
2024-11-04,12.53
2024-11-05,12.52
2024-11-06,12.45
2024-11-07,12.21
2024-11-08,12.34
2024-11-11,12.26
2024-11-12,12.13
2024-11-13,12.01
2024-11-14,11.78
2024-11-18,11.91
2024-11-19,12.09
2024-11-21,12.24
2024-11-22,12.4
2024-11-25,12.25
2024-11-26,12.05
2024-11-27,12.16
2024-11-28,12.16
2024-11-29,12.21
2024-12-02,12.14
2024-12-03,12.16
2024-12-04,12.16
2024-12-05,12.18
2024-12-06,12.16
2024-12-09,12.21
2024-12-10,12.27
2024-12-11,12.38
2024-12-12,12.46
2024-12-13,12.28
2024-12-16,12.23
2024-12-17,12.18
2024-12-18,12.21
2024-12-19,12.08
2024-12-20,12.05
2024-12-23,12.14
2024-12-24,12.1
2024-12-26,12.15
2024-12-27,12.19
2024-12-30,12.15
2024-12-31,12.16
2025-01-01,12.22
2025-01-02,12.27
2025-01-03,12.35
2025-01-06,12.27
2025-01-07,12.29
2025-01-08,12.36
2025-01-09,12.4
2025-01-10,12.46
2025-01-13,12.56
2025-01-14,12.52
2025-01-15,12.56
2025-01-16,12.55
2025-01-17,12.66
2025-01-20,12.67
2025-01-21,12.69
2025-01-22,12.83
2025-01-23,12.78
2025-01-24,12.88
2025-01-27,12.86
2025-01-28,12.83
2025-01-29,12.9
2025-01-30,12.96
2025-01-31,13.1
2025-02-01,13.17
2025-02-03,13.22
2025-02-04,13.3
2025-02-05,13.54
2025-02-06,13.54
2025-02-07,13.57
2025-02-10,13.73
2025-02-11,13.64
2025-02-12,13.55
2025-02-13,13.64
2025-02-14,13.73
2025-02-17,13.59
2025-02-18,13.67
2025-02-19,13.8
2025-02-20,13.76
2025-02-21,13.66
2025-02-24,13.78
2025-02-25,13.81
2025-02-27,13.63
