datetime,open,high,low,close,volume
2022-11-21T00:00:00+05:30,74.6,74.6,72.15,73.05,913
2023-01-09T00:00:00+05:30,69.05,69.05,66.45,67.0,1228
2023-01-10T00:00:00+05:30,70.05,70.05,66.25,68.3,637
2023-01-11T00:00:00+05:30,69.7,69.7,67.05,67.15,1566
2023-01-12T00:00:00+05:30,67.0,68.3,66.15,67.75,721
2023-01-13T00:00:00+05:30,67.15,67.6,64.45,67.0,3241
2023-01-16T00:00:00+05:30,67.0,67.7,65.0,67.05,650
2023-01-17T00:00:00+05:30,68.2,68.2,65.0,66.5,2225
2023-01-18T00:00:00+05:30,66.0,67.0,66.0,66.3,726
2023-01-19T00:00:00+05:30,66.3,67.9,65.05,66.5,691
2023-01-20T00:00:00+05:30,67.85,67.85,64.05,65.8,2524
2023-01-23T00:00:00+05:30,66.85,66.85,62.6,63.75,2739
2023-01-24T00:00:00+05:30,65.05,65.8,63.0,64.5,400
2023-01-25T00:00:00+05:30,61.7,65.0,61.7,64.8,398
2023-01-27T00:00:00+05:30,64.7,64.7,61.6,61.6,3467
2023-01-30T00:00:00+05:30,63.9,63.9,60.3,60.65,1789
2023-01-31T00:00:00+05:30,60.3,61.0,58.2,59.0,988
2023-02-09T00:00:00+05:30,60.25,61.85,60.0,60.1,399
2023-02-10T00:00:00+05:30,60.6,60.6,60.6,60.6,0
2023-02-14T00:00:00+05:30,59.0,59.0,57.6,59.0,2824
2023-04-24T00:00:00+05:30,53.9,53.9,53.9,53.9,1013
2023-04-25T00:00:00+05:30,53.9,53.9,53.9,53.9,1013
2023-04-26T00:00:00+05:30,53.9,53.9,53.9,53.9,1013
2023-05-02T00:00:00+05:30,51.2,51.2,51.2,51.2,1014
2023-05-08T00:00:00+05:30,48.65,48.65,48.65,48.65,268
2023-05-15T00:00:00+05:30,46.25,46.25,46.25,46.25,19047
2023-05-22T00:00:00+05:30,43.95,43.95,43.95,43.95,544
2023-05-29T00:00:00+05:30,41.75,41.75,41.75,41.75,715
2023-06-01T00:00:00+05:30,40.7,43.8,39.7,43.75,24554
2023-06-02T00:00:00+05:30,42.2,43.3,41.6,41.8,9571
2023-06-05T00:00:00+05:30,43.5,43.5,40.15,41.5,5956
2023-06-06T00:00:00+05:30,41.7,41.75,40.5,41.0,25519
2023-06-07T00:00:00+05:30,41.0,42.75,41.0,42.25,22457
2023-06-08T00:00:00+05:30,40.7,42.9,40.7,42.45,4631
2023-06-09T00:00:00+05:30,42.45,43.95,41.6,43.45,1523
2023-06-12T00:00:00+05:30,44.8,44.8,42.4,43.15,4572
2023-06-13T00:00:00+05:30,43.15,43.15,41.0,43.0,3939
2023-06-14T00:00:00+05:30,43.75,43.75,41.2,42.05,8480
2023-06-15T00:00:00+05:30,42.05,42.05,41.1,41.9,2303
2023-06-16T00:00:00+05:30,41.9,42.9,41.0,42.5,2457
2023-06-19T00:00:00+05:30,41.3,43.35,41.3,43.3,3965
2023-06-20T00:00:00+05:30,43.0,43.0,41.55,41.7,1382
2023-06-21T00:00:00+05:30,42.0,43.5,41.1,42.6,2326
2023-06-22T00:00:00+05:30,43.5,43.5,42.1,43.0,651
2023-06-23T00:00:00+05:30,41.75,43.55,40.85,42.95,1394
2023-06-26T00:00:00+05:30,41.7,42.8,41.7,42.5,392
2023-06-27T00:00:00+05:30,41.7,43.45,41.3,42.05,1278
2023-06-28T00:00:00+05:30,43.8,43.8,41.5,41.75,1239
2023-06-30T00:00:00+05:30,41.8,42.85,41.0,41.9,1716
2023-07-03T00:00:00+05:30,41.05,42.0,41.0,41.0,2673
2023-07-04T00:00:00+05:30,39.1,41.9,39.1,40.7,1242
