datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,50.55,50.55,48.3,48.64,170532
2021-03-10T00:00:00+05:30,49.8,52.2,48.76,50.23,604672
2021-03-12T00:00:00+05:30,50.96,54.44,50.29,50.72,1053239
2021-03-15T00:00:00+05:30,51.29,52.32,49.14,52.0,714172
2021-03-16T00:00:00+05:30,52.05,52.3,50.31,50.66,252079
2021-03-17T00:00:00+05:30,51.17,51.22,47.57,48.44,316245
2021-03-18T00:00:00+05:30,49.35,50.09,46.55,48.17,383979
2021-03-19T00:00:00+05:30,48.15,52.98,44.74,52.98,2718559
2021-03-22T00:00:00+05:30,53.7,54.3,51.06,51.83,800892
2021-03-23T00:00:00+05:30,51.97,52.95,50.56,51.03,307559
2021-03-24T00:00:00+05:30,51.51,51.52,48.75,49.0,271699
2021-03-25T00:00:00+05:30,49.92,50.85,46.79,49.99,382859
2021-03-26T00:00:00+05:30,50.9,52.05,49.55,49.99,251099
2021-03-30T00:00:00+05:30,50.25,51.75,50.25,51.14,415525
2021-03-31T00:00:00+05:30,51.75,52.46,50.98,51.15,252765
2021-04-01T00:00:00+05:30,52.04,52.79,50.77,51.08,167999
2021-04-05T00:00:00+05:30,50.4,50.99,48.87,49.25,212599
2021-04-06T00:00:00+05:30,49.74,50.85,49.39,49.83,192785
2021-04-07T00:00:00+05:30,49.54,50.21,48.84,49.84,329579
2021-04-08T00:00:00+05:30,49.95,59.1,49.95,55.34,4015425
2021-04-09T00:00:00+05:30,55.5,59.07,55.35,56.47,1855672
2021-04-12T00:00:00+05:30,55.87,55.87,49.5,49.93,1157799
2021-04-13T00:00:00+05:30,50.61,54.44,50.4,51.53,940819
2021-04-15T00:00:00+05:30,51.6,52.95,46.2,50.84,304905
2021-04-16T00:00:00+05:30,50.7,54.0,50.7,52.62,1102725
2021-04-19T00:00:00+05:30,50.99,51.97,50.4,51.04,431879
2021-04-20T00:00:00+05:30,51.3,52.35,48.93,50.1,440145
2021-04-22T00:00:00+05:30,50.25,53.4,50.25,51.89,846572
2021-04-23T00:00:00+05:30,51.83,52.1,50.65,50.99,276552
2021-04-26T00:00:00+05:30,51.6,53.25,50.9,52.58,495279
2021-04-27T00:00:00+05:30,52.73,55.65,52.73,54.44,1957312
2021-04-28T00:00:00+05:30,55.2,56.99,54.78,55.15,846725
2021-04-29T00:00:00+05:30,56.25,56.55,53.6,54.5,530225
2021-04-30T00:00:00+05:30,53.55,55.05,53.3,53.93,491279
2021-05-03T00:00:00+05:30,54.3,57.75,54.27,55.94,951579
2021-05-04T00:00:00+05:30,56.47,57.71,54.75,55.46,781592
2021-05-05T00:00:00+05:30,55.81,56.67,55.7,56.36,286425
2021-05-06T00:00:00+05:30,56.7,60.57,55.28,59.4,1872559
