datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,39.88,39.97,39.56,39.83,1430040
2021-03-10T00:00:00+05:30,40.25,40.25,39.71,39.91,667845
2021-03-12T00:00:00+05:30,40.25,40.25,39.55,39.62,2037745
2021-03-15T00:00:00+05:30,40.8,40.8,39.73,39.89,348283
2021-03-16T00:00:00+05:30,42.3,42.3,39.56,40.09,554413
2021-03-17T00:00:00+05:30,39.51,40.33,39.51,39.91,463189
2021-03-18T00:00:00+05:30,39.95,40.71,39.91,40.07,218096
2021-03-19T00:00:00+05:30,41.0,41.0,39.79,40.17,969676
2021-03-22T00:00:00+05:30,40.45,40.45,39.71,39.76,158111
2021-03-23T00:00:00+05:30,40.15,40.15,39.6,39.83,839539
2021-03-24T00:00:00+05:30,40.75,40.75,39.36,40.03,508270
2021-03-25T00:00:00+05:30,43.6,43.6,39.71,39.98,716527
2021-03-26T00:00:00+05:30,40.1,40.1,39.1,39.86,618194
2021-03-30T00:00:00+05:30,39.05,39.8,39.05,39.63,319088
2021-03-31T00:00:00+05:30,39.79,39.79,39.32,39.37,1079012
2021-04-01T00:00:00+05:30,40.09,40.19,39.71,39.98,1048381
2021-04-05T00:00:00+05:30,41.0,41.0,39.72,40.27,144305
2021-04-06T00:00:00+05:30,41.0,41.0,40.05,40.46,1119892
2021-04-07T00:00:00+05:30,41.45,41.45,40.46,41.12,767265
2021-04-08T00:00:00+05:30,41.45,41.45,40.71,41.25,471119
2021-04-09T00:00:00+05:30,42.0,42.0,41.05,41.48,1067544
2021-04-12T00:00:00+05:30,41.0,42.0,41.0,41.34,562197
2021-04-13T00:00:00+05:30,41.54,41.54,41.06,41.36,361253
2021-04-15T00:00:00+05:30,41.21,41.79,41.21,41.68,295628
2021-04-16T00:00:00+05:30,42.0,42.0,41.25,41.71,520562
2021-04-19T00:00:00+05:30,42.0,42.55,41.31,42.52,1596058
2021-04-20T00:00:00+05:30,42.5,42.65,41.71,41.99,247981
2021-04-22T00:00:00+05:30,42.59,43.29,42.21,42.55,629462
2021-04-23T00:00:00+05:30,42.3,42.79,42.28,42.51,1386928
2021-04-26T00:00:00+05:30,45.1,45.1,42.1,42.17,915080
2021-04-27T00:00:00+05:30,40.9,42.29,40.55,42.19,386168
2021-04-28T00:00:00+05:30,42.25,44.7,41.51,41.7,313463
2021-04-29T00:00:00+05:30,49.2,49.2,41.67,41.73,314600
2021-04-30T00:00:00+05:30,41.69,41.69,41.5,41.62,275658
2021-05-03T00:00:00+05:30,41.31,42.44,41.31,41.72,223194
2021-05-04T00:00:00+05:30,41.53,42.45,41.53,41.78,93140
2021-05-05T00:00:00+05:30,41.99,41.99,41.16,41.57,155426
2021-05-06T00:00:00+05:30,42.3,42.3,41.57,41.8,151430
2021-05-07T00:00:00+05:30,43.45,43.45,42.03,42.3,656201
2021-05-10T00:00:00+05:30,42.99,42.99,42.3,42.41,284674
2021-05-11T00:00:00+05:30,42.93,42.93,42.28,42.34,235708
2021-05-12T00:00:00+05:30,41.91,42.5,41.91,42.42,148663
2021-05-14T00:00:00+05:30,43.23,43.23,42.21,42.45,1552439
2021-05-17T00:00:00+05:30,43.03,43.09,42.55,42.73,350633
2021-05-18T00:00:00+05:30,43.95,43.95,42.83,43.05,263839
2021-05-19T00:00:00+05:30,43.43,43.43,42.9,42.96,229543
2021-05-20T00:00:00+05:30,43.59,43.75,42.51,43.11,359773
2021-05-21T00:00:00+05:30,43.43,44.0,43.0,43.09,346820
2021-05-24T00:00:00+05:30,43.09,43.63,40.55,43.1,297812
2021-05-25T00:00:00+05:30,43.45,43.45,42.66,43.16,122782
2021-05-26T00:00:00+05:30,45.0,45.0,43.25,43.55,256366
2021-05-27T00:00:00+05:30,43.63,43.63,43.25,43.38,428321
2021-05-28T00:00:00+05:30,43.55,43.55,43.1,43.24,129092
2021-05-31T00:00:00+05:30,44.23,44.23,43.3,43.54,465856
2021-06-01T00:00:00+05:30,43.95,43.99,43.33,43.87,516934
2021-06-02T00:00:00+05:30,43.95,43.95,43.33,43.55,669002
2021-06-03T00:00:00+05:30,43.93,43.93,43.42,43.46,454999
2021-06-04T00:00:00+05:30,42.83,43.43,42.71,43.1,401067
2021-06-07T00:00:00+05:30,43.49,43.69,43.12,43.24,1011443
2021-06-08T00:00:00+05:30,40.6,43.89,40.6,43.42,1334307
2021-06-09T00:00:00+05:30,43.75,43.75,43.39,43.51,616073
2021-06-10T00:00:00+05:30,43.73,43.73,43.03,43.3,322921
2021-06-11T00:00:00+05:30,43.0,45.9,43.0,43.57,231258
2021-06-14T00:00:00+05:30,44.0,44.0,42.9,42.99,467160
2021-06-15T00:00:00+05:30,45.0,45.0,42.86,43.14,255148
2021-06-16T00:00:00+05:30,43.14,43.17,42.87,43.0,298083
2021-06-17T00:00:00+05:30,42.5,42.99,42.21,42.31,341109
2021-06-18T00:00:00+05:30,41.51,42.31,41.51,41.93,409193
2021-06-21T00:00:00+05:30,41.5,41.93,41.5,41.88,668691
2021-06-22T00:00:00+05:30,41.88,43.95,41.75,41.87,498535
2021-06-23T00:00:00+05:30,44.98,44.98,41.36,41.91,57765
2021-06-24T00:00:00+05:30,41.89,41.92,39.1,41.87,122186
2021-06-25T00:00:00+05:30,41.43,42.0,41.43,41.89,192280
2021-06-28T00:00:00+05:30,42.23,42.23,41.56,41.77,126740
2021-06-29T00:00:00+05:30,38.0,41.98,38.0,41.7,103910
2021-06-30T00:00:00+05:30,40.0,41.74,40.0,41.43,374918
2021-07-01T00:00:00+05:30,44.44,44.44,41.66,41.84,109042
2021-07-02T00:00:00+05:30,41.71,44.98,41.71,42.14,178138
2021-07-05T00:00:00+05:30,44.85,44.85,42.06,42.17,232510
2021-07-06T00:00:00+05:30,42.18,42.89,42.18,42.55,550675
2021-07-07T00:00:00+05:30,40.88,42.79,40.88,42.64,243181
2021-07-08T00:00:00+05:30,44.98,44.98,42.21,42.72,174196
2021-07-09T00:00:00+05:30,40.88,42.68,40.88,42.46,816946
2021-07-12T00:00:00+05:30,44.5,44.5,40.63,42.29,254172
2021-07-13T00:00:00+05:30,42.31,42.79,42.27,42.31,254839
2021-07-14T00:00:00+05:30,42.93,42.93,41.4,42.58,324450
2021-07-15T00:00:00+05:30,42.51,42.99,42.51,42.89,266196
2021-07-16T00:00:00+05:30,41.58,42.89,41.58,42.78,138948
2021-07-19T00:00:00+05:30,42.78,44.35,42.31,42.46,269999
2021-07-20T00:00:00+05:30,42.31,42.89,42.31,42.59,238926
2021-07-22T00:00:00+05:30,40.88,42.78,40.88,42.35,497959
2021-07-23T00:00:00+05:30,42.79,42.79,42.16,42.34,70180
2021-07-26T00:00:00+05:30,41.58,42.84,41.58,42.4,224316
2021-07-27T00:00:00+05:30,41.38,42.62,41.38,42.4,395098
2021-07-28T00:00:00+05:30,42.33,42.6,42.27,42.42,629280
2021-07-29T00:00:00+05:30,42.43,42.79,42.35,42.62,246237
2021-07-30T00:00:00+05:30,42.41,43.01,42.41,42.99,145574
2021-08-02T00:00:00+05:30,42.98,42.98,42.41,42.47,129915
2021-08-03T00:00:00+05:30,42.92,42.92,42.11,42.53,272194
2021-08-04T00:00:00+05:30,42.53,42.74,42.31,42.47,80222
2021-08-05T00:00:00+05:30,44.0,44.0,42.11,42.59,224971
2021-08-06T00:00:00+05:30,37.1,42.54,37.1,42.39,317579
2021-08-09T00:00:00+05:30,42.22,42.22,39.95,41.32,439131
2021-08-10T00:00:00+05:30,42.12,42.12,41.08,41.22,633935
2021-08-11T00:00:00+05:30,40.38,41.49,40.38,41.26,318831
2021-08-12T00:00:00+05:30,41.28,41.69,41.28,41.58,457489
2021-08-13T00:00:00+05:30,41.98,41.98,41.33,41.44,138189
2021-08-16T00:00:00+05:30,41.52,42.37,41.52,41.75,514116
2021-08-17T00:00:00+05:30,41.75,42.42,41.58,42.17,136362
2021-08-18T00:00:00+05:30,42.68,42.68,41.63,41.91,541048
2021-08-20T00:00:00+05:30,42.32,42.32,41.48,42.02,272253
2021-08-23T00:00:00+05:30,41.58,42.39,41.58,41.94,153887
2021-08-24T00:00:00+05:30,41.68,42.49,41.68,42.24,233913
2021-08-25T00:00:00+05:30,42.63,42.63,40.68,42.13,268745
2021-08-26T00:00:00+05:30,42.43,42.43,41.68,41.74,162067
2021-08-27T00:00:00+05:30,38.0,42.2,38.0,41.95,229722
2021-08-30T00:00:00+05:30,41.95,42.78,40.65,42.0,122314
2021-08-31T00:00:00+05:30,42.0,44.04,40.0,41.8,326050
2021-09-01T00:00:00+05:30,41.8,41.98,41.73,41.77,56887
2021-09-02T00:00:00+05:30,41.6,42.19,41.6,42.02,197811
2021-09-03T00:00:00+05:30,42.48,42.48,41.71,41.9,83339
2021-09-06T00:00:00+05:30,41.78,42.35,41.78,42.22,206135
2021-09-07T00:00:00+05:30,42.49,42.49,42.0,42.13,191053
2021-09-08T00:00:00+05:30,41.6,42.29,41.6,41.84,95826
2021-09-09T00:00:00+05:30,42.22,42.22,41.38,41.84,421615
2021-09-13T00:00:00+05:30,42.22,42.22,41.41,41.75,254449
2021-09-14T00:00:00+05:30,41.41,41.87,41.41,41.76,236306
2021-09-15T00:00:00+05:30,41.58,42.58,41.58,41.98,280962
2021-09-16T00:00:00+05:30,41.48,42.43,41.44,41.52,285435
2021-09-17T00:00:00+05:30,41.52,41.52,41.0,41.19,287555
2021-09-20T00:00:00+05:30,41.19,41.32,40.8,41.21,702304
2021-09-21T00:00:00+05:30,40.8,41.79,40.8,41.28,332341
2021-09-22T00:00:00+05:30,41.23,42.03,41.23,41.64,456319
2021-09-23T00:00:00+05:30,41.92,41.92,41.11,41.37,340804
2021-09-24T00:00:00+05:30,41.24,41.24,40.8,41.07,248503
2021-09-27T00:00:00+05:30,41.62,41.62,40.63,40.99,204310
2021-09-28T00:00:00+05:30,40.7,41.42,40.7,40.97,216672
2021-09-29T00:00:00+05:30,40.61,41.38,40.61,40.97,117951
