datetime,open,high,low,close,volume
2025-07-22T00:00:00+05:30,10.21,10.21,9.96,10.04,370946
2025-07-23T00:00:00+05:30,10.29,10.47,10.04,10.06,503856
2025-07-24T00:00:00+05:30,10.31,10.37,10.03,10.05,360478
2025-07-25T00:00:00+05:30,10.1,10.11,9.95,9.96,451012
2025-07-28T00:00:00+05:30,9.96,10.05,9.87,9.9,337114
2025-07-29T00:00:00+05:30,9.98,9.99,9.87,9.94,145417
2025-07-30T00:00:00+05:30,9.98,10.0,9.81,9.96,161025
2025-07-31T00:00:00+05:30,9.76,9.99,9.76,9.94,168973
2025-08-01T00:00:00+05:30,10.0,10.0,9.8,9.85,187276
2025-08-04T00:00:00+05:30,9.86,9.96,9.76,9.9,121600
2025-08-05T00:00:00+05:30,10.0,10.0,9.78,9.88,148470
2025-08-06T00:00:00+05:30,9.88,9.95,9.8,9.84,122117
2025-08-07T00:00:00+05:30,9.92,9.92,9.76,9.83,262656
2025-08-08T00:00:00+05:30,9.83,9.9,9.78,9.78,146649
2025-08-11T00:00:00+05:30,9.78,9.9,9.71,9.84,103153
2025-08-12T00:00:00+05:30,9.8,9.95,9.5,9.79,88866
2025-08-13T00:00:00+05:30,9.59,9.9,9.59,9.85,92860
2025-08-14T00:00:00+05:30,9.89,9.9,9.72,9.87,59134
2025-08-18T00:00:00+05:30,9.77,10.03,9.77,9.94,170519
2025-08-19T00:00:00+05:30,9.94,10.08,9.94,10.02,477408
2025-08-20T00:00:00+05:30,10.08,10.37,9.89,10.02,178659
2025-08-21T00:00:00+05:30,10.25,10.37,10.02,10.05,181478
2025-08-22T00:00:00+05:30,10.3,10.3,9.76,9.99,134054
2025-08-25T00:00:00+05:30,10.03,10.11,9.91,9.99,76656
2025-08-26T00:00:00+05:30,10.03,10.11,9.88,9.92,104466
2025-08-28T00:00:00+05:30,9.92,10.11,9.75,9.84,141689
2025-08-29T00:00:00+05:30,10.27,10.27,9.8,9.81,233421
2025-09-01T00:00:00+05:30,9.94,9.94,9.81,9.87,84933
2025-09-02T00:00:00+05:30,10.1,10.1,9.85,9.87,129826
2025-09-03T00:00:00+05:30,10.11,10.27,9.82,9.88,107463
2025-09-04T00:00:00+05:30,9.99,10.27,9.9,9.93,712187
2025-09-05T00:00:00+05:30,10.27,10.27,9.85,9.94,280021
2025-09-08T00:00:00+05:30,10.14,10.14,9.92,9.95,580080
2025-09-09T00:00:00+05:30,10.04,10.11,9.9,9.96,280965
2025-09-10T00:00:00+05:30,9.91,10.06,9.91,10.02,517373
2025-09-11T00:00:00+05:30,10.27,10.27,9.98,10.01,468535
2025-09-12T00:00:00+05:30,10.08,10.14,9.92,10.04,226928
2025-09-15T00:00:00+05:30,10.24,10.24,9.99,10.05,165361
2025-09-16T00:00:00+05:30,10.26,10.26,9.95,10.09,189091
2025-09-17T00:00:00+05:30,10.29,10.4,10.09,10.17,401328
2025-09-18T00:00:00+05:30,10.47,11.0,10.11,10.17,851326
2025-09-19T00:00:00+05:30,10.1,10.34,10.1,10.17,231240
2025-09-22T00:00:00+05:30,10.24,10.24,10.02,10.1,194156
2025-09-23T00:00:00+05:30,10.11,10.17,10.04,10.11,290685
2025-09-24T00:00:00+05:30,10.01,10.17,10.01,10.06,113613
2025-09-25T00:00:00+05:30,10.07,10.14,9.99,10.0,181442
2025-09-26T00:00:00+05:30,10.25,10.25,9.89,9.91,306902
2025-09-29T00:00:00+05:30,10.04,10.04,9.85,9.87,310375
2025-09-30T00:00:00+05:30,9.91,9.95,9.85,9.88,148193
2025-10-01T00:00:00+05:30,9.84,9.95,9.81,9.94,163529
2025-10-03T00:00:00+05:30,9.9,10.01,9.89,9.97,158493
2025-10-06T00:00:00+05:30,10.01,10.04,9.92,10.03,226935
2025-10-07T00:00:00+05:30,10.09,10.13,10.03,10.07,224877
2025-10-08T00:00:00+05:30,10.12,10.12,10.01,10.02,191583
2025-10-09T00:00:00+05:30,10.06,10.09,10.0,10.06,169424
2025-10-10T00:00:00+05:30,10.1,10.14,10.03,10.12,183029
2025-10-13T00:00:00+05:30,10.19,10.19,9.98,10.09,149878
2025-10-14T00:00:00+05:30,10.34,10.34,10.05,10.05,161199
2025-10-15T00:00:00+05:30,10.09,10.13,10.0,10.12,192156
2025-10-16T00:00:00+05:30,10.14,10.28,10.11,10.25,349352
2025-10-17T00:00:00+05:30,10.33,10.34,10.23,10.3,218388
2025-10-20T00:00:00+05:30,10.39,10.44,10.21,10.31,211710
2025-10-21T00:00:00+05:30,10.41,10.41,10.35,10.4,78172
2025-10-23T00:00:00+05:30,10.44,10.64,10.38,10.4,288642
2025-10-24T00:00:00+05:30,10.45,10.45,10.3,10.4,245971
2025-10-27T00:00:00+05:30,10.42,10.43,10.34,10.41,169259
2025-10-28T00:00:00+05:30,10.4,10.48,10.37,10.38,164392
2025-10-29T00:00:00+05:30,10.39,10.44,10.38,10.44,143358
2025-10-30T00:00:00+05:30,10.44,10.48,10.36,10.4,165724
