datetime,open,high,low,close,volume
2025-10-09T00:00:00+05:30,10.0,10.44,9.85,9.94,135305
2025-10-10T00:00:00+05:30,10.05,10.14,9.9,10.09,176558
2025-10-13T00:00:00+05:30,10.09,10.9,9.9,10.1,138657
2025-10-14T00:00:00+05:30,10.36,10.36,9.95,10.03,170757
2025-10-15T00:00:00+05:30,10.1,10.4,9.98,10.33,249098
2025-10-16T00:00:00+05:30,10.38,10.67,10.26,10.53,157484
2025-10-17T00:00:00+05:30,10.6,10.84,10.4,10.47,128679
2025-10-20T00:00:00+05:30,10.6,10.6,10.31,10.51,103420
2025-10-21T00:00:00+05:30,10.72,10.72,10.51,10.54,35979
2025-10-23T00:00:00+05:30,10.8,10.8,10.33,10.49,56703
2025-10-24T00:00:00+05:30,10.6,10.6,10.47,10.58,75997
2025-10-27T00:00:00+05:30,10.65,10.88,10.5,10.74,165148
2025-10-28T00:00:00+05:30,10.72,10.84,10.51,10.59,116576
2025-10-29T00:00:00+05:30,10.68,10.69,10.55,10.66,76051
2025-10-30T00:00:00+05:30,10.85,10.85,10.53,10.66,36780
2025-10-31T00:00:00+05:30,10.71,10.9,10.6,10.64,129019
2025-11-03T00:00:00+05:30,10.69,10.9,10.63,10.9,131275
2025-11-04T00:00:00+05:30,11.12,11.12,10.65,10.85,150275
2025-11-06T00:00:00+05:30,11.07,11.07,10.6,10.65,93151
2025-11-07T00:00:00+05:30,10.71,10.72,10.41,10.65,97579
2025-11-10T00:00:00+05:30,10.65,10.8,10.51,10.62,81219
2025-11-11T00:00:00+05:30,10.6,10.62,10.46,10.55,63858
2025-11-12T00:00:00+05:30,10.62,11.3,10.51,10.68,235752
2025-11-13T00:00:00+05:30,10.6,11.25,10.46,10.54,120017
2025-11-14T00:00:00+05:30,10.68,10.7,10.48,10.6,285057
2025-11-17T00:00:00+05:30,10.67,10.67,10.53,10.62,52151
2025-11-18T00:00:00+05:30,10.73,10.73,10.4,10.42,184150
2025-11-19T00:00:00+05:30,10.5,10.5,10.3,10.41,73210
2025-11-20T00:00:00+05:30,10.48,10.49,10.3,10.38,61880
2025-11-21T00:00:00+05:30,10.39,10.4,10.13,10.23,138897
2025-11-24T00:00:00+05:30,10.16,10.27,9.95,9.97,163187
2025-11-25T00:00:00+05:30,10.14,10.14,9.98,10.14,56021
2025-11-26T00:00:00+05:30,10.06,10.24,10.05,10.24,62342
