datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,210.74,213.0,210.01,211.66,2948
2021-03-10T00:00:00+05:30,211.5,215.53,210.0,210.55,1820
2021-03-12T00:00:00+05:30,209.83,219.45,209.15,216.9,13432
2021-03-15T00:00:00+05:30,212.63,219.75,206.38,207.91,4892
2021-03-16T00:00:00+05:30,205.74,218.0,205.44,214.76,15932
2021-03-17T00:00:00+05:30,212.99,220.01,211.96,216.91,10304
2021-03-18T00:00:00+05:30,217.01,217.01,207.88,210.11,4176
2021-03-19T00:00:00+05:30,206.46,213.03,206.13,211.04,6848
2021-03-22T00:00:00+05:30,206.5,219.25,205.5,216.61,10620
2021-03-23T00:00:00+05:30,217.88,217.88,212.54,216.29,9316
2021-03-24T00:00:00+05:30,215.56,220.0,213.69,217.21,22572
2021-03-25T00:00:00+05:30,218.01,220.79,206.39,208.99,2796
2021-03-26T00:00:00+05:30,211.41,214.2,197.95,202.84,4852
2021-03-30T00:00:00+05:30,207.5,212.5,202.09,205.0,4032
2021-03-31T00:00:00+05:30,204.25,216.23,196.36,200.0,2292
2021-04-01T00:00:00+05:30,202.51,239.99,202.21,225.0,52776
2021-04-05T00:00:00+05:30,227.5,227.5,213.14,215.7,5224
2021-04-06T00:00:00+05:30,223.83,223.83,203.9,213.13,6336
2021-04-07T00:00:00+05:30,207.8,222.5,207.8,221.74,10352
2021-04-08T00:00:00+05:30,223.75,225.99,216.75,225.39,6168
2021-04-09T00:00:00+05:30,237.23,252.0,193.9,214.23,37116
2021-04-12T00:00:00+05:30,213.25,230.61,213.25,222.51,14044
2021-04-13T00:00:00+05:30,231.25,233.19,212.5,213.65,8180
2021-04-15T00:00:00+05:30,215.83,222.8,213.65,217.44,10128
2021-04-16T00:00:00+05:30,220.76,224.94,212.5,214.05,15884
2021-04-19T00:00:00+05:30,217.51,217.51,206.5,211.88,3652
2021-04-20T00:00:00+05:30,214.51,214.6,200.0,204.75,3408
2021-04-22T00:00:00+05:30,204.31,211.24,202.51,207.53,5668
2021-04-23T00:00:00+05:30,206.64,207.64,197.5,198.75,13076
2021-04-26T00:00:00+05:30,204.59,204.75,200.0,201.58,9324
2021-04-27T00:00:00+05:30,200.86,205.15,198.78,199.98,14188
