datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,11.8,11.8,11.8,11.8,261607
2021-03-10T00:00:00+05:30,12.25,12.25,11.25,11.25,1165045
2021-03-12T00:00:00+05:30,10.7,10.7,10.7,10.7,281577
2021-03-15T00:00:00+05:30,10.2,10.2,10.2,10.2,183053
2021-03-16T00:00:00+05:30,10.0,10.7,9.7,9.7,2499243
2021-03-17T00:00:00+05:30,9.3,9.65,9.25,9.25,700405
2021-03-18T00:00:00+05:30,9.25,9.35,8.8,9.05,1338019
2021-03-19T00:00:00+05:30,9.05,9.25,8.6,9.1,630115
2021-03-22T00:00:00+05:30,9.15,9.3,9.0,9.05,325932
2021-03-23T00:00:00+05:30,9.15,9.4,9.05,9.25,693334
2021-03-24T00:00:00+05:30,9.45,9.45,8.95,9.05,579424
2021-03-25T00:00:00+05:30,9.05,9.15,8.6,8.75,608163
2021-03-26T00:00:00+05:30,8.95,8.95,8.7,8.75,341651
2021-03-30T00:00:00+05:30,8.55,8.95,8.55,8.8,470472
2021-03-31T00:00:00+05:30,9.0,9.2,8.8,8.9,373120
2021-04-01T00:00:00+05:30,9.15,9.25,9.0,9.25,230935
2021-04-05T00:00:00+05:30,9.5,9.55,9.15,9.3,358296
2021-04-06T00:00:00+05:30,9.4,9.55,9.2,9.25,321279
2021-04-07T00:00:00+05:30,9.35,9.35,9.05,9.15,284948
2021-04-08T00:00:00+05:30,9.0,9.45,9.0,9.05,381124
2021-04-09T00:00:00+05:30,9.05,9.25,8.65,8.7,994647
2021-04-12T00:00:00+05:30,8.85,8.9,8.3,8.3,574125
2021-04-13T00:00:00+05:30,8.3,8.7,8.3,8.65,264536
2021-04-15T00:00:00+05:30,8.85,8.9,8.25,8.3,468078
2021-04-16T00:00:00+05:30,8.35,8.7,8.35,8.55,289100
2021-04-19T00:00:00+05:30,8.3,8.4,8.15,8.25,422582
2021-04-20T00:00:00+05:30,8.1,8.5,7.95,8.0,744394
2021-04-22T00:00:00+05:30,8.1,8.25,7.95,8.0,499451
2021-04-23T00:00:00+05:30,8.1,8.4,8.05,8.35,554577
2021-04-26T00:00:00+05:30,8.7,8.7,8.5,8.6,325580
2021-04-27T00:00:00+05:30,8.7,8.75,8.5,8.65,255628
2021-04-28T00:00:00+05:30,8.55,8.8,8.55,8.65,191692
2021-04-29T00:00:00+05:30,8.55,8.9,8.55,8.85,440383
2021-04-30T00:00:00+05:30,8.8,8.95,8.7,8.75,309602
2021-05-03T00:00:00+05:30,8.85,8.9,8.7,8.8,343719
2021-05-04T00:00:00+05:30,8.85,8.9,8.5,8.55,287376
2021-05-05T00:00:00+05:30,8.7,8.7,8.45,8.5,248807
2021-05-06T00:00:00+05:30,8.55,8.6,8.4,8.5,200141
2021-05-07T00:00:00+05:30,8.6,8.65,8.35,8.5,358293
2021-05-10T00:00:00+05:30,8.5,8.9,8.5,8.9,522851
2021-05-11T00:00:00+05:30,8.95,9.3,8.9,9.3,784945
2021-05-12T00:00:00+05:30,9.7,9.7,8.95,9.35,1171959
2021-05-14T00:00:00+05:30,9.5,9.5,9.2,9.25,405647
2021-05-17T00:00:00+05:30,9.45,9.7,9.3,9.65,989886
2021-05-18T00:00:00+05:30,9.75,9.8,9.2,9.25,1015555
2021-05-19T00:00:00+05:30,9.45,9.6,9.15,9.4,640672
2021-05-20T00:00:00+05:30,9.35,9.5,9.15,9.4,498282
2021-05-21T00:00:00+05:30,9.5,9.5,9.25,9.3,577675
2021-05-24T00:00:00+05:30,9.35,9.45,9.3,9.35,420860
2021-05-25T00:00:00+05:30,9.45,9.45,9.3,9.35,407512
2021-05-26T00:00:00+05:30,9.5,9.8,9.4,9.8,1493054
2021-05-27T00:00:00+05:30,10.0,10.25,9.9,10.25,1331414
2021-05-28T00:00:00+05:30,10.6,10.75,10.35,10.75,1902788
2021-05-31T00:00:00+05:30,11.25,11.25,11.25,11.25,750750
2021-06-01T00:00:00+05:30,11.75,11.75,10.7,10.75,3508462
2021-06-02T00:00:00+05:30,10.7,11.25,10.3,11.25,1960294
2021-06-03T00:00:00+05:30,11.45,11.65,10.85,11.35,2428888
2021-06-04T00:00:00+05:30,11.45,11.6,10.9,11.2,1533384
2021-06-07T00:00:00+05:30,11.45,12.3,11.25,12.3,2919854
2021-06-08T00:00:00+05:30,12.85,13.5,12.5,13.5,3105058
2021-06-09T00:00:00+05:30,14.3,14.85,14.0,14.85,2126975
2021-06-10T00:00:00+05:30,15.5,15.55,15.25,15.55,863164
2021-06-11T00:00:00+05:30,16.3,16.3,15.05,16.3,5811707
2021-06-14T00:00:00+05:30,16.9,16.9,15.5,15.75,3976077
2021-06-15T00:00:00+05:30,16.0,16.5,15.8,16.5,752777
2021-06-16T00:00:00+05:30,17.2,17.3,16.05,17.25,4747949
2021-06-17T00:00:00+05:30,17.3,18.1,16.8,18.1,1600385
2021-06-18T00:00:00+05:30,18.7,19.0,17.2,18.9,6634061
2021-06-21T00:00:00+05:30,18.8,19.8,18.1,19.8,2069456
2021-06-22T00:00:00+05:30,20.6,20.75,20.4,20.75,595885
2021-06-23T00:00:00+05:30,21.75,21.75,19.8,20.25,5253150
