datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,40.05,40.08,39.65,39.89,920933
2021-03-10T00:00:00+05:30,42.0,42.0,39.93,39.96,979242
2021-03-12T00:00:00+05:30,39.96,40.24,39.65,39.73,1258017
2021-03-15T00:00:00+05:30,41.0,41.45,40.01,40.12,831522
2021-03-16T00:00:00+05:30,40.39,40.39,40.01,40.12,965369
2021-03-17T00:00:00+05:30,40.39,40.39,40.1,40.14,735925
2021-03-18T00:00:00+05:30,40.59,40.59,40.1,40.17,1099302
2021-03-19T00:00:00+05:30,40.09,40.39,39.96,40.2,1106989
2021-03-22T00:00:00+05:30,40.2,40.45,36.6,39.93,629700
2021-03-23T00:00:00+05:30,40.1,40.19,39.93,39.98,531994
2021-03-24T00:00:00+05:30,39.98,40.09,39.9,39.94,521142
2021-03-25T00:00:00+05:30,40.19,40.19,39.78,39.88,2513265
2021-03-26T00:00:00+05:30,39.85,39.97,39.75,39.86,694177
2021-03-30T00:00:00+05:30,39.4,39.99,39.2,39.64,2499399
2021-03-31T00:00:00+05:30,39.67,39.75,39.36,39.5,987997
2021-04-01T00:00:00+05:30,40.39,41.4,39.91,40.09,1017341
2021-04-05T00:00:00+05:30,40.15,40.69,40.11,40.34,1071232
2021-04-06T00:00:00+05:30,40.35,40.65,40.34,40.48,430282
2021-04-07T00:00:00+05:30,40.48,41.2,40.48,41.11,710176
2021-04-08T00:00:00+05:30,41.19,41.45,41.02,41.33,365171
2021-04-09T00:00:00+05:30,41.69,41.71,41.42,41.51,612726
2021-04-12T00:00:00+05:30,41.4,41.69,41.33,41.48,899699
2021-04-13T00:00:00+05:30,41.49,41.55,41.25,41.49,419983
2021-04-15T00:00:00+05:30,41.79,41.79,41.49,41.73,717940
2021-04-16T00:00:00+05:30,42.08,42.08,41.66,41.86,548060
2021-04-19T00:00:00+05:30,42.39,42.62,41.91,42.57,2058659
2021-04-20T00:00:00+05:30,42.55,42.55,42.0,42.17,594185
2021-04-22T00:00:00+05:30,43.65,43.65,42.5,42.54,933999
2021-04-23T00:00:00+05:30,42.99,42.99,42.36,42.51,486334
2021-04-26T00:00:00+05:30,42.74,42.74,42.1,42.29,490924
2021-04-27T00:00:00+05:30,42.38,42.38,42.1,42.19,664728
2021-04-28T00:00:00+05:30,42.2,42.2,41.72,41.77,452057
2021-04-29T00:00:00+05:30,41.91,42.19,41.8,41.85,236322
2021-04-30T00:00:00+05:30,41.82,41.82,41.61,41.63,321399
2021-05-03T00:00:00+05:30,42.19,42.19,41.66,41.7,568289
2021-05-04T00:00:00+05:30,42.15,42.15,41.82,41.84,478740
2021-05-05T00:00:00+05:30,41.95,41.98,41.52,41.61,462329
2021-05-06T00:00:00+05:30,41.65,41.94,41.65,41.86,335173
2021-05-07T00:00:00+05:30,42.44,42.5,42.22,42.33,671164
2021-05-10T00:00:00+05:30,42.33,42.73,42.32,42.59,687256
2021-05-11T00:00:00+05:30,42.95,45.1,42.41,42.46,438956
2021-05-12T00:00:00+05:30,42.34,42.5,42.23,42.43,442925
2021-05-14T00:00:00+05:30,42.05,42.89,42.05,42.53,1544085
2021-05-17T00:00:00+05:30,42.55,43.04,42.55,42.87,611634
2021-05-18T00:00:00+05:30,43.01,43.3,43.01,43.14,506541
2021-05-19T00:00:00+05:30,43.25,43.25,43.0,43.02,386447
2021-05-20T00:00:00+05:30,43.05,43.75,43.05,43.2,272526
2021-05-21T00:00:00+05:30,43.5,43.5,43.1,43.2,294466
2021-05-24T00:00:00+05:30,43.55,43.55,43.2,43.27,464644
2021-05-25T00:00:00+05:30,43.45,43.45,43.05,43.19,573653
2021-05-26T00:00:00+05:30,43.69,43.69,43.42,43.63,483356
2021-05-27T00:00:00+05:30,43.65,43.65,43.32,43.4,452074
2021-05-28T00:00:00+05:30,43.39,43.39,43.18,43.32,470494
2021-05-31T00:00:00+05:30,43.6,43.8,43.42,43.65,753552
2021-06-01T00:00:00+05:30,43.68,43.99,43.68,43.88,566742
2021-06-02T00:00:00+05:30,43.82,43.89,43.6,43.66,3137471
2021-06-03T00:00:00+05:30,43.98,43.98,43.5,43.57,224386
2021-06-04T00:00:00+05:30,43.45,43.45,43.04,43.12,761112
2021-06-07T00:00:00+05:30,43.7,43.7,43.22,43.29,571322
2021-06-08T00:00:00+05:30,43.5,43.68,43.4,43.46,529641
2021-06-09T00:00:00+05:30,43.4,43.7,43.4,43.52,578732
2021-06-10T00:00:00+05:30,43.6,43.6,43.38,43.41,494597
2021-06-11T00:00:00+05:30,43.55,43.84,43.5,43.7,414162
2021-06-14T00:00:00+05:30,43.4,43.45,43.05,43.12,392414
2021-06-15T00:00:00+05:30,43.05,43.24,43.02,43.11,545020
