datetime,open,high,low,close,volume
2022-10-17T00:00:00+05:30,130.0,130.0,124.35,124.6,4191
2022-10-18T00:00:00+05:30,125.5,128.0,125.4,125.65,3715
2022-10-19T00:00:00+05:30,125.0,125.65,125.0,125.55,1916
2022-10-20T00:00:00+05:30,125.5,128.0,125.5,125.95,1687
2022-10-21T00:00:00+05:30,125.5,128.45,125.5,126.75,2489
2022-10-24T00:00:00+05:30,130.0,130.0,126.3,128.0,100923
2022-10-25T00:00:00+05:30,128.0,128.0,124.05,124.05,7653
2022-10-27T00:00:00+05:30,125.0,129.0,125.0,126.4,18934
2022-10-28T00:00:00+05:30,127.0,128.5,124.8,127.0,14256
2022-10-31T00:00:00+05:30,131.85,131.85,125.35,125.35,8262
2022-11-01T00:00:00+05:30,126.15,134.0,126.15,129.45,29186
2022-11-02T00:00:00+05:30,130.2,133.8,128.5,128.85,4150
2022-11-03T00:00:00+05:30,128.3,132.0,128.3,131.95,752
2022-11-04T00:00:00+05:30,132.0,133.0,128.9,131.5,665
2022-11-07T00:00:00+05:30,130.8,131.0,130.5,130.5,286
2022-11-09T00:00:00+05:30,132.3,132.6,130.6,130.8,15945
2022-11-10T00:00:00+05:30,130.7,132.0,130.3,130.3,647
2022-11-11T00:00:00+05:30,131.55,133.0,131.1,131.1,4965
2022-11-14T00:00:00+05:30,133.0,134.7,131.35,133.4,390
2022-11-15T00:00:00+05:30,132.8,134.4,130.85,134.4,8739
2022-11-16T00:00:00+05:30,133.8,133.8,131.8,132.0,622
2022-11-17T00:00:00+05:30,131.85,133.0,131.85,132.95,558
2022-11-18T00:00:00+05:30,133.0,133.0,130.8,130.8,15642
2022-11-21T00:00:00+05:30,131.0,133.6,130.8,131.95,186
2022-11-22T00:00:00+05:30,132.85,133.5,129.8,130.75,411
2022-11-23T00:00:00+05:30,131.7,133.5,131.0,133.5,413
2022-11-24T00:00:00+05:30,135.5,135.5,129.8,131.6,3684
2022-11-25T00:00:00+05:30,133.0,134.5,133.0,133.7,33
2022-11-28T00:00:00+05:30,134.1,134.1,133.1,133.35,4665
2022-11-29T00:00:00+05:30,133.8,136.4,133.0,134.7,4089
2022-11-30T00:00:00+05:30,136.0,137.9,136.0,137.0,212
2022-12-01T00:00:00+05:30,137.0,137.6,136.95,137.25,314
2022-12-02T00:00:00+05:30,136.4,137.0,134.3,135.2,213
2022-12-05T00:00:00+05:30,135.2,136.0,134.3,135.0,11226
2022-12-06T00:00:00+05:30,135.0,138.35,135.0,138.35,24
2022-12-07T00:00:00+05:30,135.4,138.35,135.1,138.35,13761
2022-12-08T00:00:00+05:30,137.7,138.4,137.0,137.9,85
2022-12-09T00:00:00+05:30,136.0,137.55,130.8,133.4,134
2022-12-12T00:00:00+05:30,135.0,138.9,133.4,135.75,1359
2022-12-13T00:00:00+05:30,131.7,137.5,131.7,136.7,30
2022-12-14T00:00:00+05:30,136.0,137.7,135.95,136.13,44
2022-12-15T00:00:00+05:30,135.95,135.95,135.15,135.15,123
2022-12-16T00:00:00+05:30,135.15,135.15,130.55,131.15,27
2022-12-19T00:00:00+05:30,131.95,136.1,131.95,131.95,3741
2022-12-20T00:00:00+05:30,132.3,135.5,131.95,135.5,435
2022-12-21T00:00:00+05:30,138.25,138.25,131.85,136.95,44
2022-12-22T00:00:00+05:30,134.0,134.55,134.0,134.55,4578
2022-12-23T00:00:00+05:30,133.3,133.6,130.3,130.3,7209
2022-12-26T00:00:00+05:30,130.7,133.35,130.7,133.35,2011
2022-12-27T00:00:00+05:30,130.0,133.5,130.0,131.85,46
2022-12-28T00:00:00+05:30,131.47,134.21,131.47,134.21,1015
2022-12-29T00:00:00+05:30,132.15,133.72,132.1,132.1,35
2022-12-30T00:00:00+05:30,133.86,135.0,131.86,131.92,41
2023-01-02T00:00:00+05:30,132.0,133.9,130.8,132.88,115
2023-01-03T00:00:00+05:30,131.8,133.0,129.8,132.0,92
2023-01-04T00:00:00+05:30,131.8,132.92,131.12,131.12,45
2023-01-05T00:00:00+05:30,132.0,133.91,130.0,131.0,75
2023-01-06T00:00:00+05:30,134.1,150.0,128.41,133.16,1397
2023-01-09T00:00:00+05:30,133.0,134.21,132.0,134.21,1599
2023-01-10T00:00:00+05:30,133.92,133.93,128.05,130.29,961
2023-01-11T00:00:00+05:30,131.14,133.18,130.88,133.01,795
2023-01-12T00:00:00+05:30,131.0,132.95,131.0,132.91,130
2023-01-13T00:00:00+05:30,132.9,132.9,131.63,132.9,14
2023-01-16T00:00:00+05:30,132.9,132.9,132.9,132.9,2
2023-01-17T00:00:00+05:30,132.9,134.34,132.9,134.34,20
2023-01-18T00:00:00+05:30,131.35,135.29,131.35,135.0,35
2023-01-19T00:00:00+05:30,133.75,135.04,133.75,134.0,386
2023-01-20T00:00:00+05:30,134.0,135.01,134.0,134.16,54
2023-01-23T00:00:00+05:30,134.0,134.54,132.48,132.94,58
2023-01-24T00:00:00+05:30,132.94,137.9,132.94,134.46,64
2023-01-25T00:00:00+05:30,132.3,133.0,132.01,132.01,71
2023-01-27T00:00:00+05:30,131.02,147.0,131.02,145.0,2693
2023-01-30T00:00:00+05:30,138.0,138.35,131.3,133.2,1029
2023-01-31T00:00:00+05:30,133.9,133.9,130.8,133.0,523
2023-02-01T00:00:00+05:30,134.8,134.8,130.5,130.5,151
2023-02-02T00:00:00+05:30,132.55,133.8,128.88,133.8,61
2023-02-03T00:00:00+05:30,131.8,134.2,130.3,131.9,28
2023-02-06T00:00:00+05:30,131.0,131.0,129.75,131.0,2454
2023-02-07T00:00:00+05:30,130.81,130.81,130.0,130.0,6
2023-02-08T00:00:00+05:30,132.0,132.0,132.0,132.0,10
2023-02-09T00:00:00+05:30,131.8,134.0,130.4,134.0,63
2023-02-10T00:00:00+05:30,132.5,133.9,130.3,133.9,212
2023-02-13T00:00:00+05:30,132.75,132.75,129.96,130.45,325
2023-02-14T00:00:00+05:30,130.4,130.4,130.4,130.4,436
2023-02-15T00:00:00+05:30,134.2,134.2,131.3,131.4,18
2023-02-16T00:00:00+05:30,131.21,133.0,131.21,133.0,517
2023-02-17T00:00:00+05:30,133.0,133.0,130.3,130.31,142
2023-02-20T00:00:00+05:30,130.3,133.53,129.3,129.3,584
2023-02-21T00:00:00+05:30,131.3,133.36,131.01,131.01,203
2023-02-22T00:00:00+05:30,130.01,130.01,130.01,130.01,34
2023-02-23T00:00:00+05:30,129.9,133.35,129.0,133.35,251
2023-02-24T00:00:00+05:30,132.0,156.29,129.15,145.69,944
2023-02-27T00:00:00+05:30,145.69,145.69,127.3,128.01,3301
2023-02-28T00:00:00+05:30,129.59,131.55,127.45,127.45,161
2023-03-01T00:00:00+05:30,128.61,128.61,128.61,128.61,100
2023-03-02T00:00:00+05:30,129.9,129.9,129.9,129.9,90
2023-03-03T00:00:00+05:30,129.6,130.9,128.25,128.57,428
2023-03-06T00:00:00+05:30,130.0,131.9,129.0,131.86,346
2023-03-08T00:00:00+05:30,128.8,131.86,128.8,131.0,11193
2023-03-09T00:00:00+05:30,130.15,130.99,130.15,130.99,18963
2023-03-10T00:00:00+05:30,128.8,130.8,128.8,130.8,26
2023-03-13T00:00:00+05:30,130.3,130.79,127.6,130.79,28056
2023-03-14T00:00:00+05:30,128.3,128.85,128.0,128.85,222
2023-03-15T00:00:00+05:30,132.7,132.7,128.0,128.0,246
2023-03-16T00:00:00+05:30,127.3,129.5,127.3,127.3,10905
2023-03-17T00:00:00+05:30,127.45,129.87,127.45,129.77,165
2023-03-20T00:00:00+05:30,129.4,144.5,128.0,144.27,303
2023-03-21T00:00:00+05:30,131.6,137.0,126.69,130.51,4451
2023-03-22T00:00:00+05:30,130.52,134.84,128.91,133.57,4799
2023-03-23T00:00:00+05:30,129.47,134.9,127.0,129.88,3830
2023-03-24T00:00:00+05:30,129.88,133.45,128.7,131.9,2940
2023-03-27T00:00:00+05:30,135.0,135.0,127.0,128.36,4678
2023-03-28T00:00:00+05:30,125.6,129.99,125.6,126.58,969
2023-03-29T00:00:00+05:30,127.9,128.54,126.8,127.18,5067
2023-03-31T00:00:00+05:30,127.0,131.0,127.0,129.0,1068
2023-04-03T00:00:00+05:30,130.0,130.76,129.23,129.42,229
2023-04-05T00:00:00+05:30,129.46,131.2,129.46,131.1,1007
2023-04-06T00:00:00+05:30,131.0,133.7,130.2,133.7,5001
2023-04-10T00:00:00+05:30,131.7,132.57,131.02,132.57,13920
2023-04-11T00:00:00+05:30,132.0,132.0,130.32,130.89,327
2023-04-12T00:00:00+05:30,131.04,133.15,131.04,133.12,241
2023-04-13T00:00:00+05:30,131.3,133.9,130.9,131.17,284
2023-04-17T00:00:00+05:30,130.5,134.0,129.5,132.11,467
2023-04-18T00:00:00+05:30,132.0,132.64,130.76,131.05,271
2023-04-19T00:00:00+05:30,131.6,132.0,131.05,131.05,107
2023-04-20T00:00:00+05:30,130.8,131.2,130.4,131.2,355
2023-04-24T00:00:00+05:30,130.9,132.4,130.6,132.4,439
2023-04-25T00:00:00+05:30,131.6,131.6,131.6,131.6,64344
2023-04-26T00:00:00+05:30,132.6,132.6,131.73,132.0,349
2023-04-27T00:00:00+05:30,132.13,133.5,132.1,132.61,687
2023-04-28T00:00:00+05:30,133.5,135.0,133.3,134.98,312
2023-05-02T00:00:00+05:30,137.0,137.0,134.0,135.39,643
2023-05-03T00:00:00+05:30,134.38,136.0,134.38,135.95,149
2023-05-04T00:00:00+05:30,135.95,135.95,134.9,135.08,357
2023-05-05T00:00:00+05:30,135.08,136.2,134.7,136.15,346
2023-05-08T00:00:00+05:30,136.0,136.15,135.48,135.98,222
2023-05-09T00:00:00+05:30,137.0,137.88,136.0,136.04,589
2023-05-10T00:00:00+05:30,136.55,137.0,136.21,136.43,585
2023-05-11T00:00:00+05:30,136.43,139.0,136.33,138.95,10410
2023-05-15T00:00:00+05:30,137.33,138.55,136.99,136.99,59
2023-05-16T00:00:00+05:30,137.0,138.5,137.0,138.47,226
2023-05-17T00:00:00+05:30,137.1,137.1,135.29,136.83,616
2023-05-18T00:00:00+05:30,136.83,136.83,136.0,136.0,222
2023-05-19T00:00:00+05:30,136.0,136.62,134.93,134.93,10517
2023-05-22T00:00:00+05:30,135.0,137.99,134.99,135.23,10545
