datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,18.1,18.13,17.9,17.97,194618
2024-02-06T00:00:00+05:30,18.2,18.35,17.97,18.16,112864
2024-02-07T00:00:00+05:30,18.16,18.5,17.93,18.15,174390
2024-02-08T00:00:00+05:30,18.15,18.47,17.93,18.24,256054
2024-02-09T00:00:00+05:30,18.45,18.55,17.79,18.13,301982
2024-02-12T00:00:00+05:30,18.49,18.5,17.5,17.73,388255
2024-02-13T00:00:00+05:30,17.76,18.09,17.4,17.73,247432
2024-02-14T00:00:00+05:30,17.75,17.92,17.39,17.87,124265
2024-02-15T00:00:00+05:30,17.88,18.25,17.88,18.06,177707
2024-02-16T00:00:00+05:30,18.45,18.45,18.06,18.16,133971
2024-02-19T00:00:00+05:30,18.34,18.34,17.4,18.25,559979
2024-02-20T00:00:00+05:30,18.25,18.35,18.01,18.23,115039
2024-02-21T00:00:00+05:30,18.24,18.35,18.0,18.09,196271
2024-02-22T00:00:00+05:30,18.1,18.19,17.89,18.17,97479
2024-02-23T00:00:00+05:30,18.3,18.5,18.0,18.25,149753
2024-02-26T00:00:00+05:30,18.35,18.35,17.92,18.14,369824
2024-02-27T00:00:00+05:30,18.16,18.29,18.05,18.16,99061
2024-02-28T00:00:00+05:30,18.19,18.2,17.8,17.88,435123
2024-02-29T00:00:00+05:30,18.04,18.04,17.63,17.93,256877
2024-03-01T00:00:00+05:30,18.4,18.4,17.76,18.0,112524
2024-03-02T00:00:00+05:30,18.22,18.25,18.0,18.09,57918
2024-03-04T00:00:00+05:30,18.09,18.22,18.0,18.15,138698
2024-03-05T00:00:00+05:30,18.29,18.29,17.88,18.1,152130
2024-03-06T00:00:00+05:30,18.1,18.12,17.75,18.01,237273
2024-03-07T00:00:00+05:30,18.19,18.19,18.0,18.1,151430
2024-03-11T00:00:00+05:30,18.1,18.29,17.95,17.99,293623
2024-03-12T00:00:00+05:30,18.19,18.19,17.7,17.79,160859
2024-03-13T00:00:00+05:30,17.95,17.95,16.75,17.18,517342
2024-03-14T00:00:00+05:30,17.6,17.6,16.7,17.4,308993
2024-03-15T00:00:00+05:30,17.4,17.49,17.11,17.35,135380
2024-03-18T00:00:00+05:30,17.36,17.5,17.15,17.33,164202
2024-03-19T00:00:00+05:30,17.49,17.49,17.0,17.11,192647
2024-03-20T00:00:00+05:30,17.12,17.37,16.9,17.1,204978
2024-03-21T00:00:00+05:30,17.55,18.0,17.1,17.47,151756
2024-03-22T00:00:00+05:30,17.69,17.69,17.41,17.58,87896
2024-03-26T00:00:00+05:30,17.57,18.35,17.26,17.73,174326
