datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,57.3,58.0,55.63,56.32,38670
2024-02-06T00:00:00+05:30,56.95,56.95,55.94,56.79,6882
2024-02-07T00:00:00+05:30,58.2,58.2,56.76,57.73,9816
2024-02-08T00:00:00+05:30,58.08,58.45,57.61,58.45,12717
2024-02-09T00:00:00+05:30,58.11,58.41,56.51,58.41,17849
2024-02-12T00:00:00+05:30,58.0,59.25,56.51,56.65,48017
2024-02-13T00:00:00+05:30,56.65,57.41,56.3,57.35,7280
2024-02-14T00:00:00+05:30,57.07,58.12,57.07,57.97,7105
2024-02-15T00:00:00+05:30,58.79,59.7,58.01,58.68,26634
2024-02-16T00:00:00+05:30,58.68,60.5,58.68,59.25,10377
2024-02-19T00:00:00+05:30,59.01,59.74,59.0,59.08,19122
2024-02-20T00:00:00+05:30,59.07,59.25,58.81,59.0,8905
2024-02-21T00:00:00+05:30,59.2,59.64,58.47,58.93,8620
2024-02-22T00:00:00+05:30,58.93,59.49,58.25,59.47,13730
2024-02-23T00:00:00+05:30,59.34,59.74,59.33,59.65,10083
2024-02-26T00:00:00+05:30,61.45,61.45,58.63,59.48,6779
2024-02-27T00:00:00+05:30,59.66,60.19,59.13,59.6,33000
2024-02-28T00:00:00+05:30,59.79,59.8,58.65,58.8,13230
2024-02-29T00:00:00+05:30,58.8,59.77,58.23,59.5,10961
2024-03-01T00:00:00+05:30,59.2,60.99,59.19,60.36,14739
2024-03-02T00:00:00+05:30,61.7,62.32,60.0,60.33,13242
2024-03-04T00:00:00+05:30,60.33,61.83,60.02,60.42,23999
2024-03-05T00:00:00+05:30,60.6,61.7,60.21,60.32,7791
2024-03-06T00:00:00+05:30,61.7,61.7,59.2,60.25,12220
2024-03-07T00:00:00+05:30,60.24,61.05,59.83,60.43,6769
2024-03-11T00:00:00+05:30,61.7,61.7,60.43,60.99,18211
2024-03-12T00:00:00+05:30,60.99,62.19,59.53,59.91,35959
2024-03-13T00:00:00+05:30,59.91,60.2,57.21,57.58,27238
2024-03-14T00:00:00+05:30,58.99,58.99,56.97,58.86,10546
2024-03-15T00:00:00+05:30,58.86,61.7,57.71,58.35,8913
2024-03-18T00:00:00+05:30,58.39,58.98,58.29,58.89,16416
2024-03-19T00:00:00+05:30,58.99,58.99,57.75,57.93,17996
2024-03-20T00:00:00+05:30,58.2,58.2,57.1,57.95,17917
2024-03-21T00:00:00+05:30,59.7,59.99,57.3,59.5,17407
2024-03-22T00:00:00+05:30,59.44,59.97,59.0,59.77,11966
2024-03-26T00:00:00+05:30,59.78,61.0,59.38,60.36,13608
2024-03-27T00:00:00+05:30,60.01,61.01,59.5,60.56,16171
2024-04-01T00:00:00+05:30,62.19,62.32,61.09,62.16,21314
2024-04-02T00:00:00+05:30,62.17,66.0,62.08,63.13,16182
2024-04-03T00:00:00+05:30,63.13,64.39,62.5,62.97,18779
2024-04-04T00:00:00+05:30,64.85,64.85,62.5,62.64,24067
2024-04-05T00:00:00+05:30,62.65,64.3,62.5,63.32,27700
2024-04-08T00:00:00+05:30,63.99,63.99,62.5,63.43,24498
2024-04-09T00:00:00+05:30,63.99,63.99,63.11,63.4,32809
2024-04-10T00:00:00+05:30,63.99,64.7,63.41,64.0,22709
2024-04-12T00:00:00+05:30,64.01,65.24,63.55,63.64,47060
2024-04-15T00:00:00+05:30,63.64,65.0,60.0,62.76,43913
2024-04-16T00:00:00+05:30,63.81,64.27,62.12,62.53,52325
2024-04-18T00:00:00+05:30,63.78,64.19,62.26,62.69,32971
2024-04-19T00:00:00+05:30,62.01,62.49,61.33,62.39,43043
2024-04-22T00:00:00+05:30,62.39,63.7,62.39,63.07,24360
2024-04-23T00:00:00+05:30,64.01,64.01,63.02,63.29,12023
2024-04-24T00:00:00+05:30,63.3,69.63,63.3,65.31,25586
2024-04-25T00:00:00+05:30,64.3,65.07,63.4,64.2,148233
2024-04-26T00:00:00+05:30,65.47,65.47,64.2,64.62,63969
2024-04-29T00:00:00+05:30,64.99,65.05,64.56,64.95,30515
2024-04-30T00:00:00+05:30,66.25,66.25,64.03,64.71,108498
2024-05-02T00:00:00+05:30,66.04,66.84,64.72,66.48,47674
2024-05-03T00:00:00+05:30,66.48,71.96,65.57,66.25,220176
2024-05-06T00:00:00+05:30,67.7,67.7,64.8,65.6,39260
2024-05-07T00:00:00+05:30,66.5,66.5,64.0,64.47,30108
2024-05-08T00:00:00+05:30,64.47,65.89,63.63,65.3,25389
2024-05-09T00:00:00+05:30,66.46,66.46,63.52,63.89,51372
