datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,22.5,22.6,22.28,22.45,37022
2024-02-06T00:00:00+05:30,22.42,22.65,22.31,22.65,21429
2024-02-07T00:00:00+05:30,22.75,22.75,22.25,22.74,17920
2024-02-08T00:00:00+05:30,22.64,22.74,22.25,22.25,24759
2024-02-09T00:00:00+05:30,22.51,25.0,22.31,22.69,148990
2024-02-12T00:00:00+05:30,22.69,23.5,22.3,22.44,37031
2024-02-13T00:00:00+05:30,23.0,23.0,22.11,22.43,20430
2024-02-14T00:00:00+05:30,22.43,22.79,22.0,22.6,9909
2024-02-15T00:00:00+05:30,22.99,22.99,22.51,22.69,29655
2024-02-16T00:00:00+05:30,22.69,23.1,22.69,22.9,20202
2024-02-19T00:00:00+05:30,22.84,23.03,22.77,22.93,31968
2024-02-20T00:00:00+05:30,22.93,23.4,22.23,22.99,10683
2024-02-21T00:00:00+05:30,23.45,23.45,22.33,22.89,27201
2024-02-22T00:00:00+05:30,22.89,23.65,22.65,23.03,11804
2024-02-23T00:00:00+05:30,24.08,24.08,23.0,23.02,31468
2024-02-26T00:00:00+05:30,23.2,23.2,22.85,23.04,16325
2024-02-27T00:00:00+05:30,23.5,23.5,22.87,23.08,7579
2024-02-28T00:00:00+05:30,23.16,23.16,22.62,22.72,11439
2024-02-29T00:00:00+05:30,23.65,23.65,22.65,22.82,9247
2024-03-01T00:00:00+05:30,23.0,23.25,22.3,23.1,17361
2024-03-02T00:00:00+05:30,23.09,23.96,22.53,23.24,9946
2024-03-04T00:00:00+05:30,23.75,23.75,23.15,23.25,25159
2024-03-05T00:00:00+05:30,23.19,23.75,23.0,23.24,6608
2024-03-06T00:00:00+05:30,23.24,23.35,23.0,23.3,13104
2024-03-07T00:00:00+05:30,23.3,23.5,23.2,23.29,18910
2024-03-11T00:00:00+05:30,23.29,23.65,23.12,23.16,25074
2024-03-12T00:00:00+05:30,23.49,23.5,22.8,23.13,20706
2024-03-13T00:00:00+05:30,23.14,23.24,22.2,22.65,15601
2024-03-14T00:00:00+05:30,23.01,23.06,22.52,22.85,19338
2024-03-15T00:00:00+05:30,22.85,23.31,22.69,22.8,9925
2024-03-18T00:00:00+05:30,22.8,24.0,22.61,22.76,11998
2024-03-19T00:00:00+05:30,22.76,22.78,22.55,22.59,16633
2024-03-20T00:00:00+05:30,22.59,24.0,22.41,22.68,11214
2024-03-21T00:00:00+05:30,22.68,23.13,22.68,22.82,22309
