datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,48.0,48.0,45.83,46.37,93913
2024-02-06T00:00:00+05:30,46.37,50.0,45.99,48.94,3271036
2024-02-07T00:00:00+05:30,47.34,48.0,46.21,46.53,82245
2024-02-08T00:00:00+05:30,46.89,46.89,45.4,45.7,138446
2024-02-09T00:00:00+05:30,45.54,46.3,45.35,46.3,99027
2024-02-12T00:00:00+05:30,46.73,46.73,45.2,45.46,158498
2024-02-13T00:00:00+05:30,45.22,46.25,45.22,46.01,70968
2024-02-14T00:00:00+05:30,45.95,46.72,45.42,46.54,672078
2024-02-15T00:00:00+05:30,46.93,46.93,46.16,46.75,70925
2024-02-16T00:00:00+05:30,47.28,47.28,46.72,46.98,52659
2024-02-19T00:00:00+05:30,46.98,47.48,46.89,47.03,1119490
2024-02-20T00:00:00+05:30,47.03,47.65,46.96,47.59,68167
2024-02-21T00:00:00+05:30,47.66,47.91,47.47,47.55,230405
2024-02-22T00:00:00+05:30,47.64,47.64,47.05,47.59,973774
2024-02-23T00:00:00+05:30,47.31,47.82,47.31,47.44,731745
2024-02-26T00:00:00+05:30,47.98,47.98,46.55,47.13,87614
2024-02-27T00:00:00+05:30,46.54,47.29,46.54,47.2,30699
2024-02-28T00:00:00+05:30,47.19,47.37,46.41,46.44,81073
2024-02-29T00:00:00+05:30,46.51,46.96,46.26,46.6,47334
2024-03-01T00:00:00+05:30,47.08,47.91,46.52,47.82,66588
2024-03-02T00:00:00+05:30,47.93,47.98,47.73,47.83,24085
2024-03-04T00:00:00+05:30,48.0,48.11,47.71,48.0,40930
2024-03-05T00:00:00+05:30,48.03,48.34,47.72,48.1,43385
2024-03-06T00:00:00+05:30,48.11,48.73,48.03,48.55,591569
2024-03-07T00:00:00+05:30,48.49,48.64,48.37,48.41,13481
2024-03-11T00:00:00+05:30,49.7,49.7,47.86,47.87,49815
2024-03-12T00:00:00+05:30,47.87,48.44,47.51,47.93,21709
2024-03-13T00:00:00+05:30,48.05,48.05,47.39,47.45,18385
2024-03-14T00:00:00+05:30,47.45,47.79,47.07,47.38,18065
2024-03-15T00:00:00+05:30,47.88,47.88,46.88,47.18,28928
2024-03-18T00:00:00+05:30,46.52,48.0,46.51,47.04,34484
2024-03-19T00:00:00+05:30,46.52,47.2,46.51,46.88,69822
2024-03-20T00:00:00+05:30,47.6,47.6,46.45,46.83,835679
2024-03-21T00:00:00+05:30,48.25,48.25,47.16,47.19,45560
2024-03-22T00:00:00+05:30,48.09,48.09,46.3,47.49,21542
2024-03-26T00:00:00+05:30,47.49,47.98,47.05,47.13,101399
2024-03-27T00:00:00+05:30,47.3,47.5,47.23,47.43,94184
2024-04-01T00:00:00+05:30,47.8,48.27,47.8,48.06,91029
2024-04-02T00:00:00+05:30,48.49,48.49,47.52,48.1,391952
