datetime,open,high,low,close,volume
2024-02-05T00:00:00+05:30,39.7,39.7,37.76,38.02,22523
2024-02-06T00:00:00+05:30,37.5,39.25,37.07,38.8,118650
2024-02-07T00:00:00+05:30,39.25,39.75,38.38,39.0,63838
2024-02-08T00:00:00+05:30,38.52,39.28,38.31,38.5,24818
2024-02-09T00:00:00+05:30,38.58,38.98,38.02,38.4,14309
2024-02-12T00:00:00+05:30,38.41,38.98,38.41,38.67,42971
2024-02-13T00:00:00+05:30,38.66,38.9,38.25,38.89,16319
2024-02-14T00:00:00+05:30,39.07,39.07,37.95,38.6,18659
2024-02-15T00:00:00+05:30,38.61,38.78,38.21,38.69,33959
2024-02-16T00:00:00+05:30,39.09,39.15,38.31,39.09,40525
2024-02-19T00:00:00+05:30,39.11,39.3,38.67,39.06,33086
2024-02-20T00:00:00+05:30,38.51,39.09,38.51,38.72,30446
2024-02-21T00:00:00+05:30,39.19,39.19,37.99,38.16,23216
2024-02-22T00:00:00+05:30,38.92,38.92,38.11,38.73,14355
2024-02-23T00:00:00+05:30,38.74,39.2,38.65,38.76,13889
2024-02-26T00:00:00+05:30,38.76,38.76,38.05,38.38,24735
2024-02-27T00:00:00+05:30,38.6,38.68,37.63,38.07,5330
2024-02-28T00:00:00+05:30,38.48,38.89,38.0,38.23,12538
2024-02-29T00:00:00+05:30,38.23,38.78,37.63,38.42,17292
2024-03-01T00:00:00+05:30,38.41,38.58,38.23,38.29,10684
2024-03-02T00:00:00+05:30,38.49,38.78,38.19,38.31,2666
2024-03-04T00:00:00+05:30,38.7,38.77,37.92,38.06,15047
2024-03-05T00:00:00+05:30,38.44,38.45,37.24,37.46,33915
2024-03-06T00:00:00+05:30,37.36,37.8,36.71,37.74,19987
2024-03-07T00:00:00+05:30,38.49,38.49,37.6,37.83,6865
2024-03-11T00:00:00+05:30,38.95,38.95,37.5,37.63,10295
2024-03-12T00:00:00+05:30,38.07,38.1,37.25,37.92,13066
2024-03-13T00:00:00+05:30,38.0,38.28,37.25,37.51,26674
2024-03-14T00:00:00+05:30,38.65,38.65,37.27,38.35,12516
2024-03-15T00:00:00+05:30,38.18,38.24,37.53,38.22,16412
2024-03-18T00:00:00+05:30,38.13,38.17,37.5,37.61,15855
2024-03-19T00:00:00+05:30,37.94,38.41,36.45,36.62,47774
2024-03-20T00:00:00+05:30,37.07,37.07,36.36,36.47,51725
2024-03-21T00:00:00+05:30,36.67,37.05,36.56,36.77,29145
2024-03-22T00:00:00+05:30,36.77,36.77,35.46,35.9,144906
2024-03-26T00:00:00+05:30,36.5,36.5,35.6,35.66,23623
2024-03-27T00:00:00+05:30,35.67,36.04,35.35,35.41,40150
2024-04-01T00:00:00+05:30,35.67,36.54,35.6,35.83,53860
2024-04-02T00:00:00+05:30,36.07,36.4,35.42,35.48,62569
2024-04-03T00:00:00+05:30,35.94,35.95,35.31,35.75,39575
2024-04-04T00:00:00+05:30,36.35,36.36,35.61,36.16,59656
2024-04-05T00:00:00+05:30,36.24,36.24,35.81,35.95,40108
2024-04-08T00:00:00+05:30,36.52,36.53,35.7,35.75,54032
2024-04-09T00:00:00+05:30,36.04,36.27,35.7,35.78,21488
2024-04-10T00:00:00+05:30,35.8,36.5,35.61,36.03,32119
2024-04-12T00:00:00+05:30,36.0,36.25,35.65,35.87,73214
2024-04-15T00:00:00+05:30,36.89,36.89,34.9,35.1,222983
2024-04-16T00:00:00+05:30,35.4,35.48,34.14,34.24,165213
2024-04-18T00:00:00+05:30,34.93,35.6,34.08,34.23,180307
2024-04-19T00:00:00+05:30,34.0,35.2,33.6,34.05,148142
