datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,166.5,167.6,158.0,159.45,9599
2021-03-10T00:00:00+05:30,161.0,161.03,159.42,160.05,8883
2021-03-12T00:00:00+05:30,159.99,162.0,157.8,158.99,16713
2021-03-15T00:00:00+05:30,167.7,167.7,156.01,158.02,13515
2021-03-16T00:00:00+05:30,157.52,159.25,157.09,157.55,9328
2021-03-17T00:00:00+05:30,159.95,159.95,156.5,156.75,6977
2021-03-18T00:00:00+05:30,156.3,157.94,154.4,155.01,18878
2021-03-19T00:00:00+05:30,155.0,156.6,152.25,156.41,11647
2021-03-22T00:00:00+05:30,156.0,156.99,155.0,156.15,7823
2021-03-23T00:00:00+05:30,159.75,159.75,155.86,157.21,10556
2021-03-24T00:00:00+05:30,156.4,156.55,154.11,154.52,13673
2021-03-25T00:00:00+05:30,154.52,155.0,151.95,152.77,41675
2021-03-26T00:00:00+05:30,154.11,155.45,153.01,154.86,8188
2021-03-30T00:00:00+05:30,156.13,157.7,155.17,157.2,17253
2021-03-31T00:00:00+05:30,157.31,157.99,155.67,157.99,6016
2021-04-01T00:00:00+05:30,157.95,158.8,156.5,158.8,19500
2021-04-05T00:00:00+05:30,158.0,158.05,153.86,155.92,67584
2021-04-06T00:00:00+05:30,159.9,159.9,155.3,156.05,8880
2021-04-07T00:00:00+05:30,156.0,158.39,155.87,157.43,9627
2021-04-08T00:00:00+05:30,158.12,158.91,157.08,157.34,7362
2021-04-09T00:00:00+05:30,157.34,158.06,156.2,157.16,7363
2021-04-12T00:00:00+05:30,152.45,159.88,152.15,154.25,63105
2021-04-13T00:00:00+05:30,152.15,154.85,152.15,154.24,24508
2021-04-15T00:00:00+05:30,154.49,156.4,152.57,154.71,25032
2021-04-16T00:00:00+05:30,154.71,156.08,154.31,155.27,16507
2021-04-19T00:00:00+05:30,152.39,152.85,150.95,152.49,24380
2021-04-20T00:00:00+05:30,153.31,153.95,151.0,151.97,14923
2021-04-22T00:00:00+05:30,150.81,153.13,150.55,152.87,10046
2021-04-23T00:00:00+05:30,152.87,153.4,151.64,152.43,16297
2021-04-26T00:00:00+05:30,166.1,166.1,152.43,153.52,18958
2021-04-27T00:00:00+05:30,153.58,155.53,153.0,155.43,13959
2021-04-28T00:00:00+05:30,156.12,157.57,155.5,157.44,8455
2021-04-29T00:00:00+05:30,158.74,159.0,156.74,157.85,10351
2021-04-30T00:00:00+05:30,157.1,157.75,155.3,155.55,20773
2021-05-03T00:00:00+05:30,156.0,156.16,152.82,155.69,14552
2021-05-04T00:00:00+05:30,156.26,156.44,153.81,154.34,9942
2021-05-05T00:00:00+05:30,154.94,155.92,154.0,155.55,11005
2021-05-06T00:00:00+05:30,156.14,156.75,155.18,155.9,9960
2021-05-07T00:00:00+05:30,156.9,158.19,156.77,157.8,13657
2021-05-10T00:00:00+05:30,158.82,159.33,158.07,159.11,24254
2021-05-11T00:00:00+05:30,157.4,158.5,156.75,157.74,20637
2021-05-12T00:00:00+05:30,158.3,158.3,155.25,156.08,17942
2021-05-14T00:00:00+05:30,155.52,156.35,155.15,156.08,15163
2021-05-17T00:00:00+05:30,156.43,158.48,155.89,158.05,14594
2021-05-18T00:00:00+05:30,160.17,160.59,159.51,160.12,17127
2021-05-19T00:00:00+05:30,160.01,161.0,159.5,160.43,13875
2021-05-20T00:00:00+05:30,159.93,160.11,158.25,158.52,18324
2021-05-21T00:00:00+05:30,159.57,161.0,158.69,160.51,19125
2021-05-24T00:00:00+05:30,160.0,161.23,159.25,160.75,13076
2021-05-25T00:00:00+05:30,164.0,164.0,160.0,160.59,15139
2021-05-26T00:00:00+05:30,163.8,163.85,160.7,161.56,11450
2021-05-27T00:00:00+05:30,164.9,164.9,161.16,162.2,12380
2021-05-28T00:00:00+05:30,163.93,163.93,162.4,163.3,21095
2021-05-31T00:00:00+05:30,162.89,166.05,162.64,165.7,31948
2021-06-01T00:00:00+05:30,165.98,166.05,165.0,165.82,17170
2021-06-02T00:00:00+05:30,165.45,165.48,164.08,164.99,18791
2021-06-03T00:00:00+05:30,166.53,166.53,165.1,165.87,19579
2021-06-04T00:00:00+05:30,166.0,172.0,165.02,166.58,11592
2021-06-07T00:00:00+05:30,168.6,168.6,165.96,167.05,17793
2021-06-08T00:00:00+05:30,167.12,167.3,165.9,167.03,16456
2021-06-09T00:00:00+05:30,166.04,168.0,165.73,167.25,27086
2021-06-10T00:00:00+05:30,167.6,168.31,166.18,168.02,11276
2021-06-11T00:00:00+05:30,168.46,168.92,167.07,167.92,13043
2021-06-14T00:00:00+05:30,180.0,180.0,166.4,168.41,24429
2021-06-15T00:00:00+05:30,168.91,169.27,167.5,169.03,14224
2021-06-16T00:00:00+05:30,178.99,178.99,167.55,168.06,18525
2021-06-17T00:00:00+05:30,166.17,167.69,166.17,167.04,12124
2021-06-18T00:00:00+05:30,167.04,168.5,164.7,167.24,30597
2021-06-21T00:00:00+05:30,168.9,168.9,165.0,167.08,13119
2021-06-22T00:00:00+05:30,172.3,172.3,167.42,168.96,13679
2021-06-23T00:00:00+05:30,180.0,180.0,166.9,167.09,9990
2021-06-24T00:00:00+05:30,175.7,175.7,166.73,167.88,10445
2021-06-25T00:00:00+05:30,175.7,175.7,167.64,168.68,16893
2021-06-28T00:00:00+05:30,173.3,173.3,168.0,168.22,11655
2021-06-29T00:00:00+05:30,168.0,168.3,167.2,167.72,10045
2021-06-30T00:00:00+05:30,168.01,169.0,167.29,167.62,11363
2021-07-01T00:00:00+05:30,168.9,168.9,164.5,167.39,13285
2021-07-02T00:00:00+05:30,167.49,167.76,166.5,167.69,11190
2021-07-05T00:00:00+05:30,180.0,180.0,164.95,168.76,37490
2021-07-06T00:00:00+05:30,168.63,169.07,168.0,168.78,10926
2021-07-07T00:00:00+05:30,170.4,177.7,167.51,168.9,24509
2021-07-08T00:00:00+05:30,167.25,173.3,167.0,167.91,16319
