datetime,open,high,low,close,volume
2024-02-06T00:00:00+05:30,24.15,24.15,23.43,23.69,77657
2024-02-07T00:00:00+05:30,23.5,23.99,23.32,23.48,64644
2024-02-08T00:00:00+05:30,23.95,24.16,22.81,23.5,182635
2024-02-09T00:00:00+05:30,23.9,23.9,22.82,23.48,100049
2024-02-12T00:00:00+05:30,23.75,23.75,22.59,22.73,190307
2024-02-13T00:00:00+05:30,23.13,23.38,22.65,23.02,122680
2024-02-14T00:00:00+05:30,23.48,23.48,22.71,23.05,143152
2024-02-15T00:00:00+05:30,23.01,23.5,22.97,23.23,83384
2024-02-16T00:00:00+05:30,23.5,23.69,23.13,23.43,118111
2024-02-19T00:00:00+05:30,23.16,23.78,23.16,23.48,70188
2024-02-20T00:00:00+05:30,23.41,23.7,23.37,23.67,144627
2024-02-21T00:00:00+05:30,23.7,23.85,23.51,23.63,66612
2024-02-22T00:00:00+05:30,23.83,23.9,23.3,23.61,57329
2024-02-23T00:00:00+05:30,23.6,23.76,23.53,23.62,35251
2024-02-26T00:00:00+05:30,23.87,23.87,23.31,23.49,43413
2024-02-27T00:00:00+05:30,23.49,23.59,23.35,23.56,33236
2024-02-28T00:00:00+05:30,23.78,23.79,23.15,23.2,103246
2024-02-29T00:00:00+05:30,24.14,24.14,23.01,23.17,43033
2024-03-01T00:00:00+05:30,23.23,23.85,23.23,23.76,237021
2024-03-02T00:00:00+05:30,23.94,24.25,23.31,23.88,22216
2024-03-04T00:00:00+05:30,24.14,24.14,23.79,23.88,41633
2024-03-05T00:00:00+05:30,24.02,24.03,23.56,23.8,56880
2024-03-06T00:00:00+05:30,23.78,24.44,23.78,24.1,141149
2024-03-07T00:00:00+05:30,24.25,24.25,23.94,24.0,33036
2024-03-11T00:00:00+05:30,23.62,24.5,23.61,23.76,41862
2024-03-12T00:00:00+05:30,23.53,24.1,23.53,23.81,64564
2024-03-13T00:00:00+05:30,24.07,24.07,23.03,23.4,486202
2024-03-14T00:00:00+05:30,23.68,23.69,23.02,23.41,180184
2024-03-15T00:00:00+05:30,23.4,23.58,23.23,23.49,31028
2024-03-18T00:00:00+05:30,23.67,23.67,23.25,23.47,38942
2024-03-19T00:00:00+05:30,23.78,23.78,23.2,23.34,17093
2024-03-20T00:00:00+05:30,23.37,23.49,23.06,23.37,27485
2024-03-21T00:00:00+05:30,23.67,23.69,23.31,23.55,66213
2024-03-22T00:00:00+05:30,23.78,23.89,23.45,23.84,16537
2024-03-26T00:00:00+05:30,24.18,24.18,23.41,23.54,85792
2024-03-27T00:00:00+05:30,23.83,23.83,23.57,23.61,26267
2024-04-01T00:00:00+05:30,23.91,24.24,23.84,23.97,86004
2024-04-02T00:00:00+05:30,24.19,24.19,23.92,23.96,47377
2024-04-03T00:00:00+05:30,24.23,24.23,23.75,23.83,268348
2024-04-04T00:00:00+05:30,23.91,24.16,23.91,24.1,177276
2024-04-05T00:00:00+05:30,24.31,24.5,23.76,24.35,93383
2024-04-08T00:00:00+05:30,24.06,24.5,24.05,24.4,90082
2024-04-09T00:00:00+05:30,24.06,24.6,24.06,24.49,98037
2024-04-10T00:00:00+05:30,24.41,24.64,24.41,24.6,50268
2024-04-12T00:00:00+05:30,24.63,24.66,24.38,24.48,84296
2024-04-15T00:00:00+05:30,23.99,24.57,22.71,24.1,142520
2024-04-16T00:00:00+05:30,23.91,24.01,23.81,23.94,35270
2024-04-18T00:00:00+05:30,24.35,24.4,23.46,23.7,79750
2024-04-19T00:00:00+05:30,23.52,24.02,23.52,23.98,35019
2024-04-22T00:00:00+05:30,23.51,24.3,23.51,24.14,52944
2024-04-23T00:00:00+05:30,24.45,24.45,24.05,24.18,14119
2024-04-24T00:00:00+05:30,24.18,24.45,24.0,24.29,18173
2024-04-25T00:00:00+05:30,24.29,24.37,23.96,24.28,23992
2024-04-26T00:00:00+05:30,24.2,24.57,24.15,24.21,58882
2024-04-29T00:00:00+05:30,24.5,24.73,23.21,24.59,8414376
2024-04-30T00:00:00+05:30,24.68,25.01,24.23,24.66,838206
2024-05-02T00:00:00+05:30,24.94,25.01,24.52,24.6,103825
2024-05-03T00:00:00+05:30,24.59,24.85,24.34,24.48,82787
2024-05-06T00:00:00+05:30,24.54,24.79,24.5,24.52,28542
2024-05-07T00:00:00+05:30,24.49,24.52,24.1,24.1,67638
2024-05-08T00:00:00+05:30,24.4,25.2,23.91,24.04,104407
2024-05-09T00:00:00+05:30,24.27,24.3,23.66,23.7,80114
2024-05-10T00:00:00+05:30,23.46,24.7,23.46,23.86,67643
2024-05-13T00:00:00+05:30,23.95,24.09,23.51,23.99,43887
2024-05-14T00:00:00+05:30,24.0,24.09,23.91,24.05,51714
2024-05-15T00:00:00+05:30,23.57,25.2,23.57,24.02,165210
2024-05-16T00:00:00+05:30,24.03,24.49,23.84,24.15,80899
2024-05-17T00:00:00+05:30,24.16,24.49,23.95,24.16,237815
2024-05-18T00:00:00+05:30,24.2,24.84,23.64,24.24,12025
2024-05-21T00:00:00+05:30,24.48,24.49,24.0,24.1,418457
2024-05-22T00:00:00+05:30,23.91,24.37,23.82,24.03,502001
2024-05-23T00:00:00+05:30,24.12,24.54,24.05,24.46,95242
2024-05-24T00:00:00+05:30,24.46,24.54,24.15,24.51,193939
2024-05-27T00:00:00+05:30,24.68,24.88,24.55,24.64,351420
2024-05-28T00:00:00+05:30,24.84,24.84,24.4,24.53,189177
2024-05-29T00:00:00+05:30,24.54,24.54,24.24,24.27,160783
2024-05-30T00:00:00+05:30,24.41,24.45,24.2,24.27,141647
2024-05-31T00:00:00+05:30,24.45,24.57,24.26,24.49,124134
2024-06-03T00:00:00+05:30,24.89,25.25,24.5,25.13,553532
2024-06-04T00:00:00+05:30,25.12,25.95,23.6,24.93,318632
2024-06-05T00:00:00+05:30,24.93,25.37,23.7,24.77,181304
2024-06-06T00:00:00+05:30,25.0,25.0,23.0,24.56,3996516
2024-06-07T00:00:00+05:30,24.94,25.0,24.36,24.95,343463
2024-06-10T00:00:00+05:30,25.08,25.08,24.72,24.92,74064
2024-06-11T00:00:00+05:30,25.24,25.3,24.78,24.91,54544
