datetime,open,high,low,close,volume
2022-09-29T00:00:00+05:30,85.7,86.45,83.5,84.1,9215
2022-09-30T00:00:00+05:30,84.0,85.2,83.05,85.2,14976
2022-10-03T00:00:00+05:30,84.8,85.4,83.3,84.3,8134
2022-10-04T00:00:00+05:30,85.1,85.95,84.45,85.3,5140
2022-10-06T00:00:00+05:30,85.7,86.9,85.5,86.4,1710
2022-10-07T00:00:00+05:30,89.0,89.0,86.0,86.95,3738
2022-10-10T00:00:00+05:30,86.95,86.95,84.8,86.45,18068
2022-10-11T00:00:00+05:30,86.3,86.8,82.05,84.2,3571
2022-10-12T00:00:00+05:30,85.0,87.0,85.0,85.75,3921
2022-10-13T00:00:00+05:30,86.9,86.9,85.4,85.5,2269
2022-10-14T00:00:00+05:30,86.0,87.5,85.3,85.6,5321
2022-10-17T00:00:00+05:30,88.15,88.15,85.4,86.25,13956
2022-10-18T00:00:00+05:30,86.75,87.75,86.55,86.95,18741
2022-10-19T00:00:00+05:30,87.2,91.1,86.95,87.15,25472
2022-10-20T00:00:00+05:30,86.6,88.45,86.6,88.0,3774
2022-10-21T00:00:00+05:30,90.65,90.65,87.15,87.2,3759
2022-10-24T00:00:00+05:30,87.5,92.0,86.9,89.15,465
2022-10-25T00:00:00+05:30,88.7,89.0,87.7,87.8,852
2022-10-27T00:00:00+05:30,88.0,89.0,87.2,88.25,10265
2022-10-28T00:00:00+05:30,88.4,89.0,88.4,88.5,8116
2022-10-31T00:00:00+05:30,89.6,89.6,88.05,88.4,76974
2022-11-01T00:00:00+05:30,89.0,91.6,89.0,91.05,9454
2022-11-02T00:00:00+05:30,90.8,90.8,89.95,90.15,9326
2022-11-03T00:00:00+05:30,90.0,90.5,89.9,90.2,2479
2022-11-04T00:00:00+05:30,90.9,90.9,89.25,90.6,6385
2022-11-07T00:00:00+05:30,91.4,95.0,90.2,95.0,3780
2022-11-09T00:00:00+05:30,95.55,95.55,90.2,90.55,5710
2022-11-10T00:00:00+05:30,95.0,95.0,89.7,89.7,1356
2022-11-11T00:00:00+05:30,89.7,95.0,89.7,91.25,9596
2022-11-14T00:00:00+05:30,91.4,92.3,91.05,91.8,3912
2022-11-15T00:00:00+05:30,91.4,91.85,90.4,91.3,1685
2022-11-16T00:00:00+05:30,91.2,92.25,89.25,92.0,6180
2022-11-17T00:00:00+05:30,92.3,92.3,90.2,91.25,4403
2022-11-18T00:00:00+05:30,91.4,91.6,90.15,91.3,2478
2022-11-21T00:00:00+05:30,93.0,93.0,90.65,90.8,1699
2022-11-22T00:00:00+05:30,90.8,91.5,90.0,91.5,1433
2022-11-23T00:00:00+05:30,90.0,92.6,90.0,90.4,505
2022-11-24T00:00:00+05:30,91.4,93.0,90.95,92.3,5590
2022-11-25T00:00:00+05:30,92.3,92.95,91.75,92.95,6321
2022-11-28T00:00:00+05:30,92.9,93.0,92.15,93.0,6333
2022-11-29T00:00:00+05:30,92.9,93.8,92.2,92.6,4269
2022-11-30T00:00:00+05:30,93.0,93.5,91.7,93.2,5465
2022-12-01T00:00:00+05:30,93.5,94.8,92.3,94.45,7378
2022-12-02T00:00:00+05:30,94.7,96.0,93.2,96.0,6633
2022-12-05T00:00:00+05:30,96.0,96.0,93.2,93.55,4768
2022-12-06T00:00:00+05:30,94.0,95.5,93.5,95.05,4011
2022-12-07T00:00:00+05:30,94.4,95.0,92.55,93.1,4719
