datetime,open,high,low,close,volume
2024-02-07T00:00:00+05:30,11.56,13.2,11.5,13.2,93580
2024-02-08T00:00:00+05:30,12.04,12.1,11.71,11.76,48690
2024-02-09T00:00:00+05:30,12.06,12.06,11.7,11.7,16330
2024-02-12T00:00:00+05:30,12.01,12.01,11.9,12.0,24940
2024-02-13T00:00:00+05:30,12.3,12.3,12.0,12.04,39420
2024-02-14T00:00:00+05:30,11.99,12.0,11.87,11.99,34600
2024-02-15T00:00:00+05:30,12.1,12.1,11.87,11.94,22530
2024-02-16T00:00:00+05:30,11.98,12.86,11.97,12.54,33000
2024-02-19T00:00:00+05:30,12.5,12.5,12.07,12.14,90170
2024-02-20T00:00:00+05:30,12.17,12.25,12.0,12.08,37710
2024-02-21T00:00:00+05:30,12.0,12.37,12.0,12.08,5040
2024-02-22T00:00:00+05:30,12.05,12.15,12.01,12.15,4860
2024-02-23T00:00:00+05:30,12.15,12.21,12.15,12.17,7520
2024-02-26T00:00:00+05:30,12.15,12.17,12.02,12.09,13370
2024-02-27T00:00:00+05:30,12.37,12.37,12.05,12.15,20080
2024-02-28T00:00:00+05:30,12.14,12.16,11.99,12.02,6940
2024-02-29T00:00:00+05:30,11.97,11.97,11.85,11.97,8240
2024-03-01T00:00:00+05:30,11.91,11.98,11.8,11.83,12420
2024-03-02T00:00:00+05:30,12.0,12.0,11.83,11.91,940
2024-03-04T00:00:00+05:30,11.91,11.99,11.87,11.9,10340
2024-03-05T00:00:00+05:30,11.88,11.89,11.81,11.85,17230
2024-03-06T00:00:00+05:30,11.83,12.0,11.78,11.96,8850
2024-03-07T00:00:00+05:30,11.96,12.3,11.96,12.01,1900
2024-03-11T00:00:00+05:30,12.07,12.14,12.05,12.1,10710
2024-03-12T00:00:00+05:30,12.13,12.13,11.89,11.9,13810
2024-03-13T00:00:00+05:30,11.9,11.9,11.64,11.75,11190
2024-03-14T00:00:00+05:30,11.64,11.85,11.64,11.85,3360
2024-03-15T00:00:00+05:30,11.79,11.79,11.63,11.71,2770
2024-03-18T00:00:00+05:30,11.75,11.93,11.67,11.93,5800
2024-03-19T00:00:00+05:30,11.7,11.7,11.58,11.6,8180
2024-03-20T00:00:00+05:30,11.59,11.63,11.49,11.63,6280
2024-03-21T00:00:00+05:30,11.62,11.74,11.62,11.74,2650
2024-03-22T00:00:00+05:30,11.78,11.92,11.72,11.92,8260
2024-03-26T00:00:00+05:30,11.86,11.92,11.85,11.92,40700
2024-03-27T00:00:00+05:30,11.92,11.97,11.87,11.93,5510
2024-04-01T00:00:00+05:30,12.13,12.23,12.12,12.19,7320
2024-04-02T00:00:00+05:30,12.25,12.25,12.11,12.17,25120
2024-04-03T00:00:00+05:30,12.15,12.2,12.13,12.15,1660
2024-04-04T00:00:00+05:30,12.1,12.2,11.99,12.12,19130
2024-04-05T00:00:00+05:30,12.15,12.25,12.1,12.11,24230
2024-04-08T00:00:00+05:30,12.13,12.22,12.13,12.15,16160
2024-04-09T00:00:00+05:30,12.15,12.25,11.95,12.09,17020
2024-04-10T00:00:00+05:30,12.17,12.17,12.14,12.14,20
2024-04-12T00:00:00+05:30,12.19,12.2,12.01,12.06,5200
2024-04-15T00:00:00+05:30,12.0,12.0,11.85,11.88,1710
2024-04-16T00:00:00+05:30,11.88,11.88,11.88,11.88,440
2024-04-18T00:00:00+05:30,11.88,11.91,11.65,11.65,5420
2024-04-19T00:00:00+05:30,11.63,11.68,11.58,11.65,14620
2024-04-22T00:00:00+05:30,11.77,11.77,11.77,11.77,110
2024-04-23T00:00:00+05:30,11.77,11.77,11.62,11.62,2610
2024-04-24T00:00:00+05:30,11.74,11.84,11.74,11.83,5610
2024-04-25T00:00:00+05:30,11.83,11.98,11.78,11.98,2320
2024-04-26T00:00:00+05:30,11.96,12.07,11.96,12.04,8370
2024-04-29T00:00:00+05:30,12.0,12.1,11.92,12.04,5760
2024-04-30T00:00:00+05:30,12.05,12.11,12.0,12.02,80510
2024-05-02T00:00:00+05:30,12.0,12.09,11.97,12.03,3430
2024-05-03T00:00:00+05:30,12.1,12.14,11.99,12.02,50170
2024-05-06T00:00:00+05:30,12.1,12.15,12.08,12.08,2150
2024-05-07T00:00:00+05:30,12.01,12.01,11.85,11.85,3060
2024-05-08T00:00:00+05:30,11.8,11.91,11.8,11.91,2780
2024-05-09T00:00:00+05:30,11.85,11.86,11.65,11.83,7140
2024-05-10T00:00:00+05:30,11.75,11.79,11.69,11.75,90
2024-05-13T00:00:00+05:30,11.79,11.96,11.77,11.93,11370
2024-05-14T00:00:00+05:30,11.9,11.96,11.9,11.95,210
2024-05-15T00:00:00+05:30,11.95,11.95,11.95,11.95,20
2024-05-16T00:00:00+05:30,11.95,11.95,11.88,11.88,4480
2024-05-17T00:00:00+05:30,12.01,12.08,11.98,12.07,10790
