datetime,open,high,low,close,volume
2021-10-28T00:00:00+05:30,8.9,8.9,8.53,8.61,68729
2021-10-29T00:00:00+05:30,8.61,8.75,8.5,8.67,27185
2021-11-01T00:00:00+05:30,9.0,9.0,8.6,8.75,32348
2021-11-02T00:00:00+05:30,8.6,8.9,8.4,8.65,44707
2021-11-03T00:00:00+05:30,8.85,8.85,8.55,8.65,19081
2021-11-04T00:00:00+05:30,10.41,10.41,8.52,8.67,25518
2021-11-08T00:00:00+05:30,8.85,8.85,8.55,8.65,25430
2021-11-09T00:00:00+05:30,8.8,8.85,8.65,8.7,21060
2021-11-10T00:00:00+05:30,8.85,8.85,8.55,8.65,20644
2021-11-11T00:00:00+05:30,8.58,8.83,8.58,8.69,20378
2021-11-12T00:00:00+05:30,8.8,8.8,8.58,8.62,28212
2021-11-15T00:00:00+05:30,8.65,8.85,8.6,8.75,43484
2021-11-16T00:00:00+05:30,8.98,8.98,8.7,8.75,28687
2021-11-17T00:00:00+05:30,8.6,8.9,8.6,8.76,17653
2021-11-18T00:00:00+05:30,8.9,8.9,8.62,8.66,22436
2021-11-22T00:00:00+05:30,8.69,8.84,8.51,8.57,168382
2021-11-23T00:00:00+05:30,8.6,8.7,8.5,8.65,81940
2021-11-24T00:00:00+05:30,8.8,8.8,8.58,8.61,111427
2021-11-25T00:00:00+05:30,8.75,8.8,8.57,8.75,228121
2021-11-26T00:00:00+05:30,8.85,9.0,8.65,8.94,356785
2021-11-29T00:00:00+05:30,8.94,10.25,8.7,8.86,355502
2021-11-30T00:00:00+05:30,9.05,10.25,8.7,8.8,176547
2021-12-01T00:00:00+05:30,9.25,9.75,8.67,8.69,92371
2021-12-02T00:00:00+05:30,8.55,9.9,8.55,8.77,120016
2021-12-03T00:00:00+05:30,9.12,9.12,8.63,8.65,120435
2021-12-06T00:00:00+05:30,8.55,9.25,8.46,8.49,177895
2021-12-07T00:00:00+05:30,8.66,8.66,8.43,8.5,97661
2021-12-08T00:00:00+05:30,8.54,8.75,8.5,8.58,76448
2021-12-09T00:00:00+05:30,8.63,8.75,8.5,8.59,80333
2021-12-10T00:00:00+05:30,8.6,8.7,8.53,8.59,59242
2021-12-13T00:00:00+05:30,10.22,10.22,8.55,8.57,128796
2021-12-14T00:00:00+05:30,8.57,8.74,8.35,8.6,77679
2021-12-15T00:00:00+05:30,9.0,9.0,8.5,8.6,50839
2021-12-16T00:00:00+05:30,8.6,8.8,8.5,8.53,92652
2021-12-17T00:00:00+05:30,8.7,8.75,8.35,8.4,130265
2021-12-20T00:00:00+05:30,8.4,9.0,8.21,8.34,135860
2021-12-21T00:00:00+05:30,8.35,8.51,8.3,8.41,68677
2021-12-22T00:00:00+05:30,8.44,8.6,8.31,8.48,102870
2021-12-23T00:00:00+05:30,8.65,8.75,8.42,8.57,43673
2021-12-24T00:00:00+05:30,8.57,8.74,8.5,8.53,61008
2021-12-27T00:00:00+05:30,8.53,8.7,8.47,8.59,45239
2021-12-28T00:00:00+05:30,8.6,8.76,8.47,8.65,58092
2021-12-29T00:00:00+05:30,8.65,8.85,8.57,8.81,216860
2021-12-30T00:00:00+05:30,8.99,9.0,8.81,8.86,110762
2021-12-31T00:00:00+05:30,8.95,9.25,8.78,8.93,175233
2022-01-03T00:00:00+05:30,8.95,9.15,8.85,8.9,158227
2022-01-04T00:00:00+05:30,8.95,9.6,8.85,8.9,149928
2022-01-05T00:00:00+05:30,8.8,9.15,8.8,8.88,73943
2022-01-06T00:00:00+05:30,8.9,8.95,8.72,8.77,108618
2022-01-07T00:00:00+05:30,8.94,8.94,8.63,8.76,87822
2022-01-10T00:00:00+05:30,8.77,8.91,8.64,8.76,102182
2022-01-11T00:00:00+05:30,8.77,8.95,8.65,8.76,85702
2022-01-12T00:00:00+05:30,8.8,8.96,8.66,8.76,119112
2022-01-13T00:00:00+05:30,8.76,8.94,8.6,8.83,171883
2022-01-14T00:00:00+05:30,8.83,9.01,8.75,8.82,178257
2022-01-17T00:00:00+05:30,10.0,10.0,8.72,8.75,122059
2022-01-18T00:00:00+05:30,8.76,10.0,8.52,8.59,295955
2022-01-19T00:00:00+05:30,8.59,8.81,8.47,8.58,75552
2022-01-20T00:00:00+05:30,8.57,8.78,8.43,8.45,89816
2022-01-21T00:00:00+05:30,8.45,8.71,8.27,8.31,255198
2022-01-24T00:00:00+05:30,8.31,8.65,8.08,8.17,207704
2022-01-25T00:00:00+05:30,8.17,8.34,8.01,8.22,81491
2022-01-27T00:00:00+05:30,8.22,8.38,7.97,8.02,210903
2022-01-28T00:00:00+05:30,8.02,8.52,8.02,8.15,106276
2022-01-31T00:00:00+05:30,8.0,8.4,8.0,8.26,62684
2022-02-01T00:00:00+05:30,8.26,8.45,8.26,8.36,81064
2022-02-02T00:00:00+05:30,8.36,8.55,8.35,8.51,72035
2022-02-03T00:00:00+05:30,8.0,8.68,8.0,8.51,33827
2022-02-04T00:00:00+05:30,8.51,8.68,8.35,8.5,55768
2022-02-07T00:00:00+05:30,8.5,8.68,8.35,8.37,72468
2022-02-08T00:00:00+05:30,8.37,8.53,8.29,8.37,63882
2022-02-09T00:00:00+05:30,8.37,8.55,8.37,8.44,49794
2022-02-10T00:00:00+05:30,8.43,8.68,8.37,8.47,51588
2022-02-11T00:00:00+05:30,8.47,8.63,8.36,8.41,73691
2022-02-14T00:00:00+05:30,10.0,10.0,8.2,8.23,52269
2022-02-15T00:00:00+05:30,8.23,8.62,8.19,8.32,59222
