datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,8.6,8.76,8.12,8.16,20903
2021-03-10T00:00:00+05:30,8.45,8.53,8.19,8.35,20516
2021-03-12T00:00:00+05:30,8.73,8.73,7.93,8.12,41874
2021-03-15T00:00:00+05:30,8.12,8.19,7.85,7.85,12844
2021-03-16T00:00:00+05:30,8.23,8.23,7.75,7.9,53310
2021-03-17T00:00:00+05:30,7.9,8.12,7.52,7.56,20015
2021-03-18T00:00:00+05:30,7.56,7.93,7.37,7.6,22588
2021-03-19T00:00:00+05:30,7.75,7.82,7.26,7.34,42667
2021-03-22T00:00:00+05:30,7.48,7.52,7.19,7.41,29355
2021-03-23T00:00:00+05:30,7.41,7.56,7.26,7.41,19076
2021-03-24T00:00:00+05:30,7.48,7.48,7.11,7.22,31057
2021-03-25T00:00:00+05:30,7.26,7.37,6.97,6.97,10570
2021-03-26T00:00:00+05:30,7.07,7.19,6.97,7.0,6895
2021-03-30T00:00:00+05:30,7.34,7.34,7.0,7.26,6564
2021-03-31T00:00:00+05:30,7.11,7.11,6.92,6.92,27481
2021-04-01T00:00:00+05:30,6.89,7.26,6.62,7.22,15893
2021-04-05T00:00:00+05:30,7.37,7.41,6.89,7.03,23658
2021-04-06T00:00:00+05:30,6.89,7.19,6.84,6.97,8119
2021-04-07T00:00:00+05:30,6.82,7.3,6.82,7.3,21645
2021-04-08T00:00:00+05:30,7.85,7.93,6.82,7.15,27692
2021-04-09T00:00:00+05:30,7.44,7.85,6.84,7.85,87481
2021-04-12T00:00:00+05:30,8.6,8.65,7.19,8.65,93499
2021-04-13T00:00:00+05:30,9.51,9.51,9.51,9.51,23880
2021-04-15T00:00:00+05:30,9.95,9.95,9.73,9.95,89952
2021-04-16T00:00:00+05:30,10.44,10.44,9.47,9.47,161082
2021-04-19T00:00:00+05:30,9.47,9.47,9.01,9.01,8882
2021-04-20T00:00:00+05:30,9.14,9.24,8.57,8.68,15008
2021-04-22T00:00:00+05:30,8.95,8.95,8.68,8.91,14674
2021-04-23T00:00:00+05:30,9.14,9.16,8.79,8.91,8553
2021-04-26T00:00:00+05:30,8.6,8.98,8.6,8.76,7242
2021-04-27T00:00:00+05:30,8.38,8.98,8.35,8.76,13899
2021-04-28T00:00:00+05:30,8.91,8.91,8.53,8.73,21104
2021-04-29T00:00:00+05:30,8.87,8.98,8.38,8.68,3728
2021-04-30T00:00:00+05:30,8.6,8.79,8.27,8.53,5811
2021-05-03T00:00:00+05:30,8.53,8.53,8.12,8.12,31455
2021-05-04T00:00:00+05:30,8.42,8.42,7.75,7.75,24190
2021-05-05T00:00:00+05:30,7.85,7.85,7.63,7.85,7855
2021-05-06T00:00:00+05:30,8.12,8.16,7.85,8.05,6701
2021-05-07T00:00:00+05:30,8.23,8.23,7.7,7.85,8375
2021-05-10T00:00:00+05:30,7.7,8.19,7.67,7.78,23199
2021-05-11T00:00:00+05:30,8.08,8.16,7.85,8.0,10284
2021-05-12T00:00:00+05:30,7.85,8.35,7.85,8.23,12546
2021-05-14T00:00:00+05:30,8.65,8.65,8.23,8.53,30372
2021-05-17T00:00:00+05:30,8.87,8.87,8.53,8.73,3771
2021-05-18T00:00:00+05:30,8.38,8.87,8.38,8.76,9499
2021-05-19T00:00:00+05:30,8.6,8.6,8.38,8.45,3446
2021-05-20T00:00:00+05:30,8.6,8.87,8.38,8.6,8123
2021-05-21T00:00:00+05:30,8.6,8.68,8.35,8.5,10283
2021-05-24T00:00:00+05:30,8.83,8.91,8.12,8.42,14718
2021-05-25T00:00:00+05:30,8.19,8.83,8.19,8.53,11279
2021-05-26T00:00:00+05:30,8.68,8.87,8.31,8.42,17643
2021-05-27T00:00:00+05:30,8.38,8.68,8.23,8.45,6621
2021-05-28T00:00:00+05:30,8.31,8.57,8.05,8.38,25154
2021-05-31T00:00:00+05:30,8.53,8.79,8.23,8.76,36177
2021-06-01T00:00:00+05:30,8.98,9.16,8.87,9.16,58618
2021-06-02T00:00:00+05:30,9.58,9.58,8.83,9.39,27367
2021-06-03T00:00:00+05:30,9.43,9.81,9.28,9.66,26094
2021-06-04T00:00:00+05:30,9.95,9.95,9.47,9.53,17872
2021-06-07T00:00:00+05:30,9.66,9.66,9.14,9.39,14820
2021-06-08T00:00:00+05:30,9.39,9.84,8.95,9.51,72179
2021-06-09T00:00:00+05:30,9.35,9.95,9.09,9.53,11526
2021-06-10T00:00:00+05:30,9.73,9.81,9.43,9.66,17597
2021-06-11T00:00:00+05:30,9.66,9.95,9.2,9.51,16045
2021-06-14T00:00:00+05:30,9.69,9.84,9.14,9.66,25189
2021-06-15T00:00:00+05:30,9.73,10.03,9.58,9.61,31986
2021-06-16T00:00:00+05:30,9.73,9.73,9.43,9.43,12593
2021-06-17T00:00:00+05:30,9.66,9.66,8.98,9.01,27148
2021-06-18T00:00:00+05:30,9.01,9.28,8.6,8.91,9460
2021-06-21T00:00:00+05:30,8.6,9.2,8.6,9.09,15869
2021-06-22T00:00:00+05:30,9.09,9.35,9.01,9.24,24354
2021-06-23T00:00:00+05:30,9.51,9.53,9.32,9.39,9326
2021-06-24T00:00:00+05:30,9.39,9.39,9.09,9.32,13137
2021-06-25T00:00:00+05:30,9.61,9.61,8.91,9.2,10597
2021-06-28T00:00:00+05:30,9.2,9.28,8.83,8.87,33575
2021-06-29T00:00:00+05:30,9.28,9.28,8.65,8.87,17592
2021-06-30T00:00:00+05:30,9.2,9.2,8.45,8.73,18174
