datetime,open,high,low,close,volume
2022-11-21T00:00:00+05:30,33.95,33.95,32.6,33.55,1637
2023-01-09T00:00:00+05:30,29.9,29.9,29.0,29.0,5925
2023-01-10T00:00:00+05:30,29.0,29.65,28.7,28.95,770
2023-01-11T00:00:00+05:30,30.0,30.0,27.65,28.0,6073
2023-01-12T00:00:00+05:30,28.7,28.7,27.45,27.8,1951
2023-01-13T00:00:00+05:30,28.0,28.0,27.95,28.0,1265
2023-01-16T00:00:00+05:30,28.0,28.5,26.6,27.0,10098
2023-01-17T00:00:00+05:30,28.2,28.2,27.05,27.75,954
2023-01-18T00:00:00+05:30,27.75,28.2,26.6,26.85,7639
2023-01-19T00:00:00+05:30,26.85,27.0,26.15,26.3,3359
2023-01-20T00:00:00+05:30,26.9,26.9,26.0,26.3,1697
2023-01-23T00:00:00+05:30,25.15,26.75,25.15,26.5,1037
2023-01-24T00:00:00+05:30,27.4,27.4,26.35,26.9,1146
2023-01-25T00:00:00+05:30,26.5,28.1,26.35,28.1,5410
2023-01-27T00:00:00+05:30,29.45,29.45,26.75,27.85,2937
2023-01-30T00:00:00+05:30,26.5,27.55,26.5,26.85,888
2023-01-31T00:00:00+05:30,26.8,26.8,26.0,26.65,996
2023-02-09T00:00:00+05:30,26.95,26.95,26.85,26.85,1
2023-02-10T00:00:00+05:30,25.5,26.0,25.3,26.0,299
2023-02-14T00:00:00+05:30,25.0,25.0,25.0,25.0,500
2023-04-21T00:00:00+05:30,29.9,30.0,27.25,27.25,14255
2023-04-24T00:00:00+05:30,25.9,28.5,25.9,27.15,7215
2023-04-25T00:00:00+05:30,27.85,27.85,25.85,26.15,1860
2023-04-26T00:00:00+05:30,26.8,26.8,25.35,26.35,1641
2023-04-27T00:00:00+05:30,25.95,26.5,25.55,26.45,636
2023-04-28T00:00:00+05:30,26.95,26.95,25.75,26.7,1342
2023-05-02T00:00:00+05:30,26.7,27.75,26.7,27.25,3723
2023-05-03T00:00:00+05:30,28.55,28.6,28.0,28.6,1957
2023-05-04T00:00:00+05:30,29.9,30.0,27.3,29.85,4615
2023-05-05T00:00:00+05:30,29.85,30.0,28.45,29.55,3499
2023-05-08T00:00:00+05:30,30.85,30.85,28.5,29.45,1253
2023-05-09T00:00:00+05:30,28.5,29.55,28.05,28.75,1825
2023-05-10T00:00:00+05:30,27.4,28.9,27.4,27.7,840
2023-05-11T00:00:00+05:30,28.1,28.1,26.7,28.05,3277
2023-05-12T00:00:00+05:30,26.75,27.95,26.75,27.85,1904
2023-05-15T00:00:00+05:30,28.75,28.75,26.55,28.45,1706
2023-05-16T00:00:00+05:30,27.2,28.2,27.2,28.0,632
2023-05-17T00:00:00+05:30,27.9,27.9,27.45,27.55,302
2023-05-18T00:00:00+05:30,28.4,28.4,26.5,27.95,272
