datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,38.2,38.5,37.5,37.64,387379
2021-03-10T00:00:00+05:30,38.19,38.19,37.57,37.84,443656
2021-03-12T00:00:00+05:30,38.54,38.54,37.28,37.91,1561620
2021-03-15T00:00:00+05:30,37.91,38.24,36.91,37.6,344397
2021-03-16T00:00:00+05:30,37.66,37.85,37.31,37.61,753636
2021-03-17T00:00:00+05:30,37.5,37.6,36.4,36.51,247642
2021-03-18T00:00:00+05:30,36.68,37.24,36.11,36.42,446175
2021-03-19T00:00:00+05:30,37.36,37.36,35.55,36.77,2357953
2021-03-22T00:00:00+05:30,36.99,36.99,36.4,36.75,632535
2021-03-23T00:00:00+05:30,36.7,36.9,36.0,36.14,379301
2021-03-24T00:00:00+05:30,36.14,36.39,35.7,35.84,823689
2021-03-25T00:00:00+05:30,36.09,36.09,34.65,35.01,223059
2021-03-26T00:00:00+05:30,35.4,35.69,35.02,35.28,326762
2021-03-30T00:00:00+05:30,35.36,35.99,34.9,35.77,386114
2021-03-31T00:00:00+05:30,35.51,36.3,35.51,35.9,521430
2021-04-01T00:00:00+05:30,35.96,36.65,35.22,36.52,249210
2021-04-05T00:00:00+05:30,36.01,36.55,35.15,35.72,265144
2021-04-06T00:00:00+05:30,35.94,36.25,35.16,35.57,292364
2021-04-07T00:00:00+05:30,35.57,36.1,35.45,35.81,261016
2021-04-08T00:00:00+05:30,36.0,36.15,35.66,35.78,379671
2021-04-09T00:00:00+05:30,36.09,36.09,35.18,35.48,180888
2021-04-12T00:00:00+05:30,35.0,35.0,33.33,33.8,322693
2021-04-13T00:00:00+05:30,33.11,34.86,33.11,34.7,175171
2021-04-15T00:00:00+05:30,34.95,35.25,34.2,34.89,327871
2021-04-16T00:00:00+05:30,35.29,35.42,34.72,35.0,511379
2021-04-19T00:00:00+05:30,34.89,34.89,33.41,34.16,638963
2021-04-20T00:00:00+05:30,36.2,36.2,33.85,34.07,343868
2021-04-22T00:00:00+05:30,36.1,36.1,33.45,34.33,281244
2021-04-23T00:00:00+05:30,34.33,34.75,31.2,34.51,1045372
2021-04-26T00:00:00+05:30,34.89,35.03,34.6,34.9,217311
2021-04-27T00:00:00+05:30,35.1,35.48,34.66,35.41,198096
2021-04-28T00:00:00+05:30,35.74,35.74,35.11,35.45,218330
2021-04-29T00:00:00+05:30,35.89,35.95,35.4,35.55,324078
2021-04-30T00:00:00+05:30,35.69,36.18,35.02,35.75,475455
2021-05-03T00:00:00+05:30,35.65,35.68,35.09,35.53,210762
2021-05-04T00:00:00+05:30,35.53,36.12,35.53,35.59,249845
2021-05-05T00:00:00+05:30,36.24,36.24,35.66,35.88,403108
2021-05-06T00:00:00+05:30,36.1,36.2,35.71,36.08,295841
2021-05-07T00:00:00+05:30,36.2,36.69,36.0,36.52,746558
2021-05-10T00:00:00+05:30,36.95,37.6,36.7,37.48,1123182
2021-05-11T00:00:00+05:30,38.15,38.15,36.79,37.95,892170
2021-05-12T00:00:00+05:30,37.9,38.4,37.19,37.57,2048377
2021-05-14T00:00:00+05:30,37.57,38.7,36.95,37.44,2469740
2021-05-17T00:00:00+05:30,37.49,37.99,37.28,37.92,1146324
2021-05-18T00:00:00+05:30,37.8,38.6,37.8,38.43,1253328
2021-05-19T00:00:00+05:30,38.43,38.49,37.86,38.24,514400
2021-05-20T00:00:00+05:30,38.1,38.35,37.76,38.01,337116
2021-05-21T00:00:00+05:30,38.49,38.49,37.92,38.22,1462983
2021-05-24T00:00:00+05:30,38.5,38.9,38.01,38.79,1410336
2021-05-25T00:00:00+05:30,38.9,39.07,38.43,38.85,701905
2021-05-26T00:00:00+05:30,36.5,39.0,36.5,38.66,963306
2021-05-27T00:00:00+05:30,36.3,38.95,36.3,38.89,894724
2021-05-28T00:00:00+05:30,38.89,39.24,38.7,38.77,810916
2021-05-31T00:00:00+05:30,39.0,39.24,38.51,39.02,2056098
2021-06-01T00:00:00+05:30,39.0,39.39,39.0,39.1,866649
2021-06-02T00:00:00+05:30,39.0,39.1,38.7,39.03,295350
2021-06-03T00:00:00+05:30,38.32,39.53,38.32,39.48,1401993
2021-06-04T00:00:00+05:30,39.79,39.93,39.25,39.87,1258863
2021-06-07T00:00:00+05:30,39.99,40.5,39.23,40.42,1630734
2021-06-08T00:00:00+05:30,40.69,40.81,40.09,40.35,780720
2021-06-09T00:00:00+05:30,40.59,40.64,39.8,40.08,1090565
2021-06-10T00:00:00+05:30,40.08,40.45,39.71,40.35,1137602
2021-06-11T00:00:00+05:30,40.64,40.65,40.05,40.29,365519
2021-06-14T00:00:00+05:30,40.9,40.9,39.41,40.21,480967
2021-06-15T00:00:00+05:30,40.59,40.59,40.01,40.2,396292
2021-06-16T00:00:00+05:30,39.91,40.42,39.22,40.11,326617
2021-06-17T00:00:00+05:30,40.0,40.29,39.5,39.56,210616
2021-06-18T00:00:00+05:30,39.41,39.61,38.4,39.04,242075
2021-06-21T00:00:00+05:30,39.04,39.53,38.4,39.32,239077
2021-06-22T00:00:00+05:30,39.32,39.74,38.68,39.44,397899
2021-06-23T00:00:00+05:30,39.36,39.65,39.31,39.38,336205
2021-06-24T00:00:00+05:30,39.25,39.59,39.25,39.34,170618
