datetime,open,high,low,close,volume
2000-05-26,6.4506,6.4506,6.4506,6.4506,0
2000-05-30,6.7021,6.7021,6.7021,6.7021,0
2000-05-31,6.6911,6.6911,6.6911,6.6911,0
2000-06-01,6.8124,6.8124,6.8124,6.8124,0
2000-06-02,7.0772,7.0772,7.0772,7.0772,0
2000-06-05,7.0231,7.0231,7.0231,7.0231,0
2000-06-06,6.9801,6.9801,6.9801,6.9801,0
2000-06-07,6.9724,6.9724,6.9724,6.9724,0
2000-06-08,6.9404,6.9404,6.9404,6.9404,0
2000-06-09,7.0077,7.0077,7.0077,7.0077,0
2000-06-12,6.8908,6.8908,6.8908,6.8908,0
2000-06-13,6.9062,6.9062,6.9062,6.9062,0
2000-06-14,6.9183,6.9183,6.9183,6.9183,0
2000-06-15,7.0242,7.0242,7.0242,7.0242,0
2000-06-16,6.9977,6.9977,6.9977,6.9977,0
2000-06-19,7.1147,7.1147,7.1147,7.1147,0
2000-06-20,7.1577,7.1577,7.1577,7.1577,0
2000-06-21,7.1404,7.1404,7.1404,7.1404,0
2000-06-22,6.945,6.945,6.945,6.945,0
2000-06-23,6.8876,6.8876,6.8876,6.8876,0
2000-06-26,6.9219,6.9219,6.9219,6.9219,0
2000-06-27,6.8788,6.8788,6.8788,6.8788,0
2000-06-28,6.9561,6.9561,6.9561,6.9561,0
2000-06-29,6.9892,6.9892,6.9892,6.9892,0
2000-06-30,6.8545,6.8545,6.8545,6.8545,0
2000-07-03,6.9462,6.9462,6.9462,6.9462,0
2000-07-05,6.859,6.859,6.859,6.859,0
2000-07-06,6.9329,6.9329,6.9329,6.9329,0
2000-07-07,7.0245,7.0245,7.0245,7.0245,0
2000-07-10,7.1183,7.1183,7.1183,7.1183,0
2000-07-11,7.1636,7.1636,7.1636,7.1636,0
2000-07-12,7.2629,7.2629,7.2629,7.2629,0
2000-07-13,7.2729,7.2729,7.2729,7.2729,0
2000-07-14,7.317,7.317,7.317,7.317,0
2000-07-17,7.3203,7.3203,7.3203,7.3203,0
2000-07-18,7.2298,7.2298,7.2298,7.2298,0
2000-07-19,7.1526,7.1526,7.1526,7.1526,0
2000-07-20,7.2309,7.2309,7.2309,7.2309,0
2000-07-21,7.1349,7.1349,7.1349,7.1349,0
2000-07-24,7.0731,7.0731,7.0731,7.0731,0
2000-07-25,7.0378,7.0378,7.0378,7.0378,0
2000-07-26,7.0113,7.0113,7.0113,7.0113,0
