datetime,open,high,low,close,volume
2022-08-23T00:00:00+05:30,51.4,61.2,51.4,61.2,2097
2022-08-24T00:00:00+05:30,55.0,60.25,50.15,50.4,399492
2022-08-25T00:00:00+05:30,56.8,57.3,49.75,55.65,136478
2022-08-26T00:00:00+05:30,57.35,57.35,51.05,52.05,28890
2022-08-29T00:00:00+05:30,51.6,52.1,50.55,51.7,1065
2022-08-30T00:00:00+05:30,51.7,52.9,51.7,52.05,1756
2022-09-01T00:00:00+05:30,52.6,52.85,51.0,51.95,1368
2022-09-02T00:00:00+05:30,51.95,52.15,51.65,51.95,1712
2022-09-05T00:00:00+05:30,51.3,53.5,51.3,52.05,1844
2022-09-06T00:00:00+05:30,52.2,52.7,52.2,52.6,4923
2022-09-07T00:00:00+05:30,54.0,54.0,52.4,52.7,3318
2022-09-08T00:00:00+05:30,52.8,53.3,52.8,53.3,4164
2022-09-09T00:00:00+05:30,53.5,53.69,52.9,53.11,613
2022-09-12T00:00:00+05:30,53.2,53.8,53.2,53.55,5073
2022-09-13T00:00:00+05:30,53.7,54.0,53.7,53.8,3157
2022-09-14T00:00:00+05:30,53.75,54.05,53.75,53.8,633
2022-09-15T00:00:00+05:30,53.7,54.4,53.7,54.1,891
2022-09-16T00:00:00+05:30,54.0,54.0,52.7,52.95,2424
2022-09-19T00:00:00+05:30,52.95,53.15,52.05,52.7,4620
2022-09-20T00:00:00+05:30,53.0,53.5,53.0,53.4,1180
2022-09-21T00:00:00+05:30,53.3,53.3,52.45,52.7,1245
2022-09-22T00:00:00+05:30,52.7,52.7,52.1,52.5,302
2022-09-23T00:00:00+05:30,52.5,52.5,51.0,51.05,1515
2022-09-26T00:00:00+05:30,51.05,51.3,50.0,50.1,63848
2022-09-27T00:00:00+05:30,50.5,50.5,49.45,49.55,4590
2022-09-28T00:00:00+05:30,49.1,50.2,49.1,49.8,148
2022-09-29T00:00:00+05:30,51.8,51.8,49.4,49.7,8329
2022-09-30T00:00:00+05:30,49.5,50.9,49.0,50.35,10395
2022-10-03T00:00:00+05:30,50.65,50.85,49.9,49.95,74598
2022-10-04T00:00:00+05:30,50.4,51.1,50.4,50.75,4428
2022-10-06T00:00:00+05:30,51.0,51.65,51.0,51.05,4413
2022-10-07T00:00:00+05:30,51.0,51.5,50.8,51.5,5238
2022-10-10T00:00:00+05:30,51.4,51.4,50.65,51.2,6903
2022-10-11T00:00:00+05:30,50.8,51.0,50.0,50.3,6199
2022-10-12T00:00:00+05:30,50.5,50.6,50.1,50.6,360
2022-10-13T00:00:00+05:30,50.4,50.45,50.1,50.1,151060
2022-10-14T00:00:00+05:30,52.0,54.6,50.0,50.0,9297
2022-10-17T00:00:00+05:30,50.0,50.65,49.8,50.65,709
2022-10-18T00:00:00+05:30,52.15,52.15,50.65,50.75,3852
2022-10-19T00:00:00+05:30,51.0,51.7,51.0,51.0,136
2022-10-20T00:00:00+05:30,50.95,51.55,50.95,51.25,151
2022-10-21T00:00:00+05:30,51.4,52.0,51.0,51.4,8781
2022-10-24T00:00:00+05:30,52.8,52.8,51.2,51.6,218
