datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,26.55,26.55,25.35,26.0,720774
2021-03-10T00:00:00+05:30,26.3,26.5,25.9,26.25,1521924
2021-03-12T00:00:00+05:30,26.5,26.8,26.0,26.2,2282495
2021-03-15T00:00:00+05:30,26.4,26.6,25.85,26.3,2030445
2021-03-16T00:00:00+05:30,26.65,26.85,26.3,26.7,5951962
2021-03-17T00:00:00+05:30,27.0,27.0,26.35,26.4,486260
2021-03-18T00:00:00+05:30,26.9,26.9,25.3,25.65,680474
2021-03-19T00:00:00+05:30,26.1,26.1,25.25,25.8,2250891
2021-03-22T00:00:00+05:30,26.75,26.75,25.7,26.35,443256
2021-03-23T00:00:00+05:30,26.5,26.65,26.1,26.3,1156988
2021-03-24T00:00:00+05:30,26.8,26.8,24.0,25.75,707068
2021-03-25T00:00:00+05:30,26.0,26.35,25.55,25.8,709202
2021-03-26T00:00:00+05:30,25.6,26.25,24.8,25.85,1284585
2021-03-30T00:00:00+05:30,26.0,27.1,25.8,26.85,862077
2021-03-31T00:00:00+05:30,26.7,27.5,26.1,26.15,1026081
2021-04-01T00:00:00+05:30,27.0,27.0,26.2,26.4,461572
2021-04-05T00:00:00+05:30,26.0,26.85,25.6,26.7,691539
2021-04-06T00:00:00+05:30,27.3,27.3,26.15,26.8,4393225
2021-04-07T00:00:00+05:30,27.0,27.5,26.35,27.1,1048326
2021-04-08T00:00:00+05:30,27.1,27.65,26.95,27.35,4584772
2021-04-09T00:00:00+05:30,27.35,27.65,27.35,27.55,489253
2021-04-12T00:00:00+05:30,26.6,27.8,26.55,26.85,1126220
2021-04-13T00:00:00+05:30,27.0,27.75,25.8,26.15,1448653
2021-04-15T00:00:00+05:30,25.9,26.25,25.75,26.15,571163
2021-04-16T00:00:00+05:30,26.25,26.65,26.25,26.4,479579
2021-04-19T00:00:00+05:30,27.8,27.8,25.95,26.5,985926
2021-04-20T00:00:00+05:30,27.0,27.0,26.0,26.1,352276
2021-04-22T00:00:00+05:30,26.55,26.55,25.9,26.05,255123
2021-04-23T00:00:00+05:30,26.3,26.3,25.75,25.85,541886
2021-04-26T00:00:00+05:30,25.85,26.15,25.75,25.95,368749
2021-04-27T00:00:00+05:30,25.95,26.15,25.85,26.05,221594
2021-04-28T00:00:00+05:30,26.05,26.2,26.0,26.15,495887
2021-04-29T00:00:00+05:30,26.45,26.45,26.1,26.15,350074
2021-04-30T00:00:00+05:30,26.1,26.35,25.85,25.95,463654
2021-05-03T00:00:00+05:30,26.15,26.15,25.7,25.95,593346
2021-05-04T00:00:00+05:30,26.45,26.45,25.5,25.75,439015
2021-05-05T00:00:00+05:30,26.0,26.65,25.55,26.0,306222
2021-05-06T00:00:00+05:30,26.1,26.55,25.85,26.45,717218
2021-05-07T00:00:00+05:30,27.2,27.2,26.2,26.45,324197
2021-05-10T00:00:00+05:30,26.75,26.9,26.35,26.45,207514
2021-05-11T00:00:00+05:30,26.65,26.65,26.25,26.3,215177
2021-05-12T00:00:00+05:30,26.45,26.45,26.05,26.15,381754
2021-05-14T00:00:00+05:30,26.15,26.4,25.75,25.85,795391
2021-05-17T00:00:00+05:30,28.0,28.0,25.75,25.95,356021
2021-05-18T00:00:00+05:30,26.5,26.5,25.95,26.25,413252
2021-05-19T00:00:00+05:30,26.4,26.45,26.05,26.25,236448
2021-05-20T00:00:00+05:30,26.4,26.4,26.15,26.2,257640
2021-05-21T00:00:00+05:30,26.4,26.75,26.25,26.3,175985
2021-05-24T00:00:00+05:30,26.4,26.65,26.2,26.35,365732
2021-05-25T00:00:00+05:30,26.35,26.75,26.35,26.6,459253
2021-05-26T00:00:00+05:30,26.75,27.3,26.6,27.2,874381
2021-05-27T00:00:00+05:30,27.2,27.55,27.15,27.35,760493
2021-05-28T00:00:00+05:30,27.7,27.7,27.25,27.35,7382401
2021-05-31T00:00:00+05:30,27.5,27.55,27.3,27.4,388615
2021-06-01T00:00:00+05:30,27.55,27.6,27.05,27.45,4298494
2021-06-02T00:00:00+05:30,27.6,27.6,27.15,27.3,388262
2021-06-03T00:00:00+05:30,27.45,27.5,27.0,27.35,274190
2021-06-04T00:00:00+05:30,27.5,27.5,27.25,27.4,215099
2021-06-07T00:00:00+05:30,27.55,27.65,27.25,27.55,484601
2021-06-08T00:00:00+05:30,27.7,28.3,27.6,28.0,1141610
2021-06-09T00:00:00+05:30,28.9,28.9,27.75,27.85,1059072
2021-06-10T00:00:00+05:30,28.0,28.15,27.85,28.1,370663
2021-06-11T00:00:00+05:30,28.15,28.7,28.05,28.65,763193
2021-06-14T00:00:00+05:30,28.7,29.35,28.55,28.7,826640
2021-06-15T00:00:00+05:30,29.45,29.45,28.7,28.8,296526
2021-06-16T00:00:00+05:30,29.0,29.3,28.5,28.8,738152
2021-06-17T00:00:00+05:30,28.55,29.2,28.55,29.05,2858397
2021-06-18T00:00:00+05:30,29.35,29.5,28.6,28.8,717128
2021-06-21T00:00:00+05:30,28.85,28.9,27.85,28.75,738847
2021-06-22T00:00:00+05:30,29.2,29.2,28.8,28.95,280604
2021-06-23T00:00:00+05:30,29.2,29.2,28.65,28.7,357179
2021-06-24T00:00:00+05:30,28.9,29.45,28.75,29.35,622579
2021-06-25T00:00:00+05:30,29.35,29.75,29.35,29.62,1310321
2021-06-28T00:00:00+05:30,32.5,32.5,29.4,29.55,641496
2021-06-29T00:00:00+05:30,29.7,29.85,29.35,29.45,464893
2021-06-30T00:00:00+05:30,29.85,29.85,29.45,29.6,387594
2021-07-01T00:00:00+05:30,30.25,30.25,29.4,29.45,491858
2021-07-02T00:00:00+05:30,30.65,30.65,29.15,29.45,518356
2021-07-05T00:00:00+05:30,29.45,29.75,29.35,29.4,471882
2021-07-06T00:00:00+05:30,29.8,29.85,29.0,29.1,761220
2021-07-07T00:00:00+05:30,29.4,29.4,28.85,29.2,439602
2021-07-08T00:00:00+05:30,29.65,29.65,29.0,29.15,395744
2021-07-09T00:00:00+05:30,29.2,29.25,28.95,29.1,359131
2021-07-12T00:00:00+05:30,30.25,30.25,28.9,28.95,566365
2021-07-13T00:00:00+05:30,29.0,29.15,28.8,28.9,275196
2021-07-14T00:00:00+05:30,28.8,29.7,28.8,29.65,774169
2021-07-15T00:00:00+05:30,29.7,30.25,29.45,30.1,658040
2021-07-16T00:00:00+05:30,30.35,31.0,29.75,29.8,459625
2021-07-19T00:00:00+05:30,30.1,30.35,29.6,29.7,341796
2021-07-20T00:00:00+05:30,29.8,29.8,29.4,29.6,413020
2021-07-22T00:00:00+05:30,30.1,30.2,29.6,30.1,788205
2021-07-23T00:00:00+05:30,31.0,31.0,30.0,30.35,566248
2021-07-26T00:00:00+05:30,30.3,30.9,30.1,30.5,441636
2021-07-27T00:00:00+05:30,30.6,30.9,30.25,30.4,225093
2021-07-28T00:00:00+05:30,30.6,30.6,30.1,30.5,586094
2021-07-29T00:00:00+05:30,30.55,30.9,30.2,30.85,1158688
2021-07-30T00:00:00+05:30,31.0,31.44,30.85,31.06,386170
2021-08-02T00:00:00+05:30,31.5,31.77,31.08,31.33,427459
2021-08-03T00:00:00+05:30,31.6,31.77,31.39,31.63,323818
2021-08-04T00:00:00+05:30,32.09,32.09,31.47,31.57,486928
2021-08-05T00:00:00+05:30,32.4,32.4,31.5,31.82,472175
2021-08-06T00:00:00+05:30,31.82,32.2,31.61,31.91,510583
2021-08-09T00:00:00+05:30,32.6,32.6,31.71,32.0,388071
2021-08-10T00:00:00+05:30,32.65,32.65,31.9,32.25,656886
2021-08-11T00:00:00+05:30,32.42,32.44,31.96,32.05,478496
2021-08-12T00:00:00+05:30,32.2,32.75,31.91,32.72,499296
2021-08-13T00:00:00+05:30,32.68,33.39,32.68,33.32,774412
2021-08-16T00:00:00+05:30,33.6,33.97,33.06,33.19,828990
2021-08-17T00:00:00+05:30,33.5,34.2,33.12,34.05,5100390
2021-08-18T00:00:00+05:30,34.19,34.77,33.85,34.05,1039609
2021-08-20T00:00:00+05:30,32.8,34.38,32.8,33.94,828344
2021-08-23T00:00:00+05:30,33.95,34.75,33.8,34.59,854655
2021-08-24T00:00:00+05:30,34.8,35.1,34.23,34.29,1595193
2021-08-25T00:00:00+05:30,35.27,35.27,34.1,34.59,852479
2021-08-26T00:00:00+05:30,35.63,35.63,34.59,34.68,626016
2021-08-27T00:00:00+05:30,35.7,35.7,34.34,34.88,5284343
2021-08-30T00:00:00+05:30,35.88,35.88,34.47,34.66,4794091
2021-08-31T00:00:00+05:30,34.66,35.24,34.65,35.04,710203
2021-09-01T00:00:00+05:30,32.19,35.6,32.19,34.78,1031365
2021-09-02T00:00:00+05:30,34.99,35.35,34.64,35.21,1000964
2021-09-03T00:00:00+05:30,35.8,35.8,35.08,35.52,953538
2021-09-06T00:00:00+05:30,35.52,36.25,35.1,36.04,685694
2021-09-07T00:00:00+05:30,35.75,36.44,35.57,35.61,1851092
2021-09-08T00:00:00+05:30,35.94,35.94,35.17,35.33,691218
2021-09-09T00:00:00+05:30,35.77,35.77,35.1,35.41,521874
2021-09-13T00:00:00+05:30,35.7,35.84,35.08,35.77,959846
2021-09-14T00:00:00+05:30,35.9,36.1,35.8,35.99,698294
2021-09-15T00:00:00+05:30,36.3,36.84,35.95,36.64,1232511
2021-09-16T00:00:00+05:30,36.64,37.2,36.41,36.57,965085
2021-09-17T00:00:00+05:30,37.24,37.24,36.27,36.37,1490080
2021-09-20T00:00:00+05:30,36.37,36.79,36.0,36.12,2882736
