datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,169.86,170.72,166.65,169.13,27758762
2021-03-10T00:00:00+05:30,170.19,170.27,167.5,168.07,24085287
2021-03-12T00:00:00+05:30,169.29,169.29,165.63,167.01,37827310
2021-03-15T00:00:00+05:30,167.54,167.67,164.08,167.22,50516634
2021-03-16T00:00:00+05:30,167.99,170.03,166.81,169.17,59912387
2021-03-17T00:00:00+05:30,172.71,174.09,169.74,171.41,96544908
2021-03-18T00:00:00+05:30,173.36,178.33,172.47,177.15,113026379
2021-03-19T00:00:00+05:30,178.25,184.07,175.44,181.46,164865011
2021-03-22T00:00:00+05:30,181.75,184.27,180.28,183.94,56579159
2021-03-23T00:00:00+05:30,183.13,185.65,180.12,180.85,51068019
2021-03-24T00:00:00+05:30,179.87,181.34,175.19,175.76,33921812
2021-03-25T00:00:00+05:30,175.11,175.76,170.15,172.22,49982638
2021-03-26T00:00:00+05:30,174.38,174.54,171.21,171.65,32042229
2021-03-30T00:00:00+05:30,173.57,174.99,171.25,174.62,34146891
2021-03-31T00:00:00+05:30,174.22,178.49,173.12,177.84,44827315
2021-04-01T00:00:00+05:30,179.06,179.55,176.86,179.1,35707663
2021-04-05T00:00:00+05:30,177.11,179.06,171.33,173.0,38552311
2021-04-06T00:00:00+05:30,174.01,174.95,171.04,173.08,31544374
2021-04-07T00:00:00+05:30,173.12,175.15,172.91,174.01,18681322
2021-04-08T00:00:00+05:30,174.87,175.89,173.24,173.57,17344551
2021-04-09T00:00:00+05:30,173.97,175.76,173.0,173.44,20105763
2021-04-12T00:00:00+05:30,170.92,171.73,166.85,167.1,42402407
2021-04-13T00:00:00+05:30,168.48,170.68,167.67,169.86,24877053
2021-04-15T00:00:00+05:30,170.11,171.29,167.67,168.23,21538965
2021-04-16T00:00:00+05:30,169.29,170.31,168.07,169.25,16355560
2021-04-19T00:00:00+05:30,166.85,167.75,165.83,167.34,19403045
2021-04-20T00:00:00+05:30,167.83,168.48,164.82,165.67,26249742
