datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,25.5,25.82,25.31,25.72,33249
2021-03-10T00:00:00+05:30,25.71,26.26,25.71,26.17,102009
2021-03-12T00:00:00+05:30,28.52,28.52,26.02,26.08,4918549
2021-03-15T00:00:00+05:30,26.0,26.8,25.85,26.29,2049339
2021-03-16T00:00:00+05:30,26.33,26.76,26.3,26.65,19956559
2021-03-17T00:00:00+05:30,26.55,27.28,26.28,26.57,22090959
2021-03-18T00:00:00+05:30,26.6,27.0,25.24,25.6,152119
2021-03-19T00:00:00+05:30,29.44,29.44,25.23,25.76,4997029
2021-03-22T00:00:00+05:30,28.08,28.08,25.25,26.27,77719
2021-03-23T00:00:00+05:30,26.15,28.05,26.15,26.61,690389
2021-03-24T00:00:00+05:30,27.97,27.97,25.85,26.06,156929
2021-03-25T00:00:00+05:30,25.02,26.58,23.72,25.18,4582989
2021-03-26T00:00:00+05:30,25.7,25.85,25.3,25.64,137449
2021-03-30T00:00:00+05:30,25.8,27.2,25.65,26.84,2119719
2021-03-31T00:00:00+05:30,26.8,26.8,26.08,26.29,198429
2021-04-01T00:00:00+05:30,26.9,28.66,26.12,26.31,4164379
2021-04-05T00:00:00+05:30,26.6,26.8,26.21,26.78,4222169
2021-04-06T00:00:00+05:30,27.3,27.3,26.6,26.62,4938289
2021-04-07T00:00:00+05:30,26.8,27.07,25.83,27.03,270259
2021-04-08T00:00:00+05:30,27.11,27.49,27.1,27.23,221249
2021-04-09T00:00:00+05:30,27.4,27.58,27.23,27.56,153719
2021-04-12T00:00:00+05:30,26.97,27.56,26.7,26.9,366659
2021-04-13T00:00:00+05:30,26.75,27.36,25.71,26.02,790779
2021-04-15T00:00:00+05:30,26.01,26.26,25.58,26.09,90989
2021-04-16T00:00:00+05:30,25.7,26.63,25.64,26.48,82099
2021-04-19T00:00:00+05:30,26.46,26.7,25.5,26.41,10555749
2021-04-20T00:00:00+05:30,26.9,26.99,25.96,26.01,243349
2021-04-22T00:00:00+05:30,26.4,26.79,25.14,26.04,142819
2021-04-23T00:00:00+05:30,26.27,26.27,25.59,25.66,5212589
2021-04-26T00:00:00+05:30,25.7,26.0,25.42,25.7,9687369
2021-04-27T00:00:00+05:30,25.99,26.01,25.7,25.96,33839
2021-04-28T00:00:00+05:30,26.1,26.18,25.86,26.01,5055279
2021-04-29T00:00:00+05:30,26.1,26.31,26.0,26.05,2374539
2021-04-30T00:00:00+05:30,26.03,26.26,25.81,25.9,3540259
2021-05-03T00:00:00+05:30,26.1,26.1,25.68,25.88,387129
2021-05-04T00:00:00+05:30,25.88,25.97,25.57,25.58,112789
2021-05-05T00:00:00+05:30,26.12,26.12,25.69,25.87,5156239
2021-05-06T00:00:00+05:30,25.72,26.5,25.72,26.42,117339
2021-05-07T00:00:00+05:30,26.5,26.6,26.21,26.47,59029
2021-05-10T00:00:00+05:30,29.91,29.91,25.82,26.38,9096339
2021-05-11T00:00:00+05:30,26.4,26.4,26.21,26.32,603779
2021-05-12T00:00:00+05:30,26.1,26.31,25.92,26.0,519859
2021-05-14T00:00:00+05:30,26.39,26.39,25.7,25.73,601979
2021-05-17T00:00:00+05:30,26.29,26.29,25.31,25.74,2869079
2021-05-18T00:00:00+05:30,26.3,26.3,25.79,26.09,2645649
2021-05-19T00:00:00+05:30,25.82,26.39,25.82,26.17,101459
2021-05-20T00:00:00+05:30,26.45,26.5,26.01,26.11,67939
2021-05-21T00:00:00+05:30,26.38,26.4,26.07,26.34,94099
2021-05-24T00:00:00+05:30,26.45,26.47,26.02,26.22,4028289
2021-05-25T00:00:00+05:30,26.4,26.71,26.4,26.59,85669
2021-05-26T00:00:00+05:30,26.74,27.03,26.6,27.01,78499
2021-05-27T00:00:00+05:30,27.27,27.6,27.1,27.36,696889
2021-05-28T00:00:00+05:30,27.6,27.6,26.81,27.34,212119
2021-05-31T00:00:00+05:30,27.55,27.83,27.1,27.37,42529
2021-06-01T00:00:00+05:30,27.58,27.58,27.1,27.36,320929
2021-06-02T00:00:00+05:30,27.36,27.36,27.0,27.16,53109
2021-06-03T00:00:00+05:30,27.3,27.49,27.15,27.28,73019
2021-06-04T00:00:00+05:30,27.46,27.46,27.18,27.22,65379
2021-06-07T00:00:00+05:30,26.65,27.65,26.65,27.61,796669
2021-06-08T00:00:00+05:30,27.87,28.07,27.61,27.93,880859
2021-06-09T00:00:00+05:30,28.19,28.83,27.73,27.87,73709
2021-06-10T00:00:00+05:30,28.18,28.18,27.8,28.06,46599
2021-06-11T00:00:00+05:30,28.3,28.62,28.1,28.41,381509
2021-06-14T00:00:00+05:30,28.8,28.83,28.3,28.62,85099
2021-06-15T00:00:00+05:30,29.0,29.0,28.57,28.67,78389
2021-06-16T00:00:00+05:30,28.4,28.92,28.4,28.68,25569
2021-06-17T00:00:00+05:30,28.7,29.1,28.6,28.86,685619
2021-06-18T00:00:00+05:30,29.2,29.4,28.61,28.71,722049
2021-06-21T00:00:00+05:30,28.81,28.81,28.38,28.7,93979
2021-06-22T00:00:00+05:30,29.2,29.2,28.72,28.83,425019
2021-06-23T00:00:00+05:30,29.2,29.2,28.51,28.62,23689
2021-06-24T00:00:00+05:30,29.0,29.39,28.68,29.31,10254449
2021-06-25T00:00:00+05:30,29.0,30.0,29.0,29.44,3798969
2021-06-28T00:00:00+05:30,30.97,30.97,29.25,29.46,128389
2021-06-29T00:00:00+05:30,30.63,30.63,29.31,29.36,58389
2021-06-30T00:00:00+05:30,29.7,29.7,29.4,29.49,45849
2021-07-01T00:00:00+05:30,29.74,29.74,29.26,29.3,43179
2021-07-02T00:00:00+05:30,29.7,29.7,28.9,29.32,5011239
2021-07-05T00:00:00+05:30,29.3,29.65,28.9,29.2,84819
2021-07-06T00:00:00+05:30,29.5,29.59,28.87,29.01,3212449
2021-07-07T00:00:00+05:30,29.29,29.29,28.78,29.04,79349
2021-07-08T00:00:00+05:30,29.29,29.39,28.95,29.02,3533979
2021-07-09T00:00:00+05:30,29.4,29.4,28.7,28.93,37829
2021-07-12T00:00:00+05:30,29.45,29.53,28.8,28.91,85829
2021-07-13T00:00:00+05:30,29.27,29.27,28.69,28.82,56359
2021-07-14T00:00:00+05:30,28.82,29.62,28.82,29.58,606489
2021-07-15T00:00:00+05:30,29.76,30.21,29.16,30.09,1917449
2021-07-16T00:00:00+05:30,31.89,31.89,29.52,29.75,557729
2021-07-19T00:00:00+05:30,30.33,30.33,29.5,29.6,79019
2021-07-20T00:00:00+05:30,30.0,30.0,29.36,29.61,3068869
2021-07-22T00:00:00+05:30,30.79,31.38,29.61,30.11,66129
2021-07-23T00:00:00+05:30,30.4,30.4,30.15,30.28,42229
2021-07-26T00:00:00+05:30,33.0,33.0,30.02,30.41,792189
2021-07-27T00:00:00+05:30,31.23,31.23,30.1,30.25,830489
2021-07-28T00:00:00+05:30,31.1,31.1,29.96,30.39,74299
2021-07-29T00:00:00+05:30,30.7,30.91,30.5,30.86,260599
2021-07-30T00:00:00+05:30,31.0,31.3,30.86,31.0,143089
2021-08-02T00:00:00+05:30,31.3,31.72,30.95,31.28,1917489
2021-08-03T00:00:00+05:30,31.5,31.7,31.3,31.68,127029
2021-08-04T00:00:00+05:30,32.0,32.42,31.36,31.4,2322869
2021-08-05T00:00:00+05:30,31.3,32.0,31.3,31.7,244009
2021-08-06T00:00:00+05:30,32.43,32.43,31.55,31.78,2637729
2021-08-09T00:00:00+05:30,32.42,32.42,31.5,31.91,126709
2021-08-10T00:00:00+05:30,32.2,32.55,31.95,32.11,1215959
2021-08-11T00:00:00+05:30,32.2,32.6,31.92,32.13,2413909
2021-08-12T00:00:00+05:30,32.4,32.81,31.6,32.68,138609
2021-08-13T00:00:00+05:30,33.2,33.3,32.5,33.15,95829
2021-08-16T00:00:00+05:30,33.65,33.93,32.93,32.94,3658289
2021-08-17T00:00:00+05:30,33.8,34.05,32.51,33.89,1876869
2021-08-18T00:00:00+05:30,34.23,34.67,33.75,33.82,6237579
2021-08-20T00:00:00+05:30,34.0,34.2,33.5,33.9,192749
2021-08-23T00:00:00+05:30,34.09,34.66,33.9,34.5,4826939
2021-08-24T00:00:00+05:30,35.54,35.97,34.21,34.4,10292519
2021-08-25T00:00:00+05:30,34.68,34.98,34.35,34.65,4234409
2021-08-26T00:00:00+05:30,36.73,36.73,34.5,34.63,5766149
2021-08-27T00:00:00+05:30,34.33,35.12,34.33,34.88,1158859
2021-08-30T00:00:00+05:30,34.88,35.42,34.5,34.6,3175339
2021-08-31T00:00:00+05:30,34.9,35.11,34.58,34.94,152769
2021-09-01T00:00:00+05:30,35.5,35.5,34.43,34.47,673409
2021-09-02T00:00:00+05:30,35.0,35.36,34.46,35.26,363239
2021-09-03T00:00:00+05:30,35.97,35.97,34.73,35.44,91159
2021-09-06T00:00:00+05:30,35.59,36.01,35.42,35.87,143479
2021-09-07T00:00:00+05:30,35.87,36.5,35.51,35.53,177089
2021-09-08T00:00:00+05:30,36.0,36.0,35.05,35.24,271929
2021-09-09T00:00:00+05:30,35.7,35.7,34.9,35.27,81519
2021-09-13T00:00:00+05:30,35.5,35.65,35.0,35.62,143429
2021-09-14T00:00:00+05:30,35.8,36.05,35.22,35.97,154529
2021-09-15T00:00:00+05:30,36.34,39.21,35.96,36.83,2675049
2021-09-16T00:00:00+05:30,36.55,37.2,36.31,36.44,488379
2021-09-17T00:00:00+05:30,36.99,36.99,36.16,36.22,324769
2021-09-20T00:00:00+05:30,36.5,36.72,35.85,36.11,5710699
2021-09-21T00:00:00+05:30,36.5,36.6,35.91,36.56,642059
2021-09-22T00:00:00+05:30,36.26,38.75,36.26,37.16,2159909
2021-09-23T00:00:00+05:30,37.83,37.83,36.87,37.4,134569
2021-09-24T00:00:00+05:30,37.75,38.5,37.16,38.02,5370189
2021-09-27T00:00:00+05:30,38.2,38.41,36.6,36.74,836699
2021-09-28T00:00:00+05:30,37.0,37.0,35.53,35.85,1691879
2021-09-29T00:00:00+05:30,36.1,36.14,35.35,35.85,2757209
2021-09-30T00:00:00+05:30,36.97,36.97,35.58,35.62,629039
2021-10-01T00:00:00+05:30,35.9,35.9,35.33,35.36,153059
2021-10-04T00:00:00+05:30,35.8,35.8,35.3,35.65,360999
2021-10-05T00:00:00+05:30,37.78,37.78,35.25,36.09,122659
2021-10-06T00:00:00+05:30,36.44,36.44,35.53,35.65,648349
2021-10-07T00:00:00+05:30,36.2,36.4,35.6,36.16,708879
2021-10-08T00:00:00+05:30,36.0,37.2,36.0,36.85,2545069
2021-10-11T00:00:00+05:30,37.0,37.0,35.55,35.76,1231549
2021-10-12T00:00:00+05:30,36.83,36.97,35.06,35.37,878479
2021-10-13T00:00:00+05:30,36.0,36.0,35.41,35.86,626289
2021-10-14T00:00:00+05:30,36.94,37.33,36.03,36.28,3968719
2021-10-18T00:00:00+05:30,36.7,36.85,36.24,36.73,1572909
2021-10-19T00:00:00+05:30,36.85,37.96,36.85,37.71,995559
2021-10-20T00:00:00+05:30,37.65,38.13,37.23,37.4,590849
2021-10-21T00:00:00+05:30,37.35,37.7,36.11,36.51,2164819
2021-10-22T00:00:00+05:30,37.0,37.0,35.6,35.87,3440299
2021-10-25T00:00:00+05:30,36.0,36.35,35.04,35.47,2421449
2021-10-26T00:00:00+05:30,35.6,36.28,35.1,35.77,1412309
2021-10-27T00:00:00+05:30,36.2,36.28,35.81,36.14,774589
2021-10-28T00:00:00+05:30,36.47,36.47,35.5,35.6,839309
2021-10-29T00:00:00+05:30,36.0,36.0,35.02,35.17,869469
2021-11-01T00:00:00+05:30,37.27,37.27,35.2,35.94,112739
2021-11-02T00:00:00+05:30,36.2,36.4,35.7,35.73,478549
2021-11-03T00:00:00+05:30,36.04,36.2,35.7,35.92,114089
2021-11-04T00:00:00+05:30,39.15,39.15,35.21,36.1,50599
2021-11-08T00:00:00+05:30,36.65,36.65,35.92,36.45,745689
2021-11-09T00:00:00+05:30,36.9,36.97,36.28,36.61,107019
2021-11-10T00:00:00+05:30,36.85,36.85,36.05,36.48,157269
2021-11-11T00:00:00+05:30,36.41,36.41,35.91,36.18,446189
2021-11-12T00:00:00+05:30,36.15,37.0,36.15,36.9,255849
2021-11-15T00:00:00+05:30,37.5,37.5,36.9,37.19,231919
2021-11-16T00:00:00+05:30,38.23,38.23,36.9,37.29,216429
2021-11-17T00:00:00+05:30,37.2,37.6,37.2,37.39,181229
2021-11-18T00:00:00+05:30,37.54,37.59,36.5,36.69,12867479
2021-11-22T00:00:00+05:30,37.2,37.2,35.86,36.17,586679
2021-11-23T00:00:00+05:30,34.72,36.5,34.0,36.23,247809
2021-11-24T00:00:00+05:30,36.6,36.6,35.61,35.66,1344309
2021-11-25T00:00:00+05:30,37.8,37.8,35.4,35.92,341489
2021-11-26T00:00:00+05:30,35.99,35.99,35.12,35.37,859839
2021-11-29T00:00:00+05:30,35.37,35.99,34.74,35.74,4081229
2021-11-30T00:00:00+05:30,36.2,36.3,35.71,35.88,211869
2021-12-01T00:00:00+05:30,36.19,38.01,35.79,36.2,4192549
2021-12-02T00:00:00+05:30,36.2,36.97,36.0,36.78,3245709
2021-12-03T00:00:00+05:30,37.0,37.24,36.5,36.6,1698909
