datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,40.38,40.4,40.25,40.3,3800
2021-03-10T00:00:00+05:30,40.53,41.09,40.4,40.4,4900
2021-03-12T00:00:00+05:30,40.82,41.02,40.2,40.27,14100
2021-03-15T00:00:00+05:30,41.14,41.14,40.33,40.59,16700
2021-03-16T00:00:00+05:30,41.14,41.14,40.5,40.63,18100
2021-03-17T00:00:00+05:30,41.48,41.48,40.31,40.87,43400
2021-03-18T00:00:00+05:30,42.45,42.45,40.51,40.78,32800
2021-03-19T00:00:00+05:30,41.12,41.14,40.51,40.81,18400
2021-03-22T00:00:00+05:30,40.81,40.81,40.21,40.45,20400
2021-03-23T00:00:00+05:30,40.39,40.71,40.33,40.61,5400
2021-03-24T00:00:00+05:30,41.05,41.05,40.5,40.5,3700
2021-03-25T00:00:00+05:30,40.9,41.38,40.2,40.86,3900
2021-03-26T00:00:00+05:30,40.62,40.62,40.25,40.47,4600
2021-03-30T00:00:00+05:30,40.33,40.83,40.0,40.2,18800
2021-03-31T00:00:00+05:30,39.97,40.29,39.72,39.98,10900
2021-04-01T00:00:00+05:30,41.14,41.14,40.12,40.99,3500
2021-04-05T00:00:00+05:30,41.84,41.84,40.9,40.98,4500
2021-04-06T00:00:00+05:30,41.14,41.16,40.98,41.09,11200
2021-04-07T00:00:00+05:30,41.3,41.72,41.3,41.41,11500
2021-04-08T00:00:00+05:30,41.7,42.66,41.7,42.49,6200
2021-04-09T00:00:00+05:30,42.48,42.9,41.39,41.9,18300
2021-04-12T00:00:00+05:30,41.9,44.1,41.8,42.89,33200
2021-04-13T00:00:00+05:30,41.98,42.55,41.68,42.51,2700
2021-04-15T00:00:00+05:30,41.95,42.99,41.95,42.25,15500
2021-04-16T00:00:00+05:30,43.14,43.38,42.2,42.25,6400
2021-04-19T00:00:00+05:30,42.99,43.16,42.51,43.16,21600
2021-04-20T00:00:00+05:30,42.9,42.9,42.36,42.64,10400
2021-04-22T00:00:00+05:30,43.92,43.92,42.53,43.2,8900
2021-04-23T00:00:00+05:30,43.18,43.78,42.68,43.23,52300
2021-04-26T00:00:00+05:30,43.98,44.0,42.61,42.9,14100
2021-04-27T00:00:00+05:30,42.67,43.93,42.65,42.92,54800
2021-04-28T00:00:00+05:30,42.61,45.99,42.24,42.36,68600
2021-04-29T00:00:00+05:30,43.14,43.59,42.36,42.36,24600
2021-04-30T00:00:00+05:30,42.33,42.4,42.1,42.25,12500
2021-05-03T00:00:00+05:30,42.65,42.65,42.02,42.45,8600
2021-05-04T00:00:00+05:30,42.45,42.65,42.45,42.45,4000
2021-05-05T00:00:00+05:30,42.84,42.84,42.11,42.37,24600
2021-05-06T00:00:00+05:30,42.84,42.84,42.32,42.78,3200
2021-05-07T00:00:00+05:30,42.81,43.07,42.81,43.04,15400
2021-05-10T00:00:00+05:30,43.25,43.25,43.05,43.19,22200
2021-05-11T00:00:00+05:30,43.44,43.46,43.02,43.16,17100
2021-05-12T00:00:00+05:30,42.91,43.29,42.64,43.0,10500
2021-05-14T00:00:00+05:30,43.05,43.64,42.98,43.2,22400
2021-05-17T00:00:00+05:30,43.15,43.6,43.01,43.49,12300
2021-05-18T00:00:00+05:30,43.55,43.85,43.55,43.8,12400
2021-05-19T00:00:00+05:30,43.78,43.8,43.21,43.69,25000
2021-05-20T00:00:00+05:30,44.0,44.0,43.51,43.84,4500
2021-05-21T00:00:00+05:30,43.89,44.24,43.6,43.91,8600
2021-05-24T00:00:00+05:30,44.0,44.0,43.8,43.92,6800
2021-05-25T00:00:00+05:30,43.39,43.9,43.39,43.9,13600
2021-05-26T00:00:00+05:30,43.92,44.3,43.9,44.29,43200
