datetime,open,high,low,close,volume
2022-05-23T00:00:00+05:30,35.2,35.2,32.2,32.3,43353
2022-05-24T00:00:00+05:30,32.35,32.4,30.7,30.7,15549
2022-05-25T00:00:00+05:30,29.4,30.1,29.2,29.25,60890
2022-05-26T00:00:00+05:30,30.7,30.7,27.8,27.8,13015
2022-05-27T00:00:00+05:30,28.0,29.15,26.5,29.0,16108
2022-05-30T00:00:00+05:30,30.0,30.0,28.05,28.25,17668
2022-05-31T00:00:00+05:30,27.75,28.7,26.9,27.8,18128
2022-06-01T00:00:00+05:30,28.95,28.95,27.15,27.4,16174
2022-06-02T00:00:00+05:30,27.4,27.95,27.0,27.2,11192
2022-06-03T00:00:00+05:30,28.2,28.2,26.85,26.95,11700
2022-06-06T00:00:00+05:30,28.0,28.0,25.85,26.3,17566
2022-06-07T00:00:00+05:30,27.6,27.6,26.45,27.3,13133
2022-06-08T00:00:00+05:30,27.5,27.5,26.0,26.65,7452
2022-06-09T00:00:00+05:30,26.1,26.6,25.85,26.05,8434
2022-06-10T00:00:00+05:30,24.75,27.0,24.75,25.25,11462
2022-06-13T00:00:00+05:30,25.25,26.45,24.0,26.3,21888
2022-06-14T00:00:00+05:30,26.3,27.45,25.5,26.4,11330
2022-06-15T00:00:00+05:30,27.4,27.4,25.75,26.2,10010
2022-06-16T00:00:00+05:30,27.45,27.45,25.05,25.25,7363
2022-06-17T00:00:00+05:30,25.8,26.0,24.05,24.5,12178
2022-06-20T00:00:00+05:30,25.0,25.7,23.3,23.3,12226
2022-06-21T00:00:00+05:30,23.3,24.45,22.4,22.7,10145
2022-06-22T00:00:00+05:30,23.15,23.15,21.6,21.7,18416
2022-06-23T00:00:00+05:30,22.15,22.15,21.0,21.6,5623
2022-06-24T00:00:00+05:30,22.55,22.65,20.55,21.2,47256
2022-06-27T00:00:00+05:30,20.8,22.25,20.8,22.25,21559
2022-06-28T00:00:00+05:30,23.0,23.35,22.95,23.35,4607
2022-06-29T00:00:00+05:30,24.5,24.5,24.5,24.5,12353
2022-06-30T00:00:00+05:30,25.7,25.7,23.75,25.7,137888
2022-07-01T00:00:00+05:30,26.9,26.95,26.9,26.95,22127
2022-07-04T00:00:00+05:30,28.25,28.25,26.35,27.45,34691
2022-07-05T00:00:00+05:30,28.7,28.7,26.1,26.1,28459
2022-07-06T00:00:00+05:30,24.95,25.95,24.8,25.05,37839
2022-07-07T00:00:00+05:30,25.05,26.3,24.0,24.7,29201
2022-07-08T00:00:00+05:30,24.9,25.9,24.5,25.35,8616
2022-07-11T00:00:00+05:30,24.95,26.0,24.95,25.35,10498
2022-07-12T00:00:00+05:30,25.4,26.55,24.1,24.7,16372
2022-07-13T00:00:00+05:30,25.7,25.9,24.5,25.7,22362
2022-07-14T00:00:00+05:30,25.8,25.85,24.6,25.1,15858
2022-07-15T00:00:00+05:30,25.95,26.35,24.1,25.0,13727
2022-07-18T00:00:00+05:30,26.25,26.25,24.1,25.45,21807
2022-07-19T00:00:00+05:30,25.05,26.3,25.05,25.45,10518
2022-07-20T00:00:00+05:30,26.5,26.5,24.8,25.95,13160
