datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,14.71,14.94,14.19,14.87,3335090
2021-03-10T00:00:00+05:30,14.89,15.28,14.49,14.59,1932560
2021-03-12T00:00:00+05:30,14.73,14.8,14.36,14.62,1445590
2021-03-15T00:00:00+05:30,14.68,14.74,13.46,13.53,5191665
2021-03-16T00:00:00+05:30,13.65,13.7,12.33,12.74,8516375
2021-03-17T00:00:00+05:30,13.78,14.64,13.64,13.84,16978360
2021-03-18T00:00:00+05:30,13.86,14.4,13.13,13.88,7588000
2021-03-19T00:00:00+05:30,13.7,14.8,13.41,14.61,7572085
2021-03-22T00:00:00+05:30,14.55,14.55,13.7,13.77,4700670
2021-03-23T00:00:00+05:30,13.41,13.98,13.41,13.68,3011840
2021-03-24T00:00:00+05:30,13.52,13.84,13.42,13.56,2205840
2021-03-25T00:00:00+05:30,13.58,14.0,13.02,13.46,4354890
2021-03-26T00:00:00+05:30,13.31,13.59,12.9,13.2,3901865
2021-03-30T00:00:00+05:30,13.3,14.52,13.28,14.35,8041190
2021-03-31T00:00:00+05:30,14.39,14.56,14.0,14.32,2261075
2021-04-01T00:00:00+05:30,14.59,14.85,14.2,14.7,3866445
2021-04-05T00:00:00+05:30,14.88,14.88,13.86,14.05,1854850
2021-04-06T00:00:00+05:30,14.24,14.24,13.78,13.92,2520800
2021-04-07T00:00:00+05:30,14.0,14.14,13.88,14.02,1895990
2021-04-08T00:00:00+05:30,14.12,14.12,13.7,13.81,1529810
2021-04-09T00:00:00+05:30,13.87,14.44,13.87,14.35,3806745
2021-04-12T00:00:00+05:30,14.02,14.19,13.3,13.44,2156465
2021-04-13T00:00:00+05:30,13.57,13.99,13.4,13.88,962670
2021-04-15T00:00:00+05:30,14.08,14.08,13.31,13.4,1049495
2021-04-16T00:00:00+05:30,13.56,13.56,13.2,13.37,1373655
2021-04-19T00:00:00+05:30,12.52,13.3,12.2,12.51,2860480
2021-04-20T00:00:00+05:30,12.88,13.6,12.61,12.7,5828690
2021-04-22T00:00:00+05:30,12.69,13.12,12.5,12.98,2903780
2021-04-23T00:00:00+05:30,13.0,13.51,12.92,13.27,3824285
2021-04-26T00:00:00+05:30,13.6,13.9,13.44,13.69,5012420
2021-04-27T00:00:00+05:30,13.84,14.1,13.64,14.0,2586040
2021-04-28T00:00:00+05:30,14.06,14.15,13.71,13.87,1739115
2021-04-29T00:00:00+05:30,13.88,13.95,13.29,13.39,1553585
2021-04-30T00:00:00+05:30,13.35,13.56,13.16,13.28,2400120
2021-05-03T00:00:00+05:30,13.2,13.28,12.97,13.05,1318665
2021-05-04T00:00:00+05:30,13.2,13.35,12.9,13.01,1302140
2021-05-05T00:00:00+05:30,13.34,13.34,12.88,12.99,1443180
2021-05-06T00:00:00+05:30,13.06,13.07,12.87,12.9,681675
2021-05-07T00:00:00+05:30,13.0,13.13,12.63,12.78,1374505
2021-05-10T00:00:00+05:30,13.0,13.15,12.86,12.91,1969080
2021-05-11T00:00:00+05:30,12.8,13.12,12.72,13.0,1240920
2021-05-12T00:00:00+05:30,13.3,13.69,12.58,12.72,4411850
2021-05-14T00:00:00+05:30,13.0,13.21,12.69,12.76,3032615
2021-05-17T00:00:00+05:30,12.95,12.95,12.64,12.7,1564080
2021-05-18T00:00:00+05:30,12.8,12.88,12.61,12.65,1647860
2021-05-19T00:00:00+05:30,12.69,12.74,12.5,12.57,991690
2021-05-20T00:00:00+05:30,12.6,12.79,12.56,12.66,2107825
2021-05-21T00:00:00+05:30,12.78,12.8,12.6,12.69,1447900
2021-05-24T00:00:00+05:30,12.8,13.63,12.75,13.49,14280345
2021-05-25T00:00:00+05:30,13.7,14.26,13.7,14.11,8082550
2021-05-26T00:00:00+05:30,15.2,15.3,14.7,14.84,22108275
2021-05-27T00:00:00+05:30,14.84,15.13,14.21,14.93,8327500
2021-05-28T00:00:00+05:30,15.08,15.3,14.81,14.84,6572545
2021-05-31T00:00:00+05:30,14.9,15.07,14.08,14.33,4156950
2021-06-01T00:00:00+05:30,14.52,14.75,13.64,14.31,6266045
2021-06-02T00:00:00+05:30,14.36,14.66,14.23,14.44,5654240
2021-06-03T00:00:00+05:30,14.8,15.4,14.63,15.09,11154200
2021-06-04T00:00:00+05:30,15.25,15.85,15.25,15.39,17774395
2021-06-07T00:00:00+05:30,15.5,15.8,15.41,15.63,6212405
2021-06-08T00:00:00+05:30,15.8,16.2,15.64,16.07,13109570
2021-06-09T00:00:00+05:30,16.25,16.44,15.98,16.2,10204250
2021-06-10T00:00:00+05:30,16.4,17.64,16.38,17.48,26485100
2021-06-11T00:00:00+05:30,17.8,18.4,16.85,17.6,59069055
2021-06-14T00:00:00+05:30,17.76,17.97,16.4,17.12,46438715
2021-06-15T00:00:00+05:30,17.26,17.47,16.66,16.83,12598980
2021-06-16T00:00:00+05:30,16.99,17.05,15.66,15.82,17532730
2021-06-17T00:00:00+05:30,15.6,15.69,14.8,14.82,14129640
2021-06-18T00:00:00+05:30,15.12,15.25,14.1,14.12,13616080
2021-06-21T00:00:00+05:30,14.08,14.97,13.9,14.79,9057720
2021-06-22T00:00:00+05:30,14.97,15.15,14.11,14.21,9698185
2021-06-23T00:00:00+05:30,14.36,14.53,14.2,14.32,3841115
2021-06-24T00:00:00+05:30,14.44,14.52,14.16,14.25,2519375
2021-06-25T00:00:00+05:30,14.36,14.49,14.03,14.11,3189360
2021-06-28T00:00:00+05:30,14.28,14.46,13.6,13.63,8152320
2021-06-29T00:00:00+05:30,13.8,13.88,13.36,13.6,5219230
2021-06-30T00:00:00+05:30,13.69,14.05,13.3,13.44,15361710
2021-07-01T00:00:00+05:30,13.5,13.87,13.42,13.66,4304705
2021-07-02T00:00:00+05:30,13.68,14.29,13.68,14.12,18964810
2021-07-05T00:00:00+05:30,14.44,14.61,14.21,14.26,17003875
