datetime,open,high,low,close,volume
2021-03-15T00:00:00+05:30,18.5,19.0,17.5,18.65,866
2021-03-22T00:00:00+05:30,19.45,19.55,17.75,18.3,4383
2021-03-30T00:00:00+05:30,17.45,19.15,17.4,17.4,343
2021-04-05T00:00:00+05:30,16.55,16.55,16.55,16.55,611
2021-04-12T00:00:00+05:30,15.75,15.75,15.75,15.75,595
2021-04-19T00:00:00+05:30,16.1,16.1,15.0,15.0,126
2021-04-26T00:00:00+05:30,14.8,15.0,14.25,14.25,1279
2021-05-03T00:00:00+05:30,14.25,14.95,13.6,14.95,2710
2021-05-10T00:00:00+05:30,15.6,15.65,15.15,15.6,2055
2021-05-17T00:00:00+05:30,15.6,16.35,15.6,16.35,4997
2021-05-24T00:00:00+05:30,16.4,17.15,16.4,17.15,7729
2021-05-31T00:00:00+05:30,18.0,18.0,17.2,17.2,7571
2021-06-07T00:00:00+05:30,18.05,18.05,18.0,18.05,2391
2021-06-14T00:00:00+05:30,18.9,18.95,17.15,18.95,15389
2021-06-21T00:00:00+05:30,18.95,19.85,18.05,19.85,7553
2021-06-28T00:00:00+05:30,20.75,20.8,19.85,20.8,3940
2021-07-05T00:00:00+05:30,21.75,21.8,21.25,21.65,20482
2021-07-12T00:00:00+05:30,21.1,22.25,20.6,20.95,6436
2021-07-19T00:00:00+05:30,20.85,21.95,20.0,21.9,8890
2021-07-26T00:00:00+05:30,22.95,22.95,20.85,20.9,2760
2021-08-02T00:00:00+05:30,21.85,21.9,19.9,21.4,1818
2021-08-09T00:00:00+05:30,20.4,20.4,20.35,20.35,450
2021-08-16T00:00:00+05:30,20.0,20.0,19.35,19.8,176
2021-08-23T00:00:00+05:30,20.4,20.65,18.85,18.85,522
2021-08-25T00:00:00+05:30,19.75,19.75,19.05,19.75,2588
2021-08-26T00:00:00+05:30,20.5,20.7,19.2,20.7,12522
2021-08-27T00:00:00+05:30,21.7,21.7,21.7,21.7,4287
2021-08-30T00:00:00+05:30,22.0,22.75,22.0,22.75,7321
2021-08-31T00:00:00+05:30,23.85,23.85,23.85,23.85,3908
2021-09-01T00:00:00+05:30,25.0,25.0,25.0,25.0,2342
2021-09-02T00:00:00+05:30,26.25,26.25,23.8,26.25,123121
2021-09-03T00:00:00+05:30,27.55,27.55,26.6,27.55,25753
2021-09-06T00:00:00+05:30,28.9,28.9,28.9,28.9,5593
2021-09-07T00:00:00+05:30,30.3,30.3,27.5,30.3,30797
2021-09-08T00:00:00+05:30,31.8,31.8,31.8,31.8,2678
2021-09-09T00:00:00+05:30,32.7,33.35,30.25,33.35,10783
2021-09-13T00:00:00+05:30,34.05,35.0,34.05,35.0,8912
2021-09-14T00:00:00+05:30,36.75,36.75,36.75,36.75,3977
2021-09-15T00:00:00+05:30,38.55,38.55,38.4,38.55,7930
2021-09-16T00:00:00+05:30,40.45,40.45,37.0,40.45,23571
2021-09-17T00:00:00+05:30,41.85,41.9,38.45,41.5,18100
2021-09-20T00:00:00+05:30,42.95,43.35,39.45,41.95,12583
2021-09-21T00:00:00+05:30,39.9,42.5,39.9,40.95,9491
2021-09-22T00:00:00+05:30,40.9,42.0,38.95,40.05,6665
2021-09-23T00:00:00+05:30,41.9,41.9,38.2,39.0,1935
2021-09-24T00:00:00+05:30,40.75,40.75,37.05,39.65,6103
2021-09-27T00:00:00+05:30,41.4,41.4,37.9,39.35,5647
2021-09-28T00:00:00+05:30,39.0,39.0,37.4,38.55,2819
2021-09-29T00:00:00+05:30,37.15,40.45,37.15,40.05,11680
2021-09-30T00:00:00+05:30,41.8,41.8,40.05,40.75,3821
2021-10-01T00:00:00+05:30,40.75,42.5,38.75,40.4,8446
2021-10-04T00:00:00+05:30,41.25,42.4,39.5,39.7,6189
2021-10-05T00:00:00+05:30,41.6,41.6,39.9,40.25,3263
2021-10-06T00:00:00+05:30,39.0,41.0,38.35,40.8,5625
2021-10-07T00:00:00+05:30,40.8,41.0,39.05,40.05,9555
2021-10-08T00:00:00+05:30,38.25,41.0,38.05,38.45,6208
2021-10-11T00:00:00+05:30,39.95,39.95,38.5,39.9,3261
2021-10-12T00:00:00+05:30,39.9,40.4,38.1,39.9,1252
2021-10-13T00:00:00+05:30,38.1,40.0,37.95,38.05,3523
2021-10-14T00:00:00+05:30,39.9,39.9,36.2,37.25,4970
2021-10-18T00:00:00+05:30,38.9,38.9,36.25,38.55,2657
2021-10-19T00:00:00+05:30,37.8,39.0,36.65,38.15,2807
2021-10-20T00:00:00+05:30,36.3,39.85,36.25,37.7,1383
2021-10-21T00:00:00+05:30,35.85,38.45,35.85,36.0,355
2021-10-22T00:00:00+05:30,34.25,37.6,34.2,36.0,4155
2021-10-25T00:00:00+05:30,34.25,36.9,34.2,35.7,2329
2021-10-26T00:00:00+05:30,34.2,36.4,34.2,34.35,783
2021-10-27T00:00:00+05:30,35.95,36.0,32.75,34.05,1368
2021-10-28T00:00:00+05:30,35.25,35.25,32.5,33.05,1458
2021-10-29T00:00:00+05:30,33.0,33.4,31.4,33.15,1314
2021-11-01T00:00:00+05:30,34.35,34.8,31.65,32.05,1992
2021-11-02T00:00:00+05:30,33.45,33.65,31.1,32.1,859
2021-11-03T00:00:00+05:30,31.25,33.7,31.25,33.7,5437
2021-11-04T00:00:00+05:30,34.7,34.7,32.05,32.3,845
2021-11-08T00:00:00+05:30,33.3,33.45,31.15,33.25,1565
2021-11-09T00:00:00+05:30,34.0,34.35,31.8,33.85,5327
2021-11-10T00:00:00+05:30,34.55,34.95,32.25,33.85,1023
2021-11-11T00:00:00+05:30,34.8,34.85,32.3,33.45,503
2021-11-12T00:00:00+05:30,34.5,34.5,32.3,34.4,172
2021-11-15T00:00:00+05:30,34.5,34.5,32.7,32.75,2643
2021-11-16T00:00:00+05:30,31.2,33.5,31.15,32.4,4389
2021-11-17T00:00:00+05:30,33.6,33.75,31.5,33.35,3308
