datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,383.56,398.2,383.56,395.79,39582300
2021-03-10T00:00:00+05:30,396.65,399.87,391.44,392.79,13803345
2021-03-12T00:00:00+05:30,395.8,396.0,382.4,387.03,13100975
2021-03-15T00:00:00+05:30,388.8,388.8,378.62,383.73,13216265
2021-03-16T00:00:00+05:30,385.02,388.34,380.0,380.64,13843990
2021-03-17T00:00:00+05:30,380.64,383.54,372.2,373.67,13473945
2021-03-18T00:00:00+05:30,376.2,378.58,365.02,366.08,10985900
2021-03-19T00:00:00+05:30,363.69,374.4,362.81,366.83,24009970
2021-03-22T00:00:00+05:30,366.6,369.99,361.0,364.53,12169880
2021-03-23T00:00:00+05:30,368.8,368.8,359.77,362.53,21247680
2021-03-24T00:00:00+05:30,360.0,361.0,354.67,356.49,15228450
2021-03-25T00:00:00+05:30,358.58,359.76,349.0,352.58,20552535
2021-03-26T00:00:00+05:30,357.0,358.48,352.55,354.21,16548375
2021-03-30T00:00:00+05:30,357.8,360.39,355.0,357.0,27875650
2021-03-31T00:00:00+05:30,355.76,355.8,348.52,351.25,18989000
2021-04-01T00:00:00+05:30,354.0,362.65,350.13,360.8,19008505
2021-04-05T00:00:00+05:30,357.22,359.92,346.88,351.84,12240360
2021-04-06T00:00:00+05:30,355.2,356.29,345.74,353.66,14357145
2021-04-07T00:00:00+05:30,353.21,362.14,349.12,358.4,15785335
2021-04-08T00:00:00+05:30,359.2,364.74,355.74,356.65,14446150
2021-04-09T00:00:00+05:30,354.0,361.29,348.82,359.85,15692685
2021-04-12T00:00:00+05:30,351.45,353.6,344.66,348.5,16639880
2021-04-13T00:00:00+05:30,349.16,357.21,344.69,355.17,15592370
2021-04-15T00:00:00+05:30,360.0,361.9,350.52,354.65,17734015
2021-04-16T00:00:00+05:30,354.8,357.63,352.01,352.82,14558105
2021-04-19T00:00:00+05:30,344.0,344.0,335.0,340.15,19324100
2021-04-20T00:00:00+05:30,345.0,346.72,336.87,339.54,16582610
2021-04-22T00:00:00+05:30,337.95,347.95,333.84,347.21,17950025
2021-04-23T00:00:00+05:30,346.78,351.27,344.05,346.84,9466645
2021-04-26T00:00:00+05:30,348.0,356.6,346.66,351.93,16265195
2021-04-27T00:00:00+05:30,350.0,352.52,344.91,350.06,22663505
2021-04-28T00:00:00+05:30,352.5,364.8,350.8,362.29,20872620
2021-04-29T00:00:00+05:30,363.0,369.09,356.11,360.52,19799070
2021-04-30T00:00:00+05:30,356.0,360.4,347.89,349.76,13103195
2021-05-03T00:00:00+05:30,347.0,351.8,337.0,345.09,27961600
2021-05-04T00:00:00+05:30,350.2,352.8,345.06,346.53,21274965
2021-05-05T00:00:00+05:30,348.2,355.6,344.38,354.15,12057730
2021-05-06T00:00:00+05:30,356.34,358.74,352.64,357.65,11895640
2021-05-07T00:00:00+05:30,359.2,362.6,354.7,356.07,8052285
2021-05-10T00:00:00+05:30,361.8,362.65,358.12,361.87,6660400
2021-05-11T00:00:00+05:30,355.32,358.88,350.65,351.09,14775005
2021-05-12T00:00:00+05:30,350.8,350.8,343.11,343.77,15899485
2021-05-14T00:00:00+05:30,345.78,345.78,340.22,341.33,14687955
2021-05-17T00:00:00+05:30,343.4,351.0,342.0,348.83,21055945
2021-05-18T00:00:00+05:30,353.6,354.19,350.02,351.02,23287920
