datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,68.6,69.35,67.2,67.8,2616293
2021-03-10T00:00:00+05:30,68.35,68.7,67.6,68.05,1874087
2021-03-12T00:00:00+05:30,68.65,68.8,67.05,67.3,1868741
2021-03-15T00:00:00+05:30,67.5,67.9,65.55,66.25,1605572
2021-03-16T00:00:00+05:30,66.6,66.8,65.5,65.8,1213543
2021-03-17T00:00:00+05:30,65.85,66.35,62.95,63.3,1633813
2021-03-18T00:00:00+05:30,64.3,64.75,61.2,62.55,2475334
2021-03-19T00:00:00+05:30,61.8,62.5,59.5,62.15,3145434
2021-03-22T00:00:00+05:30,62.3,65.0,61.85,64.1,1996090
2021-03-23T00:00:00+05:30,64.15,65.5,63.75,64.8,1490803
2021-03-24T00:00:00+05:30,64.3,64.3,61.85,62.15,2356045
2021-03-25T00:00:00+05:30,62.1,62.25,60.8,61.5,1727343
2021-03-26T00:00:00+05:30,62.0,62.9,60.0,60.45,1487658
2021-03-30T00:00:00+05:30,60.8,61.6,60.05,60.25,1455135
2021-03-31T00:00:00+05:30,60.3,62.35,60.15,60.95,1844057
2021-04-01T00:00:00+05:30,61.5,65.6,61.4,65.1,2989311
2021-04-05T00:00:00+05:30,64.1,64.35,61.7,62.55,1451226
2021-04-06T00:00:00+05:30,62.7,63.3,61.85,62.2,891576
2021-04-07T00:00:00+05:30,62.3,63.5,62.0,62.75,1420360
2021-04-08T00:00:00+05:30,63.2,64.2,62.95,63.15,1209700
2021-04-09T00:00:00+05:30,63.7,65.0,63.05,64.2,1637002
2021-04-12T00:00:00+05:30,64.2,64.2,60.45,61.4,2921214
2021-04-13T00:00:00+05:30,61.1,62.4,60.85,61.55,1302579
2021-04-15T00:00:00+05:30,61.55,62.1,60.05,60.5,2021673
2021-04-16T00:00:00+05:30,60.55,61.9,60.55,61.15,926975
2021-04-19T00:00:00+05:30,60.05,60.5,58.6,58.85,1351734
2021-04-20T00:00:00+05:30,58.1,60.1,58.1,59.6,1363936
2021-04-22T00:00:00+05:30,59.0,59.7,58.55,59.0,1001681
2021-04-23T00:00:00+05:30,58.9,61.25,58.8,60.55,1498496
2021-04-26T00:00:00+05:30,60.9,62.0,60.55,60.9,664874
2021-04-27T00:00:00+05:30,61.0,61.8,60.0,61.35,996533
2021-04-28T00:00:00+05:30,61.7,62.2,61.6,62.05,704641
2021-04-29T00:00:00+05:30,61.9,63.1,61.2,61.5,947571
2021-04-30T00:00:00+05:30,61.35,62.5,60.8,61.45,911157
2021-05-03T00:00:00+05:30,60.9,61.5,60.4,60.8,919391
2021-05-04T00:00:00+05:30,61.1,64.4,61.1,62.8,3021512
2021-05-05T00:00:00+05:30,63.35,63.9,62.55,62.7,1085429
2021-05-06T00:00:00+05:30,62.95,63.25,62.1,62.5,809551
2021-05-07T00:00:00+05:30,62.7,63.8,62.25,62.6,1097703
2021-05-10T00:00:00+05:30,62.75,63.75,62.75,63.25,1117762
2021-05-11T00:00:00+05:30,62.6,65.7,62.5,65.15,2074007
2021-05-12T00:00:00+05:30,65.65,68.55,65.5,66.85,4229286
2021-05-14T00:00:00+05:30,67.55,68.4,66.1,66.2,1789117
2021-05-17T00:00:00+05:30,66.8,67.65,66.25,67.1,1279435
2021-05-18T00:00:00+05:30,67.75,68.8,66.7,67.1,1548113
2021-05-19T00:00:00+05:30,66.6,67.5,66.6,67.1,831089
2021-05-20T00:00:00+05:30,66.7,67.8,66.7,67.25,1160045
2021-05-21T00:00:00+05:30,67.5,70.75,67.5,69.8,6129853
2021-05-24T00:00:00+05:30,71.2,73.8,70.2,71.4,4655822
2021-05-25T00:00:00+05:30,72.05,72.55,70.5,70.85,2245537
2021-05-26T00:00:00+05:30,71.25,72.3,70.65,71.95,2921071
2021-05-27T00:00:00+05:30,67.5,67.5,65.4,65.9,10143400
2021-05-28T00:00:00+05:30,66.5,66.9,63.65,64.4,4288682
2021-05-31T00:00:00+05:30,64.8,64.8,63.6,64.0,2228609
2021-06-01T00:00:00+05:30,64.25,64.75,63.45,63.6,1429938
2021-06-02T00:00:00+05:30,63.7,63.95,63.0,63.3,1780307
2021-06-03T00:00:00+05:30,63.45,64.2,63.35,63.6,1287342
2021-06-04T00:00:00+05:30,63.8,65.75,63.6,65.2,4196174
2021-06-07T00:00:00+05:30,65.5,65.65,64.5,64.7,1737066
2021-06-08T00:00:00+05:30,65.05,65.3,63.85,64.2,1478542
2021-06-09T00:00:00+05:30,64.0,65.15,63.55,63.65,1591796
2021-06-10T00:00:00+05:30,64.0,64.2,63.4,63.75,1174717
2021-06-11T00:00:00+05:30,64.15,64.5,63.25,63.35,1677578
2021-06-14T00:00:00+05:30,63.45,64.7,62.6,64.15,1663652
2021-06-15T00:00:00+05:30,64.2,64.75,63.7,63.85,1174833
2021-06-16T00:00:00+05:30,63.95,64.4,63.15,63.25,924953
2021-06-17T00:00:00+05:30,62.9,64.1,62.75,63.15,919795
2021-06-18T00:00:00+05:30,63.3,63.65,61.5,62.55,1341628
2021-06-21T00:00:00+05:30,61.8,63.55,61.3,62.8,2156580
2021-06-22T00:00:00+05:30,63.15,64.2,63.15,63.35,1239470
2021-06-23T00:00:00+05:30,63.65,64.5,62.7,62.9,1453332
2021-06-24T00:00:00+05:30,63.05,63.25,62.6,62.75,720341
2021-06-25T00:00:00+05:30,63.1,63.25,62.5,62.6,803743
2021-06-28T00:00:00+05:30,62.9,63.4,62.55,62.9,935443
2021-06-29T00:00:00+05:30,63.1,63.25,62.5,62.6,576463
2021-06-30T00:00:00+05:30,62.85,63.1,62.25,62.3,805067
2021-07-01T00:00:00+05:30,62.6,62.7,61.6,61.65,861020
2021-07-02T00:00:00+05:30,61.85,62.15,61.5,61.6,580652
2021-07-05T00:00:00+05:30,61.9,62.2,61.05,61.4,965721
2021-07-06T00:00:00+05:30,61.4,62.15,61.4,61.55,901648
2021-07-07T00:00:00+05:30,61.45,62.0,61.35,61.75,501422
2021-07-08T00:00:00+05:30,61.7,62.45,61.25,61.4,929576
2021-07-09T00:00:00+05:30,61.5,61.95,61.15,61.6,1055715
2021-07-12T00:00:00+05:30,61.8,62.2,61.5,61.65,627956
2021-07-13T00:00:00+05:30,61.9,62.15,61.6,61.75,613606
2021-07-14T00:00:00+05:30,61.7,62.15,61.7,62.0,860091
2021-07-15T00:00:00+05:30,62.2,62.75,61.9,62.25,1177452
2021-07-16T00:00:00+05:30,62.55,63.25,62.1,62.55,1239200
2021-07-19T00:00:00+05:30,62.4,62.4,61.25,61.4,875163
2021-07-20T00:00:00+05:30,61.4,61.85,60.0,60.75,1138654
2021-07-22T00:00:00+05:30,61.5,61.8,60.8,60.9,748735
2021-07-23T00:00:00+05:30,61.2,61.3,60.15,60.5,735115
2021-07-26T00:00:00+05:30,60.5,61.05,59.3,59.8,1034885
2021-07-27T00:00:00+05:30,60.05,60.9,59.05,59.3,944142
2021-07-28T00:00:00+05:30,59.2,59.75,56.65,57.55,3163278
2021-07-29T00:00:00+05:30,57.9,64.35,57.7,62.45,8741351
2021-07-30T00:00:00+05:30,62.1,62.55,60.0,60.5,2061821
2021-08-02T00:00:00+05:30,61.0,63.05,60.6,62.15,2150272
2021-08-03T00:00:00+05:30,62.0,63.25,61.35,61.7,2103207
2021-08-04T00:00:00+05:30,62.1,62.65,60.7,60.9,1405346
2021-08-05T00:00:00+05:30,61.35,61.35,59.2,60.15,1401897
2021-08-06T00:00:00+05:30,60.5,61.0,60.05,60.3,937719
2021-08-09T00:00:00+05:30,62.0,62.25,60.2,60.5,1813582
2021-08-10T00:00:00+05:30,60.5,60.55,58.0,59.05,1163024
2021-08-11T00:00:00+05:30,59.3,59.7,57.65,58.45,1114321
2021-08-12T00:00:00+05:30,58.9,59.25,58.5,58.75,732866
2021-08-13T00:00:00+05:30,59.05,59.2,58.75,58.9,618533
2021-08-16T00:00:00+05:30,59.1,59.15,58.5,58.75,465307
2021-08-17T00:00:00+05:30,58.95,59.1,58.1,58.55,804368
2021-08-18T00:00:00+05:30,58.0,58.05,56.4,57.0,777574
2021-08-20T00:00:00+05:30,56.85,56.85,53.65,53.9,1850616
2021-08-23T00:00:00+05:30,54.2,55.0,51.6,51.95,1309299
2021-08-24T00:00:00+05:30,51.95,52.9,51.6,52.15,1280239
2021-08-25T00:00:00+05:30,52.5,53.4,51.7,51.9,1975445
2021-08-26T00:00:00+05:30,52.25,52.75,51.9,52.15,627020
2021-08-27T00:00:00+05:30,52.3,62.55,51.85,60.85,14865257
2021-08-30T00:00:00+05:30,62.4,62.4,59.1,60.95,7470768
2021-08-31T00:00:00+05:30,61.0,62.85,60.85,61.7,6006540
2021-09-01T00:00:00+05:30,61.6,65.3,61.3,64.35,8761107
2021-09-02T00:00:00+05:30,64.3,64.5,62.75,63.15,2547343
2021-09-03T00:00:00+05:30,63.15,63.6,60.75,61.3,2388417
2021-09-06T00:00:00+05:30,61.65,62.2,59.65,60.2,1369354
2021-09-07T00:00:00+05:30,60.9,64.6,59.35,62.7,4980197
2021-09-08T00:00:00+05:30,62.8,64.65,61.5,63.3,3594798
2021-09-09T00:00:00+05:30,63.3,69.2,63.2,67.05,15477524
2021-09-13T00:00:00+05:30,67.2,69.7,66.1,68.3,5704160
2021-09-14T00:00:00+05:30,68.4,68.8,66.25,66.7,2543583
2021-09-15T00:00:00+05:30,67.0,75.4,67.0,72.95,22377922
2021-09-16T00:00:00+05:30,73.5,75.75,72.6,73.45,7293568
2021-09-17T00:00:00+05:30,74.0,74.0,69.0,72.0,7139234
2021-09-20T00:00:00+05:30,70.85,71.65,66.85,67.5,3707710
2021-09-21T00:00:00+05:30,68.1,69.9,64.5,69.5,5607513
