datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,41.49,41.65,40.96,41.02,36000
2021-03-10T00:00:00+05:30,41.12,41.4,40.9,40.94,14200
2021-03-12T00:00:00+05:30,41.43,43.15,41.0,41.13,54300
2021-03-15T00:00:00+05:30,41.39,41.39,41.09,41.1,20500
2021-03-16T00:00:00+05:30,41.3,41.34,41.0,41.14,11900
2021-03-17T00:00:00+05:30,42.12,42.38,41.04,41.51,33700
2021-03-18T00:00:00+05:30,42.4,47.34,41.56,42.03,43800
2021-03-19T00:00:00+05:30,42.03,42.09,41.4,41.92,11900
2021-03-22T00:00:00+05:30,41.52,41.97,41.4,41.6,5800
2021-03-23T00:00:00+05:30,41.02,41.86,41.02,41.34,17800
2021-03-24T00:00:00+05:30,41.2,41.78,41.2,41.35,8800
2021-03-25T00:00:00+05:30,41.59,41.92,41.37,41.71,8100
2021-03-26T00:00:00+05:30,41.76,41.85,41.14,41.4,10400
2021-03-30T00:00:00+05:30,41.68,41.68,41.13,41.3,2700
2021-03-31T00:00:00+05:30,41.25,41.25,40.96,40.96,33600
2021-04-01T00:00:00+05:30,42.0,42.0,41.15,41.51,8900
2021-04-05T00:00:00+05:30,41.96,42.0,41.36,41.99,15400
2021-04-06T00:00:00+05:30,42.02,42.02,41.55,41.69,11700
2021-04-07T00:00:00+05:30,41.75,42.29,41.75,42.15,24200
2021-04-08T00:00:00+05:30,42.2,42.58,42.11,42.29,11800
2021-04-09T00:00:00+05:30,45.45,45.45,42.06,42.44,9200
2021-04-12T00:00:00+05:30,42.4,43.67,42.25,42.39,10600
2021-04-13T00:00:00+05:30,42.15,42.88,42.15,42.23,16700
2021-04-15T00:00:00+05:30,42.98,42.98,42.3,42.88,19800
2021-04-16T00:00:00+05:30,43.01,43.1,42.71,42.85,10300
2021-04-19T00:00:00+05:30,43.1,43.75,43.1,43.48,19200
2021-04-20T00:00:00+05:30,42.95,43.39,42.95,43.0,11500
2021-04-22T00:00:00+05:30,43.98,43.98,43.41,43.68,19500
2021-04-23T00:00:00+05:30,43.65,43.67,43.44,43.56,10500
2021-04-26T00:00:00+05:30,43.17,43.85,42.8,43.18,31800
2021-04-27T00:00:00+05:30,43.05,43.9,42.93,43.34,19300
2021-04-28T00:00:00+05:30,43.89,43.89,43.25,43.66,19600
2021-04-29T00:00:00+05:30,43.65,43.87,43.63,43.87,24400
2021-04-30T00:00:00+05:30,43.55,43.79,43.4,43.67,16000
2021-05-03T00:00:00+05:30,43.8,43.8,43.63,43.65,5800
2021-05-04T00:00:00+05:30,43.8,43.8,43.32,43.46,2900
2021-05-05T00:00:00+05:30,43.84,43.84,43.25,43.69,3500
2021-05-06T00:00:00+05:30,43.75,43.85,43.17,43.18,6000
2021-05-07T00:00:00+05:30,43.22,43.59,43.22,43.41,7900
2021-05-10T00:00:00+05:30,43.41,43.89,43.41,43.84,18000
2021-05-11T00:00:00+05:30,43.98,43.98,43.63,43.87,4400
2021-05-12T00:00:00+05:30,43.39,43.68,43.26,43.45,14000
2021-05-14T00:00:00+05:30,43.4,44.34,43.4,44.04,19600
2021-05-17T00:00:00+05:30,44.09,44.39,44.04,44.08,6000
2021-05-18T00:00:00+05:30,44.1,44.99,44.0,44.04,31700
2021-05-19T00:00:00+05:30,44.25,44.25,44.1,44.1,7500
2021-05-20T00:00:00+05:30,44.25,44.39,44.11,44.11,12500
2021-05-21T00:00:00+05:30,44.05,44.38,43.86,44.09,9300
2021-05-24T00:00:00+05:30,44.39,44.39,44.17,44.24,5400
2021-05-25T00:00:00+05:30,44.25,44.3,44.1,44.13,5500
2021-05-26T00:00:00+05:30,44.5,44.5,44.22,44.3,5700
2021-05-27T00:00:00+05:30,44.23,44.42,44.12,44.26,5300
2021-05-28T00:00:00+05:30,44.45,44.45,44.18,44.39,11000
2021-05-31T00:00:00+05:30,44.5,44.62,44.24,44.6,25900
2021-06-01T00:00:00+05:30,44.55,45.93,44.53,45.47,61600
2021-06-02T00:00:00+05:30,45.88,45.88,44.7,45.06,32700
2021-06-03T00:00:00+05:30,45.06,45.79,44.94,45.0,25300
2021-06-04T00:00:00+05:30,44.62,44.99,44.62,44.84,6500
2021-06-07T00:00:00+05:30,44.65,44.96,44.65,44.75,6500
2021-06-08T00:00:00+05:30,44.95,45.5,44.95,45.11,8300
2021-06-09T00:00:00+05:30,45.12,45.2,44.6,45.03,4800
2021-06-10T00:00:00+05:30,45.23,45.23,44.7,44.73,15900
2021-06-11T00:00:00+05:30,45.16,45.2,45.0,45.0,21100
2021-06-14T00:00:00+05:30,45.05,45.05,44.02,44.4,22700
2021-06-15T00:00:00+05:30,44.41,44.65,44.2,44.46,5800
2021-06-16T00:00:00+05:30,44.81,44.89,44.27,44.62,4600
2021-06-17T00:00:00+05:30,44.64,44.64,43.75,43.79,17200
2021-06-18T00:00:00+05:30,44.09,44.09,43.41,43.42,13000
2021-06-21T00:00:00+05:30,43.45,43.79,43.03,43.31,17900
2021-06-22T00:00:00+05:30,43.1,43.6,43.1,43.23,10100
2021-06-23T00:00:00+05:30,43.04,43.97,42.89,43.5,8100
2021-06-24T00:00:00+05:30,43.5,43.5,42.94,43.23,6700
2021-06-25T00:00:00+05:30,43.25,43.72,43.04,43.23,11300
2021-06-28T00:00:00+05:30,43.67,43.69,43.17,43.6,2800
2021-06-29T00:00:00+05:30,43.5,43.5,43.01,43.11,7900
2021-06-30T00:00:00+05:30,43.11,43.27,42.95,43.1,19600
2021-07-01T00:00:00+05:30,43.6,43.65,43.28,43.63,5600
2021-07-02T00:00:00+05:30,43.0,43.8,42.52,43.5,14600
2021-07-05T00:00:00+05:30,44.81,44.81,43.02,43.9,2500
2021-07-06T00:00:00+05:30,44.09,44.09,43.66,44.09,7100
2021-07-07T00:00:00+05:30,43.89,44.3,43.81,44.08,4200
2021-07-08T00:00:00+05:30,44.18,44.4,44.03,44.35,6900
2021-07-09T00:00:00+05:30,44.35,44.4,43.9,44.2,18400
2021-07-12T00:00:00+05:30,44.2,44.2,43.93,44.12,4900
2021-07-13T00:00:00+05:30,44.12,44.59,43.89,43.97,10900
2021-07-14T00:00:00+05:30,44.19,44.2,44.1,44.16,20100
2021-07-15T00:00:00+05:30,44.18,44.6,44.18,44.57,19500
2021-07-16T00:00:00+05:30,44.67,44.97,44.1,44.16,15600
2021-07-19T00:00:00+05:30,44.48,44.48,44.1,44.1,11600
2021-07-20T00:00:00+05:30,44.46,44.46,43.9,44.15,40400
2021-07-22T00:00:00+05:30,44.0,44.3,43.7,43.86,3300
2021-07-23T00:00:00+05:30,43.67,44.3,43.67,44.0,7800
2021-07-26T00:00:00+05:30,43.95,44.29,43.95,44.1,6000
2021-07-27T00:00:00+05:30,43.89,43.95,43.67,43.83,11800
2021-07-28T00:00:00+05:30,44.08,44.27,43.86,43.98,5200
2021-07-29T00:00:00+05:30,44.66,44.66,43.75,44.35,21500
2021-07-30T00:00:00+05:30,44.24,44.6,44.12,44.51,14700
2021-08-02T00:00:00+05:30,44.57,44.6,44.21,44.23,7300
2021-08-03T00:00:00+05:30,44.48,44.5,44.11,44.15,3800
2021-08-04T00:00:00+05:30,44.1,44.35,44.0,44.09,4400
2021-08-05T00:00:00+05:30,44.28,44.28,44.01,44.06,14000
2021-08-06T00:00:00+05:30,44.32,44.35,43.58,43.66,16200
2021-08-09T00:00:00+05:30,43.58,43.65,42.66,42.75,23000
2021-08-10T00:00:00+05:30,43.16,43.16,42.37,42.43,17200
2021-08-11T00:00:00+05:30,42.99,42.99,42.4,42.62,17700
2021-08-12T00:00:00+05:30,42.66,43.3,42.66,43.12,6600
2021-08-13T00:00:00+05:30,42.87,42.95,42.52,42.77,17300
2021-08-16T00:00:00+05:30,42.89,43.48,42.81,43.44,3400
2021-08-17T00:00:00+05:30,43.74,43.9,43.37,43.77,6300
2021-08-18T00:00:00+05:30,43.86,43.86,43.05,43.66,31700
2021-08-20T00:00:00+05:30,44.74,44.74,42.72,43.6,85500
2021-08-23T00:00:00+05:30,43.45,43.61,43.07,43.4,10400
2021-08-24T00:00:00+05:30,43.48,43.8,43.48,43.75,19000
2021-08-25T00:00:00+05:30,43.74,43.74,43.2,43.59,9700
2021-08-26T00:00:00+05:30,43.39,43.39,43.1,43.38,42200
2021-08-27T00:00:00+05:30,43.51,43.96,43.05,43.36,38100
2021-08-30T00:00:00+05:30,43.38,43.8,43.38,43.55,7100
2021-08-31T00:00:00+05:30,43.9,43.9,43.4,43.41,20900
2021-09-01T00:00:00+05:30,43.7,43.7,43.3,43.3,8400
2021-09-02T00:00:00+05:30,43.7,43.7,43.33,43.44,2800
2021-09-03T00:00:00+05:30,43.26,43.44,43.17,43.33,2400
2021-09-06T00:00:00+05:30,43.7,43.79,43.41,43.64,13300
2021-09-07T00:00:00+05:30,43.63,43.69,43.39,43.47,10300
2021-09-08T00:00:00+05:30,43.65,43.65,43.3,43.5,12200
2021-09-09T00:00:00+05:30,43.4,43.4,42.89,43.13,17800
2021-09-13T00:00:00+05:30,44.21,44.21,43.36,43.49,4700
2021-09-14T00:00:00+05:30,43.44,43.6,43.09,43.12,7400
2021-09-15T00:00:00+05:30,43.47,43.64,43.35,43.45,16900
2021-09-16T00:00:00+05:30,43.6,43.63,42.72,42.9,9500
2021-09-17T00:00:00+05:30,43.45,43.45,42.5,42.7,16200
2021-09-20T00:00:00+05:30,42.7,42.78,42.5,42.52,23200
2021-09-21T00:00:00+05:30,42.69,42.74,42.52,42.69,32300
2021-09-22T00:00:00+05:30,42.89,43.32,42.79,43.01,6100
2021-09-23T00:00:00+05:30,43.89,43.89,42.62,42.7,13200
2021-09-24T00:00:00+05:30,42.45,42.59,42.37,42.41,6500
2021-09-27T00:00:00+05:30,42.97,42.97,42.06,42.21,22200
2021-09-28T00:00:00+05:30,42.58,42.84,42.35,42.47,2700
2021-09-29T00:00:00+05:30,43.75,43.75,42.21,42.61,12600
2021-09-30T00:00:00+05:30,42.58,42.75,42.0,42.17,9100
2021-10-01T00:00:00+05:30,42.39,42.9,42.39,42.8,13200
2021-10-04T00:00:00+05:30,42.42,44.1,42.42,42.8,40500
2021-10-05T00:00:00+05:30,42.82,43.14,42.82,42.9,3100
2021-10-06T00:00:00+05:30,42.99,43.0,42.79,42.9,3400
2021-10-07T00:00:00+05:30,43.13,43.13,42.9,43.05,5200
2021-10-08T00:00:00+05:30,43.74,43.74,42.91,43.06,43400
2021-10-11T00:00:00+05:30,43.1,43.3,42.85,43.07,25700
2021-10-12T00:00:00+05:30,43.3,43.5,43.2,43.3,39800
2021-10-13T00:00:00+05:30,42.87,43.6,42.87,43.43,7300
2021-10-14T00:00:00+05:30,43.45,44.23,43.45,44.15,33700
2021-10-18T00:00:00+05:30,44.12,44.12,43.21,43.37,12900
2021-10-19T00:00:00+05:30,43.37,44.04,43.37,43.74,36700
2021-10-20T00:00:00+05:30,43.55,43.6,43.06,43.6,10500
2021-10-21T00:00:00+05:30,43.6,43.99,43.4,43.7,9700
2021-10-22T00:00:00+05:30,43.75,49.84,43.55,46.55,83400
2021-10-25T00:00:00+05:30,44.21,44.95,43.27,44.48,37700
2021-10-26T00:00:00+05:30,44.4,44.5,44.2,44.34,29300
2021-10-27T00:00:00+05:30,44.1,44.1,43.8,43.8,3900
2021-10-28T00:00:00+05:30,43.82,45.6,43.82,44.18,19500
2021-10-29T00:00:00+05:30,44.46,44.46,43.33,43.88,42900
2021-11-01T00:00:00+05:30,43.93,44.13,43.61,43.68,6300
2021-11-02T00:00:00+05:30,44.02,44.4,44.01,44.12,16500
2021-11-03T00:00:00+05:30,45.0,45.16,43.51,43.74,40100
2021-11-04T00:00:00+05:30,45.0,45.05,43.72,44.0,3600
2021-11-08T00:00:00+05:30,45.38,45.38,43.94,43.94,4800
2021-11-09T00:00:00+05:30,44.27,44.27,43.92,44.19,987900
2021-11-10T00:00:00+05:30,44.25,44.45,44.22,44.35,25900
2021-11-11T00:00:00+05:30,44.5,45.15,44.5,45.07,23600
2021-11-12T00:00:00+05:30,45.45,45.45,44.81,45.11,10400
2021-11-15T00:00:00+05:30,45.1,45.5,44.98,44.98,684900
2021-11-16T00:00:00+05:30,45.31,45.49,45.2,45.33,11500
2021-11-17T00:00:00+05:30,45.3,45.3,44.53,44.95,11300
2021-11-18T00:00:00+05:30,45.1,48.89,45.0,45.18,27200
2021-11-22T00:00:00+05:30,45.0,45.8,44.7,44.97,18900
2021-11-23T00:00:00+05:30,44.51,44.51,43.9,43.92,15900
2021-11-24T00:00:00+05:30,43.79,44.45,43.6,43.7,40200
2021-11-25T00:00:00+05:30,44.16,44.41,43.8,44.11,5200
2021-11-26T00:00:00+05:30,43.89,44.67,43.77,44.21,18200
2021-11-29T00:00:00+05:30,44.64,44.64,43.96,44.02,5400
2021-11-30T00:00:00+05:30,44.09,44.19,43.51,44.15,24700
2021-12-01T00:00:00+05:30,43.89,44.16,43.57,43.72,5500
2021-12-02T00:00:00+05:30,43.86,43.86,43.5,43.56,2800
2021-12-03T00:00:00+05:30,44.43,44.43,43.5,43.59,9100
2021-12-06T00:00:00+05:30,44.46,45.0,43.51,43.99,42500
2021-12-07T00:00:00+05:30,44.05,44.16,43.81,43.95,17500
2021-12-08T00:00:00+05:30,43.98,44.16,43.73,44.01,3200
2021-12-09T00:00:00+05:30,44.0,44.13,43.66,43.8,5900
2021-12-10T00:00:00+05:30,43.76,44.08,43.76,43.91,21500
2021-12-13T00:00:00+05:30,43.95,44.4,43.75,44.18,4100
2021-12-14T00:00:00+05:30,44.46,44.46,43.77,44.0,6600
2021-12-15T00:00:00+05:30,44.7,44.7,43.56,43.83,17300
2021-12-16T00:00:00+05:30,44.6,44.6,43.83,44.41,30700
2021-12-17T00:00:00+05:30,44.02,45.0,44.02,44.85,36500
2021-12-20T00:00:00+05:30,44.88,44.88,44.06,44.34,30300
2021-12-21T00:00:00+05:30,45.0,45.0,43.7,44.11,21500
2021-12-22T00:00:00+05:30,44.11,44.28,43.72,43.81,1100
2021-12-23T00:00:00+05:30,44.12,44.6,44.12,44.38,11500
2021-12-24T00:00:00+05:30,44.66,44.66,44.05,44.54,6500
2021-12-27T00:00:00+05:30,44.66,44.99,44.31,44.4,11200
2021-12-28T00:00:00+05:30,44.66,44.66,44.1,44.41,14400
2021-12-29T00:00:00+05:30,44.43,44.43,43.8,44.4,3500
2021-12-30T00:00:00+05:30,43.96,44.35,43.68,43.75,7600
2021-12-31T00:00:00+05:30,44.46,44.46,44.39,44.39,900
2022-01-03T00:00:00+05:30,44.66,44.95,44.16,44.25,19700
2022-01-04T00:00:00+05:30,44.22,44.22,43.89,43.93,3100
2022-01-05T00:00:00+05:30,44.38,44.38,44.11,44.15,11300
2022-01-06T00:00:00+05:30,43.96,44.09,43.78,43.93,3400
2022-01-07T00:00:00+05:30,43.78,44.0,43.66,43.86,2400
2022-01-10T00:00:00+05:30,43.4,44.16,43.4,43.9,21800
2022-01-11T00:00:00+05:30,43.9,44.1,43.51,43.71,31300
2022-01-12T00:00:00+05:30,44.0,44.1,43.95,43.97,12500
2022-01-13T00:00:00+05:30,44.03,44.86,43.88,44.13,15100
2022-01-14T00:00:00+05:30,44.35,44.5,43.99,44.47,4200
2022-01-17T00:00:00+05:30,44.58,44.58,44.02,44.15,6000
2022-01-18T00:00:00+05:30,44.15,44.44,43.72,43.85,2800
2022-01-19T00:00:00+05:30,44.39,44.39,44.2,44.2,4300
2022-01-20T00:00:00+05:30,44.45,44.75,44.3,44.51,15000
2022-01-21T00:00:00+05:30,44.67,44.84,44.4,44.46,7500
2022-01-24T00:00:00+05:30,44.0,44.74,44.0,44.54,11500
2022-01-25T00:00:00+05:30,44.4,44.9,44.15,44.66,20000
2022-01-27T00:00:00+05:30,44.9,44.9,44.42,44.53,6700
2022-01-28T00:00:00+05:30,44.42,44.42,43.91,44.08,3700
2022-01-31T00:00:00+05:30,44.48,48.64,43.88,43.92,55900
