datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,536.0,544.0,535.0,535.0,41
2021-03-10T00:00:00+05:30,536.2,544.4,536.2,537.5,1136
2021-03-12T00:00:00+05:30,548.25,548.25,536.3,542.68,629
2021-03-15T00:00:00+05:30,553.55,553.55,513.6,542.6,594
2021-03-16T00:00:00+05:30,550.0,555.0,532.6,542.33,427
2021-03-17T00:00:00+05:30,544.0,559.0,539.1,541.27,431
2021-03-18T00:00:00+05:30,550.0,550.0,532.05,536.05,110
2021-03-19T00:00:00+05:30,544.9,549.9,520.9,531.05,519
2021-03-22T00:00:00+05:30,541.7,554.0,521.2,526.02,239
2021-03-23T00:00:00+05:30,541.0,541.0,522.28,526.25,66
2021-03-24T00:00:00+05:30,586.0,586.0,525.0,550.58,1091
2021-03-25T00:00:00+05:30,561.6,579.95,541.0,556.57,117
2021-03-26T00:00:00+05:30,535.1,568.0,535.1,542.1,187
2021-03-30T00:00:00+05:30,552.95,552.95,535.6,535.6,95
2021-03-31T00:00:00+05:30,550.7,550.7,537.2,550.7,58
2021-04-01T00:00:00+05:30,550.5,550.5,537.25,542.0,109
2021-04-05T00:00:00+05:30,552.2,552.2,536.1,539.46,174
2021-04-06T00:00:00+05:30,545.0,564.95,537.17,551.93,197
2021-04-07T00:00:00+05:30,562.97,562.97,539.05,558.26,72
2021-04-08T00:00:00+05:30,620.0,620.0,538.99,555.81,915
2021-04-09T00:00:00+05:30,559.95,565.0,542.16,558.0,318
2021-04-12T00:00:00+05:30,558.0,574.73,522.1,536.12,1082
2021-04-13T00:00:00+05:30,540.0,554.8,506.0,509.89,770
2021-04-15T00:00:00+05:30,510.07,519.99,510.07,519.99,80
2021-04-16T00:00:00+05:30,518.39,528.9,498.95,514.95,226
2021-04-19T00:00:00+05:30,520.0,520.0,500.05,516.4,308
2021-04-20T00:00:00+05:30,525.0,525.0,506.5,511.99,142
2021-04-22T00:00:00+05:30,518.9,518.9,493.95,506.43,222
2021-04-23T00:00:00+05:30,516.0,517.97,505.5,509.0,149
2021-04-26T00:00:00+05:30,518.9,524.87,493.95,516.2,209
2021-04-27T00:00:00+05:30,524.8,527.0,511.0,513.0,34
2021-04-28T00:00:00+05:30,527.99,527.99,511.5,524.99,157
2021-04-29T00:00:00+05:30,534.9,534.9,516.0,518.2,50
2021-04-30T00:00:00+05:30,528.0,530.0,515.0,526.8,44
2021-05-03T00:00:00+05:30,526.8,535.0,516.6,526.9,96
2021-05-04T00:00:00+05:30,527.0,534.89,519.2,525.94,101
2021-05-05T00:00:00+05:30,536.46,536.46,521.0,532.95,102
2021-05-06T00:00:00+05:30,532.95,539.0,518.5,522.0,107
2021-05-07T00:00:00+05:30,515.9,538.85,515.9,522.0,95
2021-05-10T00:00:00+05:30,569.8,569.8,522.14,532.6,431
2021-05-11T00:00:00+05:30,550.0,550.0,532.9,537.25,156
2021-05-12T00:00:00+05:30,545.0,545.0,532.0,542.12,108
2021-05-14T00:00:00+05:30,544.5,544.5,530.1,540.04,93
2021-05-17T00:00:00+05:30,530.05,540.0,530.05,537.94,93
2021-05-18T00:00:00+05:30,535.0,548.0,530.1,546.08,282
2021-05-19T00:00:00+05:30,546.9,556.9,541.9,552.69,232
2021-05-20T00:00:00+05:30,541.65,555.0,541.65,549.0,73
2021-05-21T00:00:00+05:30,553.97,558.79,545.2,556.07,177
2021-05-24T00:00:00+05:30,556.9,574.98,550.0,554.86,87
2021-05-25T00:00:00+05:30,546.07,559.9,546.07,552.99,80
