datetime,open,high,low,close,volume
2025-08-20T00:00:00+05:30,29.34,29.35,29.05,29.26,1353632
2025-08-21T00:00:00+05:30,29.27,29.3,29.05,29.23,3176
2025-08-22T00:00:00+05:30,29.19,29.21,29.14,29.21,866
2025-08-25T00:00:00+05:30,29.2,29.2,28.98,29.14,92498
2025-08-26T00:00:00+05:30,29.09,29.12,29.06,29.09,62037
2025-08-28T00:00:00+05:30,29.0,29.22,28.92,29.21,50957
2025-08-29T00:00:00+05:30,29.17,29.18,29.01,29.17,20934
2025-09-01T00:00:00+05:30,29.09,29.17,28.91,29.16,51596
2025-09-02T00:00:00+05:30,29.09,29.16,29.09,29.13,6235
2025-09-03T00:00:00+05:30,29.17,29.21,29.16,29.21,28627
2025-09-04T00:00:00+05:30,29.27,29.29,29.23,29.28,26367
2025-09-05T00:00:00+05:30,29.31,29.36,29.31,29.36,9842
2025-09-08T00:00:00+05:30,29.36,29.39,29.36,29.39,4925
2025-09-09T00:00:00+05:30,29.39,29.47,29.39,29.45,162676
2025-09-10T00:00:00+05:30,29.34,29.36,29.28,29.36,6871
2025-09-11T00:00:00+05:30,29.3,29.43,29.28,29.41,128661
2025-09-12T00:00:00+05:30,29.47,29.47,29.41,29.41,21766
2025-09-15T00:00:00+05:30,29.39,30.4,29.32,29.44,32986
2025-09-16T00:00:00+05:30,29.37,29.44,29.37,29.41,158223
2025-09-17T00:00:00+05:30,29.39,29.46,29.39,29.44,17735
2025-09-18T00:00:00+05:30,29.57,29.57,29.38,29.41,126015
2025-09-19T00:00:00+05:30,29.37,29.39,29.36,29.38,7372
2025-09-22T00:00:00+05:30,29.39,30.4,29.37,29.42,37314
2025-09-23T00:00:00+05:30,29.41,29.5,29.41,29.49,95024
2025-09-24T00:00:00+05:30,29.49,29.54,29.4,29.5,111483
2025-09-25T00:00:00+05:30,30.39,30.39,29.38,29.49,95940
2025-09-26T00:00:00+05:30,30.37,30.37,29.4,29.44,9773
2025-09-29T00:00:00+05:30,29.4,29.45,29.26,29.44,163872
2025-09-30T00:00:00+05:30,29.39,29.47,29.25,29.46,60166
2025-10-01T00:00:00+05:30,30.34,30.34,29.2,29.43,286742
2025-10-03T00:00:00+05:30,30.31,30.31,29.32,29.52,184272
2025-10-06T00:00:00+05:30,30.41,30.41,29.49,29.56,284811
2025-10-07T00:00:00+05:30,29.6,29.6,29.43,29.56,125217
2025-10-08T00:00:00+05:30,30.45,30.45,29.48,29.52,101024
2025-10-09T00:00:00+05:30,30.41,30.41,29.45,29.56,120635
2025-10-10T00:00:00+05:30,30.45,30.45,29.4,29.55,64625
2025-10-13T00:00:00+05:30,29.57,29.58,29.4,29.56,107083
2025-10-14T00:00:00+05:30,30.45,30.45,29.5,29.56,100351
2025-10-15T00:00:00+05:30,30.45,30.45,29.45,29.66,76055
2025-10-16T00:00:00+05:30,30.55,30.55,29.51,29.62,70675
2025-10-17T00:00:00+05:30,30.51,30.51,29.48,29.69,41427
2025-10-20T00:00:00+05:30,28.8,29.75,28.8,29.6,36864
2025-10-21T00:00:00+05:30,29.8,29.8,29.4,29.59,16202
2025-10-23T00:00:00+05:30,30.48,30.48,29.47,29.58,276468
2025-10-24T00:00:00+05:30,30.47,30.47,29.55,29.63,245920
2025-10-27T00:00:00+05:30,30.49,30.49,29.43,29.6,138734
2025-10-28T00:00:00+05:30,28.71,29.63,28.71,29.61,154580
2025-10-29T00:00:00+05:30,30.5,30.5,29.5,29.63,64913
2025-10-30T00:00:00+05:30,30.51,30.51,29.42,29.55,229690
