datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,41.91,41.91,40.02,40.51,4116
2021-03-10T00:00:00+05:30,39.94,39.94,39.11,39.7,14887
2021-03-12T00:00:00+05:30,39.11,39.89,39.11,39.75,5580
2021-03-15T00:00:00+05:30,39.92,40.99,39.75,40.99,9010
2021-03-16T00:00:00+05:30,41.48,41.51,39.54,40.97,875
2021-03-17T00:00:00+05:30,39.4,40.91,39.0,40.43,3897
2021-03-18T00:00:00+05:30,40.46,40.46,38.43,38.59,6012
2021-03-19T00:00:00+05:30,38.84,38.84,36.79,38.57,7683
2021-03-22T00:00:00+05:30,38.57,39.7,38.57,39.43,3843
2021-03-23T00:00:00+05:30,39.4,39.4,38.16,39.38,6214
2021-03-24T00:00:00+05:30,38.84,39.35,38.19,38.81,5065
2021-03-25T00:00:00+05:30,38.03,39.83,36.9,37.03,17215
2021-03-26T00:00:00+05:30,36.14,38.57,36.14,37.06,26173
2021-03-30T00:00:00+05:30,37.6,37.6,36.68,36.68,803
2021-03-31T00:00:00+05:30,37.11,37.11,35.33,35.33,14433
2021-04-01T00:00:00+05:30,36.9,37.06,35.06,36.65,17946
2021-04-05T00:00:00+05:30,35.12,36.68,34.82,35.06,18198
2021-04-06T00:00:00+05:30,35.06,35.57,34.55,35.44,295
2021-04-07T00:00:00+05:30,34.68,35.6,34.68,35.25,18174
2021-04-08T00:00:00+05:30,34.82,36.68,34.79,36.68,13932
2021-04-09T00:00:00+05:30,35.33,38.51,35.09,37.76,20868
2021-04-12T00:00:00+05:30,35.92,37.49,35.87,35.87,6685
2021-04-13T00:00:00+05:30,36.76,37.65,34.22,37.57,33984
2021-04-15T00:00:00+05:30,38.27,38.27,35.79,37.6,1161
2021-04-16T00:00:00+05:30,35.87,37.73,35.87,35.9,59
2021-04-19T00:00:00+05:30,36.09,36.09,35.33,35.33,445
2021-04-20T00:00:00+05:30,34.01,36.65,34.01,35.57,10554
2021-04-22T00:00:00+05:30,35.3,35.6,34.52,35.57,2321
2021-04-23T00:00:00+05:30,35.57,35.68,34.58,35.57,3511
2021-04-26T00:00:00+05:30,34.55,35.6,34.55,35.6,795
2021-04-27T00:00:00+05:30,36.49,36.49,36.49,36.49,20
2021-04-28T00:00:00+05:30,37.35,37.35,36.68,36.68,35
2021-04-29T00:00:00+05:30,35.38,36.68,35.06,36.65,2594
2021-04-30T00:00:00+05:30,36.6,36.68,35.06,36.11,6450
2021-05-03T00:00:00+05:30,37.08,37.08,34.82,35.41,1411
2021-05-04T00:00:00+05:30,35.41,36.63,35.06,35.98,3511
2021-05-05T00:00:00+05:30,35.06,36.06,34.71,35.01,2888
2021-05-06T00:00:00+05:30,35.57,36.73,35.06,36.73,30352
2021-05-07T00:00:00+05:30,38.35,38.57,38.35,38.57,3856
2021-05-10T00:00:00+05:30,40.48,40.48,38.68,40.0,5819
2021-05-11T00:00:00+05:30,38.3,41.99,38.3,41.99,30274
2021-05-12T00:00:00+05:30,44.04,44.07,40.46,44.07,7712
2021-05-14T00:00:00+05:30,46.12,46.25,46.12,46.25,9989
2021-05-17T00:00:00+05:30,48.55,48.55,44.37,48.41,24575
2021-05-18T00:00:00+05:30,47.47,49.62,46.39,47.9,8665
2021-05-19T00:00:00+05:30,49.36,49.36,45.58,48.01,10606
2021-05-20T00:00:00+05:30,48.01,50.3,46.17,49.57,12217
2021-05-21T00:00:00+05:30,51.22,52.03,47.12,51.54,64373
2021-05-24T00:00:00+05:30,51.54,53.4,49.62,50.27,10056
2021-05-25T00:00:00+05:30,50.43,52.05,48.57,49.38,5927
2021-05-26T00:00:00+05:30,49.62,51.24,49.09,49.98,11646
2021-05-27T00:00:00+05:30,49.98,50.43,48.14,49.57,7551
2021-05-28T00:00:00+05:30,47.25,50.43,47.25,49.06,20423
2021-05-31T00:00:00+05:30,48.76,48.76,46.39,47.09,10469
2021-06-01T00:00:00+05:30,47.09,48.49,44.8,46.39,9735
2021-06-02T00:00:00+05:30,45.85,47.74,44.8,47.31,7662
2021-06-03T00:00:00+05:30,47.33,48.55,45.85,48.52,12304
2021-06-04T00:00:00+05:30,48.52,49.57,47.47,48.55,8200
2021-06-07T00:00:00+05:30,48.01,49.62,46.93,48.47,5133
2021-06-08T00:00:00+05:30,47.49,49.09,46.93,47.49,5545
2021-06-09T00:00:00+05:30,47.31,49.87,47.31,47.76,22445
2021-06-10T00:00:00+05:30,49.89,49.89,46.17,49.09,3636
2021-06-11T00:00:00+05:30,49.09,49.84,46.93,48.52,8493
2021-06-14T00:00:00+05:30,49.62,49.62,46.39,47.09,4034
2021-06-15T00:00:00+05:30,49.06,49.06,45.88,45.98,13183
2021-06-16T00:00:00+05:30,45.85,47.41,43.99,46.33,21242
2021-06-17T00:00:00+05:30,47.71,47.71,44.23,45.85,3660
