datetime,open,high,low,close,volume
2021-03-09T00:00:00+05:30,93.35,93.5,91.1,92.4,111268
2021-03-10T00:00:00+05:30,92.85,93.3,92.0,92.8,106695
2021-03-12T00:00:00+05:30,93.2,93.75,92.05,92.5,55129
2021-03-15T00:00:00+05:30,93.0,93.0,90.8,91.85,53372
2021-03-16T00:00:00+05:30,92.55,92.55,91.4,92.15,32126
2021-03-17T00:00:00+05:30,92.6,92.6,89.4,89.95,196884
2021-03-18T00:00:00+05:30,91.3,91.3,88.15,89.9,184643
2021-03-19T00:00:00+05:30,90.5,90.5,86.5,89.3,232376
2021-03-22T00:00:00+05:30,91.0,91.0,88.1,89.95,70764
2021-03-23T00:00:00+05:30,89.9,91.2,89.5,90.45,61300
2021-03-24T00:00:00+05:30,90.4,91.75,89.2,89.45,213110
2021-03-25T00:00:00+05:30,90.0,92.5,86.5,88.95,196120
2021-03-26T00:00:00+05:30,92.0,92.0,88.2,88.6,198217
2021-03-30T00:00:00+05:30,90.3,90.5,88.65,90.45,152890
2021-03-31T00:00:00+05:30,90.95,92.3,89.4,92.3,88887
2021-04-01T00:00:00+05:30,94.1,94.1,91.15,92.5,83391
2021-04-05T00:00:00+05:30,94.95,94.95,89.9,90.85,112895
2021-04-06T00:00:00+05:30,91.2,92.25,90.45,91.7,159841
2021-04-07T00:00:00+05:30,93.1,93.1,89.8,92.3,261943
2021-04-08T00:00:00+05:30,94.95,94.95,91.35,92.45,346331
2021-04-09T00:00:00+05:30,93.5,94.25,92.45,93.25,47416
2021-04-12T00:00:00+05:30,93.0,96.9,88.6,93.25,397102
2021-04-13T00:00:00+05:30,99.8,99.8,88.75,90.0,217129
2021-04-15T00:00:00+05:30,90.45,92.0,88.6,89.7,173138
2021-04-16T00:00:00+05:30,90.2,90.95,89.5,90.55,53924
2021-04-19T00:00:00+05:30,91.0,91.0,88.0,89.2,193882
2021-04-20T00:00:00+05:30,89.6,90.5,88.65,89.3,121914
2021-04-22T00:00:00+05:30,89.0,90.0,88.5,89.65,432197
2021-04-23T00:00:00+05:30,91.0,91.0,89.2,89.9,143169
2021-04-26T00:00:00+05:30,89.9,90.8,89.9,90.1,104185
2021-04-27T00:00:00+05:30,90.1,91.85,89.65,91.6,118121
2021-04-28T00:00:00+05:30,92.0,93.1,91.4,93.0,38422
2021-04-29T00:00:00+05:30,93.5,93.7,92.5,92.75,281352
2021-04-30T00:00:00+05:30,92.95,93.15,91.6,92.1,64991
2021-05-03T00:00:00+05:30,92.5,92.5,91.55,92.4,173489
2021-05-04T00:00:00+05:30,92.85,93.95,91.95,92.35,107643
2021-05-05T00:00:00+05:30,92.8,92.95,92.05,92.65,64958
2021-05-06T00:00:00+05:30,93.1,93.95,92.2,93.9,95205
2021-05-07T00:00:00+05:30,93.95,94.2,93.2,93.55,89696
2021-05-10T00:00:00+05:30,94.35,94.35,82.5,93.95,62735
2021-05-11T00:00:00+05:30,94.05,95.05,93.1,94.9,290768
2021-05-12T00:00:00+05:30,95.8,95.95,94.0,94.4,107984
2021-05-14T00:00:00+05:30,95.3,95.3,92.8,93.15,94013
