datetime,open,high,low,close,volume
2024-05-13T00:00:00+05:30,15.8,15.8,15.16,15.55,839610
2024-05-14T00:00:00+05:30,15.89,15.89,15.55,15.7,324613
2024-05-15T00:00:00+05:30,16.15,16.15,15.7,15.82,127084
2024-05-16T00:00:00+05:30,16.04,16.04,15.71,15.95,326226
2024-05-17T00:00:00+05:30,16.45,16.45,15.95,16.09,218621
2024-05-18T00:00:00+05:30,16.55,16.72,15.93,16.15,28056
2024-05-21T00:00:00+05:30,16.14,16.15,16.0,16.12,163182
2024-05-22T00:00:00+05:30,16.37,16.37,16.0,16.08,180136
2024-05-23T00:00:00+05:30,16.09,16.19,16.02,16.13,159415
2024-05-24T00:00:00+05:30,16.6,16.6,16.06,16.21,152595
2024-05-27T00:00:00+05:30,16.7,16.7,16.2,16.4,303376
2024-05-28T00:00:00+05:30,16.9,16.9,16.2,16.31,175147
2024-05-29T00:00:00+05:30,16.8,16.8,15.93,16.25,267478
2024-05-30T00:00:00+05:30,16.74,16.74,15.95,16.05,136294
2024-05-31T00:00:00+05:30,16.35,16.35,15.82,15.88,421106
2024-06-03T00:00:00+05:30,16.35,16.59,15.93,16.51,566739
2024-06-04T00:00:00+05:30,16.65,17.38,15.6,16.41,605464
2024-06-05T00:00:00+05:30,16.9,16.9,14.03,16.0,2463684
2024-06-06T00:00:00+05:30,16.5,16.51,15.06,16.26,428993
2024-06-07T00:00:00+05:30,16.51,16.51,16.26,16.47,267610
2024-06-10T00:00:00+05:30,16.95,16.95,16.32,16.55,646525
2024-06-11T00:00:00+05:30,17.05,17.05,16.5,16.59,112039
2024-06-12T00:00:00+05:30,16.1,16.9,16.1,16.81,249986
2024-06-13T00:00:00+05:30,17.3,19.2,16.65,16.94,240300
2024-06-14T00:00:00+05:30,16.95,17.25,16.83,17.19,226574
2024-06-18T00:00:00+05:30,17.53,17.53,17.16,17.29,181631
2024-06-19T00:00:00+05:30,17.8,17.8,16.96,17.14,206186
2024-06-20T00:00:00+05:30,17.35,17.35,16.96,17.23,140839
2024-06-21T00:00:00+05:30,17.55,17.55,17.02,17.2,349814
2024-06-24T00:00:00+05:30,17.7,17.7,16.7,17.38,165796
2024-06-25T00:00:00+05:30,17.7,17.7,17.25,17.34,136704
2024-06-26T00:00:00+05:30,17.6,17.6,17.09,17.28,77556
2024-06-27T00:00:00+05:30,17.6,17.6,17.12,17.23,96279
2024-06-28T00:00:00+05:30,17.55,17.55,17.06,17.38,97847
2024-07-01T00:00:00+05:30,17.55,17.68,17.0,17.52,167536
2024-07-02T00:00:00+05:30,18.05,18.05,17.13,17.41,294704
2024-07-03T00:00:00+05:30,17.7,17.78,17.41,17.5,513351
2024-07-04T00:00:00+05:30,17.85,17.85,17.35,17.68,150240
2024-07-05T00:00:00+05:30,17.9,17.95,17.55,17.9,354916
2024-07-08T00:00:00+05:30,18.16,18.16,17.76,17.86,260573
2024-07-09T00:00:00+05:30,18.2,18.2,17.7,17.87,235891
2024-07-10T00:00:00+05:30,18.4,18.4,17.5,17.83,446385
2024-07-11T00:00:00+05:30,18.35,18.35,17.62,17.82,121792
2024-07-12T00:00:00+05:30,17.81,18.28,17.79,17.8,320261
